LIBELLE,TXT,TYPEINF,STYPEINF,NOMFIC,URLFIC,IDURBA,DATVALID
Perimetre de sauvegarde des commerces et artisanat,Les Lilas,"99","00",200057875_info_surf_99_sauvegarde_commerce_artisanat_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Site archeologique,n°801,"16","00",200057875_info_surf_16_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Site archeologique,n°802,"16","00",200057875_info_surf_16_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Site archeologique,n°1581,"16","00",200057875_info_surf_16_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Site archeologique,n°458,"16","00",200057875_info_surf_16_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Site archeologique,n°1603,"16","00",200057875_info_surf_16_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Site archeologique,n°845,"16","00",200057875_info_surf_16_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Site archeologique,n°842,"16","00",200057875_info_surf_16_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Site archeologique,n°840,"16","00",200057875_info_surf_16_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Site archeologique,n°844,"16","00",200057875_info_surf_16_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Site archeologique,n°854,"16","00",200057875_info_surf_16_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Site archeologique,n°855,"16","00",200057875_info_surf_16_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Perimetre de sauvegarde des commerces et artisanat,Bondy,"99","00",200057875_info_surf_99_sauvegarde_commerce_artisanat_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Perimetre de sauvegarde des commerces et artisanat,Bondy,"99","00",200057875_info_surf_99_sauvegarde_commerce_artisanat_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Perimetre de sauvegarde des commerces et artisanat,Bondy,"99","00",200057875_info_surf_99_sauvegarde_commerce_artisanat_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Perimetre de sauvegarde des commerces et artisanat,Bondy,"99","00",200057875_info_surf_99_sauvegarde_commerce_artisanat_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Perimetre de sauvegarde des commerces et artisanat,Les Lilas,"99","00",200057875_info_surf_99_sauvegarde_commerce_artisanat_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Perimetre de sauvegarde des commerces et artisanat,Pantin,"99","00",200057875_info_surf_99_sauvegarde_commerce_artisanat_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Perimetre de sauvegarde des commerces et artisanat,Pantin,"99","00",200057875_info_surf_99_sauvegarde_commerce_artisanat_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Perimetre de sauvegarde des commerces et artisanat,Pantin,"99","00",200057875_info_surf_99_sauvegarde_commerce_artisanat_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Perimetre de sauvegarde des commerces et artisanat,Pantin,"99","00",200057875_info_surf_99_sauvegarde_commerce_artisanat_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Perimetre de sauvegarde des commerces et artisanat,Pantin,"99","00",200057875_info_surf_99_sauvegarde_commerce_artisanat_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Perimetre de sauvegarde des commerces et artisanat,Romainv,"99","00",200057875_info_surf_99_sauvegarde_commerce_artisanat_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Perimetre de sauvegarde des commerces et artisanat,Romainv,"99","00",200057875_info_surf_99_sauvegarde_commerce_artisanat_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Reglement communal de la publicite,ZPR2,"20","00",200057875_info_surf_20_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Reglement communal de la publicite,ZPR1,"20","00",200057875_info_surf_20_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Reglement communal de la publicite,ZPR1,"20","00",200057875_info_surf_20_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Reglement communal de la publicite,ZPR1,"20","00",200057875_info_surf_20_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Reglement communal de la publicite,ZPR3,"20","00",200057875_info_surf_20_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Reglement communal de la publicite,ZPR1,"20","00",200057875_info_surf_20_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Reglement communal de la publicite,ZPR1,"20","00",200057875_info_surf_20_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Reglement communal de la publicite,ZPR1,"20","00",200057875_info_surf_20_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Reglement communal de la publicite,ZPR3,"20","00",200057875_info_surf_20_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Reglement communal de la publicite,ZPR1,"20","00",200057875_info_surf_20_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Reglement communal de la publicite,ZPR2,"20","00",200057875_info_surf_20_20210629.pdf,,200057875_PLUI_20210629,"20200327"
