LIBELLE,TXT,TYPEPSC,STYPEPSC,NOMFIC,URLFIC,IDURBA,DATVALID
Ensemble bati remarquable,,"07","01",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Ensemble bati remarquable,,"07","01",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Ensemble bati remarquable,,"07","01",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Ensemble bati remarquable,,"07","01",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Ensemble bati remarquable,,"07","01",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Espace paysager,,"07","04",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Espace cultive,,"08","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Espace paysager residence,,"07","04",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Espace paysager residence,,"07","04",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Espace paysager,,"07","04",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Espace cultive,,"08","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Espace paysager,,"07","04",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Espace cultive,,"08","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Espace cultive,,"08","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Espace cultive,,"08","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur hauteur,"19","39","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS1,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS6,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS2,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS2,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS10,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS2,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS2,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS2,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS2,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS2,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS2,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS2,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS2,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS2,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS2,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS2,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS2,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS2,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS2,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS2,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS1,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS5,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS5,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Espace paysager,,"07","04",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Espace paysager boise,,"07","04",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Espace cultive,,"08","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Espace paysager,,"07","04",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Ensemble bati remarquable,,"07","02",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Ensemble bati remarquable,,"07","01",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Ensemble bati remarquable,,"07","01",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Ensemble bati remarquable,,"07","01",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Ensemble bati remarquable,,"07","01",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Ensemble bati remarquable,,"07","01",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Ensemble bati remarquable,,"07","01",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Ensemble bati remarquable,,"07","01",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Ensemble bati remarquable,,"07","01",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Ensemble bati remarquable,,"07","01",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Ensemble bati remarquable,,"07","01",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Espace paysager residence,,"07","04",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Espace paysager,,"07","04",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Espace paysager,,"07","04",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Espace paysager residence,,"07","04",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Espace paysager,,"07","04",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS7,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS7,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS7,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS7,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS7,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS7,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS7,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS7,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS7,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS7,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS7,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS7,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS7,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS7,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS7,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS7,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Secteur de mixite sociale,SLS7,"17","00",200057875_reglement_20210629.pdf,,200057875_PLUI_20210629,"20200327"
