LIBELLE,TXT,TYPEINF,STYPEINF,NOMFIC,URLFIC,IDURBA,DATVALID
Classement sonore categorie 4,30m,"14","00",200057875_info_surf_14_texte_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Classement sonore categorie 3,100m,"14","00",200057875_info_surf_14_texte_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Taxe d'amenagement,5%,"32","00",200057875_info_surf_32_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Perimetre DUP Ligne 15,,"99","00",200057875_info_surf_99_DUP_texte_20210629.pdf,,200057875_PLUI_20210629,"20200327"
PPR lie aux cavites souterraines,Noisy,"99","00",200057875_info_surf_99_mouvement_terrain_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Classement sonore categorie 5,10m,"14","00",200057875_info_surf_14_texte_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Alea argile moyen,,"99","00",200057875_rapport_2_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Classement sonore categorie 2,250m,"14","00",200057875_info_surf_14_texte_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Droit de preemption urbain,Bondy,"04","00",200057875_info_surf_04_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Classement sonore categorie 1,300m,"14","00",200057875_info_surf_14_texte_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Droit de preemption urbain renforce,Bondy,"04","00",200057875_info_surf_04_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Alea argile fort,,"99","00",200057875_rapport_2_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Perimetre de sauvegarde des commerces et artisanat,Bondy,"99","00",200057875_info_surf_99_sauvegarde_commerce_artisanat_20210629.pdf,,200057875_PLUI_20210629,"20200327"
Zone d'amenagement concerte Les Rives de l'Ourcq,,"02","00",200057875_info_surf_02_20210629.pdf,,200057875_PLUI_20210629,"20200327"
