SIRET DESTINATAIRE;CODE EPCI;SIRET EPCI;ANNEE;CODE DSF;CODE COMMUNE;CODE VOIE;PREFIXE DE SECTION;SECTION CADASTRALE;NUMERO DE PLAN;NUMERO DE BATIMENT;NUMERO D ENTREE/D ESCALIER;ETAGE;NUMERO DE PORTE;NUMERO DE VOIRIE;CODE INDICE DE REPETITION;ADRESSE;CODE POSTAL;LIBELLE COMMUNE;PROPRIETAIRE;INVARIANT DU LOCAL;CODE NATURE DU LOCAL;CODE AFFECTATION DU LOCAL;CATEGORIE REVISEE;VALEUR LOCATIVE REVISEE DU DESCRIPTIF;CODE SIE                                   
21930010000019;863;20005787500011;2021;930;010;3115;;AM;0043;A;02;00;01002;131;;RUE EDOUARD VAILLANT;93140;BONDY;COMMUNE DE BONDY;930100181682;CB;C;MAG1;29204;9300300;                                                                                                                                                                                                                                                                                                 
21930010000019;863;20005787500011;2021;930;010;7165;;AZ;0231;A;01;00;01001;2;;RUE DE LA PHILOSOPHIE;93140;BONDY;COMMUNE DE BONDY;930100186516;CB;C;MAG1;37740;9300300;                                                                                                                                                                                                                                                                                                  
21930010000019;863;20005787500011;2021;930;010;8161;;AT;0189;A;01;00;01001;9001;;PL DE LA REPUBLIQUE;93140;BONDY;COMMUNE DE BONDY;930100187920;CB;C;MAG4;69372;9300300;                                                                                                                                                                                                                                                                                                 
21930010000019;863;20005787500011;2021;930;010;8161;;AT;0202;B;02;00;01001;16;;PL DE LA REPUBLIQUE;93140;BONDY;COMMUNE DE BONDY;930100972012;CB;C;DEP2;33079;9300300;                                                                                                                                                                                                                                                                                                   
21930010000019;863;20005787500011;2021;930;010;8172;;AT;0202;A;01;01;01001;9002;;RUE ROGER SALENGRO;93140;BONDY;COMMUNE DE BONDY;930100972017;CB;C;BUR1;2477137;9300300;                                                                                                                                                                                                                                                                                                
21930010000019;863;20005787500011;2021;930;010;8161;;AT;0212;A;05;00;01001;9002;;PL DE LA REPUBLIQUE;93140;BONDY;COMMUNE DE BONDY;930100972098;CB;C;BUR1;30124;9300300;                                                                                                                                                                                                                                                                                                 
21930010000019;863;20005787500011;2021;930;010;8161;;AT;0212;A;04;00;01001;9003;;PL DE LA REPUBLIQUE;93140;BONDY;COMMUNE DE BONDY;930100972099;CB;C;BUR1;18618;9300300;                                                                                                                                                                                                                                                                                                 
21930010000019;863;20005787500011;2021;930;010;8172;;AT;0202;A;01;81;03001;9002;;RUE ROGER SALENGRO;93140;BONDY;COMMUNE DE BONDY;930100972125;CB;C;BUR1;10250;9300300;                                                                                                                                                                                                                                                                                                  
21930010000019;863;20005787500011;2021;930;010;0632;;AQ;0247;A;01;00;01001;5;;ALL BECQUEREL;93140;BONDY;COMMUNE DE BONDY;930100975197;CB;C;BUR1;237362;9300300;                                                                                                                                                                                                                                                                                                         
21930010000019;863;20005787500011;2021;930;010;0632;;AQ;0247;B;01;00;01001;6;;ALL BECQUEREL;93140;BONDY;COMMUNE DE BONDY;930100975200;CB;C;MAG1;34419;9300300;                                                                                                                                                                                                                                                                                                          
21930010000019;863;20005787500011;2021;930;010;0632;;AQ;0247;C;01;00;01001;7;;ALL BECQUEREL;93140;BONDY;COMMUNE DE BONDY;930100975201;CB;C;MAG1;43806;9300300;                                                                                                                                                                                                                                                                                                          
21930010000019;863;20005787500011;2021;930;010;0632;;AQ;0247;D;01;00;01001;8;;ALL BECQUEREL;93140;BONDY;COMMUNE DE BONDY;930100975203;CB;C;MAG1;35462;9300300;                                                                                                                                                                                                                                                                                                          
21930010000019;863;20005787500011;2021;930;010;0632;;AQ;0247;E;01;00;01001;9;;ALL BECQUEREL;93140;BONDY;COMMUNE DE BONDY;930100975206;CB;C;MAG1;43806;9300300;                                                                                                                                                                                                                                                                                                          
21930010000019;863;20005787500011;2021;930;010;0632;;AQ;0247;L;01;00;01001;16;;ALL BECQUEREL;93140;BONDY;COMMUNE DE BONDY;930100975216;CB;C;MAG1;32541;9300300;                                                                                                                                                                                                                                                                                                         
21930010000019;863;20005787500011;2021;930;010;0632;;AQ;0247;M;01;00;01001;17;;ALL BECQUEREL;93140;BONDY;COMMUNE DE BONDY;930100975217;CB;C;MAG1;34836;9300300;                                                                                                                                                                                                                                                                                                         
