"","NATURE","NOM","NOM_1_G","usage","nom"
"4","RTE","VILLEMOMBLE","RTE DE VILLEMOMBLE",public,"Rachid"
"7","AV","ROUGET DE LISLE","AV ROUGET DE LISLE",public,"Rachid"
"11","R","CHEMIN DE FEPROLONGEE","R DU CHEMIN DE FER PROLONGEE",public,"Rachid"
"13","SEN","RENE CHAR","SEN RENE CHAR",public,"Rachid"
"16","R","MIDI","R DU MIDI",public,"Rachid"
"17","ALL","ETOILE","ALL DE L'ETOILE",public,"Rachid"
"26","VLA","MARRONNIERS","VLA DES MARRONNIERS","privé","Rachid"
"29","1","1","ALL MIGNARD","privé","Rachid"
"30","ALL","LETTRES","ALL DES LETTRES",public,"Rachid"
"35.1","R","ROGESALENGRO","R ROGER SALENGRO",public,"Rachid"
"37","ALL","COURTS SILLONS","ALL DES COURTS SILLONS",public,"Rachid"
"38","ALL","ALOUETTES","ALL DES ALOUETTES",public,"Rachid"
"40","VLA","BRECHET","VLA DU BRECHET","privé","Rachid"
"41","R","UNION","R DE L'UNION",public,"Rachid"
"42.1","CITE","SAULES","CITE DES SAULES",public,"Rachid"
"43","PL","ECOLES","PL DES ECOLES",public,"Rachid"
"45.1","R","NOEMIE","R NOEMIE",public,"Rachid"
"49","R","MARTIN LUTHEKING","R MARTIN LUTHER KING","privé","Rachid"
"51","CH","MONTREUIL A CLAYE","CH DE MONTREUIL A CLAYE",public,"Rachid"
"53","VLA","CARNOT","VLA CARNOT",public,"Rachid"
"54","R","VARSOVIE","R DE VARSOVIE",public,"Rachid"
"56","VLA","MADELEINE","VLA MADELEINE",public,"Rachid"
"58","ALL","TILLEULS","ALL DES TILLEULS",public,"Rachid"
"59","ALL","MARIA DERAIMES","ALL MARIA DERAIMES","privé","Rachid"
"62.1","R","BAUDIN","R BAUDIN",public,"Rachid"
"63","ALL","COQUELICOTS","ALL DES COQUELICOTS",public,"Rachid"
"71","15","15","SEN PIERRE BOURDIEU","privé","Rachid"
"72","R","LOUIS LEON COLLIGNON","R LOUIS LEON COLLIGNON",public,"Rachid"
"73","AV","SCIENCES","AV DES SCIENCES",public,"Rachid"
"74","R","JEAN MONNET","R JEAN MONNET",public,"Rachid"
"81","ALL","MARYSE BASTIE","ALL MARYSE BASTIE","privé","Rachid"
"82.1","ALL","BOILEAU","ALL BOILEAU",public,"Rachid"
"83","IMP","RENE CLAIR","IMP RENE CLAIR",public,"Rachid"
"84","ALL","ARTS","ALL DES ARTS",public,"Rachid"
"85.1","ALL","CHENES","ALL DES CHENES",public,"Rachid"
"86","ALL","GABRIELLE","ALL GABRIELLE","privé","Rachid"
"87.1","R","TREMEUGE","R DE TREMEUGE",public,"Rachid"
"89","ALL","PAUL LAFARGUE","ALL PAUL LAFARGUE","privé","Rachid"
"92","ALL","FAUVETTE","ALL DE LA FAUVETTE","privé","Rachid"
"93","VLA","PARMENTIER","VLA PARMENTIER","privé","Rachid"
"96.1","CRS","REPUBLIQUE","CRS DE LA REPUBLIQUE",public,"Rachid"
"99","ALL","VILLA JEANNETTE","ALL DE LA VILLA JEANNETTE",public,"Rachid"
"101","2","2","ALL EUGENE DELACROIX","privé","Rachid"
"107.1","AV","CARNOT","AV CARNOT",public,"Rachid"
"108","ALL","POQUE","ALL POQUE","privé","Rachid"
"109","ALL","ALEXANDRE MARTHE","ALL ALEXANDRE MARTHE","privé","Rachid"
"110","AV","BELFORT","AV DE BELFORT",public,"Rachid"
"112","11","11","ALL CONDORCET","privé","Rachid"
"113","VLA","ABEILLES","VLA DES ABEILLES",public,"Rachid"
"114.1","ALL","MOLIERE","ALL MOLIERE",public,"Rachid"
"117","R","PHILOSOPHIE","R DE LA PHILOSOPHIE",public,"Rachid"
"119","3","3","ALL DOMINIQUE INGRES","privé","Rachid"
"122","R","CLOS VAILLANT","R DU CLOS VAILLANT","privé","Rachid"
"123","AV","MARIE CURIE","AV MARIE CURIE",public,"Rachid"
"124","R","BEL AIR","R DU BEL AIR",public,"Rachid"
"128","IMP","GEORGES BRASSENS","IMP GEORGES BRASSENS",public,"Rachid"
"130","VLA","LAVIGNE","VLA LAVIGNE",public,"Rachid"
"131","AV","EST","AV DE L'EST",public,"Rachid"
"135","ALL","CLAUDE DEBUSSY","ALL CLAUDE DEBUSSY","privé","Rachid"
"140","SEN","BLERIOT","SEN BLERIOT",public,"Rachid"
"142","PL","REPUBLIQUE","PL DE LA REPUBLIQUE",public,"Rachid"
"143.1","R","BEAUREGARD","R BEAUREGARD",public,"Rachid"
"144","R","LEVANT","R DU LEVANT",public,"Rachid"
"146","AV","METZ","AV DE METZ",public,"Rachid"
"147","ALL","LOUISE","ALL LOUISE",public,"Rachid"
"150","R","JACQUELINE AURIOL","R JACQUELINE AURIOL","privé","Rachid"
"151","R","FRANCOIS COLLET","R FRANCOIS COLLET",public,"Rachid"
"154","R","CHARLES MAGNE","R CHARLES MAGNE","privé","Rachid"
"157","R","VIEUX CHATEAU","R DU VIEUX CHATEAU",public,"Rachid"
"158","4","4","ALL MANET","privé","Rachid"
"162","ALL","PINSONS","ALL DES PINSONS",public,"Rachid"
"166","R","SOLIDARITE","R DE LA SOLIDARITE",public,"Rachid"
"167","14","14","R RENE DUMONT","public","Rachid"
"169","ALL","MONTPLAISIR","ALL MONTPLAISIR",public,"Rachid"
"170","AV","ANATOLE FRANCE","AV ANATOLE FRANCE",public,"Rachid"
"172","ALL","RACINE","ALL RACINE",public,"Rachid"
"174","ALL","JEAN COURTADE","ALL JEAN COURTADE","privé","Rachid"
"175.1","ALL","CONCORDE","ALL DE LA CONCORDE",public,"Rachid"
"178","R","RUDYARD KIPLING","R RUDYARD KIPLING",public,"Rachid"
"181","AV","NISE","AV DENISE",public,"Rachid"
"182","AV","DUMESNIL","AV DUMESNIL",public,"Rachid"
"185","ALL","SURCOUF","ALL SURCOUF",public,"Rachid"
"186","R","RENE CHAR","R RENE CHAR",public,"Rachid"
"187","R","MARCEL DASSAULT","R MARCEL DASSAULT",public,"Rachid"
"193","AV","JULES FERRY","AV JULES FERRY",public,"Rachid"
"195.1","R","YVONNE","R YVONNE",public,"Rachid"
"196","AV","GENEVIEVE ANTHONIOZ DE GAULLE","AV GENEVIEVE ANTHONIOZ DE GAULLE","privé","Rachid"
"197","R","JULES LELONG","R JULES LELONG",public,"Rachid"
"199","5","5","ALL RAPHAEL","privé","Rachid"
"200","R","MARGUERITE DURAS","R MARGUERITE DURAS",public,"Rachid"
"204","R","VIEUX MOULIN","R DU VIEUX MOULIN",public,"Rachid"
"205","IMP","ETIENNE DOLET","R ETIENNE DOLET","privé","Rachid"
"206.1","ALL","PAIX","ALL DE LA PAIX",public,"Rachid"
"207","R","HENRI DUNANT","R HENRI DUNANT","privé","Rachid"
"209","13","13","THEODORE MONOD","public","Rachid"
"211","R","MOLERET","R DU MOLERET",public,"Rachid"
"214","ALL","COLOMBES","ALL DES COLOMBES",public,"Rachid"
"215","R","PAULINE ROGER","R PAULINE ROGER",public,"Rachid"
"216","AV","PLATANES","AV DES PLATANES",public,"Rachid"
"217","ALL","FURCI","ALL DE FURCI","privé","Rachid"
"219","AV","IDEAL","AV DE L'IDEAL",public,"Rachid"
"220","AV","REPUBLIQUE","AV DE LA REPUBLIQUE",public,"Rachid"
"221","R","SIRE LEON","R DESIRE LEON",public,"Rachid"
"224","ALL","C GOUNOD","ALL C GOUNOD","privé","Rachid"
"225","R","DAVID LEDER","R DAVID LEDER",public,"Rachid"
"228","CH","MARE A LA VEUVE PROLONGEE","CH DE LA MARE A LA VEUVE PROLONGEE",public,"Rachid"
"233.1","R","EUGENE MASSON","R EUGENE MASSON",public,"Rachid"
"234","R","SAINT-LOUIS","R SAINT-LOUIS",public,"Rachid"
"236","ALL","HETRES","ALL DES HETRES",public,"Rachid"
"239.1","R","FRATERNITE","R DE LA FRATERNITE",public,"Rachid"
"241","ALL","MOULIN","ALL DU MOULIN",public,"Rachid"
"242","RPE","PONT","RPE DU PONT",public,"Rachid"
"243","R","BORDIER","R BORDIER",public,"Rachid"
"245","PL","GARE","PL DE LA GARE",public,"Rachid"
"246","7","7","ALL MILLET","privé","Rachid"
"250","R","BUTTE","R DE LA BUTTE",public,"Rachid"
"251","AV","NANCY","AV DE NANCY",public,"Rachid"
"253","IMP","LIBERTE","IMP DE LA LIBERTE",public,"Rachid"
"257","ALL","MARIE LAURENCIN","ALL MARIE LAURENCIN","privé","Rachid"
"261","IMP","JEAN WIENER","IMP JEAN WIENER",public,"Rachid"
"263","PL","ALBERT THOMAS","PL ALBERT THOMAS",public,"Rachid"
"264","IMP","CARNOT","IMP CARNOT",public,"Rachid"
"266","R","PLAISANCE","R DE PLAISANCE",public,"Rachid"
"267","R","PROGRES","R DU PROGRES",public,"Rachid"
"268","ALL","JOACHIM DU BELLAY","ALL JOACHIM DU BELLAY","privé","Rachid"
"269.1","R","GUILLAUME APOLLINAIRE","R GUILLAUME APOLLINAIRE","privé","Rachid"
"271","R","LION","R DU LION",public,"Rachid"
"274","R","ALEXANDRA DAVID NEEL","R ALEXANDRA DAVID NEEL","privé","Rachid"
"276","9","9","IMP HAYDN","privé","Rachid"
"277","IMP","JACQUES BREL","IMP JACQUES BREL",public,"Rachid"
"280","ALL","GROS BUISSON","ALL DU GROS BUISSON",public,"Rachid"
"282","AV","BLERIOT","AV BLERIOT",public,"Rachid"
"283","IMP","SOLIDARITE","IMP DE LA SOLIDARITE","privé","Rachid"
"284","ALL","SYLPHES","ALL DES SYLPHES",public,"Rachid"
"287","R","PAUL ELUARD","R PAUL ELUARD","privé","Rachid"
"288","ALL","BECQUEREL","ALL BECQUEREL",public,"Rachid"
"290","R","SIMONE DE BEAUVOIR","R SIMONE DE BEAUVOIR","privé","Rachid"
"291","R","JOE CARMAN","R JOE CARMAN",public,"Rachid"
"294","R","EDOUARD VAILLANT","R EDOUARD VAILLANT",public,"Rachid"
"296","AV","ESPERANCE","AV DE L'ESPERANCE",public,"Rachid"
"297","CH","MERLAN","CH DU MERLAN",public,"Rachid"
"298","10","10","ALL LOUISE WEISS","privé","Rachid"
"299.1","R","HENRI ALPY","R HENRI ALPY",public,"Rachid"
"300","R","GEORGES GRAFF","R GEORGES GRAFF",public,"Rachid"
"301","R","MARCEL PAUL","R MARCEL PAUL",public,"Rachid"
"302","AV","CADERAS","AV CADERAS",public,"Rachid"
