"","NOM_1_G","case","creche"
"1","1","3B","Cabane des petits"
"2","10","3B","Cabane des petits"
"3","11","3B","Cabane des petits"
"4","12","3B","Cabane des petits"
"5","13","3B","Cabane des petits"
"6","14","3B","Cabane des petits"
"7","15","3B","Cabane des petits"
"8","16","3D","Crèche Arc en Ciel"
"9","17","2E","Maison de la petite enfance"
"11","2","3B","Cabane des petits"
"12","3","3B","Cabane des petits"
"13","4","3B","Cabane des petits"
"14","5","3B","Cabane des petits"
"15","6","3B","Cabane des petits"
"16","7","3B","Cabane des petits"
"17","8","3B","Cabane des petits"
"18","9","3B","Cabane des petits"
"19","ALL ALEXANDRE MARTHE","3C","Cabane des petits"
"20","ALL ALICE","4C","Crèche Arc en Ciel"
"21","ALL ANDREA","4C","Crèche Arc en Ciel"
"22","ALL ANNE FRANK","2D","Crèche Arc en Ciel"
"23","ALL ANNE SYLVESTRE","2F","Maison de la petite enfance"
"25","ALL BECQUEREL","4B","Cabane des petits"
"26","ALL BOILEAU","4B","Cabane des petits"
"28","ALL C GOUNOD","3B","Cabane des petits"
"29","ALL CLAUDE DEBUSSY","3B","Cabane des petits"
"30","ALL CORNEILLE","4B","Cabane des petits"
"32","ALL DE FURCI","2C","Cabane des petits"
"34","ALL DE LA CONCORDE","3B","Cabane des petits"
"36","ALL DE LA DEVINIERE","3F","Maison de la petite enfance"
"37","ALL DE LA FAUVETTE","3B","Cabane des petits"
"39","ALL DE LA JARDINIERE","3E","Maison de la petite enfance"
"40","ALL DE LA PAIX","3B","Cabane des petits"
"43","ALL DE LA REGALE","4C","Crèche Arc en Ciel"
"45","ALL DE LA VILLA JEANNETTE","3B","Cabane des petits"
"47","ALL DE L'EGALITE","2C","Cabane des petits"
"48","ALL DE L'ETOILE","3A","Cabane des petits"
"50","ALL DE L'ORME","2A","Cabane des petits"
"53","ALL DES ALOUETTES","4B","Cabane des petits"
"54","ALL DES ANEMONES","3D","Crèche Arc en Ciel"
"55","ALL DES ARTS","4B","Cabane des petits"
"56","ALL DES AZALEES","2D","Maison de la petite enfance"
"57","ALL DES BOSQUETS","3E","Maison de la petite enfance"
"58","ALL DES BOULEAUX","2F","Maison de la petite enfance"
"59","ALL DES CHENES","4B","Cabane des petits"
"61","ALL DES COLOMBES","3B","Cabane des petits"
"62","ALL DES COQUELICOTS","3A","Cabane des petits"
"64","ALL DES COURTS SILLONS","4B","Cabane des petits"
"65","ALL DES DAHLIAS","2D","Maison de la petite enfance"
"66","ALL DES ERABLES","2F","Maison de la petite enfance"
"67","ALL DES FOUGERES","2E","Maison de la petite enfance"
"68","ALL DES FRENES","2F","Maison de la petite enfance"
"69","ALL DES GLAIEULS","2D","Maison de la petite enfance"
"70","ALL DES GLYCINES","2D","Maison de la petite enfance"
"71","ALL DES HETRES","2B","Cabane des petits"
"72","ALL DES HORTENSIAS","2D","Maison de la petite enfance"
"73","ALL DES IRIS","3D","Crèche Arc en Ciel"
"74","ALL DES LAURIERS","2D","Maison de la petite enfance"
"76","ALL DES LETTRES","4A","Cabane des petits"
"78","ALL DES LILAS","3D","Crèche Arc en Ciel"
"79","ALL DES ORCHIDEES","3D","Crèche Arc en Ciel"
"80","ALL DES PAQUERETTES","3D","Crèche Arc en Ciel"
"81","ALL DES PINSONS","3A","Cabane des petits"
"82","ALL DES PRIMEVERES","3C","Crèche Arc en Ciel"
"84","ALL DES RENONCULES","3C","Crèche Arc en Ciel"
"86","ALL DES ROSES","2D","Maison de la petite enfance"
"87","ALL DES SORBIERS","2F","Maison de la petite enfance"
"88","ALL DES SYCOMORES","2F","Maison de la petite enfance"
"89","ALL DES SYLPHES","3B","Cabane des petits"
"90","ALL DES TILLEULS","3B","Cabane des petits"
"91","ALL DES TULIPES","2D","Maison de la petite enfance"
"93","ALL DES VIGNES","2F","Maison de la petite enfance"
"94","ALL DU GROS BUISSON","3A","Cabane des petits"
"96","ALL DU MOULIN","2B","Cabane des petits"
"97","ALL DU MUGUET","3A","Cabane des petits"
"98","ALL DU RENDEZ VOUS","4C","Crèche Arc en Ciel"
"99","ALL ESPERANTO","3E","Maison de la petite enfance"
"101","ALL GABRIEL FAURE","3B","Cabane des petits"
"102","ALL GABRIELLE","3B","Cabane des petits"
"104","ALL GEORGES SAND","2D","Crèche Arc en Ciel"
"106","ALL HANNAH ARENDT","3D","Crèche Arc en Ciel"
"107","ALL HECTOR BERLIOZ","3B","Cabane des petits"
"108","ALL JEAN COURTADE","2B","Cabane des petits"
"109","ALL JOACHIM DU BELLAY","4B","Cabane des petits"
"110","ALL JOSE MARTI","3F","Maison de la petite enfance"
"111","ALL LEON","4D","Crèche Arc en Ciel"
"112","ALL LOUISE","4B","Cabane des petits"
"113","ALL MARCEL SEMBAT","4C","Crèche Arc en Ciel"
"114","ALL MARIA DERAIMES","3B","Cabane des petits"
"115","ALL MARIE LAURENCIN","3B","Cabane des petits"
"116","ALL MARYSE BASTIE","4B","Cabane des petits"
"117","ALL MOLIERE","4B","Crèche Arc en Ciel"
"119","ALL MONTPLAISIR","3A","Cabane des petits"
"121","ALL MOZART","2E","Maison de la petite enfance"
"122","ALL PABLO NERUDA","3F","Maison de la petite enfance"
"123","ALL PAUL LAFARGUE","2B","Cabane des petits"
"125","ALL POQUE","4B","Cabane des petits"
"126","ALL POTTIER","4D","Crèche Arc en Ciel"
"127","ALL RACINE","4B","Cabane des petits"
"128","ALL RASPAIL","4D","Crèche Arc en Ciel"
"129","ALL RULHIERE","1C","Crèche Arc en Ciel"
"131","ALL SAN MARTIN","3F","Maison de la petite enfance"
"132","ALL SIMON BOLIVAR","3F","Maison de la petite enfance"
"133","ALL SURCOUF","2B","Cabane des petits"
"134","ALL THERESE","4C","Crèche Arc en Ciel"
"136","ALL VICTOR HUGO","3B","Cabane des petits"
"137","ALL VOLTAIRE","3C","Crèche Arc en Ciel"
"138","AV ALBERT THOMAS","4C","Crèche Arc en Ciel"
"139","AV ANATOLE FRANCE","4A","Cabane des petits"
"141","AV BLERIOT","3B","Cabane des petits"
"143","AV CADERAS","3B","Cabane des petits"
"144","AV CARNOT","2C","Crèche Arc en Ciel"
"146","AV CARNOT (A PARTIR DE 56 / 59)","2B","Cabane des petits"
"148","AV CLARA GRANDET","2E","Maison de la petite enfance"
"150","AV DE BELFORT","2A","Cabane des petits"
"153","AV DE LA PARISIENNE","3E","Maison de la petite enfance"
"154","AV DE LA REPUBLIQUE","2B","Cabane des petits"
"156","AV DE LA VILLAGEOISE","3E","Maison de la petite enfance"
"157","AV DE LA VILLEGIATURE","3E","Maison de la petite enfance"
"158","AV DE L'ESPERANCE","4B","Cabane des petits"
"159","AV DE L'EST","2A","Cabane des petits"
"162","AV DE L'IDEAL","4B","Cabane des petits"
"163","AV DE METZ","2A","Cabane des petits"
"165","AV DE NANCY","2B","Cabane des petits"
"166","AV DE ROSNY (à partir 195 / 204)","1C","Crèche Arc en Ciel"
"168","AV DE ROSNY (JUSQU'AU 187 / 202 )","1C","Cabane des petits"
"169","AV DE VERDUN","4C","Crèche Arc en Ciel"
"172","AV DENISE","3B","Cabane des petits"
"173","AV DES MESARMES","3D","Maison de la petite enfance"
"175","AV DES PLATANES","2B","Cabane des petits"
"176","AV DES SCIENCES","4B","Cabane des petits"
"177","AV DU QUATORZE JUILLET","3E","Maison de la petite enfance"
"178","AV DUMESNIL","4B","Cabane des petits"
"179","AV GALLIENI IMPAIRS","1D","Maison de la petite enfance"
"183","AV GALLIENI PAIR","1D","Crèche Arc en Ciel"
"186","AV GENEVIEVE ANTHONIOZ DE GAULLE","3B","Cabane des petits"
"188","AV GUEUGNON","2D","Maison de la petite enfance"
"190","AV HENRI BARBUSSE","3C","Crèche Arc en Ciel"
"193","AV HENRI VARAGNAT","2E","Maison de la petite enfance"
"196","AV JEAN LEBAS","2E","Maison de la petite enfance"
"197","AV JEAN MOULIN","2E","Maison de la petite enfance"
"198","AV JULES FERRY","2B","Cabane des petits"
"199","AV LEON BLUM","2E","Maison de la petite enfance"
"201","AV LEON JOUHAUX","2F","Maison de la petite enfance"
"203","AV MAL DE LATTRE DE TASSIGNY","3C","Crèche Arc en Ciel"
"205","AV MARGUERITE","3D","Maison de la petite enfance"
"206","AV MARIE CURIE","3B","Cabane des petits"
"207","AV MARX DORMOY","2E","Maison de la petite enfance"
"209","AV MAURICE BENHAMOU","2E","Maison de la petite enfance"
"211","AV PASTEUR","3C","Crèche Arc en Ciel"
"213","AV ROUGET DE LISLE","3B","Cabane des petits"
"214","AV SUZANNE BUISSON","2E","Maison de la petite enfance"
"216","CH DE LA MARE A LA VEUVE","1A","Cabane des petits"
"218","CH DES CARROUGES","2A","Cabane des petits"
"219","CHE DE GROSLAY","1D","Maison de la petite enfance"
"222","CHE DE LA MARE A LA VEUVE PROLONGEE","2A","Cabane des petits"
"224","CHE DE MONTREUIL A CLAYE","1A","Cabane des petits"
"226","CHE DU MERLAN","1B","Cabane des petits"
"228","CHE DU PONT","3D","Maison de la petite enfance"
"229","CHE LATERAL","1D","Maison de la petite enfance"
"231","CITE DES SAULES","3C","Crèche Arc en Ciel"
"232","CRS DE LA REPUBLIQUE","2C","Crèche Arc en Ciel"
"233","D78","2F","Maison de la petite enfance"
"234","IMP CARNOT","2C","Cabane des petits"
"235","IMP DE LA JARDINIERE","3E","Maison de la petite enfance"
"237","IMP DE LA LIBERTE","3B","Cabane des petits"
"238","IMP DE LA PARISIENNE","3E","Maison de la petite enfance"
"239","IMP DE LA SOLIDARITE","3B","Cabane des petits"
"240","IMP DES VIOLETTES","3D","Crèche Arc en Ciel"
"241","IMP DU CASTEL","2A","Cabane des petits"
"243","IMP FERNAND POTTIER","2D","Crèche Arc en Ciel"
"244","IMP GEORGES BRASSENS","3A","Cabane des petits"
"245","IMP JACQUES BREL","2A","Cabane des petits"
"246","IMP JEAN WIENER","3A","Cabane des petits"
"247","IMP RENE CLAIR","3A","Cabane des petits"
"248","MAIL MARIE-MADELEINE FOURCADE","2E","Maison de la petite enfance"
"249","MAIL PANTAGRUEL","2F","Maison de la petite enfance"
"251",NA,"3A","Cabane des petits"
"265","PAS DES DEUX VILLES","2E","Maison de la petite enfance"
"266","PAS DU VERCORS","2E","Maison de la petite enfance"
"268","PAS MICHELET","1C","Cabane des petits"
"270","PL ALBERT THOMAS","2C","Cabane des petits"
"271","PL ARTHUR RIMBAUD","2D","Crèche Arc en Ciel"
"272","PL CHARLES DE GAULLE","2C","Crèche Arc en Ciel"
"273","PL DE LA DIVISION LECLERC","2C","Crèche Arc en Ciel"
"274","PL DE LA GARE","2B","Cabane des petits"
"275","PL DE LA REPUBLIQUE","2B","Cabane des petits"
"276","PL DES ECOLES","3C","Crèche Arc en Ciel"
"278","PL DES FLEURS","3D","Crèche Arc en Ciel"
"279","PL DU 11 NOVEMBRE 1918","2C","Crèche Arc en Ciel"
"282","PL EUDEMON","2F","Maison de la petite enfance"
"283","PL GEORGES LYSSANDRE","3C","Crèche Arc en Ciel"
"284","PL NICOLE NEUBURGER","3C","Crèche Arc en Ciel"
"288","PL SCHOELCHER","3F","Maison de la petite enfance"
"289","QUAI HUBERTINE AUCLERT","1D","Maison de la petite enfance"
"293","R ALEXANDRA DAVID NEEL","3B","Cabane des petits"
"294","R AMEDEE GUYARD","4D","Crèche Arc en Ciel"
"295","R ANDREI SAKHAROV","2F","Maison de la petite enfance"
"298","R ARTHUR GROUSSIER","3D","Maison de la petite enfance"
"300","R ARTHUR RIMBAUD","2D","Crèche Arc en Ciel"
"301","R AUGUSTE POLISSARD","2C","Crèche Arc en Ciel"
"303","R BAUDIN","1C","Cabane des petits"
"305","R BEAUREGARD IMPAIR","2C","Crèche Arc en Ciel"
"306","R BEAUREGARD PAIRS","2C","Cabane des petits"
"307","R BERANGER","4D","Crèche Arc en Ciel"
"308","R BERNARD DE JUSSIEU","4C","Crèche Arc en Ciel"
"309","R BORDIER","2B","Cabane des petits"
"312","R BOREL","3D","Maison de la petite enfance"
"313","R CESAR DELAINE","4C","Crèche Arc en Ciel"
"314","R CHARLES FERDINAND","3C","Crèche Arc en Ciel"
"315","R CHARLES MAGNE","4B","Cabane des petits"
"316","R COMPAGNON","3D","Crèche Arc en Ciel"
"318","R DAVID LEDER","2B","Cabane des petits"
"319","R DE BONDY","4A","Cabane des petits"
"320","R DE CRONSTADT","1C","Crèche Arc en Ciel"
"321","R DE LA BUTTE","4A","Cabane des petits"
"323","R DE LA FRATERNITE","2C","Cabane des petits"
"324","R DE LA LIBERTE","2B","Cabane des petits"
"326","R DE LA PHILOSOPHIE","4A","Cabane des petits"
"328","R DE LA SOLIDARITE","3B","Cabane des petits"
"330","R DE LA TERRE SAINT-BLAISE","2F","Maison de la petite enfance"
"332","R DE L'ABBE MAURICE BAURIT","3C","Crèche Arc en Ciel"
"333","R DE L'AVIATION","4C","Crèche Arc en Ciel"
"334","R DE L'EGALITE","2C","Cabane des petits"
"335","R DE L'UNION","3B","Cabane des petits"
"336","R DE MEAUX","3E","Maison de la petite enfance"
"339","R DE PANURGE","2F","Maison de la petite enfance"
"340","R DE PARIS","1D","Crèche Arc en Ciel"
"341","R DE PLAISANCE","4B","Cabane des petits"
"342","R DE PRESSENSE","4C","Crèche Arc en Ciel"
"343","R DE TREMEUGE","4C","Crèche Arc en Ciel"
"344","R DE VARSOVIE","2B","Cabane des petits"
"345","R DE VERSAILLES","2E","Maison de la petite enfance"
"347","R DENYS COCHIN","3C","Crèche Arc en Ciel"
