"","cle","appartement","etage","Nom.du.Programme","Année.de.construction"
"539","4RUEDES FRANCS AUBIERS",24,2,"BONDY 3 NOUE CAILL","1964"
"540","4RUEDU POTAGER",19,9,"RESIDENCE LE POTAGER","1971"
"541","4RUEFRANCOIS VILLON",10,4,"BONDY 14 JUILLET 1","1961"
"542","4RUEGASTON DEFFERRE",10,4,"BONDY CUB av. Gaston Deferre","1974"
"543","4RUEGUILLAUME APOLLINAIRE",21,10,"RESIDENCES RUE BLANQUI","1950"
"544","4RUEHENRI DUNANT",10,4,"RESIDENCES RUE BLANQUI","1950"
"545","4RUEHENRI ROL-TANGUY",9,4,"","1955"
"546","4RUELUCIE AUBRAC",10,4,"","1955"
"547","4RUEMARTIN LUTHER KING",43,10,"RESIDENCES RUE BLANQUI","1950"
"548","4RUEPAUL ELUARD",21,10,"RESIDENCES RUE BLANQUI","1950"
"549","4RUEROGER SALENGRO",4,2,"BONDY SALENGRO","2014"
"550","4RUERUE ARTHUR RIMBAUD",10,6,"BONDY - A. RIMBAUD - COPRO","1995"
"551","4RueRUE RAPHAEL",1,0,"BONDY Le Hameau de la Forge","1982"
"552","4RUESIMONE DE BEAUVOIR",10,4,"RESIDENCES RUE BLANQUI","1950"
"553","5 Allée Hannah Arendt",19,3,"RES. HANNAH ARENDT","2018"
"554","5 Allée Hannah Arendt",19,3,"RES. HANNAH ARENDT","2018"
"555","50AVENUEH. BARBUSSE",10,4,"BONDY H. BARBUSSE","2001"
"556","50PLG. LYSSANDRE",10,4,"RES. HENRI BARBUSSE","1954"
"557","50RUEFONTAINE",10,4,"BONDY LES MERISIER","1962"
"558","51PLN. NEUBURGER",17,4,"RES. HENRI BARBUSSE","1954"
"559","51RUELOUIS AUGUSTE BLANQUI",30,3,"Louis Auguste Blanqui","2012"
"560","52PLG. LYSSANDRE",10,4,"RES. HENRI BARBUSSE","1954"
"561","52RUEFONTAINE",10,4,"BONDY LES MERISIER","1962"
"562","53RUELOUIS AUGUSTE BLANQUI",15,2,"Louis Auguste Blanqui","2012"
"563","54PLG. LYSSANDRE",10,4,"RES. HENRI BARBUSSE","1954"
"564","56AVDE LATTRE DE TASSIGNY",30,4,"VEFA DE LATTRE","2016"
"565","56PLG. LYSSANDRE",10,4,"RES. HENRI BARBUSSE","1954"
"566","5ALLDE FURCI",8,3,"RESIDENCES RUE BLANQUI","1950"
"567","5ALLDES ORCHIDEES",10,4,"CITE DU STADE","1955"
"568","5ALLDES PAQUERETTES",10,4,"CITE DU STADE","1955"
"569","5ALLDES PRIMEVERES",10,4,"CITE DU STADE","1955"
"570","5AlleeALLEE GOYA",1,0,"BONDY Le Hameau de la Forge","1982"
"571","5AlleeALLEE MANET",1,0,"BONDY Le Hameau de la Forge","1982"
"572","5ALLEEPAUL LAFARGUE",1,0,"BONDY - TERRAIN RFF","2011"
"573","5ALLJOACHIM DU BELLAY",1,0,"","1994"
"574","5AVENUELEON JOUHAUX",17,5,"BONDY 3 NOUE CAILL","1964"
"575","5AVJEAN LEBAS",54,12,"QUARTIER NOUE CAILLET","1961"
"576","5AVJEAN MOULIN",17,8,"","1955"
"577","5AVLEON BLUM",56,12,"QUARTIER NOUE CAILLET","1961"
"578","5AVS. BUISSON",11,5,"QUARTIER NOUE CAILLET","1961"
"579","5PLA. THOMAS",17,5,"RESIDENCE ALBERT THOMAS","1933"
"580","5PLN. NEUBURGER",8,4,"RES. HENRI BARBUSSE","1954"
"581","5RUEARTHUR GROUSSIER",10,4,"BONDY LES MERISIER","1962"
"582","5RUEDE LA TERRE ST BLAISE",12,5,"BONDY 3 NOUE CAILL","1964"
"583","5RUEGERMAINE TILLION",11,5,"RUE GERMAINE TILLION","2013"
"584","5RUELUCIE AUBRAC",10,4,"","1955"
"585","5RUERABELAIS",6,2,"BONDY 3 NOUE CAILL","1964"
"586","5RUESIMONE DE BEAUVOIR",12,4,"RESIDENCES RUE BLANQUI","1950"
"587","5VILLADES CERISES",1,0,"1039","1985"
"588","60 AVE DE LATTRE DE TAS.BAT.G",2,1,"DE LATTRE DE TASSIGNY","1957"
"589","60RUEJULES GUESDE",12,3,"BONDY CENTRE VILLE","1963"
"590","60RUEJULES GUESDE",12,3,"BONDY CENTRE VILLE","1980"
"591","61 Rue Jules Guesde",35,5,"Rés. LE POLISSARD","1931"
"592","62 AVE DE LATTRE DE TAS.BAT.G",2,1,"DE LATTRE DE TASSIGNY","1957"
"593","63RUEDE VERSAILLES",6,3,"RUE DE VERSAILLES","1994"
"594","64 AVE DE LATTRE DE TAS.BAT.G1",2,1,"DE LATTRE DE TASSIGNY","1957"
"595","64RUEJULES GUESDE",13,5,"BONDY J. GUESDE","1980"
"596","65RUEDE VERSAILLES",6,3,"RUE DE VERSAILLES","1994"
"597","66 AVE DE LATTRE DE TAS.BAT.G1",2,1,"DE LATTRE DE TASSIGNY","1957"
"598","67 Rue Jules Guesde",36,6,"Rés. LE POLISSARD","1931"
"599","67RUEDE VERSAILLES",6,3,"RUE DE VERSAILLES","1994"
"600","68 AVE DE LATTRE DE TAS.BAT.G1",2,1,"DE LATTRE DE TASSIGNY","1957"
"601","69RUEDE VERSAILLES",7,3,"RUE DE VERSAILLES","1994"
"602","6ALLCHARLES MAGNE",1,0,"","1994"
"603","6ALLDE FURCI",8,3,"RESIDENCES RUE BLANQUI","1950"
"604","6ALLDES ANEMONES",10,4,"CITE DU STADE","1955"
"605","6ALLDES LILAS",10,4,"CITE DU STADE","1955"
"606","6ALLDES PENSEES",10,4,"CITE DU STADE","1955"
"607","6ALLDES PRIMEVERES",10,4,"CITE DU STADE","1955"
"608","6ALLDES RENONCULES",10,4,"CITE DU STADE","1955"
"609","6AlleeALLEE GOYA",1,0,"BONDY Le Hameau de la Forge","1982"
"610","6AlleeALLEE MIGNARD",1,0,"BONDY Le Hameau de la Forge","1982"
"611","6AlleeALLEE WATTEAU",1,0,"BONDY Le Hameau de la Forge","1982"
"612","6ALLEEPAUL LAFARGUE",9,2,"BONDY - TERRAIN RFF","2011"
"613","6ALLJOACHIM DU BELLAY",1,0,"","1994"
"614","6AVDE LATTRE DE TASSIGNY",10,4,"DE LATTRE DE TASSIGNY","1957"
"615","6AVENUELEON JOUHAUX",17,5,"BONDY Terre St Blaise Lot B","2014"
"616","6AVJEAN LEBAS",10,5,"QUARTIER NOUE CAILLET","1961"
"617","6AVJEAN MOULIN",10,4,"","1955"
"618","6AVLEON BLUM",11,5,"","2018"
"619","6AVS. BUISSON",10,5,"QUARTIER NOUE CAILLET","1961"
"620","6PLA. THOMAS",16,5,"RESIDENCE ALBERT THOMAS","1933"
"621","6PLG. LYSSANDRE",10,4,"RES. HENRI BARBUSSE","1954"
"622","6RUEDES FRANCS AUBIERS",24,2,"BONDY 3 NOUE CAILL","1964"
"623","6RUEDU POTAGER",19,9,"RESIDENCE LE POTAGER","1971"
"624","6RUEFRANCOIS VILLON",10,4,"BONDY 14 JUILLET 1","1961"
"625","6RUEGASTON DEFFERRE",10,4,"BONDY CUB av. Gaston Deferre","1974"
"626","6RUEGUILLAUME APOLLINAIRE",21,10,"RESIDENCES RUE BLANQUI","1950"
"627","6RUEHENRI DUNANT",10,4,"RESIDENCES RUE BLANQUI","1950"
"628","6RUEHENRI ROL-TANGUY",10,4,"","1955"
"629","6RUELUCIE AUBRAC",9,4,"","1955"
"630","6RUEMARTIN LUTHER KING",42,10,"RESIDENCES RUE BLANQUI","1950"
"631","6RUEPAUL ELUARD",21,10,"RESIDENCES RUE BLANQUI","1950"
"632","6RUESIMONE DE BEAUVOIR",10,4,"RESIDENCES RUE BLANQUI","1950"
"633","6VILLADES CERISES",1,0,"1039","1985"
"634","70 AVE DE LATTRE DE TAS.BAT.G1",2,1,"DE LATTRE DE TASSIGNY","1957"
"635","70AVDE LATTRE DE TASSIGNY",14,4,"place du 11 novembre","2012"
"636","71 Rue Jules Guesde",34,6,"Rés. LE POLISSARD","1931"
"637","71RUEDE VERSAILLES",8,3,"RUE DE VERSAILLES","1994"
"638","71RUEL.A. BLANQUI",12,4,"RESIDENCES RUE BLANQUI","1950"
"639","72AVDE LATTRE DE TASSIGNY",19,5,"place du 11 novembre","2012"
"640","73RUEL.A. BLANQUI",12,4,"RESIDENCES RUE BLANQUI","1950"
"641","78RueRUE EDOUARD VAILLANT",1,0,"BONDY Le Hameau de la Forge","1982"
"642","7ALLDE FURCI",8,3,"RESIDENCES RUE BLANQUI","1950"
"643","7ALLDES ORCHIDEES",10,4,"CITE DU STADE","1955"
"644","7ALLDES PAQUERETTES",10,4,"CITE DU STADE","1955"
"645","7ALLDES PRIMEVERES",10,4,"CITE DU STADE","1955"
"646","7AlleeALLEE MANET",1,0,"BONDY Le Hameau de la Forge","1982"
"647","7ALLEEPAUL LAFARGUE",1,0,"BONDY - TERRAIN RFF","2011"
"648","7AVENUELEON JOUHAUX",17,5,"BONDY 3 NOUE CAILL","1964"
"649","7AVJEAN LEBAS",54,12,"QUARTIER NOUE CAILLET","1961"
"650","7AVJEAN MOULIN",17,8,"","1955"
"651","7AVLEON BLUM",56,12,"QUARTIER NOUE CAILLET","1961"
"652","7AVS. BUISSON",12,5,"QUARTIER NOUE CAILLET","1961"
"653","7PLA. THOMAS",12,5,"RESIDENCE ALBERT THOMAS","1933"
"654","7PLN. NEUBURGER",8,4,"RES. HENRI BARBUSSE","1954"
"655","7RUEDE LA TERRE ST BLAISE",12,5,"BONDY 3 NOUE CAILL","1964"
"656","7RUEDES ESCHOLIERS",11,3,"BONDY Terre St Blaise Lot B","2014"
"657","7RUEGERMAINE TILLION",19,5,"RUE GERMAINE TILLION","2013"
"658","7RUELUCIE AUBRAC",9,4,"","1955"
"659","7RUERABELAIS",6,2,"BONDY 3 NOUE CAILL","1964"
"660","7RUESIMONE DE BEAUVOIR",23,3,"RESIDENCE BEAUVOIR","2010"
"661","7VILLADES CERISES",1,0,"1039","1985"
"662","80AVGALLIENI LAMARTINE",27,6,"RESIDENCE LAMARTINE","2002"
"663","80RueRUE EDOUARD VAILLANT",1,0,"BONDY Le Hameau de la Forge","1982"
"664","82RueRUE EDOUARD VAILLANT",1,0,"BONDY Le Hameau de la Forge","1982"
"665","84AVCARNOT",1,0,"PAVILLON CARNOT","1913"
"666","84RueRUE EDOUARD VAILLANT",1,0,"BONDY Le Hameau de la Forge","1982"
"667","86RueRUE EDOUARD VAILLANT",1,0,"BONDY Le Hameau de la Forge","1982"
"668","88 AVENUE CARNOT",23,5,"BONDY - CARNOT","2019"
"669","8ALLDE FURCI",8,3,"RESIDENCES RUE BLANQUI","1950"
"670","8ALLDES ANEMONES",10,4,"CITE DU STADE","1955"
"671","8ALLDES PRIMEVERES",10,4,"CITE DU STADE","1955"
"672","8ALLDES RENONCULES",10,4,"CITE DU STADE","1955"
"673","8AlleeALLEE DELACROIX",1,0,"BONDY Le Hameau de la Forge","1982"
"674","8ALLEEPAUL LAFARGUE",5,2,"BONDY - TERRAIN RFF","2011"
"675","8AVDE LATTRE DE TASSIGNY",10,4,"DE LATTRE DE TASSIGNY","1957"
"676","8AVJEAN LEBAS",10,5,"QUARTIER NOUE CAILLET","1961"
"677","8AVJEAN MOULIN",10,4,"","1955"
"678","8AVLEON BLUM",11,5,"","2018"
"679","8AVS. BUISSON",10,5,"QUARTIER NOUE CAILLET","1961"
"680","8PLA. THOMAS",12,5,"RESIDENCE ALBERT THOMAS","1933"
"681","8PLG. LYSSANDRE",10,4,"RES. HENRI BARBUSSE","1954"
"682","8RUEDES FRANCS AUBIERS",22,5,"BONDY 3 NOUE CAILL","1964"
"683","8RUEDU POTAGER",19,9,"RESIDENCE LE POTAGER","1971"
"684","8RUEFRANCOIS VILLON",5,2,"BONDY 14 Juillet ANRU","2012"
"685","8RUEGASTON DEFFERRE",10,4,"BONDY CUB av. Gaston Deferre","1974"
"686","8RUEGUILLAUME APOLLINAIRE",21,10,"RESIDENCES RUE BLANQUI","1950"
"687","8RUEHENRI DUNANT",10,4,"RESIDENCES RUE BLANQUI","1950"
"688","8RUEHENRI ROL-TANGUY",9,4,"","1955"
"689","8RUELUCIE AUBRAC",10,4,"","1955"
"690","8RUEMARTIN LUTHER KING",42,10,"RESIDENCES RUE BLANQUI","1950"
"691","8RUEPAUL ELUARD",21,10,"RESIDENCES RUE BLANQUI","1950"
"692","8RUESIMONE DE BEAUVOIR",10,4,"RESIDENCES RUE BLANQUI","1950"
"693","8VILLADES CERISES",1,0,"1039","1985"
"694","93RUEJULES GUESDE",8,4,"place du 11 novembre","2012"
"695","9ALLDES ORCHIDEES",10,4,"CITE DU STADE","1955"
"696","9ALLDES PRIMEVERES",10,4,"CITE DU STADE","1955"
"697","9AlleeALLEE MANET",1,0,"BONDY Le Hameau de la Forge","1982"
"698","9ALLEEPAUL LAFARGUE",1,0,"BONDY - TERRAIN RFF","2011"
"699","9AVENUELEON JOUHAUX",17,5,"BONDY 3 NOUE CAILL","1964"
"700","9AVJEAN LEBAS",54,12,"QUARTIER NOUE CAILLET","1961"
"701","9AVJEAN MOULIN",18,8,"","1955"
"702","9AVLEON BLUM",55,12,"QUARTIER NOUE CAILLET","1961"
"703","9AVS. BUISSON",12,5,"QUARTIER NOUE CAILLET","1961"
"704","9PLA. THOMAS",17,5,"RESIDENCE ALBERT THOMAS","1933"
"705","9PLN. NEUBURGER",8,4,"RES. HENRI BARBUSSE","1954"
"706","9RUEDE LA LIBERTE",38,4,"","2017"
"707","9RUEDES ESCHOLIERS",7,3,"BONDY Terre St Blaise Lot B","2014"
"708","9RUELUCIE AUBRAC",9,4,"","1955"
"709","9RUERABELAIS",22,5,"BONDY 3 NOUE CAILL","1964"
"710","9VILLADES CERISES",1,0,"1039","1985"
"711","AVDE LATTRE DE TASSIGNY",10,3,"DE LATTRE DE TASSIGNY","1957"
"712","PLA. THOMAS",1,0,"RESIDENCE ALBERT THOMAS","1933"
"713","RUERENÉ DUMONT",91,0,"BONDY - JORELLE","2007"
"714","SENTE BLERIOT",1,0,"RESIDENCES RUE BLANQUI","1950"
