"","cle","appartement","etage","Nom.du.Programme","Année.de.construction"
"299","21RUEJULES GUESDE",20,10,"RESIDENCE JULES GUESDE","1975"
"300","21VILLADES CERISES",1,0,"1039","1985"
"301","22 Rue Roger Salengro",22,3,"Rés. ROGER SALENGRO","1931"
"302","22AVDE LATTRE DE TASSIGNY",12,4,"DE LATTRE DE TASSIGNY","1957"
"303","22AVS. BUISSON",4,2,"QUARTIER NOUE CAILLET","1961"
"304","22PLG. LYSSANDRE",20,4,"RES. HENRI BARBUSSE","1954"
"305","22RUEDES FRANCS AUBIERS",12,5,"BONDY 3 NOUE CAILL","1964"
"306","22RUEDU POTAGER",19,9,"RESIDENCE LE POTAGER","1971"
"307","22RUELUCIE AUBRAC",10,4,"","1955"
"308","22VILLADES CERISES",1,0,"1039","1985"
"309","23ALLEEPAUL LAFARGUE",1,0,"BONDY - TERRAIN RFF","2011"
"310","23AVDE LATTRE DE TASSIGNY",10,4,"CITE DU STADE","1955"
"311","23AVJEAN MOULIN",16,8,"","1955"
"312","23AVLEON BLUM",10,5,"QUARTIER NOUE CAILLET","1961"
"313","23AVS. BUISSON",12,5,"QUARTIER NOUE CAILLET","1961"
"314","23PLN. NEUBURGER",10,4,"RES. HENRI BARBUSSE","1954"
"315","23RUEA. POLISSARD",14,4,"RESIDENCE POLLISSARD","1989"
"316","23RUEDU SGT BOBILLOT",10,4,"RUE DU SERGENT BOBILLOT","1960"
"317","23RUEJULES GUESDE",20,10,"RESIDENCE JULES GUESDE","1975"
"318","23VILLADES CERISES",1,0,"1039","1985"
"319","24 - 28 Rue Polissard",34,5,"rue Polissard","1999"
"320","24 -28 Rue Polissard",27,7,"rue Polissard","1999"
"321","24ALLPIERRE CORNEILLE",1,0,"","1994"
"322","24AVDE LATTRE DE TASSIGNY",12,4,"DE LATTRE DE TASSIGNY","1957"
"323","24AVENUELEON BLUM",17,3,"BONDY Lot A Terre St Blaise","2015"
"324","24AVS. BUISSON",4,2,"QUARTIER NOUE CAILLET","1961"
"325","24PLG. LYSSANDRE",10,4,"RES. HENRI BARBUSSE","1954"
"326","24RUEDES FRANCS AUBIERS",11,5,"BONDY 3 NOUE CAILL","1964"
"327","24RUELEON BLUM",1,2,"BONDY Lot A Terre St Blaise","2015"
"328","24RUELUCIE AUBRAC",9,4,"","1955"
"329","25 RUE FONTAINE",13,2,"BONDY-25 RUE FONTAINE","1997"
"330","25 RUE FONTAINE",13,2,"BONDY-25 RUE FONTAINE","1941"
"331","25ALLEEPAUL LAFARGUE",1,0,"BONDY - TERRAIN RFF","2011"
"332","25AVDE LATTRE DE TASSIGNY",10,4,"CITE DU STADE","1955"
"333","25AVJEAN MOULIN",16,8,"","1955"
"334","25AVLEON BLUM",10,5,"QUARTIER NOUE CAILLET","1961"
"335","25AVS. BUISSON",12,5,"QUARTIER NOUE CAILLET","1961"
"336","25PLN. NEUBURGER",10,4,"RES. HENRI BARBUSSE","1954"
"337","25RUEA. POLISSARD",19,5,"RESIDENCE POLLISSARD","1989"
"338","25RUEDU SGT BOBILLOT",10,4,"RUE DU SERGENT BOBILLOT","1960"
"339","26 AVE DE LATTRE DE TAS.BAT.E2",12,4,"DE LATTRE DE TASSIGNY","1957"
"340","26AVS. BUISSON",4,2,"QUARTIER NOUE CAILLET","1961"
"341","26PLG. LYSSANDRE",10,4,"RES. HENRI BARBUSSE","1954"
"342","26RUELUCIE AUBRAC",9,4,"","1955"
"343","27ALLEEPAUL LAFARGUE",1,0,"BONDY - TERRAIN RFF","2011"
"344","27AVDE LATTRE DE TASSIGNY",10,4,"CITE DU STADE","1955"
"345","27AVJEAN MOULIN",16,8,"","1955"
"346","27AVLEON BLUM",10,5,"QUARTIER NOUE CAILLET","1961"
"347","27AVS. BUISSON",12,5,"QUARTIER NOUE CAILLET","1961"
"348","27PLN. NEUBURGER",11,4,"RES. HENRI BARBUSSE","1954"
"349","27RUEA. POLISSARD",20,5,"RESIDENCE POLLISSARD","1989"
"350","27RUEDU SGT BOBILLOT",10,4,"RUE DU SERGENT BOBILLOT","1960"
"351","28 AVE DE LATTRE DE TAS.BAT.E2",12,4,"DE LATTRE DE TASSIGNY","1957"
"352","28 RUE GEORGES ELIE",8,2,"28 RUE GEORGES ELIE","1900"
"353","28AVDE LATTRE DE TASSIGNY",19,4,"FRERE DARTY I - I'","2017"
"354","28AVJEAN MOULIN",10,5,"QUARTIER NOUE CAILLET","1961"
"355","28PLG. LYSSANDRE",20,4,"RES. HENRI BARBUSSE","1954"
"356","28RUELUCIE AUBRAC",9,4,"","1955"
"357","29ALLDE LA PAIX",9,2,"RESID ALLEE DE LA PAIX","2010"
"358","29AVJEAN MOULIN",15,5,"","2012"
"359","29AVLEON BLUM",10,5,"QUARTIER NOUE CAILLET","1961"
"360","29PLN. NEUBURGER",11,4,"RES. HENRI BARBUSSE","1954"
"361","29RUEA. POLISSARD",12,5,"Pollissard / F Darty","2012"
"362","29RUEDU SGT BOBILLOT",9,4,"RUE DU SERGENT BOBILLOT","1960"
"363","2ALLDE FURCI",8,3,"RESIDENCES RUE BLANQUI","1950"
"364","2ALLDES ANEMONES",8,2,"CITE DU STADE","1955"
"365","2ALLDES IRIS",6,2,"CITE DU STADE","1955"
"366","2ALLDES LILAS",10,4,"CITE DU STADE","1955"
"367","2ALLDES PENSEES",10,4,"CITE DU STADE","1955"
"368","2ALLDES PRIMEVERES",10,4,"CITE DU STADE","1955"
"369","2ALLDES RENONCULES",10,4,"CITE DU STADE","1955"
"370","2AlleeALLEE INGRES",1,0,"BONDY Le Hameau de la Forge","1982"
"371","2AlleeALLEE MILLET",1,0,"BONDY Le Hameau de la Forge","1982"
"372","2AlleeALLEE WATTEAUX",1,0,"BONDY Le Hameau de la Forge","1982"
"373","2ALLEEGEORGES SAND",20,4,"FRERE DARTY I - I'","2017"
"374","2ALLEEPAUL LAFARGUE",10,2,"BONDY - TERRAIN RFF","2011"
"375","2AVDE LATTRE DE TASSIGNY",22,4,"DE LATTRE DE TASSIGNY","1957"
"376","2AVDE LATTRE DE TASSIGNY",22,4,"DE LATTRE DE TASSIGNY","2011"
"377","2AVJEAN LEBAS",10,5,"QUARTIER NOUE CAILLET","1961"
"378","2AVLEON BLUM",21,5,"","2012"
"379","2AVS. BUISSON",10,5,"QUARTIER NOUE CAILLET","1961"
"380","2PLA. THOMAS",15,5,"RESIDENCE ALBERT THOMAS","1933"
"381","2PLACEEUDEMON",21,5,"BONDY - TERRE ST BLAISE","2014"
"382","2PlacePLACE GAUGUIN",1,0,"BONDY Le Hameau de la Forge","1982"
"383","2RUEAUGUSTE POLISSARD LAMART",35,6,"RESIDENCE LAMARTINE","2002"
"384","2RUEDES FRANCS AUBIERS",40,5,"BONDY 3 NOUE CAILL","1964"
"385","2RUEDES FRERES DARTY",11,4,"place du 11 novembre","2012"
"386","2RUEDU MOLERET",4,1,"RESIDENCE DU MOLERET","1954"
"387","2RUEDU POTAGER",19,9,"RESIDENCE LE POTAGER","1971"
"388","2RUEETIENNE DOLET",1,0,"PAVILLON DOLET","1930"
"389","2RUEGARGANTUA",8,1,"BONDY - TERRE ST BLAISE","2014"
"390","2RUEGASTON DEFERRE",92,15,"BONDY CUB av. Gaston Deferre","1974"
"391","2RUEGASTON DEFFERRE",23,3,"BONDY Gaston Deferre Constr.","2015"
"392","2RUEGUILLAUME APOLLINAIRE",21,10,"RESIDENCES RUE BLANQUI","1950"
"393","2RUEHENRI DUNANT",10,4,"RESIDENCES RUE BLANQUI","1950"
"394","2RUEHENRI ROL-TANGUY",10,4,"","1955"
"395","2RUELUCIE AUBRAC",10,4,"","1955"
"396","2RUEMARTIN LUTHER KING",43,10,"RESIDENCES RUE BLANQUI","1950"
"397","2RUENADIA MURAD",40,6,"BONDY ROUTE D'AULNAY VEFA","2021"
"398","2RUEPAUL ELUARD",20,10,"RESIDENCES RUE BLANQUI","1950"
"399","2RUERUE ARTHUR RIMBAUD",15,6,"BONDY - A. RIMBAUD - COPRO","1995"
"400","2RueRUE RAPHAEL",1,0,"BONDY Le Hameau de la Forge","1982"
"401","2RUESIMONE DE BEAUVOIR",9,4,"RESIDENCES RUE BLANQUI","1950"
"402","30 AVE DE LATTRE DE TAS.BAT.E2",12,4,"DE LATTRE DE TASSIGNY","1957"
"403","30AVENUELEON BLUM",25,5,"BONDY Lot A Terre St Blaise","2015"
"404","30AVJEAN MOULIN",10,5,"QUARTIER NOUE CAILLET","1961"
"405","30AVVARAGNAT",38,5,"VARAGNAT","2015"
"406","31ALLDE LA PAIX",12,2,"RESID ALLEE DE LA PAIX","2010"
"407","31AVLEON BLUM",11,5,"QUARTIER NOUE CAILLET","1961"
"408","31PLN. NEUBURGER",10,4,"RES. HENRI BARBUSSE","1954"
"409","31RUEDU SGT BOBILLOT",10,4,"RUE DU SERGENT BOBILLOT","1960"
"410","32 AVE DE LATTRE DE TAS.BAT.E3",12,4,"DE LATTRE DE TASSIGNY","1957"
"411","32AVJEAN MOULIN",10,5,"QUARTIER NOUE CAILLET","1961"
