"FileModifyDate","SourceFile"
"2023:12:12 10:49:26+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120006.JPG"
"2023:12:12 10:51:22+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120007.JPG"
"2024:01:08 10:11:15+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120008.JPG"
"2023:12:12 10:55:06+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120009.JPG"
"2023:12:12 10:59:18+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120010.JPG"
"2023:12:12 10:59:40+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120011.JPG"
"2023:12:12 11:00:06+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120012.JPG"
"2024:02:13 08:36:58+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120013.JPG"
"2023:12:12 11:13:22+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120014.JPG"
"2023:12:12 11:14:32+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120015.JPG"
"2023:12:12 11:16:54+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120016.JPG"
"2023:12:12 11:17:24+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120017.JPG"
"2024:01:08 10:51:23+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120018.JPG"
"2023:12:12 11:19:50+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120019.JPG"
"2024:01:08 10:12:39+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120020.JPG"
"2023:12:12 11:28:52+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120021.JPG"
"2024:01:08 10:12:31+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120022.JPG"
"2023:12:12 11:31:56+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120023.JPG"
"2023:12:12 11:32:02+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120024.JPG"
"2023:12:12 11:33:30+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120025.JPG"
"2023:12:12 11:33:38+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120026.JPG"
"2023:12:12 11:34:34+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120027.JPG"
"2023:12:12 11:35:10+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120028.JPG"
"2024:01:08 10:11:43+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120029.JPG"
"2024:01:08 10:11:38+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120030.JPG"
"2023:12:12 11:37:36+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120031.JPG"
"2023:12:12 11:43:48+01:00","C:/Users/bmaranget/Documents/03_SIG/03_03_Data/05_PHOTOS/parc/PC120032.JPG"
