IRIS;LIBIRIS;COM;LIBCOM;DISP_MED19
930100101;La Flamiche;93010;Bondy;15260
930100102;La Terre Saint-Blaise;93010;Bondy;14580
930100103;Les Confins d'Aulnay;93010;Bondy;13040
930100104;Suzanne Buisson;93010;Bondy;13900
930100105;Le Château Gobillon;93010;Bondy;16180
930100106;Les Merisiers;93010;Bondy;13680
930100107;La Noue Caillet;93010;Bondy;15870
930100201;Le Mainguy;93010;Bondy;15930
930100202;Le Centre Ville;93010;Bondy;17880
930100203;Le Champart;93010;Bondy;18590
930100204;Le Moulin à Vent;93010;Bondy;17350
930100301;La Mare à la Veuve;93010;Bondy;22670
930100302;La Remise à Jorelle;93010;Bondy;18890
930100303;Le Vieux Château;93010;Bondy;19840
930100304;Le Saule Blanc;93010;Bondy;15170
930100305;Les Courts Sillons;93010;Bondy;20620
930100401;Les Friches;93010;Bondy;17320
930100402;La Martraye;93010;Bondy;15500
930100403;Les Flèches;93010;Bondy;14720
930100404;La Ferme;93010;Bondy;17020
930100405;Fosse de la Régale;93010;Bondy;19580
