"","categ","commune","numINSEE","lat","long","nb","an","categ1"
"85","pct2020","MORSAINS",51386,"48.80126359","3.548292859","4%","2020","pct"
"86","pct2020","RETHEL",8362,"49.53173632","4.376618841","4%","2020","pct"
"87","pct2020","CHAOURSE",2160,"49.7008498","3.985912559","6%","2020","pct"
"88","pct2020","BOUE",2103,"50.01161845","3.714379438","6%","2020","pct"
"89","pct2020","BOUY",51078,"49.08710987","4.363514878","6%","2020","pct"
"90","pct2020","VIENNE LE CH¬TEAU",51621,"49.19647165","4.925109103","6%","2020","pct"
"91","pct2020","VILLENEUVE SAINT VISTRE",51628,"48.63748539","3.761359944","6%","2020","pct"
"92","pct2020","VAL DE VIERES",51218,"48.81956957","4.745493599","7%","2020","pct"
"93","pct2020","BESME",2078,"49.53422068","3.164022638","8%","2020","pct"
"94","pct2020","VAL DE MEUSE",52332,"47.95276029","5.579821978","8%","2020","pct"
"95","pct2020","BOURGUIGNON SOUS COUCY",2107,"49.54293111","3.154495675","10%","2020","pct"
"96","pct2020","LAPPION",2409,"49.58979723","3.964582161","10%","2020","pct"
"97","pct2020","CHAMPIGNY SUR AUBE",10077,"†48.5572815057603","4.056998917","12%","2020","pct"
"98","pct2020","CHALINDREY",52093,"47.816532","5.423328","12%","2020","pct"
"99","pct2020","ANTE",51537,"49.00132103","4.893365205","12%","2020","pct"
"100","pct2020","VILLERS",51637,"49.1667","4.0167","12%","2020","pct"
"101","pct2020","BARBY",8048,"49.52406118","4.287855334","12%","2020","pct"
"102","pct2020","SAINT MARD SUR LE MONT",51500,"48.92335722","4.852336315","14%","2020","pct"
"103","pct2020","PIERREMANDE",2599,"49.56649134","3.258494958","15%","2020","pct"
"104","pct2020","Voulpaix",2826,"49.83848086","3.832826358","17%","2020","pct"
"105","pct2020","LEUDON EN BRIE",77250,"48.73020316","3.268640582","18%","2020","pct"
"106","pct2020","ROMIGNY",51466,"49.17324233","3.76861197","18%","2020","pct"
"107","pct2020","MONANPTEUIL",2490,"49.483333","3.566667","20%","2020","pct"
"108","pct2020","ANIZY LE CH¬TEAU",2018,"49.5045247","3.43226792","20%","2020","pct"
"109","pct2020","PIERREMANDE",2599,"49.56649134","3.258494958","20%","2020","pct"
"110","pct2020","JONCREUIL",10180,"48.5270754","4.624057261","20%","2020","pct"
"111","pct2020","Vervins",2789,"49.8351195","3.925309119","23%","2020","pct"
"112","pct2020","THILLOIS",51569,"49.25845789","3.94508474","25%","2020","pct"
"113","pct2020","nampcelle la cour",2535,"49.77663946","4.001970809","27%","2020","pct"
"114","pct2020","MAIZIERES",52302,"48.49240823","5.066450457","28%","2020","pct"
"115","pct2020","TRUCY",2751,"49.47205079","3.61083509","30%","2020","pct"
"116","pct2020","BASSEVELLE",77024,"48.92278841","3.281879279","30%","2020","pct"
"117","pct2020","HERMONVILLE",51291,"49.33201092","3.914400565","30%","2020","pct"
"118","pct2020","COUVRON AUMENENCOURT",2231,"49.64585537","3.523996298","32%","2020","pct"
"119","pct2020","MORTIERS",2529,"49.683333","3.66667","42%","2020","pct"
"120","pct2020","CRECY SUR SERRE",2237,"49.69861338","3.622614173","44%","2020","pct"
"121","pct2020","VIRGINY",51646,"49.16711652","4.758673279","55%","2020","pct"
"122","pop2019","MOURMELON",51389,NA,NA,"0.00","2019","pop"
"123","pop2019","BRUYERES S/ FERE",2127,NA,NA,"0.00","2019","pop"
"124","pop2019","St Thomas en Argonne",51519,NA,NA,"0.02","2019","pop"
"125","pop2019","LAON",2408,NA,NA,"0.02","2019","pop"
"126","pop2019","Ante",51537,NA,NA,"0.03","2019","pop"
"127","pop2019","ACY ROMANCE",8001,NA,NA,"0.04","2019","pop"
"128","pop2019","RETHEL",8362,NA,NA,"0.04","2019","pop"
"129","pop2019","Val de Vi√®re",51218,NA,NA,"0.04","2019","pop"
"130","pop2019","Vivaise",2821,NA,NA,"0.05","2019","pop"
"131","pop2019","WASSY",52550,NA,NA,"0.06","2019","pop"
"132","pop2019","La neuville au pont",51399,NA,NA,"0.06","2019","pop"
"133","pop2019","L'Echelle",8149,NA,NA,"0.06","2019","pop"
"134","pop2019","Vienne la ville",51620,NA,NA,"0.07","2019","pop"
"135","pop2019","VERSIGNY",2788,NA,NA,"0.07","2019","pop"
"136","pop2019","BARBY",8048,NA,NA,"0.08","2019","pop"
"137","pop2019","La villeneuve les charleville",51626,NA,NA,"0.08","2019","pop"
"138","pop2019","Villenauxe",77507,NA,NA,"0.08","2019","pop"
"139","pop2019","CUTS",60189,NA,NA,"0.08","2019","pop"
"140","pop2019","CHAMPS",2159,NA,NA,"0.08","2019","pop"
"141","pop2019","BISSEUIL",51064,NA,NA,"0.09","2019","pop"
"142","pop2019","Reuil",51457,NA,NA,"0.09","2019","pop"
"143","pop2019","VENTELAY",51604,NA,NA,"0.10","2019","pop"
"144","pop2019","Anguilcourt le sart",2017,NA,NA,"0.10","2019","pop"
"145","pop2019","Villeneuve sur bellot",77512,NA,NA,"0.10","2019","pop"
"146","pop2019","Verri√®res",51610,NA,NA,"0.12","2019","pop"
"147","pop2019","CUTS",60189,NA,NA,"0.12","2019","pop"
"148","pop2019","SERINGES ET NESLES",2713,NA,NA,"0.14","2019","pop"
"149","pop2019","PARFONDEVAL",2586,NA,NA,"0.40","2019","pop"
"150","pop2019","Guivry",2362,NA,NA,"0.15","2019","pop"
"151","pop2019","Villeneuve sur bellot",77512,NA,NA,"0.15","2019","pop"
"152","pop2019","PINEY",10287,NA,NA,"0.18","2019","pop"
"153","pop2019","vervins",2789,NA,NA,"0.18","2019","pop"
"154","pop2019","Reuil",51457,NA,NA,"0.19","2019","pop"
"155","pop2019","CONGY",51163,NA,NA,"0.20","2019","pop"
"156","pop2019","VERRIERES",51610,NA,NA,"0.08","2019","pop"
"157","pop2019","BESME",2078,NA,NA,"0.20","2019","pop"
"158","pop2019","Flavy le martel",2315,NA,NA,"0.20","2019","pop"
"159","pop2019","Montigny en Cambr√©sis",59413,NA,NA,"0.22","2019","pop"
"160","pop2019","St Mard sur le mont",51500,NA,NA,"0.23","2019","pop"
"161","pop2019","Les Essarts Le V",51236,NA,NA,"0.24","2019","pop"
"162","pop2019","Ribecourt",59500,NA,NA,"0.25","2019","pop"
"163","pop2019","OSLY-COURTIL",2576,NA,NA,"0.25","2019","pop"
"164","pop2019","Virginy",51646,NA,NA,"0.26","2019","pop"
"165","pop2019","Clary",59149,NA,NA,"0.27","2019","pop"
"166","pop2019","Baye",51042,NA,NA,"0.28","2019","pop"
"167","pop2019","Broyes",51092,NA,NA,"0.28","2019","pop"
"168","pop2019","BUSSIERES",77057,NA,NA,"0.28","2019","pop"
"169","pop2019","Inchy Beaumont",59321,NA,NA,"0.28","2019","pop"
"170","pop2019","CLASTRES",2199,NA,NA,"0.30","2019","pop"
"171","pop2019","Bertry",59074,NA,NA,"0.32","2019","pop"
"172","pop2019","Vauchamps",51596,NA,NA,"0.38","2019","pop"
"173","pop2019","LEUDON",77250,NA,NA,"0.38","2019","pop"
"174","pop2019","fontaine les vervins",2321,NA,NA,"0.38","2019","pop"
"175","pop2019","Tramery",51577,NA,NA,"0.43","2019","pop"
"176","pop2019","SAINT AUBIN",10334,NA,NA,"0.44","2019","pop"
"177","pop2019","Tramery",51577,NA,NA,"0.49","2019","pop"
"178","pop2019","Savigny",51527,NA,NA,"0.55","2019","pop"
"179","pop2019","Villeneuve St Vistre",51628,NA,NA,"0.55","2019","pop"
"180","pop2019","vervins",2789,NA,NA,"0.58","2019","pop"
"181","pop2019","HANNAPES",2366,NA,NA,"0.66","2019","pop"
"182","pop2019","ATHIES /S LAON",2028,NA,NA,"0.66","2019","pop"
"183","pop2019","Morsains",51386,NA,NA,"0.74","2019","pop"
"184","pop2019","Bagneux",51032,NA,NA,"0.84","2019","pop"
"185","pop2019","Courville",51194,NA,NA,"0.02","2019","pop"
"186","pop2019","Le Recoude",51233,NA,NA,"0.24","2019","pop"
"187","pop2019","Mont/courville",51377,NA,NA,"0.00","2019","pop"
"188","pop2019","Serzy",51534,NA,NA,"0.02","2019","pop"
"189","pop2019","St Mard sur le mont",51500,NA,NA,"0.09","2019","pop"
"190","pop2019","CHEZY SUR MARNE ",2186,NA,NA,"0.74","2019","pop"
"191","pop2019","CHOISY EN BRIE",77116,NA,NA,"0.04","2019","pop"
"192","pop2019","ETREILLERS",2296,NA,NA,"0.02","2019","pop"
"193","pop2019","CLASTRES",2199,NA,NA,"0.02","2019","pop"
"194","pop2019","Montigny en Cambr√©sis",59413,NA,NA,"0.15","2019","pop"
"195","pop2019","VILLERS SUR FERE",2816,NA,NA,"0.05","2019","pop"
"196","pop2019","ST CHRISTOPHE A BERRY",2673,NA,NA,"0.05","2019","pop"
"197","pop2019","VENTELAY",51604,NA,NA,"0.00","2019","pop"
"198","pop2019","SAINT SIMON",2694,NA,NA,"0.14","2019","pop"
"199","pop2019","VERNEUIL S/ SERRE",2787,NA,NA,"0.00","2019","pop"
"200","pop2019","Cr√©cy sur serre",2237,NA,NA,"0.10","2019","pop"
"201","pop2019","Cr√©cy sur serre",2237,NA,NA,"0.05","2019","pop"
"202","pop2020","ACY ROMANCE",8001,"49.47596201","4.318240075","0","2020","pop"
"203","pop2020","LACHY",51313,"48.76928054","3.700755071","0","2020","pop"
"204","pop2020","MAREUIL SUR AY",51347,"49.04500671","4.041233302","0","2020","pop"
"205","pop2020","PLEURS",51432,"48.69712449","3.87080882","0","2020","pop"
"206","pop2020","MOURMELON LE GRAND",51389,"49.11900457","4.307131607","0","2020","pop"
"207","pop2020","MOURMELON LE GRAND",51389,"49.13240385","4.386816739","0","2020","pop"
"208","pop2020","BISSEUIL",51064,"49.04691766","4.086270427","0.01","2020","pop"
"209","pop2020","BISSEUIL",51064,"49.04691766","4.086270427","0.01","2020","pop"
"210","pop2020","DORENGT",2229,"49.965103","3.703459205","0.04","2020","pop"
"211","pop2020","CHAOURSE",2160,"49.7008498","3.985912559","0.06","2020","pop"
"212","pop2020","BOUE",2103,"50.01161845","3.714379438","0.06","2020","pop"
"213","pop2020","BESME",2078,"49.53422068","3.164022638","0.08","2020","pop"
"214","pop2020","BOURGUIGNON SOUS COUCY",2107,"49.54293111","3.154495675","0.1","2020","pop"
"215","pop2020","LAPPION",2409,"49.58979723","3.964582161","0.1","2020","pop"
"216","pop2020","PIERREMANDE",2599,"49.56649134","3.258494958","0.15","2020","pop"
"217","pop2020","Voulpaix",2826,"49.83848086","3.832826358","0.17","2020","pop"
"218","pop2020","LEUDON EN BRIE",77250,"48.73020316","3.268640582","0.18","2020","pop"
"219","pop2020","MONANPTEUIL",2490,"49.483333","3.566667","0.2","2020","pop"
"220","pop2020","ANIZY LE CH¬TEAU",2018,"49.5045247","3.43226792","0.2","2020","pop"
"221","pop2020","PIERREMANDE",2599,"49.56649134","3.258494958","0.2","2020","pop"
"222","pop2020","Vervins",2789,"49.8351195","3.925309119","0.23","2020","pop"
"223","pop2020","nampcelle la cour",2535,"49.77663946","4.001970809","0.27","2020","pop"
"224","pop2020","TRUCY",2751,"49.47205079","3.61083509","0.3","2020","pop"
"225","pop2020","BASSEVELLE",77024,"48.92278841","3.281879279","0.3","2020","pop"
"226","pop2020","COUVRON AUMENENCOURT",2231,"49.64585537","3.523996298","0.32","2020","pop"
"227","pop2020","MORTIERS",2529,"49.683333","3.66667","0.44","2020","pop"
"228","pop2020","CRECY SUR SERRE",2237,"49.69861338","3.622614173","0.49","2020","pop"
"229","pop2020","VERRIERES",51610,"49.06127261","4.901012922","0.01","2020","pop"
