"id","hauteur","num","RUE"
1,12,79,"blanqui"
2,11,77,"edouard vaillant"
3,11,67,"edouard vaillant"
4,11.5,33,"david leder"
5,13,14,"david leder"
6,13,5,"david leder"
7,15,31,"varsovie"
8,13,35,"varsovie"
9,12,4,"Av Léon Jouhaux"
10,11.5,13,"alice"
11,11,6,"frère darty"
12,11.5,5,"frère darty"
13,13,3,"frère darty"
14,11,23,"alpy"
