"eclat","statut","rue","double"
75,"CONFORME","république","non"
88,"CONFORME","république","non"
112,"CONFORME","république","non"
36,"CONFORME","st louis prolongée","non"
25,"CONFORME","st louis prolongée","non"
26,"CONFORME","st louis prolongée","non"
90,"CONFORME","blanqui","non"
89,"CONFORME","blanqui","non"
114,"CONFORME","blanqui","non"
127,"CONFORME","edouard vaillant","non"
121,"CONFORME","edouard vaillant","non"
111,"CONFORME","edouard vaillant","non"
95,"CONFORME","edouard vaillant","non"
87,"CONFORME","edouard vaillant","non"
45,"CONFORME","metz","non"
51,"CONFORME","metz","non"
16,"CONFORME","corneille","non"
18,"CONFORME","espérance","non"
11,"CONFORME","progrès","non"
17,"CONFORME","solidarité","non"
44,"CONFORME","solidarité","non"
13,"CONFORME"," g graff","non"
5,"CONFORME"," g graff","non"
10,"CONFORME","nancy","non"
24,"CONFORME","nancy","non"
30,"CONFORME","l'est","non"
15,"CONFORME","belfort","non"
6,"CONFORME","belfort","non"
11,"CONFORME","marcel dassault","non"
41,"CONFORME","marcel dassault","non"
133,"CONFORME","baudin","non"
143,"CONFORME","baudin","non"
11,"CONFORME","fraternité","non"
1,"CONFORME","Terre Saint Blaise","non"
3,"CONFORME","Terre Saint Blaise","non"
3,"CONFORME","Av Léon Jouhaux","non"
8,"CONFORME","Av Léon Jouhaux","non"
19,"CONFORME","Av Léon Jouhaux","non"
1,"CONFORME","Maurice Benhamou","non"
38,"CONFORME","Av du 4 Septembre","non"
28,"CONFORME","Av du 4 Septembre","non"
13,"CONFORME","Allée de la Jardinière","non"
4,"CONFORME","Allée de la Jardinière","non"
3,"CONFORME","Av de la Villageoise","non"
24,"CONFORME","Av de la Villageoise","non"
22,"CONFORME","Rue Fontaine","non"
7,"CONFORME","Avenue Geugnon","non"
19,"CONFORME","Av Clara Grandet","non"
46,"CONFORME","Avenue Sakharov","non"
9,"CONFORME","Avenue Versailles ","non"
29,"CONFORME","Avenue Versailles ","non"
