"","cle","contenance","adresse"
"141","A212",5059,"57 AVHENRI VARAGNAT"
"144","A224",24010,"9 RUEDU VERGER"
"145","A225",796,"9 RUEDU VERGER"
"146","A226",262,"9 RUEDU VERGER"
"147","A227",493,"9 RUEDU VERGER"
"148","A229",3129,"9 RUEDU VERGER"
"149","A232",1753,"9 RUEDU VERGER"
"150","A234",2517,"9 RUEDU VERGER"
"176","A287",4356,"21 AVLEON JOUHAUX"
"318","B192",499,"AVSUZANNE BUISSON"
"398","B354",150,"AVSUZANNE BUISSON"
"422","B381",1135,"AVLEON BLUM"
"1131","H171",80,"73 RTED AULNAY"
"1136","H220",118,"47 RTED AULNAY"
"1142","H231",1618,"47 RTED AULNAY"
"1143","H234",50320,"47 RTED AULNAY"
"1235","H415",1031,"DERRIERE LE PARC"
"1240","H420",34,"11 CHELATERAL"
"1242","H422",135,"5 QUAIHUBERTINE AUCLERT"
"1244","H424",657,"5 QUAIHUBERTINE AUCLERT"
"1330","J236",3689,"90 AVGALLIENI"
"1338","J253",1946,"14 VLABELLEVUE"
"1343","J286",1015,"80 AVGALLIENI"
"1344","J295",9,"14 VLABELLEVUE"
"1356","J314",1487,"43 RUEJULES GUESDE"
"1468","L134",9259,"211 AVGALLIENI"
"1678","P155",1204,"41 RUEAUGUSTE POLISSARD"
"1682","P163",1231,"AVGALLIENI"
"2108","T131",459,"42 ALLTHERESE"
"2330","V18",367,"21 RUEDES CINQ ORMES"
"2331","V19",366,"19 RUEDES CINQ ORMES"
"2515","X103",337,"42 ALLALICE"
"2760","Y184",285,"23 RUEEUGENE MASSON"
"3015","AC52",2998,"57 RUELOUIS AUGUSTE BLANQUI"
"3041","AD62",1427,"44 AVCARNOT"
"3048","AD71",407,"53 CRSDE LA REPUBLIQUE"
"3084","AD145",1343,"9 RUEROGER SALENGRO"
"3100","AE16",674,"18 RUEJEAN JAURES"
"3190","AE193",55,"50 RUEJULES GUESDE"
"3239","AG61",267,"19 VLAGABRIEL SEAILLES"
"3252","AG74",202,"5 RUEPHILEAS COLLARDEAU"
"3267","AG93",308,"21 RUEPHILEAS COLLARDEAU"
"3330","AG172",375,"25 RUEPHILEAS COLLARDEAU"
"3531","AH152",224,"16 RUEYVONNE"
"3584","AH226",391,"RUEROGER SALENGRO"
"3585","AH227",348,"RUEROGER SALENGRO"
"3674","AI59",1276,"60 RUEMICHELET"
"3689","AI79",700,"139 RUEBAUDIN"
"3716","AI110",171,"94 RUEROGER SALENGRO"
"3734","AI136",625,"92 RUEROGER SALENGRO"
"3738","AI141",396,"88 RUEROGER SALENGRO"
"3828","AJ45",1943,"31 RUEROGER SALENGRO"
"3830","AJ47",575,"57 AVDE LA REPUBLIQUE"
"3843","AJ64",164,"68 AVCARNOT"
"3915","AJ144",311,"15 ALLJEAN COURTADE"
"3993","AK12",918,"107 AVCARNOT"
"3994","AK13",649,"105 AVCARNOT"
"4024","AK49",255,"19 VLACARNOT"
"4081","AK125",664,"103 AVCARNOT"
"4087","AK136",507,"111 AVCARNOT"
"4097","AK146",996,"95 AVCARNOT"
"4446","AN47",112,"8 RUEFRANCOIS COLLET"
"4524","AN132",14373,"42 ALLCHARLES MAGNE"
"4839","AO259",476,"22 AVDE L IDEAL"
"5003","AP196",136,"20 AVDE L ESPERANCE"
"5073","AQ66",296,"36 AVDES SCIENCES"
"5084","AQ79",166,"200 RUEEDOUARD VAILLANT"
"5237","AQ254",1262,"172 RUEEDOUARD VAILLANT"
"5238","AQ256",277,"9 AVGABRIELLE"
"5317","AR41",4055,"170 RUEEDOUARD VAILLANT"
"5426","AR167",2445,"108 RUEEDOUARD VAILLANT"
"5430","AR176",425,"102 RUEEDOUARD VAILLANT"
"5440","AR197",2466,"102 RUEEDOUARD VAILLANT"
"5518","AS37",484,"40 RUEEDOUARD VAILLANT"
"5588","AS120",417,"14 AVDENISE"
"5606","AS145",7500,"90 RUEEDOUARD VAILLANT"
"5646","AS197",845,"44 RUEEDOUARD VAILLANT"
"5666","AT17",201,"49 RUEDU VIEUX MOULIN"
"5681","AT39",233,"17 RUEJULES LELONG"
"5689","AT51",654,"4 RUEDU SERGENT BOBILLOT"
"5690","AT52",317,"6 RUEDU SERGENT BOBILLOT"
"5720","AT96",296,"89 RUEROGER SALENGRO"
"5779","AT195",2306,"16 RUEEDOUARD VAILLANT"
"5804","AU14",292,"18 AVJULES FERRY"
"5836","AU62",469,"6 RTEDE VILLEMOMBLE"
"5855","AU100",298,"8 CHEDE MERLAN"
"5866","AU112",283,"26 AVJULES FERRY"
"5867","AU113",327,"24 AVJULES FERRY"
"5888","AU144",391,"4 CHEDE MERLAN"
"5889","AU145",391,"22 AVJULES FERRY"
"5898","AU163",8050,"3 RUEDE VARSOVIE"
"5899","AU164",491,"6 CHEDE MERLAN"
"5900","AU165",491,"20 AVJULES FERRY"
"5912","AU185",322,"16 AVJULES FERRY"
"5913","AU186",323,"10 CHEDE MERLAN"
"5948","AV21",274,"41 AVDE BELFORT"
"6022","AV121",123,"16 RUEDES PEUPLIERS"
"6041","AV141",322,"26 RTEDE VILLEMOMBLE"
"6042","AV142",242,"4 ALLDES HETRES"
"6096","AV209",9847,"48 RTEDE VILLEMOMBLE"
"6234","AX140",261,"61 AVDE L EST"
"6783","BE120",375,"57 AVDE METZ"
"6898","BF69",124,"43 RUEDU MIDI"
"6904","BF84",190,"17 AVDE METZ"
"7003","BF222",42,"LA MARE A LA VEUVE"
"7062","BG54",923,"38 RUEETIENNE DOLET"
"7120","BH140",4511,"74 RUEETIENNE DOLET"
