MOT_DIR,NOM_MIN,TYPE_VOIE,statut
bel air,rue du bel-air,rue,modif
bon air,rue du bon air,rue,modif
fer prolongée,rue du chemin de fer prolongée,rue,modif
louis prolongée,rue saint-louis prolongée,rue,modif
vaillant,rue édouard vaillant,rue,modif
prof vaillant,rue du professeur vaillant,rue,modif
clos,rue du clos vaillant,rue,modif
