"","NATURE","NOM","NOM_1_G","usage","nom"
"311","8","WATTEAU","ALL WATTEAU","privé","Rachid"
"313","ALL","VICTOR HUGO","ALL VICTOR HUGO","privé","Rachid"
"317","ALL","ORME","ALL DE L'ORME",NA,"Rachid"
"322.1","R","CHARLES FERDINAND","R CHARLES FERDINAND",NA,"Rachid"
"330","ALL","GABRIEL FAURE","ALL GABRIEL FAURE","privé","Rachid"
"331","ALL","HECTOR BERLIOZ","ALL HECTOR BERLIOZ","privé","Rachid"
"337","R","ETIENNE DOLET","R ETIENNE DOLET",NA,"Rachid"
"338","R","BONDY","R DE BONDY",NA,"Rachid"
"340","R","SAINT-LOUIS PROLONGEE","R SAINT-LOUIS PROLONGEE",NA,"Rachid"
"341","CH","CARROUGES","CH DES CARROUGES",NA,"Rachid"
"357.1","R","LOUIS AUGUSTE BLANQUI","R LOUIS AUGUSTE BLANQUI",NA,"Rachid"
"358","R","LIBERTE","R DE LA LIBERTE",NA,"Rachid"
"359","R","SERGENT BOBILLOT","R DU SERGENT BOBILLOT",NA,"Rachid"
"360","CH","MARE A LA VEUVE","CH DE LA MARE A LA VEUVE",NA,"Rachid"
"364","VOIE","TRAM TRAIN","VOIE TRAM TRAIN","piéton","Rachid"
"366","6","GOYA","ALL GOYA","privé","Rachid"
