"","NATURE","NOM","NOM_1_G","usage","nom"
"335","AV","JEAN MOULIN","AV JEAN MOULIN",NA,"Murat"
"336","R","JEAN PIERRE LEVY","R JEAN PIERRE LEVY",NA,"Murat"
"342","D78","D78","D78",NA,"Murat"
"343","RPT","JOUHAUX","RPT JOUHAUX",NA,"Murat"
"344","R","ROGER PANNEQUIN","R ROGER PANNEQUIN",NA,"Murat"
"345","RTE","AULNAY","RTE D'AULNAY",NA,"Murat"
"346","AV","HENRI VARAGNAT","AV HENRI VARAGNAT",NA,"Murat"
"348","CH","GROSLAY","CH DE GROSLAY",NA,"Murat"
"349","R","FRANCOIS VILLON","R FRANCOIS VILLON","privé","Murat"
"352","AV","QUATORZE JUILLET","AV DU QUATORZE JUILLET",NA,"Murat"
"354","R","JEAN JACQUES ROUSSEAU","R JEAN JACQUES ROUSSEAU",NA,"Murat"
"361","RPT","BUISSON","RPT BUISSON",NA,"Murat"
"362","IMP","MAURICE BENHAMOU","IMP MAURICE BENHAMOU",NA,"Murat"
"363","AV","MAURICE BENHAMOU","AV MAURICE BENHAMOU",NA,"Murat"
"365","R","B GROULT","R B GROULT",NA,"Murat"
"368","ALL","MARIE-JOSE CHOMBART DE LAUWE","ALL MARIE-JOSE CHOMBART DE LAUWE","public","Murat"
"369","R","NADIA MURAD","R NADIA MURAD",NA,"Murat"
"370","R","GISELE HALIMI","R GISELE HALIMI",NA,"Murat"
"371","R","LUCIE AUBRAC","R LUCIE AUBRAC","privé","Murat"
"372","R","LUCIE AUBRAC","R LUCIE AUBRAC","privé","Murat"
"373","R","SERGE RAVANEL","R SERGE RAVANEL","public","Murat"
"1","ALL","POTTIER","ALL POTTIER",NA,"Habib"
"2","ALL","ANNE FRANK","ALL ANNE FRANK",NA,"Habib"
"6","R","GASTON DEFFERRE","R GASTON DEFFERRE","privé","Habib"
"8","ALL","RENONCULES","ALL DES RENONCULES","privé","Habib"
"9","R","EMMANUEL FAIRON","R EMMANUEL FAIRON",NA,"Habib"
"10","AV","PASTEUR","AV PASTEUR",NA,"Habib"
"12","ALL","EGALITE","ALL DE L'EGALITE",NA,"Habib"
"14","ALL","REGALE","ALL DE LA REGALE",NA,"Habib"
"15","R","NEUVE","R NEUVE","privé","Habib"
"18","ALL","HANNAH ARENDT","ALL HANNAH ARENDT","public","Habib"
"19","PL","ARTHUR RIMBAUD","PL ARTHUR RIMBAUD",NA,"Habib"
"20","R","ROBERT BONNET","R ROBERT BONNET",NA,"Habib"
"21","R","JEAN JAURES","R JEAN JAURES",NA,"Habib"
"27","R","MARCELLIN BERTHELOT","R MARCELLIN BERTHELOT",NA,"Habib"
"28","R","JULIE VICTOIRE DAUBIE","R JULIE VICTOIRE DAUBIE",NA,"Habib"
"31","ALL","ORCHIDEES","ALL DES ORCHIDEES","privé","Habib"
"33","PL","CHARLES DE GAULLE","PL CHARLES DE GAULLE",NA,"Habib"
"34","ALL","IRIS","ALL DES IRIS","privé","Habib"
"35","R","ROGER SALENGRO","R ROGER SALENGRO",NA,"Habib"
"36","R","RAOUL","R RAOUL",NA,"Habib"
"39","R","CHALET","R DU CHALET",NA,"Habib"
"42","CITE","SAULES","CITE DES SAULES",NA,"Habib"
"44","R","NYS COCHIN","R DENYS COCHIN",NA,"Habib"
"45","R","NOEMIE","R NOEMIE",NA,"Habib"
"47","R","SAINTE-BARBE","R SAINTE-BARBE",NA,"Habib"
"48","ALL","PAQUERETTES","ALL DES PAQUERETTES","privé","Habib"
"50","R","HENRI DOUILLOT","R HENRI DOUILLOT",NA,"Habib"
"52","ALL","RULHIERE","ALL RULHIERE",NA,"Habib"
