"lib","origine"
"UH74M10","zone"
"UP No7","zone"
"UA30A22","zone"
"UEi91Anr","zone"
"UR70E19","zone"
"UR60C16","zone"
"UH70M10","zone"
"N","zone"
"UA16B16","zone"
"UH88E10","zone"
"UM68D13","zone"
"UR90F16","zone"
"UC48C16","zone"
"UEi90Anr","zone"
"UH90E10","zone"
"UH92E10","zone"
"UH88F10","zone"
"UH96E10","zone"
"UH98E10","zone"
"UC40C19","zone"
"UC00Cb1","zone"
"UA48E16","zone"
"UEv91Hnr","zone"
"UR90D22","zone"
"UEh91Anr","zone"
"UR90D19","zone"
"Nc","zone"
"UC00A16","zone"
"UM24L13","zone"
"UP No1","zone"
"UE91Anr","zone"
"Nzh","zone"
"UR20D22","zone"
"UP Bd1","zone"
"Espace paysager protege boise","pres_surf"
"Espace paysager protege","pres_surf"
"Espace paysager protege de grandes residences","pres_surf"
"OAP Gare de Bondy","pres_surf"
"OAP Pont de Bondy","pres_surf"
"OAP Canal Avenue Gallieni","pres_surf"
"Espace paysager protege participant a la gestion de l'eau de pluie","pres_surf"
"Espace paysager protege mare et zone humide","pres_surf"
"Emplacement reserve (pour voie ou ouvrages publics, equipements et installations d'interet general, espaces verts)","pres_surf"
"Bati ou ensemble bati ou monument historique","pres_surf"
"Ensemble bati, urbain et paysager remarquable","pres_surf"
"OAP Territoire Plaine de l'Ourcq","pres_surf"
"Perimetre 500m applicable aux constructions a destination de bureau","pres_surf"
"Arbre remarquable","pres_pct"
"Lineaire actif a creer","pres_lin"
"Lineaire de commerces et d'activites de service a creer","pres_lin"
"Alignement obligatoire","pres_lin"
"Recul obligatoire","pres_lin"
"Alignement d'arbres a creer","pres_lin"
"Alignement d'arbres a preserver","pres_lin"
"Perimetre de sauvegarde des commerces et artisanat","info_surf"
"Taxe d'amenagement","info_surf"
"ZAC Les Rives de l'Ourcq","info_surf"
"ZAC Quartier Durable, de la Plaine de l'Ourcq","info_surf"
"Classement sonore categorie 1","info_surf"
"Classement sonore categorie 2","info_surf"
"Classement sonore categorie 3","info_surf"
"Classement sonore categorie 4","info_surf"
"Classement sonore categorie 5","info_surf"
"Perimetre DUP Ligne 15","info_surf"
"PPR lie aux cavites souterraines","info_surf"
"Site archeologique","info_surf"
"Zone de developpement prioritaire pour un reseau de chaleur","info_surf"
"PPCOA Avenue Gallieni Canal","info_surf"
"PPCOA Gare - Centre-ville de Bondy","info_surf"
"PPCOA Edouard Vaillant - Abreuvoir - Pont de Bondy","info_surf"
"Droit de preemption urbain renforce","info_surf"
"Droit de preemption urbain","info_surf"
"Alea argile fort","info_surf"
"Alea argile moyen","info_surf"
"Reglement local de publicite intercommunal - ZP1b","info_surf"
"Reglement local de publicite intercommunal - ZP3","info_surf"
"Reglement local de publicite intercommunal - ZP2b","info_surf"
"Reglement local de publicite intercommunal - ZP1a","info_surf"
"Reglement local de publicite intercommunal - ZP2a","info_surf"
"Lineaire de sauvegarde de commerce et artisanat","info_lin"
