"","cumul","deb","fin","nbPages","num","X","ficPDF","nb","fic","lieu"
"1",36,1,3,3,"041",1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","EGOUTS DEPARTEMENTAUX"
"2",36,4,5,2,"040",1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","RUE GATINE"
"3",36,6,7,2,"039",1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","RUE DE LA LIBERTE"
"4",36,8,9,2,"038",1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","RUE DU PROFESSEUR VAILLANT"
"5",36,10,11,2,"037",1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","RUE BAUDIN"
"6",36,12,13,2,"053",1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","PLUSIEURS VOIES DE LA VILLE"
"7",36,14,15,2,"054",1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","RUE LOUIS AUGUSTE BLANQUI"
"8",36,16,19,4,"057",1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","PLUSIEURS VOIES DE LA VILLE"
"9",36,20,21,2,"051",1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","PLACE DE LA REPUBLIQUE"
"10",36,22,23,2,"050",1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","PLUSIEURS VOIES DE LA VILLE"
"11",36,24,25,2,"049",1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","COURS DE LA REPUBLIQUE"
"12",36,26,27,2,"047",1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","RUE DU VERGER"
"13",36,28,30,3,"046",1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","AVENUE HENRI BARBUSSE"
"14",36,31,32,2,"045",1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","LE CHEMIN DE GROSLAY"
"15",36,33,34,2,"044",1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","CHANTIER DE LA GARE DE BONDY"
"16",36,35,36,2,"043",1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","AVENUE DE LA VILLAGEOISE"
"17",44,37,38,2,"105",2,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/mars1.pdf",8,"mars1.pdf","AU PALAIS DES SPORTS"
"18",44,39,40,2,"074",2,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/mars1.pdf",8,"mars1.pdf","RUE RAOUL"
"19",44,41,42,2,"073",2,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/mars1.pdf",8,"mars1.pdf","AVENUE HENRI BARBUSSE"
"20",44,43,44,2,"072",2,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/mars1.pdf",8,"mars1.pdf","PLACE DE LA GARE ET RUE DE LA LIBERTE"
"21",62,45,46,2,"071",3,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/mars2.pdf",18,"mars2.pdf","RUE AUGUSTE BLANQUI"
"22",62,47,48,2,"070",3,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/mars2.pdf",18,"mars2.pdf","RUE DU CHEMIN DE FER PROLONGEE"
"23",62,49,50,2,"066",3,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/mars2.pdf",18,"mars2.pdf","PLACE DE LA GARE"
"24",62,51,52,2,"065",3,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/mars2.pdf",18,"mars2.pdf","RUE DENYS COCHIN"
"25",62,53,54,2,"064",3,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/mars2.pdf",18,"mars2.pdf","RUE CRONSTADT ET RUE FREMIN"
"26",62,55,56,2,"063",3,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/mars2.pdf",18,"mars2.pdf","RUE LUCIE AUBRAC"
"27",62,57,58,2,"062",3,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/mars2.pdf",18,"mars2.pdf","ALLEE DE LA FAUVETTE AVENUE BLERIOT ET RUE DU LEVANT"
"28",62,59,60,2,"061",3,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/mars2.pdf",18,"mars2.pdf","RUE LOUIS AUGUSTE BLANQUI "
"29",62,61,62,2,"060",3,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/mars2.pdf",18,"mars2.pdf","RUE YVONNE"
