"","NATURE","NOM_1_G","NOM2"
"155","R","R DE MEAUX","MEAUX"
"156","R","R DU FER A CHEVAL","FEA CHEVAL"
"157","R","R CHARLES MAGNE","CHARLES MAGNE"
"158","R","R EUGENE VARLIN","EUGENE VARLIN"
"159","IMP","IMP DES VIOLETTES","VIOLETTES"
"160","R","R DU VIEUX CHATEAU","VIEUX CHATEAU"
"161","4","4","4"
"162","ALL","ALL DES TULIPES","TULIPES"
"163","R","R HENRI MOULY","HENRI MOULY"
"164","ALL","ALL ESPERANTO","ESPERANTO"
"165","ALL","ALL DES PINSONS","PINSONS"
"166","ALL","ALL DES ANEMONES","ANEMONES"
"167","ALL","ALL DES LAURIERS","LAURIERS"
"168","R","R ARTHUR RIMBAUD","ARTHURIMBAUD"
"169","R","R DE LA SOLIDARITE","SOLIDARITE"
"170","14","14","14"
"171","R","R RABELAIS","RABELAIS"
"172","ALL","ALL MONTPLAISIR","MONTPLAISIR"
"173","AV","AV ANATOLE FRANCE","ANATOLE FRANCE"
"174","AV","AV DE VERDUN","VERDUN"
"175","ALL","ALL RACINE","RACINE"
"176","ALL","ALL DES LILAS","LILAS"
"177","ALL","ALL JEAN COURTADE","JEAN COURTADE"
"178","ALL","ALL DE LA CONCORDE","CONCORDE"
"179","MAIL","MAIL PANTAGRUEL","PANTAGRUEL"
"180","R","R DU BREUIL","BREUIL"
"181","R","R RUDYARD KIPLING","RUDYARD KIPLING"
"182","R","R DU VERGER","VERGER"
"183","ALL","ALL ANNE SYLVESTRE","ANNE SYLVESTRE"
"184","AV","AV DENISE","DENISE"
"185","AV","AV DUMESNIL","DUMESNIL"
"186","R","R DE VERSAILLES","VERSAILLES"
"187","R","R PIERRE BROSSOLETTE","PIERRE BROSSOLETTE"
"188","ALL","ALL SURCOUF","SURCOUF"
"189","R","R RENE CHAR","RENE CHAR"
"190","R","R MARCEL DASSAULT","MARCEL DASSAULT"
"191","R","R DE L'EGALITE","EGALITE"
"192","R","R COMPAGNON","COMPAGNON"
"193","ALL","ALL SAN MARTIN","SAN MARTIN"
"194","ALL","ALL ALICE","ALICE"
"195","R","R DU POTAGER","POTAGER"
"196","AV","AV JULES FERRY","JULES FERRY"
"197","R","R DU CYCLE","CYCLE"
"198","R","R YVONNE","YVONNE"
"199","AV","AV GENEVIEVE ANTHONIOZ DE GAULLE","GENEVIEVE ANTHONIOZ DE GAULLE"
"200","R","R JULES LELONG","JULES LELONG"
"201","AV","AV GUEUGNON","GUEUGNON"
"202","5","5","5"
"203","R","R MARGUERITE DURAS","MARGUERITE DURAS"
"204","R","R PAUL RENAUD","PAUL RENAUD"
"205","ALL","ALL DES BOSQUETS","BOSQUETS"
"206","R","R FRANCOIS MARTIN","FRANCOIS MARTIN"
"207","R","R DU VIEUX MOULIN","VIEUX MOULIN"
"208","IMP","IMP DU CASTEL","CASTEL"
"209","ALL","ALL DE LA PAIX","PAIX"
"210","R","R HENRI DUNANT","HENRI DUNANT"
"211","ALL","ALL JOSE MARTI","JOSE MARTI"
"212","13","13","13"
"213","ALL","ALL DES SYCOMORES","SYCOMORES"
"214","R","R DU MOLERET","MOLERET"
"215","IMP","IMP FERNAND POTTIER","FERNAND POTTIER"
"216","R","R ROBERT DOUVILLEZ","ROBERT DOUVILLEZ"
"217","ALL","ALL DES COLOMBES","COLOMBES"
"218","R","R PAULINE ROGER","PAULINE ROGER"
"219","AV","AV DES PLATANES","PLATANES"
"220","ALL","ALL DE FURCI","FURCI"
"221","ALL","ALL DES VIGNES","VIGNES"
"222","AV","AV DE L'IDEAL","IDEAL"
"223","AV","AV DE LA REPUBLIQUE","REPUBLIQUE"
"224","R","R DESIRE LEON","DESIRE LEON"
"225","ALL","ALL ANDREA","ANDREA"
"226","R","R DES DROITS DE L'HOMME","DROITS DE L'HOMME"
"227","ALL","ALL C GOUNOD","C GOUNOD"
"228","R","R DAVID LEDER","DAVID LEDER"
"229","R","R JULES LECOMTE","JULES LECOMTE"
"230","AV","AV ALBERT THOMAS","ALBERT THOMAS"
"231","CH","CH DE LA MARE A LA VEUVE PROLONGEE","MARE A LA VEUVE PROLONGEE"
"232","R","R ARTHUR GROUSSIER","ARTHUGROUSSIER"
"233","6","6","6"
"234","R","R DES ESCHOLIERS","ESCHOLIERS"
"235","AV","AV DE LA VILLEGIATURE","VILLEGIATURE"
"236","R","R BOREL","BOREL"
"237","R","R EUGENE MASSON","EUGENE MASSON"
"238","R","R SAINT-LOUIS","SAINT-LOUIS"
"239","ALL","ALL VOLTAIRE","VOLTAIRE"
"240","ALL","ALL DES HETRES","HETRES"
"241","R","R ERIC TABARLY","ERIC TABARLY"
"242","R","R HENRI ROL TANGUY","HENRI ROL TANGUY"
"243","R","R DE LA FRATERNITE","FRATERNITE"
"244","R","R HELENE BOUCHER","HELENE BOUCHER"
"245","ALL","ALL DU MOULIN","MOULIN"
"246","RPE","RPE DU PONT","PONT"
"247","R","R BORDIER","BORDIER"
"248","R","R LUCIE AUBRAC","LUCIE AUBRAC"
"249","PL","PL DE LA GARE","GARE"
"250","7","7","7"
"251","AV","AV CLARA GRANDET","CLARA GRANDET"
"252","R","R GUY DE MAUPASSANT","GUY DE MAUPASSANT"
"253","ALL","ALL SIMON BOLIVAR","SIMON BOLIVAR"
"254","R","R DE LA BUTTE","BUTTE"
"255","AV","AV DE NANCY","NANCY"
"256","ALL","ALL DES DAHLIAS","DAHLIAS"
"257","IMP","IMP DE LA LIBERTE","LIBERTE"
"258","VLA","VLA DU BREUIL","BREUIL"
"259","AV","AV DE LA PARISIENNE","PARISIENNE"
"260","ALL","ALL DES PRIMEVERES","PRIMEVERES"
"261","ALL","ALL MARIE LAURENCIN","MARIE LAURENCIN"
"262","CH","CH DU PONT","PONT"
"263","RPT","RPT DU VERGER","VERGER"
"264","R","R DE L'ABBE MAURICE BAURIT","ABBE MAURICE BAURIT"
"265","IMP","IMP JEAN WIENER","JEAN WIENER"
"266","PL","PL GEORGES LYSSANDRE","GEORGES LYSSANDRE"
"267","PL","PL ALBERT THOMAS","ALBERT THOMAS"
"268","IMP","IMP CARNOT","CARNOT"
"269","AV","AV LEON BLUM","LEON BLUM"
"270","R","R DE PLAISANCE","PLAISANCE"
"271","R","R DU PROGRES","PROGRES"
"272","ALL","ALL JOACHIM DU BELLAY","JOACHIM DU BELLAY"
"273","R","R GUILLAUME APOLLINAIRE","GUILLAUME APOLLINAIRE"
"274","VLA","VLA THOREL","THOREL"
"275","R","R DU LION","LION"
"276","R","R LAUG","LAUG"
"277","AV","AV JEAN LEBAS","JEAN LEBAS"
"278","R","R ALEXANDRA DAVID NEEL","ALEXANDRA DAVID NEEL"
"279","ALL","ALL DES SORBIERS","SORBIERS"
"280","9","9","9"
"281","IMP","IMP JACQUES BREL","JACQUES BREL"
"282","R","R JULES AUFFRET","JULES AUFFRET"
"283","R","R CESAR DELAINE","CESADELAINE"
"284","ALL","ALL DU GROS BUISSON","GROS BUISSON"
"285","SQ","SQ DU 8 MAI 1945","8 MAI 1945"
"286","AV","AV BLERIOT","BLERIOT"
"287","IMP","IMP DE LA SOLIDARITE","SOLIDARITE"
"288","ALL","ALL DES SYLPHES","SYLPHES"
"289","ALL","ALL DES FOUGERES","FOUGERES"
"290","VLA","VLA GABRIEL SEAILLES","GABRIEL SEAILLES"
"291","R","R PAUL ELUARD","PAUL ELUARD"
"292","ALL","ALL BECQUEREL","BECQUEREL"
"293","R","R DE PRESSENSE","PRESSENSE"
"294","R","R SIMONE DE BEAUVOIR","SIMONE DE BEAUVOIR"
"295","R","R JOE CARMAN","JOE CARMAN"
"296","ALL","ALL DE LA JARDINIERE","JARDINIERE"
"297","R","R DE PANURGE","PANURGE"
"298","R","R EDOUARD VAILLANT","EDOUARD VAILLANT"
"299","R","R DES FRERES DARTY","FRERES DARTY"
"300","AV","AV DE L'ESPERANCE","ESPERANCE"
"301","CH","CH DU MERLAN","MERLAN"
"302","10","10","10"
"303","R","R HENRI ALPY","HENRI ALPY"
"304","R","R GEORGES GRAFF","GEORGES GRAFF"
"305","R","R MARCEL PAUL","MARCEL PAUL"
"306","AV","AV CADERAS","CADERAS"
"307","R","R DES PEUPLIERS","PEUPLIERS"
"308","12","12","12"
"309","R","R HENRY ESPAULLARD","HENRY ESPAULLARD"
"310","ALL","ALL DU MUGUET","MUGUET"
"311","VLA","VLA DES CERISES","CERISES"
"312","R","R DU CHAMPART","CHAMPART"
"313","R","R DES 5 ORMES","5 ORMES"
"314","ALL","ALL CORNEILLE","CORNEILLE"
"315","8","8","8"
"316","R","R AMEDEE GUYARD","AMEDEE GUYARD"
"317","ALL","ALL VICTOR HUGO","VICTOHUGO"
"318","R","R FONTAINE","FONTAINE"
"319","R","R PIERRE DE RONSARD","PIERRE DE RONSARD"
"320","PL","PL DU 11 NOVEMBRE 1918","11 NOVEMBRE 1918"
"321","ALL","ALL DE L'ORME","ORME"
"322","ALL","ALL RASPAIL","RASPAIL"
"323","R","R DU 4 SEPTEMBRE","4 SEPTEMBRE"
"324","ALL","ALL DES GLYCINES","GLYCINES"
"325","AV","AV LEON JOUHAUX","LEON JOUHAUX"
"326","R","R CHARLES FERDINAND","CHARLES FERDINAND"
"327","R","R AUGUSTE POLISSARD","AUGUSTE POLISSARD"
"328","R","R ANDREI SAKHAROV","ANDREI SAKHAROV"
"329","Sans","Sans nom","Sans nom"
"330","Sans","Sans nom","Sans nom"
"331","R","R SUZANNE BLIN","SUZANNE BLIN"
"332","Sans","Sans nom","Sans nom"
"333","Sans","Sans nom","Sans nom"
"334","Sans","Sans nom","Sans nom"
"335","Sans","Sans nom","Sans nom"
"336","Sans","Sans nom","Sans nom"
"337","R","R SIMONE VEIL","SIMONE VEIL"
"338","R","R GISELE HALIMI","GISELE HALIMI"
"339","QUAI","QUAI HUBERTINE AUCLERT","HUBERTINE AUCLERT"
"340","17","17","17"
"341","AV","AV MARX DORMOY","MARX DORMOY"
"342","IMP","IMP DE LA JARDINIERE","JARDINIERE"
"343","Sans","Sans nom","Sans nom"
"344","ALL","ALL GABRIEL FAURE","GABRIEL FAURE"
"345","ALL","ALL HECTOR BERLIOZ","HECTOBERLIOZ"
"346","Sans","Sans nom","Sans nom"
"347","R","R ARETHA FRANKLIN","ARETHA FRANKLIN"
"348","R","R FRANCOISE HERITIER","FRANCOISE HERITIER"
"349","Sans","Sans nom","Sans nom"
"350","Sans","Sans nom","Sans nom"
"351","Sans","Sans nom","Sans nom"
"352","AV","AV SUZANNE BUISSON","SUZANNE BUISSON"
"353","AV","AV JEAN MOULIN","JEAN MOULIN"
"354","R","R JEAN PIERRE LEVY","JEAN PIERRE LEVY"
"355","R","R ETIENNE DOLET","ETIENNE DOLET"
"356","R","R DE BONDY","BONDY"
"357","R","R DES LIMITES","LIMITES"
"358","R","R SAINT-LOUIS PROLONGEE","SAINT-LOUIS PROLONGEE"
"359","Sans","Sans nom","Sans nom"
"360","CH","CH DES CARROUGES","CARROUGES"
"361","D78","D78","D78"
"362","RPT","RPT JOUHAUX","JOUHAUX"
"363","R","R ROGER PANNEQUIN","ROGEPANNEQUIN"
"364","RTE","RTE D'AULNAY","AULNAY"
"365","AV","AV HENRI VARAGNAT","HENRI VARAGNAT"
"366","AV","AV MAL DE LATTRE DE TASSIGNY","MAL DE LATTRE DE TASSIGNY"
"367","CH","CH DE GROSLAY","GROSLAY"
"368","R","R FRANCOIS VILLON","FRANCOIS VILLON"
"369","R","R ROMAIN ROLLAND","ROMAIN ROLLAND"
"370","PONT","PONT DE LA FORET","FORET"
"371","AV","AV DU QUATORZE JUILLET","QUATORZE JUILLET"
"372","Sans","Sans nom","Sans nom"
"373","R","R DU COQ GAULOIS","COQ GAULOIS"
"374","R","R JEAN JACQUES ROUSSEAU","JEAN JACQUES ROUSSEAU"
"375","AV","AV HENRI BARBUSSE","HENRI BARBUSSE"
"376","R","R JULES GUESDE","JULES GUESDE"
"377","R","R LOUIS AUGUSTE BLANQUI","LOUIS AUGUSTE BLANQUI"
"378","R","R DE LA LIBERTE","LIBERTE"
"379","R","R DU SERGENT BOBILLOT","SERGENT BOBILLOT"
"380","R","R DU SERGENT BOBILLOT","SERGENT BOBILLOT"
"381","CH","CH DE LA MARE A LA VEUVE","MARE A LA VEUVE"
"382","RPT","RPT BUISSON",NA
"383","R","R SANS NOM","SANS NOM"
"384","R","R SANS NOM","SANS NOM"
"385","IMP","IMP MAURICE BENHAMOU","MAURICE BENHAMOU"
"386","AV","AV MAURICE BENHAMOU","MAURICE BENHAMOU"
"387","VOIE","VOIE TRAM TRAIN",NA
