"nom_ets","adresse","cp","ville","latitude","longitude","result_label","result_score","result_score_next","result_type","result_id","result_housenumber","result_name","result_street","result_postcode","result_city","result_context","result_citycode","result_oldcitycode","result_oldcity","result_district","result_status"
" BIONAZ ","28 RUE MARCEL DASSAULT",93140,"Bondy","48.888008","2.484269","28 Rue Marcel Dassault 93140 Bondy","0.9715327272727272",,"housenumber","93010_6125_00028",28,"28 Rue Marcel Dassault","Rue Marcel Dassault",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
" CEMEX BETON ","1 QUAI HUBERTINE AUCLERT",93140,"Bondy","48.906438","2.475054","1 Quai Hubertine Auclert 93140 Bondy","0.9567227272727271",,"housenumber","93010_4481_00001",1,"1 Quai Hubertine Auclert","Quai Hubertine Auclert",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
" EQIOM BETONS IDF ","QUAI HUBERTINE AUCLERT",93140,"Bondy","48.906438","2.475054","Quai Hubertine Auclert 93140 Bondy","0.9567227272727271",,"street","93010_4481",,"Quai Hubertine Auclert","Quai Hubertine Auclert",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
