"","X","Rue","Peri","rueCourte","rue"
"530",1292,"FERRY AVENUE JULES FERRY","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdété impair \ /","FERRY","AVENUE JULES FERRY"
"531",1295,"FERRY AVENUE JULES FERRY","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","FERRY","AVENUE JULES FERRY"
"532",1298,"FLEURS PLACE DES FLEURS .","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cété impair Vv","FLEURS","PLACE DES FLEURS ."
"533",1299,"FLEURS PLACE DES FLEURS .","Périmétre : Périmetre Maternelle Camille Claudel Tout le cété pair et tout le cété impair","FLEURS","PLACE DES FLEURS ."
"534",1304,"FLEURY VILLA FLEURY \ /","Périmétre : Périmetre Guillaume Apollinaire Tout le cété pair et tout le cété impair V","FLEURY","VILLA FLEURY  "
"535",1305,"FLEURY VILLA FLEURY \ /","Périmétre : Périmétre Elémentaire Guillaume Apollinaire Tout le cété pair et tout le cété impair","FLEURY","VILLA FLEURY  "
"536",1308,"FLORALIES RUE DES FLORALIES","Périmétre : Périmeétre Elementaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair \","FLORALIES","RUE DES FLORALIES"
"537",1312,"FONTAINE RUE FONTAINE","Périmétre : Périmétre Elementaire Louis Pasteur Tout le cété pair et tout le cété impair \ /","FONTAINE","RUE FONTAINE"
"538",1313,"FONTAINE RUE FONTAINE","Périmétre : Périmetre Maternelle Pasteur Tout le cété pair et tout le cété impair","FONTAINE","RUE FONTAINE"
"539",1317,"FORET PONT DE LAFORET ena hiny clbs ite ()","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cété pair et tout le coté impair» \","FORET","PONT DE LAFORET     "
"540",1318,"FORET PONT DE LAFORET ena hiny clbs ite ()","Périmétre : Périmetre Maternelle Pasteur Tout le cdté pair et tout le cété impair","FORET","PONT DE LAFORET     "
"541",1321,"FOSSEY SQUARE DIANE FOSSEY Q","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le coté impair .","FOSSEY","SQUARE DIANE FOSSEY Q"
"542",1322,"FOSSEY SQUARE DIANE FOSSEY Q","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair 8","FOSSEY","SQUARE DIANE FOSSEY Q"
"543",1325,"FOUGERES ALLEE DES FOUGERES /","Périmétre : Périmétre Elementaire Noue Caillet Albert Camus Tout le cété pair et tout le coté impair i /","FOUGERES","ALLEE DES FOUGERES "
"544",1329,"FOURCADE ALLEE MARIE-MADELEINE FOURCADE +","Périmétre : Périmétre Elementaire Noue Caillet Albert Camus Tout le cété pair et tout le cote impair A","FOURCADE","ALLEE MARIE-MADELEINE FOURCADE +"
"545",1330,"FOURCADE ALLEE MARIE-MADELEINE FOURCADE +","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair","FOURCADE","ALLEE MARIE-MADELEINE FOURCADE +"
"546",1334,"FRANCK ALLEE ANNE FRANCK","Périmétre : Périmetre Guillaume Apollinaire Tout le cété pair et tout le cdté impair","FRANCK","ALLEE ANNE FRANCK"
"547",1337,"FRANCS AUBIERS RUE DES FRANCS AUBIERS","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair","FRANCS","AUBIERS RUE DES FRANCS AUBIERS"
"548",1338,"FRANCS AUBIERS RUE DES FRANCS AUBIERS","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair","FRANCS","AUBIERS RUE DES FRANCS AUBIERS"
"549",1341,"FRANK ALLEE ANNE FRANK","Périmétre : Périmetre Guillaume Apollinaire Tout le cété pair et tout le cété impair","FRANK","ALLEE ANNE FRANK"
