"","X","Rue","Peri","rueCourte","rue"
"409",1022,"CHAMPART RUE DU CHAMPART","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair","CHAMPART","RUE DU CHAMPART"
"410",1023,"CHAMPART RUE DU CHAMPART","Périmétre : Périmetre Elementaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair","CHAMPART","RUE DU CHAMPART"
"411",1026,"CHAPELAIN RUE LUCIEN CHAPELAIN","Périmétre : Périmetre Maternelle Olympe de Gouges_ - Tout le cété pair et tout le cété impair \/","CHAPELAIN","RUE LUCIEN CHAPELAIN"
"412",1028,"CHARLES MAGNE ALLEE CHARLES MAGNE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","CHARLES","MAGNE ALLEE CHARLES MAGNE"
"413",1029,"CHARLES MAGNE ALLEE CHARLES MAGNE","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair","CHARLES","MAGNE ALLEE CHARLES MAGNE"
"414",1031,"CHEMIN DE FER RUE DU CHEMIN DE FER","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","CHEMIN","DE FER RUE DU CHEMIN DE FER"
"415",1032,"CHEMIN DE FER RUE DU CHEMIN DE FER","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","CHEMIN","DE FER RUE DU CHEMIN DE FER"
"416",1034,"CHEMIN DE FER PROL' RUE DU CHEMIN DE FER PROLONGEE","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","CHEMIN","DE FER PROL' RUE DU CHEMIN DE FER PROLONGEE"
"417",1035,"CHEMIN DE FER PROL' RUE DU CHEMIN DE FER PROLONGEE","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","CHEMIN","DE FER PROL' RUE DU CHEMIN DE FER PROLONGEE"
"418",1037,"CHENES ALLEE DES CHENES","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cédté pair et tout le coté impair","CHENES","ALLEE DES CHENES"
"419",1038,"CHENES ALLEE DES CHENES","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le coté impair","CHENES","ALLEE DES CHENES"
"420",1044,"CLOS RUE DU CLOS VAILLANT","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr« Tout le cété pair et tout le cété impair","CLOS","RUE DU CLOS VAILLANT"
"421",1051,"COLLARDEAU RUE PHILEAS COLLARDEAU","Périmétre : Périmétre Elémentaire Mainguy/Guehenno Tout le cété pair et tout le cété impair","COLLARDEAU","RUE PHILEAS COLLARDEAU"
"422",1052,"COLLARDEAU RUE PHILEAS COLLARDEAU","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair","COLLARDEAU","RUE PHILEAS COLLARDEAU"
"423",1055,"COLLET RUE FRANCOIS COLLET","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair","COLLET","RUE FRANCOIS COLLET"
"424",1056,"COLLET RUE FRANCOIS COLLET","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","COLLET","RUE FRANCOIS COLLET"
"425",1059,"COLLIGNON RUE LOUIS LEON COLLIGNON","Périmétre : Périmetre Maternelle Camille Claudel Tout le cété pair et tout le cété impair","COLLIGNON","RUE LOUIS LEON COLLIGNON"
"426",1060,"COLLIGNON RUE LOUIS LEON COLLIGNON","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cété impair","COLLIGNON","RUE LOUIS LEON COLLIGNON"
"427",1063,"COMMUNES ALLEE DES DEUX COMMUNES","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","COMMUNES","ALLEE DES DEUX COMMUNES"
"428",1064,"COMMUNES ALLEE DES DEUX COMMUNES","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair","COMMUNES","ALLEE DES DEUX COMMUNES"
"429",1067,"COMPAGNON RUE COMPAGNON","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair","COMPAGNON","RUE COMPAGNON"
"430",1068,"COMPAGNON RUE COMPAGNON","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair","COMPAGNON","RUE COMPAGNON"
"431",1071,"CONCORDE ALLEE DE LA CONCORDE","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair","CONCORDE","ALLEE DE LA CONCORDE"
"435",1080,"COQ GAULOIS RUE DU COQ GAULOIS","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cdté impair","COQ","GAULOIS RUE DU COQ GAULOIS"
"436",1081,"COQ GAULOIS RUE DU COQ GAULOIS","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cdété impair","COQ","GAULOIS RUE DU COQ GAULOIS"
"437",1084,"CORNEILLE ALLEE CORNEILLE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cdté impair","CORNEILLE","ALLEE CORNEILLE"
"438",1085,"CORNEILLE ALLEE CORNEILLE","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair","CORNEILLE","ALLEE CORNEILLE"
