"","NOM_1_G","NOM","NATURE","usage","longueur","aire"
"80","ALL MARIA DERAIMES","MARIA DERAIMES","ALL","privé",113,NA
"81","ALL MARIE-JOSE CHOMBART DE LAUWE","MARIE-JOSE CHOMBART DE LAUWE","ALL","public",131,NA
"82","ALL MARIE LAURENCIN","MARIE LAURENCIN","ALL","privé",58,NA
"83","ALL MARYSE BASTIE","MARYSE BASTIE","ALL","privé",104,NA
"84","ALL MIGNARD","MIGNARD","ALL","privé",23,NA
"85","ALL MILLET","MILLET","ALL","privé",63,NA
"86","ALL MOLIERE","MOLIERE","ALL","public",100,NA
"87","ALL MONTPLAISIR","MONTPLAISIR","ALL","public",169,NA
"88","ALL MOZART","MOZART","ALL","public",98,NA
"89","ALL PABLO NERUDA","PABLO NERUDA","ALL","public",189,NA
"90","ALL PAUL LAFARGUE","PAUL LAFARGUE","ALL","privé",208,NA
"91","ALL POQUE","POQUE","ALL","privé",104,NA
"92","ALL POTTIER","POTTIER","ALL","public",158,NA
"93","ALL RACINE","RACINE","ALL","public",328,NA
"94","ALL RAPHAEL","RAPHAEL","ALL","privé",33,NA
"95","ALL RASPAIL","RASPAIL","ALL","public",306,NA
"96","ALL RULHIERE","RULHIERE","ALL","public",173,NA
"97","ALL SAN MARTIN","SAN MARTIN","ALL","public",85,NA
"98","ALL SIMON BOLIVAR","SIMON BOLIVAR","ALL","public",152,NA
"99","ALL SURCOUF","SURCOUF","ALL","public",54,NA
"100","ALL THERESE","THERESE","ALL","public",345,NA
"101","ALL VICTOR HUGO","VICTOR HUGO","ALL","privé",33,NA
"102","ALL VOLTAIRE","VOLTAIRE","ALL","public",59,NA
"103","ALL WATTEAU","WATTEAU","ALL","privé",45,NA
"104","AUTOPONT","AUTOPONT","AUTRE","public",115,NA
"105","AV ALBERT THOMAS","ALBERT THOMAS","AV","public",94,NA
"106","AV ANATOLE FRANCE","ANATOLE FRANCE","AV","public",710,NA
"107","AV BLERIOT","BLERIOT","AV","public",188,NA
"108","AV CADERAS","CADERAS","AV","public",206,NA
"109","AV CARNOT","CARNOT","AV","public",863,NA
"110","AV CLARA GRANDET","CLARA GRANDET","AV","public",217,NA
"111","AV DE BELFORT","BELFORT","AV","public",557,NA
"112","AV DE L'ESPERANCE","ESPERANCE","AV","public",283,NA
"113","AV DE L'EST","EST","AV","public",499,NA
"114","AV DE L'IDEAL","IDEAL","AV","public",281,NA
"115","AV DE LA PARISIENNE","PARISIENNE","AV","public",265,NA
"116","AV DE LA REPUBLIQUE","REPUBLIQUE","AV","public",564,NA
"117","AV DE LA VILLAGEOISE","VILLAGEOISE","AV","public",425,NA
"118","AV DE LA VILLEGIATURE","VILLEGIATURE","AV","public",352,NA
"119","AV DE METZ","METZ","AV","public",447,NA
"120","AV DE NANCY","NANCY","AV","public",229,NA
"121","AV DE ROSNY","ROSNY","AV","public",558,NA
"122","AV DE VERDUN","VERDUN","AV","public",615,NA
"123","AV DENISE","DENISE","AV","public",134,NA
"124","AV DES MESARMES","MESARMES","AV","public",224,NA
"125","AV DES PLATANES","PLATANES","AV","public",194,NA
"126","AV DES SCIENCES","SCIENCES","AV","public",418,NA
"127","AV DU QUATORZE JUILLET","QUATORZE JUILLET","AV","public",823,NA
"128","AV DUMESNIL","DUMESNIL","AV","public",186,NA
"129","AV GALLIENI","GALLIENI","AV","public",3341,NA
"130","AV GENEVIEVE ANTHONIOZ DE GAULLE","GENEVIEVE ANTHONIOZ DE GAULLE","AV","privé",596,NA
"131","AV GUEUGNON","GUEUGNON","AV","public",222,NA
"132","AV HENRI BARBUSSE","HENRI BARBUSSE","AV","public",1380,NA
"133","AV HENRI VARAGNAT","HENRI VARAGNAT","AV","public",808,NA
"134","AV JEAN LEBAS","JEAN LEBAS","AV","public",212,NA
"135","AV JEAN MOULIN","JEAN MOULIN","AV","public",558,NA
"136","AV JULES FERRY","JULES FERRY","AV","public",274,NA
"137","AV LEON BLUM","LEON BLUM","AV","public",588,NA
"138","AV LEON JOUHAUX","LEON JOUHAUX","AV","privé",383,NA
"139","AV MAL DE LATTRE DE TASSIGNY","MAL DE LATTRE DE TASSIGNY","AV","public",446,NA
"140","AV MARGUERITE","MARGUERITE","AV","public",145,NA
"141","AV MARIE CURIE","MARIE CURIE","AV","public",203,NA
"142","AV MARX DORMOY","MARX DORMOY","AV","public",453,NA
"143","AV MAURICE BENHAMOU","MAURICE BENHAMOU","AV","public",247,NA
"144","AV PASTEUR","PASTEUR","AV","public",635,NA
"145","AV ROUGET DE LISLE","ROUGET DE LISLE","AV","public",147,NA
"146","AV SUZANNE BUISSON","SUZANNE BUISSON","AV","public",287,NA
"147","CH DE GROSLAY","GROSLAY","CH","public",1211,NA
"148","CH DE LA MARE A LA VEUVE","MARE A LA VEUVE","CH","public",217,NA
"149","CH DE LA MARE A LA VEUVE PROLONGEE","MARE A LA VEUVE PROLONGEE","CH","public",277,NA
"150","CH DE MONTREUIL A CLAYE","MONTREUIL A CLAYE","CH","public",241,NA
"151","CH DES CARROUGES","CARROUGES","CH","public",499,NA
"152","CH DU MERLAN","MERLAN","CH","public",104,NA
"153","CH DU PONT","PONT","CH","public",239,NA
"154","CH LATERAL","LATERAL","CH","public",579,NA
"155","CITE DES SAULES","SAULES","CITE","privé",302,NA
"156","CRS DE LA REPUBLIQUE","REPUBLIQUE","CRS","public",297,NA
"157","D78","D78","AUTRE","public",131,NA
"158","ESPL CLAUDE FUZIER","CLAUDE FUZIER","ESPL","public",58,4592
"159","IMP CARNOT","CARNOT","IMP","public",70,NA
"160","IMP DE LA JARDINIERE","JARDINIERE","IMP","public",30,NA
"161","IMP DE LA LIBERTE","LIBERTE","IMP","public",30,NA
"162","IMP DE LA PARISIENNE","PARISIENNE","IMP","privé",72,NA
"163","IMP DE LA SOLIDARITE","SOLIDARITE","IMP","privé",29,NA
"164","IMP DES VIOLETTES","VIOLETTES","IMP","privé",41,NA
"165","IMP FERNAND POTTIER","FERNAND POTTIER","IMP","public",75,NA
"166","IMP GEORGES BRASSENS","GEORGES BRASSENS","IMP","public",61,NA
"167","IMP HAYDN","HAYDN","IMP","privé",31,NA
"168","IMP JACQUES BREL","JACQUES BREL","IMP","public",163,NA
"169","IMP JEAN WIENER","JEAN WIENER","IMP","public",38,NA
"170","IMP MAURICE BENHAMOU","MAURICE BENHAMOU","IMP","public",55,NA
"171","IMP RENE CLAIR","RENE CLAIR","IMP","public",44,NA
"172","MAIL MARIE-MADELEINE FOURCADE","MARIE-MADELEINE FOURCADE","MAIL","public",84,NA
"173","MAIL PANTAGRUEL","PANTAGRUEL","MAIL","public",141,NA
"174","PAS DES DEUX VILLES","DEUX VILLES","PAS","public",204,NA
"175","PAS MICHELET","MICHELET","PAS","privé",102,NA
"176","PL ALBERT THOMAS","ALBERT THOMAS","PL","privé",238,NA
"177","PL ARTHUR RIMBAUD","ARTHUR RIMBAUD","PL","public",68,993
"178","PL CHARLES DE GAULLE","DE GAULLE","PL","public",124,1339
"179","PL DE LA DIVISION LECLERC","DIVISION LECLERC","PL","public",103,621
"180","PL DE LA LIBERTE","LIBERTE","PL","public",84,358
"181","PL DE LA REPUBLIQUE","REPUBLIQUE","PL","public",108,3883
"182","PL DES FLEURS","FLEURS","PL","privé",79,NA
"183","PL DU 11 NOVEMBRE 1918","11 NOVEMBRE 1918","PL","public",164,3638
"184","PL EUDEMON","EUDEMON","PL","public",26,425
"185","PL GEORGES LYSSANDRE","GEORGES LYSSANDRE","PL","privé",881,NA
"186","PL NICOLE NEUBURGER","NICOLE NEUBURGER","PL","privé",950,NA
"187","PL SCHOELCHER","SCHOELCHER","PL","public",86,NA
"188","PONT","PONT","RPE","public",108,NA
"189","PONT DE LA FORET","FORET","PONT","public",70,NA
"190","QUAI HUBERTINE AUCLERT","HUBERTINE AUCLERT","QUAI","public",1505,NA
"191","R ALEXANDRA DAVID NEEL","ALEXANDRA DAVID NEEL","R","privé",259,NA
"192","R AMEDEE GUYARD","AMEDEE GUYARD","R","public",248,NA
"193","R ANDREI SAKHAROV","ANDREI SAKHAROV","R","public",1133,NA
"194","R ARETHA FRANKLIN","ARETHA FRANKLIN","R","public",182,NA
"195","R ARTHUR GROUSSIER","ARTHUR GROUSSIER","R","public",281,NA
"196","R ARTHUR RIMBAUD","ARTHUR RIMBAUD","R","public",143,NA
"197","R AUGUSTE POLISSARD","AUGUSTE POLISSARD","R","public",336,NA
"198","R B GROULT","BENOITE GROULT","R","public",106,NA
"199","R BAUDIN","BAUDIN","R","public",658,NA
"200","R BEAUREGARD","BEAUREGARD","R","public",174,NA
"201","R BERANGER","BERANGER","R","public",293,NA
"202","R BERNARD DE JUSSIEU","BERNARD DE JUSSIEU","R","public",247,NA
"203","R BORDIER","BORDIER","R","public",370,NA
"204","R BOREL","BOREL","R","public",216,NA
"205","R CESAR DELAINE","CESAR DELAINE","R","public",134,NA
"206","R CHARLES FERDINAND","CHARLES FERDINAND","R","public",344,NA
"207","R CHARLES MAGNE","CHARLES MAGNE","R","privé",228,NA
"208","R COMPAGNON","COMPAGNON","R","public",192,NA
"209","R DAVID LEDER","DAVID LEDER","R","public",312,NA
"210","R DE BONDY","BONDY","R","public",106,NA
"211","R DE CRONSTADT","CRONSTADT","R","public",147,NA
"212","R DE L'ABBE MAURICE BAURIT","ABBE MAURICE BAURIT","R","privé",114,NA
"213","R DE L'AVIATION","AVIATION","R","public",351,NA
"214","R DE L'EGALITE","EGALITE","R","public",189,NA
"215","R DE L'UNION","UNION","R","public",175,NA
"216","R DE LA BUTTE","BUTTE","R","public",165,NA
"217","R DE LA FRATERNITE","FRATERNITE","R","public",202,NA
"218","R DE LA LIBERTE","LIBERTE","R","public",599,NA
"219","R DE LA PHILOSOPHIE","PHILOSOPHIE","R","public",205,NA
"220","R DE LA SOLIDARITE","SOLIDARITE","R","public",363,NA
"221","R DE LA TERRE SAINT-BLAISE","TERRE SAINT-BLAISE","R","public",357,NA
"222","R DE MEAUX","MEAUX","R","public",377,NA
"223","R DE PANURGE","PANURGE","R","public",103,NA
"224","R DE PARIS","PARIS","R","public",71,NA
"225","R DE PLAISANCE","PLAISANCE","R","public",176,NA
"226","R DE PRESSENSE","PRESSENSE","R","public",212,NA
"227","R DE TREMEUGE","TREMEUGE","R","public",273,NA
"228","R DE VARSOVIE","VARSOVIE","R","public",404,NA
"229","R DE VERSAILLES","VERSAILLES","R","public",321,NA
"230","R DENYS COCHIN","NYS COCHIN","R","public",282,NA
"231","R DES 5 ORMES","5 ORMES","R","public",263,NA
"232","R DES DROITS DE L'HOMME","DROITS DE L'HOMME","R","public",140,NA
"233","R DES ECOLES","ECOLES","R","public",188,NA
"234","R DES ESCHOLIERS","ESCHOLIERS","R","public",126,NA
"235","R DES FLORALIES","FLORALIES","R","privé",114,NA
"236","R DES FRANCS AUBIERS","FRANCS AUBIERS","R","public",223,NA
"237","R DES FRERES DARTY","FRERES DARTY","R","public",204,NA
"238","R DES GAZELLES","GAZELLES","R","public",174,NA
"239","R DES LIMITES","LIMITES","R","public",100,NA
"240","R DES PEUPLIERS","PEUPLIERS","R","public",186,NA
"241","R DESIRE LEON","DESIRE LEON","R","public",139,NA
"242","R DU 4 SEPTEMBRE","4 SEPTEMBRE","R","public",387,NA
"243","R DU BEL AIR","BEL AIR","R","public",151,NA
"244","R DU BON AIR","BON AIR","R","public",152,NA
"245","R DU BREUIL","BREUIL","R","public",459,NA
"246","R DU CHALET","CHALET","R","public",265,NA
"247","R DU CHAMPART","CHAMPART","R","public",81,NA
"248","R DU CHEMIN DE FER PROLONGEE","CHEMIN DE FER PROLONGEE","R","public",447,NA
"249","R DU CLOS VAILLANT","CLOS VAILLANT","R","privé",146,NA
"250","R DU COQ GAULOIS","COQ GAULOIS","R","public",45,NA
"251","R DU CYCLE","CYCLE","R","public",226,NA
"252","R DU FER A CHEVAL","FER A CHEVAL","R","privé",189,NA
"253","R DU LEVANT","LEVANT","R","public",319,NA
"254","R DU LION","LION","R","public",165,NA
"255","R DU MIDI","MIDI","R","public",313,NA
"256","R DU MOLERET","MOLERET","R","public",62,NA
"257","R DU POTAGER","POTAGER","R","privé",381,NA
"258","R DU PROFESSEUR VAILLANT","PROFESSEUR VAILLANT","R","public",258,NA
"259","R DU PROGRES","PROGRES","R","public",292,NA
"260","R DU SERGENT BOBILLOT","SERGENT BOBILLOT","R","public",329,NA
"261","R DU VERGER","VERGER","R","public",187,NA
"262","R DU VIEUX CHATEAU","VIEUX CHATEAU","R","public",108,NA
"263","R DU VIEUX MOULIN","VIEUX MOULIN","R","public",311,NA
"264","R EDOUARD VAILLANT","EDOUARD VAILLANT","R","public",1607,NA
"265","R EMILE ZOLA","EMILE ZOLA","R","public",108,NA
"266","R EMMANUEL FAIRON","EMMANUEL FAIRON","R","public",145,NA
"267","R ERIC TABARLY","ERIC TABARLY","R","public",123,NA
"268","R ETIENNE DOLET","ETIENNE DOLET","IMP","privé",99,NA
"269","R ETIENNE DOLET","ETIENNE DOLET","R","public",538,NA
"270","R EUGENE MASSON","EUGENE MASSON","R","public",314,NA
"271","R EUGENE VARLIN","EUGENE VARLIN","R","public",177,NA
"272","R FONTAINE","FONTAINE","R","public",435,NA
"273","R FRANCOIS COLLET","FRANCOIS COLLET","R","public",205,NA
"274","R FRANCOIS MARTIN","FRANCOIS MARTIN","R","privé",399,NA
"275","R FRANCOIS VILLON","FRANCOIS VILLON","R","privé",347,NA
"276","R FRANCOISE HERITIER","FRANCOISE HERITIER","R","public",122,NA
"277","R FREMIN","FREMIN","R","public",261,NA
"278","R GARGANTUA","GARGANTUA","R","public",102,NA
"279","R GASTON DEFFERRE","GASTON DEFFERRE","R","public",349,NA
"280","R GATINE","GATINE","R","public",178,NA
"281","R GEORGES ELIE","GEORGES ELIE","R","public",352,NA
"282","R GEORGES GRAFF","GEORGES GRAFF","R","public",177,NA
"283","R GERMAINE TILLION","GERMAINE TILLION","R","public",140,NA
"284","R GISELE HALIMI","GISELE HALIMI","R","public",76,NA
"285","R GUILLAUME APOLLINAIRE","GUILLAUME APOLLINAIRE","R","privé",443,NA
"286","R GUY DE MAUPASSANT","GUY DE MAUPASSANT","R","public",232,NA
"287","R HELENE BOUCHER","HELENE BOUCHER","R","privé",312,NA
"288","R HENRI ALPY","HENRI ALPY","R","public",342,NA
"289","R HENRI DOUILLOT","HENRI DOUILLOT","R","public",397,NA
"290","R HENRI DUNANT","HENRI DUNANT","R","privé",307,NA
"291","R HENRI MOULY","HENRI MOULY","R","privé",315,NA
"292","R HENRI ROL TANGUY","HENRI ROL TANGUY","R","privé",187,NA
"293","R HENRY ESPAULLARD","HENRY ESPAULLARD","R","public",75,NA
"294","R JACQUELINE AURIOL","JACQUELINE AURIOL","R","privé",263,NA
"295","R JEAN-MARIE TJIBAOU","JEAN-MARIE TJIBAOU","R","public",126,NA
"296","R JEAN JACQUES ROUSSEAU","JEAN JACQUES ROUSSEAU","R","public",153,NA
