"","cle","depcom","id_ea","principal","numero","repetition","complement","type_voie","libelle","rivoli","categorie","type","nombre_logements","actualité","numero_permis","commentaire"
"11","19",93010,930100001099375,"O",0,NA,"PC9301020B0058 - BAT D","R","BENOITE GROULT",665,"HABIT",23,29,2,"PC9301020B0058","MAIRIE 26/10/2023: 1 an de travaux encore¶INSEE 25/04/2023: D'après le plan transmis par la mairie sur la numérotation des Rives de l'Ourcq"
"12","2",93010,930100000631086,"O",48,NA,NA,"R","EDOUARD VAILLANT",3115,"HABIT",23,15,3,"PC9301016B0056","MAIRIE 24/10/2023: travaux en cours 1 an encore¶MAIRIE 03/03/2023: le petit château¶MAIRIE 10/11/2022: travaux en cours. 4 étages montés.¶MAIRIE 06/04/2022: travaux en cours. 1 étage.¶MAIRIE 09/03/2021: ancienne maison détruite¶MAIRIE 19/10/2020: travaux en cours¶DR 16/10/17.1ER FLUX DE PC .Une EA existe déjà"
"13","20",93010,930100000997685,"O",20,NA,"20-33","CHE","LATERAL",5109,"HABIT",23,123,3,"PC9301020B0069","MAIRIE 26/10/2023: voir dans 1 mois¶MAIRIE 11/04/2023: en voie de finition pas d'accès¶INSEE 16/12/2022: Avant de rendre habitable"
"14","21",93010,930100001137157,"O",2,NA,"BAT 500","R","GISELE HALIMI",4163,"HABIT",23,15,4,"PC9301018B0025","MAIRIE 26/10/2023: 5 rue nadia murad = bat 300 400 = 46¶7 rue nadia murad = bat 200 = 26¶7 rue simone veil = bat 100 = 25¶5 rue simone veil = bat 600 = 26 ¶2 rue gisèle halimi = bat 500 = 15        ¶INSEE 06/10/2023: Adresse dont il faut revoir le dégroupement (nombre de logements par adresse + adressage complet des bâtiments).¶Pour rappel"
"15","22",93010,930100001137158,"O",5,NA,"BAT 300-400","R","NADIA MURAD",6600,"HABIT",23,46,4,"PC9301018B0025","MAIRIE 26/10/2023: 5 rue nadia murad = bat 300 400 = 46¶7 rue nadia murad = bat 200 = 26¶7 rue simone veil = bat 100 = 25¶5 rue simone veil = bat 600 = 26 ¶2 rue gisèle halimi = bat 500 = 15        ¶INSEE 06/10/2023: Adresse dont il faut revoir le dégroupement (nombre de logements par adresse + adressage complet des bâtiments).¶Pour rappel"
"16","23",93010,930100001137159,"O",7,NA,"BAT 200","R","NADIA MURAD",6600,"HABIT",23,26,4,"PC9301018B0025","MAIRIE 26/10/2023: 5 rue nadia murad = bat 300 400 = 46¶7 rue nadia murad = bat 200 = 26¶7 rue simone veil = bat 100 = 25¶5 rue simone veil = bat 600 = 26 ¶2 rue gisèle halimi = bat 500 = 15        ¶INSEE 06/10/2023: Adresse dont il faut revoir le dégroupement (nombre de logements par adresse + adressage complet des bâtiments).¶Pour rappel"
"17","24",93010,930100001137160,"O",7,NA,"BAT 100","R","SIMONE VEIL",8529,"HABIT",23,25,4,"PC9301018B0025","MAIRIE 26/10/2023: 5 rue nadia murad = bat 300 400 = 46¶7 rue nadia murad = bat 200 = 26¶7 rue simone veil = bat 100 = 25¶5 rue simone veil = bat 600 = 26 ¶2 rue gisèle halimi = bat 500 = 15        ¶INSEE 06/10/2023: Adresse dont il faut revoir le dégroupement (nombre de logements par adresse + adressage complet des bâtiments).¶Pour rappel"
"18","25",93010,930100001137161,"O",5,NA,"BAT 600","R","SIMONE VEIL",8529,"HABIT",23,26,4,"PC9301018B0025","MAIRIE 26/10/2023: 5 rue nadia murad = bat 300 400 = 46¶7 rue nadia murad = bat 200 = 26¶7 rue simone veil = bat 100 = 25¶5 rue simone veil = bat 600 = 26 ¶2 rue gisèle halimi = bat 500 = 15        ¶INSEE 06/10/2023: Adresse dont il faut revoir le dégroupement (nombre de logements par adresse + adressage complet des bâtiments).¶Pour rappel"
"19","26",93010,930100001102120,"O",11,NA,"HALL B-C-D","R","SIMONE VEIL",8529,"HABIT",23,40,3,"PC9301018B0044","INSEE 25/04/2023: Le nombre de logements est donné pour l'ensemble du Carré des Rives qui comporte 2 EA (9 et 11 rue Simone Veil). Merci de répartir les 66 logements sur ces 2 EA quand la répartition sera connue (par défaut"
"20","27",93010,930100001102119,"O",9,NA,"HALL A","R","SIMONE VEIL",8529,"HABIT",23,26,3,"PC9301018B0044","INSEE 25/04/2023: Le nombre de logements est donné pour l'ensemble du Carré des Rives qui comporte 2 EA (9 et 11 rue Simone Veil). Merci de répartir les 66 logements sur ces 2 EA quand la répartition sera connue (par défaut"
