"","X","FileName","FileModifyDate","GPSLatitude","GPSLongitude","jour","SourceFile","nom","nomN","photoC"
"1",1,"GAULLE.jpg","2025:03:07 12:08:20+01:00",48.9008333333333,2.4775,"2025:03:07","S:/VOIRIE PHOTO STATIONNEMENT/07_protoxyde/01_fait/GAULLE.jpg","GAULLE.jpg","<b>Num Photo :</b> LLE<br />","../photoProto/GAULLE.jpg"
"2",2,"MURAD.jpg","2025:03:04 08:58:21+01:00",NA,NA,"2025:03:04","S:/VOIRIE PHOTO STATIONNEMENT/07_protoxyde/01_fait/MURAD.jpg","MURAD.jpg","<b>Num Photo :</b> RAD<br />","../photoProto/MURAD.jpg"
"3",3,"RENDEZ.jpg","2025:03:12 15:54:21+01:00",48.9024575,2.4990656,"2025:03:12","S:/VOIRIE PHOTO STATIONNEMENT/07_protoxyde/01_fait/RENDEZ.jpg","RENDEZ.jpg","<b>Num Photo :</b> DEZ<br />","../photoProto/RENDEZ.jpg"
"4",4,"TASSIGNY.jpg","2025:03:03 14:37:14+01:00",NA,NA,"2025:03:03","S:/VOIRIE PHOTO STATIONNEMENT/07_protoxyde/01_fait/TASSIGNY.jpg","TASSIGNY.jpg","<b>Num Photo :</b> GNY<br />","../photoProto/TASSIGNY.jpg"
