"","numero","type_voie","libelle"
"1","18","AV","MARGUERITE"
"2","12","R","DE CRONSTADT"
"3","196","AV","DE ROSNY"
"4","1","R","JEAN JAURES"
"5","1","R","JEAN JAURES"
"6","15","R","BEAUREGARD"
"7","5","R","DU POTAGER"
"8","34","AV","DU MAL DE LATTRE DE TASSIGNY"
"9","38","AV","DU MAL DE LATTRE DE TASSIGNY"
"10","42","AV","DU MAL DE LATTRE DE TASSIGNY"
"11","2","R","JULIE-VICTOIRE DAUBIE"
"12","4","R","JULIE-VICTOIRE DAUBIE"
"13","5","ALL","GEORGES SAND"
"14","20","R","BOREL"
"15","30","R","GEORGES ELIE"
"16","27","R","DES CINQ ORMES"
"17","91","R","LOUIS AUGUSTE BLANQUI"
"18","79","R","LOUIS AUGUSTE BLANQUI"
"19","5","ALL","RACINE"
"20","26","R","RAOUL"
"21","24","R","JULES AUFFRET"
"22","21","R","DE TREMEUGE"
"23","27","R","DU CYCLE"
"24","4","R","DES CINQ ORMES"
"25","6","ALL","MARCEL SEMBAT"
"26","40","ALL","THERESE"
"27","11","R","DE PLAISANCE"
"28","55","ALL","THERESE"
"29","10","AV","JULES FERRY"
"30","10","AV","JULES FERRY"
"31","9","AV","DE BELFORT"
"32","5","ALL","DES HETRES"
"33","6","AV","JULES FERRY"
"34","48","R","EDOUARD VAILLANT"
"35","25","AV","DE L'EST"
"36","15","AV","JULES FERRY"
"37","1","ALL","DES HETRES"
"38","15","AV","DES PLATANES"
"39","42","R","ETIENNE DOLET"
"40","7","R","JOE CARMAN"
"41","10","AV","MARX DORMOY"
"42","12","AV","MARX DORMOY"
"43","14","AV","MARX DORMOY"
"44","35","R","FONTAINE"
"45","37","AV","DES MESARMES"
"46","17","AV","DES MESARMES"
"47","11","AV","CLARA GRANDET"
"48","36","R","FONTAINE"
"49","25","R","FONTAINE"
"50","1","R","ARTHUR GROUSSIER"
"51","6","R","DU QUATRE SEPTEMBRE"
"52","7","IMP","DE LA PARISIENNE"
"53","2","AV","DE LA VILLAGEOISE"
"54","7","ALL","DE LA JARDINIERE"
"55","61","AV","DU QUATORZE JUILLET"
"56","65","AV","DU QUATORZE JUILLET"
