"","code","adresse","adresse.1","nom_ets","geom"
"379","B0310","AV JEAN LEBAS","RUE JEAN MOULIN - (30 RUE SUZANNE BUISSON - ex face au 47","BONDY HABITAT (OPHLM)",c(661946.130975951, 6868288.66416424)
"1233","I0041","33 AV GALLIENI","33 avenue Galliéni","2A TRADING",c(661448.417058303, 6867402.44683834)
"6570","BC0075","142 RTE DE VILLEMOMBLE","132-168 Route DE VILLEMOMBLE","ICF LA SABLIERE",c(662617.164908117, 6865805.15452667)
"7014","BG0046","35 RUE DE VARSOVIE","37 RUE DE VARSOVIE","M. DIDI Maurice",c(661544.422403177, 6865886.46250475)
"1384","K0108","165 AV GALLIENI","165 avenue du Général Galliéni","EFR FRANCE",c(662263.575929381, 6867547.19820062)
"2800","Y0244","147 RUE LOUIS AUGUSTE BLANQUI","36 RUE RAOUL","S.N.B.  (URL)",c(662744.024675018, 6866569.28952303)
"7014.1","BG0046","35 RUE DE VARSOVIE","35 RUE DE VARSOVIE","BUZDUGANARIU Minodora",c(661551.80117426, 6865893.4191636)
