"","Rue","Peri"
"549","PEUPLIERS RUE DES PEUPLIERS","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"552","PHILOSOPHIE RUE DE LA PHILOSOPHIE","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"553","PHILOSOPHIE RUE DE LA PHILOSOPHIE","Périmétre : Périmeétre Elementaire Pierre Curie Tout le cété pair et tout le cété impair"
"555","PICROCHOLE RUE PICROCHOLE","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"556","PICROCHOLE RUE PICROCHOLE","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cdté impair"
"563","PINGUET VILLA PINGUET","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair"
"564","PINGUET VILLA PINGUET","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"566","PLAISANCE RUE DE PLAISANCE","Périmétre : Périmetre Elementaire Jules Ferry Jean Rostand Tout le cété pair et tout le cote impair"
"567","PLAISANCE RUE DE PLAISANCE","-Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cote impair"
"570","PLATANES AVENUE DES PLATANES","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"571","PLATANES AVENUE DES PLATANES","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"575","-POLLISSARD RUE AUGUSTE POLLISSARD .","Périmétre : Périmétre Elémentaire Guillaume Apollinaire Tout le c6té pair et tout le cdté impair }"
"577","PONT RAMPE DU PONT","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le coté impair"
"580","POQUE ALLEE POQUE","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair"
"581","POQUE ALLEE POQUE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"587","POTTIER ALLEE POTTIER","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cdété impair"
"589","POTTIER IMPASSE FERNAND POTIER","Périmétre : Périmetre Guillaume Apollinaire Tout le cété pair et tout le cété impair"
"591","PRESSENSE RUE DE PRESSENSE","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout.le cété impair"
"592","PRESSENSE RUE DE PRESSENSE","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cote impair"
"594","PRIMEVERES ALLEE DES PRIMEVERES","Périmétre : Périmetre Maternelle Camille Claudel Tout le cdté pair et tout le cété impair"
"596","PRIMEVERES ALLEE DES PRIMEVERES","Périmétre : Périmetre Elementaire Camille Claudel Tout le cété pair et tout le cdté impair"
"598","PROFESSEUR VAILLAN RUE DU PROFESSEUR VAILLANT","Périmétre : Périmetre Elementaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair"
"599","PROFESSEUR VAILLAN RUE DU PROFESSEUR VAILLANT","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair"
"601","PROGRES RUE DU PROGRES","Périmétre : Périmetre Elementaire Jules Ferry Jean Rostand Tout le cdté pair et tout le cété impair"
"602","PROGRES RUE DU PROGRES","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair"
"605","QUATORZE JUILLET AVENUE DU QUATORZE JUILLET","Périmétre : Périmetre Elémentaire Olympe de Gouges Cété pair sans les n° et cdté impair allant des n° 45 a 999"
"606","QUATORZE JUILLET AVENUE DU QUATORZE JUILLET","Périmétre : Périmétre Elémentaire Louis Pasteur Cété pair sans les n° et cdté impair allant des n° 1 a 43"
"609","QUATRE SEPTEMBRE RUE DU QUATRE SEPTEMBRE","Périmétre : Périmetre Maternelle Pasteur Tout le cété pair et tout le cété impair"
"616","RABELAIS RUE RABELAIS","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cdté pair et tout le cété impair"
"619","RACINE ALLEE RACINE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Toutle cété pair et tout le coté impair"
"625","RAPHAEL ALLEE RAPHAEL","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"626","RAPHAEL ALLEE RAPHAEL","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le céte impair"
"632","REGALE ALLEE DE LA REGALE","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair"
"640","RENE CHAR RUE RENE CHAR","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"641","RENE CHAR RUE RENE CHAR","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"650","REPUBLIQUE AVENUE DE LA REPUBLIQUE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair"
"652","REPUBLIQUE COURS DE LA REPUBLIQUE","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"653","REPUBLIQUE COURS DE LA REPUBLIQUE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le coté impair"
"659","RIMBAUD RUE ARTHUR RIMBAUD","Périmétre : Périmetre Guillaume Apollinaire Tout le cdté pair et tout le cété impair"
"669","BENHAMOU AVENUE MAURICE BENHAMOU","Périmétre : Périmetre Elementaire Olympe de Gouges Tout le cdté pair et tout le cote impair"
"674","BERLIOZ ALLEE HECTOR BERLIOZ","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le coté impair"
"675","BERLIOZ ALLEE HECTOR BERLIOZ","Périmétre : Périmetre Maternelle Alain Savary Roger Salengrc Tout le cété pair et tout le coté impair"
"677","BERTHELOT RUE MARCELIN BERTHELOT","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cdté pair et tout le cété impair"
"678","BERTHELOT RUE MARCELIN BERTHELOT","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair"
"682","BLANQUI RUE LOUIS AUGUSTE BLANQUI","Périmétre : Périmetre Maternelle Camille Claudel Cété pair allant des n° 68 a 98 et cdté impair allant des n° 69 a 77"
"683","BLANQUI RUE LOUIS AUGUSTE BLANQUI","Périmétre : Périmetre Elémentaire Camille Claudel Cété pair allant des n° 68.4 98 et cdté impair allant des n° 69 a 77"
"684","BLANQUI RUE LOUIS AUGUSTE BLANQUI","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Cété pair allant des n° 102 A 999 et cété impair allant des n° 79 a 99¢"
"687","BLERIOT AVENUE BLERIOT","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"688","BLERIOT AVENUE BLERIOT","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cote impair"
"691","BLERIOT SENTE BLERIOT .","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair"
"694","BLUM AVENUE LEON BLUM","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Cdté pair allant des n° 2 a14et cété impair allant des n° 1a 17 ah"
"695","BLUM AVENUE LEON BLUM","Périmétre : Périmetre Maternelle Terre Saint Blaise Cété pair allant des n° 16 a 998 et cété impair allant des n° 19 a 999 } oe"
"696","BLUM AVENUE LEON BLUM","Périmétre : Périmétre A.Césaire/A.Boulloche Cété pair allant des n° 16 a 998 et cété impair allant desn°19a999) ©"
"699","BOILEAU ALLEE BOILEAU","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"701","BON AIR RUE DU BONAIR","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair"
"702","BON AIR RUE DU BONAIR","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le c6té impair"
"705","BONDY RUE DE BONDY","Périmétre : Périmetre Maternelle Pierre Curie Tout le cdté pair et tout le cété impair"
"711","BORDIER RUE BORDIER","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr« Tout le cété pair et tout le cété impair"
"713","BOREL RUE BOREL","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cété pair et tout le cété impair"
"719","RIMBAUD PLACE ARTHUR RIMBAUD","Périmétre : Périmetre Eleémentaire Guillaume Apollinaire Tout le cété pair et tout le cété impair"
"721","ROGER RUE PAULINE ROGER","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cdté pair et tout le cété impair"
"722","ROGER RUE PAULINE ROGER","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdété impair"
"728","ROSES ALLEE DES ROSES","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cote pair et tout le cdété impair"
"730","ROSNY AVENUE DE ROSNY : J S","Périmétre : Périmetre Maternelle Mainguy "" Coté pair allant des n° 1 a 184 et cété impair allant desn°1a185 } /"
"731","ROSNY AVENUE DE ROSNY : J S","Périmétre : Périmétre Eleémentaire Mainguy/Guehenno Cété pair allant des n° 2 a 184 et cdté impair allant des n° 1 a 185 ~"
"732","ROSNY AVENUE DE ROSNY : J S","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Cété pair allant des n° 186 a 998 et cdté impair allant des n° 186 a\9¢ cy"
"733","ROSNY AVENUE DE ROSNY : J S","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Cété pair allant des n° 186 a 999 et cété impair allant des n° 187 a 9¢_/"
"735","ROUGET DE L'ISLE AVENUE ROUGET DE L'ISLE ;","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cdété impair"
"736","ROUGET DE L'ISLE AVENUE ROUGET DE L'ISLE ;","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair"
"738","ROUSSEAU RUE JEAN JACQUES ROUSSEAU","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le céte impair"
"739","ROUSSEAU RUE JEAN JACQUES ROUSSEAU","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair"
"741","RULHIERE ALLEE RULHIERE ;","Périmétre : Périmétre Elémentaire Mainguy/Guehenno Tout le cété pair et tout le cété impair"
"744","SAINT LOUIS RUE SAINT LOUIS","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"751","SAINTE BARBE RUE SAINTE BARBE","Périmétre : Périmétre Elémentaire Mainguy/Guehenno Tout le cété pair et tout le cété impair"
"754","SAINTE BARBE RUELLE SAINTE BARBE","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair"
"756","SALENGRO RUE ROGER SALENGRO","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Cété pair allant des n° 2 a 998 et cété impair allant des n° 31 a 999"
"761","SAN MARTIN ALLEE SAN MARTIN","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair"
"762","SAN MARTIN ALLEE SAN MARTIN","Périmétre : Périmetre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"771","SAND ALLEE GEORGES SAND","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cdté impair"
"774","SARTRE RUE JEAN PAUL SARTRE","Périmétre : Périmétre Elémentaire Guillaume Apollinaire Tout le cété pair et tout le cété impair"
"775","SARTRE RUE JEAN PAUL SARTRE","Périmétre : Périmetre Guillaume Apollinaire Tout le cété pair et tout le cété impair"
"779","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cété impair","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cété impair"
"780","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cété impair","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cote impair"
"782","SEAILLES VILLA GABRIEL SEAILLES","Périmétre : Périmétre Elementaire Mainguy/Guehenno Tout le cété pair et tout le coté impair"
"783","SEAILLES VILLA GABRIEL SEAILLES","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair"
"785","SEMBAT ALLEE MARCEL SEMBAT","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair"
"786","SEMBAT ALLEE MARCEL SEMBAT","Périmétre : Périmetre Maternelle Leo Lagrange Tout le cété pair et tout le cdté impair"
"789","SERGENT BOBILLOT RUE DU SERGENT BOBILLOT","Périmétre : Périmetre Elementaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"790","SERGENT BOBILLOT RUE DU SERGENT BOBILLOT","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair"
"792","SIMON BOLIVAR ALLEE SIMON BOLIVAR","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"793","SIMON BOLIVAR ALLEE SIMON BOLIVAR","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le coté impair"
"795","SOLIDARITE RUE DE LA SOLIDARITE","Périmétre : Périmetre Elementaire Camille Claudel Cété pair allant des n° 2 a 40 et cdté impair allant des n° 1 a 33"
"796","SOLIDARITE RUE DE LA SOLIDARITE","Périmétre : Périmetre Maternelle Camille Claudel Cété pair allant des n° 2 4 40 et cdté impair allant des n° 1 a 33"
"797","SOLIDARITE RUE DE LA SOLIDARITE","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Coté pair allant des n° 42 4 998 et cdté impair allant des n° 35 a 998"
"798","SOLIDARITE RUE DE LA SOLIDARITE","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Cété pair allant des n° 42 a 998 et cdté impair allant des n° 35 a 998"
"801","SOLIDARITE IMPASSE DE LA SOLIDARITE","Périmétre : Périmetre Maternelle Jules Ferry Tout le cdté pair et tout le cété impair"
"804","SORBIERS ALLEE DES SORBIERS","Périmétre : Périmeétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"805","SORBIERS ALLEE DES SORBIERS","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cdté impair"
"807","STAINS ROUTE DE STAINS","Périmétre : Périmétre Elementaire Noue Caillet Albert Camus Tout le cdté pair et tout le cété impair"
"808","STAINS ROUTE DE STAINS","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair"
"811","SURCOUF ALLEE DE SURCOUF","Périmétre : Périmetre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"813","SUZANNE BUISSON AVENUE SUZANNE BUISSON aN","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Cdté pair allant des n° 2 a 42 et cdté impair sans les n°"
"814","SUZANNE BUISSON AVENUE SUZANNE BUISSON aN","Périmétre : Périmetre Maternelle Jean Zay Cété pair allant des n° 2 a 12 et cdtéimpair sans les n°"
"815","SUZANNE BUISSON AVENUE SUZANNE BUISSON aN","Périmétre : Périmetre Maternelle Terre Saint Blaise Cété pair allant des n°,14 a 998 ef tout le cété impair"
"816","SUZANNE BUISSON AVENUE SUZANNE BUISSON aN","Périmétre : Périmetre A.Césaire/A.Boulloche Cété pair allant des n° 14 a 998 et tout le cété impair"
"818","SYCOMORES ALLEE DES SYCOMORES","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair"
"826","SYLPHES ALLEE DES SYLPHES","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair /"
"830","TABARLY | RUE ERIC TABARLY","Périmétre : Périmetre Elémentaire Olympe de Gouges Tout le cété pair et tout le cdté impair"
"834","TANGUY RUE ROL-TANGUY","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair"
"837","TERRE SAINT BLAISE RUE DE LATERRE SAINT BLAISE","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cdté pair et tout le cdté impair"
"839","THERESE ALLEE THERESE","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le coté impair"
"842","THOREL VILLA THOREL F","Périmétre : Périmétre Elémentaire Guillaume Apollinaire Tout le cété pair et tout le cdté impair"
"843","THOREL VILLA THOREL F","Périmétre : Périmetre Guillaume Apollinaire Tout le cété pair et tout le cété impair"
"845","TILLEULS ALLEE DES TILLEULS","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"846","TILLEULS ALLEE DES TILLEULS","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"848","TILLION RUE GERMAINE TILLION","Périmétre : Périmétre Elementaire Noue Caillet Albert Camus Tout le cdté pair et tout le coté impair"
"849","TILLION RUE GERMAINE TILLION","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair"
"852","TREMEUGE RUE DE TREMEUGE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cdté pair et tout le cété impair"
"854","TRINQUAMELLE | RUE TRINQUAMELLE","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair"
"855","TRINQUAMELLE | RUE TRINQUAMELLE","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"857","TULIPES ALLEE DES TULIPES","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair"
"863","VAILLANT COUTURIER RUE PAUL VAILLANT COUTURIER","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair"
"864","VAILLANT COUTURIER RUE PAUL VAILLANT COUTURIER","Périmétre : Périmetre Elementaire Mainguy/Guehenno Tout le cété pair et tout le cété impair"
"866","VARAGNAT AVENUE HENRI VARAGNAT at","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Cété pair allant des n° 2 a 26 et cdté impair allantdesn°1a39 « } \"
"867","VARAGNAT AVENUE HENRI VARAGNAT at","Périmétre : Périmetre Maternelle Jean Zay Cété pair allant des n° 2 a 26 et coté impair allant des n° 1 a 39 Fi"
"868","VARAGNAT AVENUE HENRI VARAGNAT at","Périmétre : Périmetre Maternelle Terre Saint Blaise Cété pair allant des n°(28 a 998 et cdté impair allant des n/t a 999 | \"
"869","VARAGNAT AVENUE HENRI VARAGNAT at","Périmétre : Périmetre A.Césaire/A.Boulloche Cété pair allant des n° 28 A 998 et cété impair allant des n° 41 a999 \—'"
"871","VARSOVIE RUE DE VARSOVIE )","Périmétre : Périmetre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"872","VARSOVIE RUE DE VARSOVIE )","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"879","VERCORS PASSAGE DU VERCORS","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"881","VERDUN AVENUE DE VERDUN \/","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair ."
"884","VERGER RUE DU VERGER .","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair j"
"885","VERGER RUE DU VERGER .","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair Wd"
"887","VERSAILLES RUE DE VERSAILLES","Périmétre : Périmetre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"891","VICTOR SCHOELCHER PLACE VICTOR SCHOELCHER","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"893","VIEUX CHATEAU RUE DU VIEUX CHATEAU","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair"
"894","VIEUX CHATEAU RUE DU VIEUX CHATEAU","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"897","VIEUX MOULIN RUE DU VIEUX MOULIN","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cote pair et tout le coté impair"
"900","VIGNES ALLEE DES VIGNES f","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le c6té impair V"
"903","VILLAGEOISE AVENUE DE LA VILLAGEOISE '","Périmétre : Périmétre Elémentaire Noue Caillet Albert Camus Cété pair allant des n° 2 a 20 et cdté impair sans les n° \ /"
"908","VILLEGIATURE AVENUE DE LA VILLEGIATURE","Périmétre : Périmeétre Elémentaire Louis Pasteur Tout le cdté pair et tout le cété impair"
"910","VILLEMOMBLE ROUTE DE VILLEMOMBLE","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"913","VILLON RUE FRANCOIS VILLON","Périmétre : Périmetre Maternelle Olympe de Gouges Tout le cdté pair et tout le cété impair"
"914","VILLON RUE FRANCOIS VILLON","Périmétre : Périmetre Elémentaire Olympe de Gouges Tout le cdté pair et tout le coté impair"
"917","VIOLETTES IMPASSE DES VIOLETTES","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cdté pair et tout le cété impair"
"919","VOLTAIRE ALLEE VOLTAIRE","Périmétre : Périmetre Maternelle Camille Claudel Tout le cété pair et tout le cdété impair"
"920","VOLTAIRE ALLEE VOLTAIRE","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cdté pair et tout le cété impair"
"923","WATTEAU ALLEE ANTOINE WATTEAU","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cote impair"
"930","WEISS ALLEE LOUISE WEISS","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cote impair"
"931","WEISS ALLEE LOUISE WEISS","Périmétre : Périmetre Maternelle Jules Ferry Tout le cdté pair et tout le cdté impair"
"933","WIENER IMPASSE JEAN WIENER","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdté impair"
"934","WIENER IMPASSE JEAN WIENER","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cdté impair ."
"936","YVONNE RUE YVONNE","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair vw"
"937","YVONNE RUE YVONNE","Périmétre : Périmétre Elémentaire Mainguy/Guehenno Tout le cété pair et tout le cdté impair"
"939","ZOLA RUE EMILE ZOLA","Périmétre : Périmetre Maternelle Pasteur Tout le cété pair et tout le cété impair"
"940","ZOLA RUE EMILE ZOLA","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cété pair et tout le cdté impair"
"947","BOREL RUE BOREL","Périmétre : Périmetre Maternelle Pasteur Tout le cété pair et tout le cété impair"
"955","BOUCHER RUE HELENE BOUCHER","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair"
"956","BOUCHER RUE HELENE BOUCHER","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le coté pair et tout le cété impair"
"961","BOURDIEU SENTE PIERRE BOURDIEU","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair"
"964","BRASSENS IMPASSE GEORGES BRASSENS","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"965","BRASSENS IMPASSE GEORGES BRASSENS","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"967","BRECHET VILLA DU BRECHET","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"968","BRECHET VILLA DU BRECHET","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cété pair et tout le cété impair"
"970","BREL IMPASSE JACQUES BREL","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"971","BREL IMPASSE JACQUES BREL","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"973","BREUIL RUE DU BREUIL","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair"
"976","BREUIL VILLA DU BREUIL","Périmétre : Périmétre Elémentaire Mainguy/Guehenno Tout le cété pair et tout le cété impair"
"977","BREUIL VILLA DU BREUIL","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair"
"979","BROSSOLETTE RUE PIERRE BROSSOLETTE","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cdété impair"
"982","BUTTE RUE DE LA BUTTE","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"985","CADERAS AVENUE CADERAS","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr« Tout le cété pair et tout le cété impair"
"986","CADERAS AVENUE CADERAS","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair —"
"988","CARAQUE RUE CARAQUE {a \","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cdté impair \/ \ 4"
"989","CARAQUE RUE CARAQUE {a \","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair ye - YS"
"999","CARNOT AVENUE CARNOT","Périmétre : Périmétre Elémentaire Guillaume Apollinaire Cété pair allant des n° 2 4 54 et cdté impair allant des n° 1 a 57"
"1000","CARNOT AVENUE CARNOT","Périmétre : Périmetre Guillaume Apollinaire Cété pair allant des n° 2 a 54 et cdté impair allant des n° 1 a 57"
"1001","CARNOT AVENUE CARNOT","Périmétre : Périmetre Elémentaire R.Salengro J.Bethinger Cété pair allant des n° 56 a 9998 et cdté impair allant des n° 59 a 99"
"1002","CARNOT AVENUE CARNOT","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Cété pair allant des n° 56 a 998 et cété impair allant des n° 59 a 998"
"1004","CARNOT | IMPASSE CARNOT","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr: Tout le cdté pair et tout le cété impair"
"1005","CARNOT | IMPASSE CARNOT","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cdté pair et tout le cété impair"
"1007","CARNOT VILLA CARNOT","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"1008","CARNOT VILLA CARNOT","Périmétre : Périmetre Maternelle Alain Savary Roger Salengrc Tout le cété pair et tout le coté impair"
"1010","CARROUGES CHEMIN DES CARROUGES","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdté impair"
"1011","CARROUGES CHEMIN DES CARROUGES","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"1013","CASTEL IMPASSE DU CASTEL","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cdété impair"
"1014","CASTEL IMPASSE DU CASTEL","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"1019","CHALET RUE DU CHALET","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair"
"1022","CHAMPART RUE DU CHAMPART","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair"
"1023","CHAMPART RUE DU CHAMPART","Périmétre : Périmetre Elementaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair"
"1026","CHAPELAIN RUE LUCIEN CHAPELAIN","Périmétre : Périmetre Maternelle Olympe de Gouges_ - Tout le cété pair et tout le cété impair \/"
"1028","CHARLES MAGNE ALLEE CHARLES MAGNE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"1029","CHARLES MAGNE ALLEE CHARLES MAGNE","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair"
"1031","CHEMIN DE FER RUE DU CHEMIN DE FER","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
