"","Rue","Peri"
"134","GUYARD RUE AMEDEE GUYARD","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair"
"136","HARENDT ALLEE HANNAH HARENDT","Périmétre : Périmetre Elémentaire Léo Lagrange Tout le cété pair et tout le cété impair"
"139","HAYDN IMPASSE HAYDN","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair"
"142","HETRES ALLEE DES HETRES","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"144","HORTENSIAS ALLEE DES HORTENSIAS","Périmétre : Périmétre Elementaire Noue Caillet Albert Camus Tout le cété pair et tout le cété impair"
"145","HORTENSIAS ALLEE DES HORTENSIAS","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair"
"147","HUGO ALLEE VICTOR HUGO","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le c6té impair"
"148","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cote impair","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cote impair"
"149","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le cote impair","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le coté impair"
"151","HUIT MAI 1945 SQUARE DU HUIT MAI 1945","Périmétre : Périmetre Maternelle Camille Claudel Tout le cété pair et tout le cdté impair"
"152","HUIT MAI 1945 SQUARE DU HUIT MAI 1945","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cété impair"
"154","IDEAL AVENUE DE L'IDEAL","Périmétre : Périmetre Maternelle Henri Sellier Tout le cdté pair et tout le cété impair"
"162","IDEAL AVENUE DE L'IDEAL","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"167","INGRES ALLEE INGRES","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr« Tout le cété pair et tout le cdté impair"
"170","IRIS ALLEE DES IRIS","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cété impair"
"175","JARDINIERE IMPASSE DE LA JARDINIERE","Périmétre : Périmetre Maternelle Pasteur Tout le cété pair et tout le cdté impair"
"177","JARDINIERE IMPASSE DE LA JARDINIERE","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cdté pair et tout le cété impair"
"180","JARDINIERE ALLEE DE LA JARDINIERE","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cété pair et tout le coté impair , /"
"182","JARDINIERE ALLEE DE LA JARDINIERE","Périmétre : Périmetre Maternelle Pasteur Tout le cdté pair et tout le c6té impair V"
"185","JAURES RUE JEAN JAURES","Périmétre : Périmétre Elementaire Mainguy/Guehenno Tout le cété pair et tout le coté impair"
