NOM_1_G,case,creche
PL NICOLE NEUBURGER,3C,Crèche Arc en Ciel
PL NICOLE NEUBURGER,4C,Crèche Arc en Ciel
PL NICOLE NEUBURGER,3D,Crèche Arc en Ciel
PL NICOLE NEUBURGER,4D,Crèche Arc en Ciel
PL SCHOELCHER,3F,Maison de la petite enfance
QUAI HUBERTINE AUCLERT,1D,Maison de la petite enfance
QUAI HUBERTINE AUCLERT,2D,Maison de la petite enfance
QUAI HUBERTINE AUCLERT,3D,Maison de la petite enfance
QUAI HUBERTINE AUCLERT,3E,Maison de la petite enfance
R ALEXANDRA DAVID NEEL,3B,Cabane des petits
R AMEDEE GUYARD,4D,Crèche Arc en Ciel
R ANDREI SAKHAROV,2F,Maison de la petite enfance
R ANDREI SAKHAROV,3F,Maison de la petite enfance
R ANDREI SAKHAROV,4F,Maison de la petite enfance
R ARTHUR GROUSSIER,3D,Maison de la petite enfance
R ARTHUR GROUSSIER,3E,Maison de la petite enfance
R ARTHUR RIMBAUD,2D,Crèche Arc en Ciel
R AUGUSTE POLISSARD,2C,Crèche Arc en Ciel
R AUGUSTE POLISSARD,2D,Crèche Arc en Ciel
R BAUDIN,1C,Cabane des petits
R BAUDIN,2C,Cabane des petits
R BEAUREGARD IMPAIR,2C,Crèche Arc en Ciel
R BEAUREGARD PAIRS,2C,Cabane des petits
R BERANGER,4D,Crèche Arc en Ciel
R BERNARD DE JUSSIEU,4C,Crèche Arc en Ciel
R BORDIER,2B,Cabane des petits
R BORDIER,3B,Cabane des petits
R BORDIER,3C,Cabane des petits
R BOREL,3D,Maison de la petite enfance
R CESAR DELAINE,4C,Crèche Arc en Ciel
R CHARLES FERDINAND,3C,Crèche Arc en Ciel
R CHARLES MAGNE,4B,Cabane des petits
R COMPAGNON,3D,Crèche Arc en Ciel
R COMPAGNON,4D,Crèche Arc en Ciel
R DAVID LEDER,2B,Cabane des petits
R DE BONDY,4A,Cabane des petits
R DE CRONSTADT,1C,Crèche Arc en Ciel
R DE LA BUTTE,4A,Cabane des petits
R DE LA BUTTE,4B,Cabane des petits
R DE LA FRATERNITE,2C,Cabane des petits
R DE LA LIBERTE,2B,Cabane des petits
R DE LA LIBERTE,3B,Cabane des petits
R DE LA PHILOSOPHIE,4A,Cabane des petits
R DE LA PHILOSOPHIE,4B,Cabane des petits
R DE LA SOLIDARITE,3B,Cabane des petits
R DE LA SOLIDARITE,3C,Cabane des petits
R DE LA TERRE SAINT-BLAISE,2F,Maison de la petite enfance
R DE LA TERRE SAINT-BLAISE,3F,Maison de la petite enfance
R DE L'ABBE MAURICE BAURIT,3C,Crèche Arc en Ciel
R DE L'AVIATION,4C,Crèche Arc en Ciel
R DE L'EGALITE,2C,Cabane des petits
R DE L'UNION,3B,Cabane des petits
R DE MEAUX,3E,Maison de la petite enfance
R DE MEAUX,2F,Maison de la petite enfance
R DE MEAUX,3F,Maison de la petite enfance
R DE PANURGE,2F,Maison de la petite enfance
R DE PARIS,1D,Crèche Arc en Ciel
R DE PLAISANCE,4B,Cabane des petits
R DE PRESSENSE,4C,Crèche Arc en Ciel
R DE TREMEUGE,4C,Crèche Arc en Ciel
R DE VARSOVIE,2B,Cabane des petits
R DE VERSAILLES,2E,Maison de la petite enfance
R DE VERSAILLES,3E,Maison de la petite enfance
R DENYS COCHIN,3C,Crèche Arc en Ciel
R DENYS COCHIN,4C,Crèche Arc en Ciel
R DES 5 ORMES,4C,Crèche Arc en Ciel
R DES DROITS DE L'HOMME,2C,Crèche Arc en Ciel
R DES ECOLES,3D,Maison de la petite enfance
R DES ESCHOLIERS,2F,Maison de la petite enfance
R DES FLORALIES,2E,Maison de la petite enfance
R DES FRANCS AUBIERS,2F,Maison de la petite enfance
R DES FRANCS AUBIERS,3F,Maison de la petite enfance
R DES FRERES DARTY,2C,Crèche Arc en Ciel
R DES FRERES DARTY,3C,Crèche Arc en Ciel
R DES FRERES DARTY,2D,Crèche Arc en Ciel
R DES GAZELLES,3D,Crèche Arc en Ciel
R DES GAZELLES,4D,Crèche Arc en Ciel
R DES PEUPLIERS,2B,Cabane des petits
R DESIRE LEON,4B,Cabane des petits
R DU 4 SEPTEMBRE,3E,Maison de la petite enfance
R DU BEL AIR,4B,Cabane des petits
R DU BON AIR,2F,Maison de la petite enfance
R DU BREUIL,2C,Crèche Arc en Ciel
R DU BREUIL,2D,Crèche Arc en Ciel
