"","NATURE","NOM","QUARTIER","NA","NA","NA","NA","NA"
"203","le Saule Blanc","ALL","5",NA,"HANNAH ARENDT","ALL HANNAH ARENDT","public","Saule"
"206","le Saule Blanc","ALL","5",NA,"IRIS","ALL DES IRIS","privé","Saule"
"208","le Saule Blanc","ALL","5",NA,"COURTS SILLONS","ALL DES COURTS SILLONS","public","Saule"
"209","le Saule Blanc","ALL","5",NA,"ALOUETTES","ALL DES ALOUETTES","public","Saule"
"216","le Saule Blanc","ALL","5",NA,"PAQUERETTES","ALL DES PAQUERETTES","privé","Saule"
"225","le Saule Blanc","ALL","5",NA,"BOILEAU","ALL BOILEAU","public","Saule"
"226","le Saule Blanc","ALL","5",NA,"ARTS","ALL DES ARTS","public","Saule"
"227","le Saule Blanc","ALL","5",NA,"CHENES","ALL DES CHENES","public","Saule"
"228","le Saule Blanc","ALL","5",NA,"GABRIELLE","ALL GABRIELLE","privé","Saule"
"232","le Saule Blanc","ALL","5",NA,"FAUVETTE","ALL DE LA FAUVETTE","privé","Saule"
"234","le Saule Blanc","ALL","5",NA,"THERESE","ALL THERESE","public","Saule"
"235","le Saule Blanc","ALL","5",NA,"LEON","ALL LEON","public","Saule"
"236","le Saule Blanc","ALL","5",NA,"VILLA JEANNETTE","ALL DE LA VILLA JEANNETTE","public","Saule"
"238","le Saule Blanc","ALL","5",NA,"ALEXANDRE MARTHE","ALL ALEXANDRE MARTHE","privé","Saule"
"239","le Saule Blanc","ALL","5",NA,"MOLIERE","ALL MOLIERE","public","Saule"
"241","le Saule Blanc","ALL","5",NA,"MARCEL SEMBAT","ALL MARCEL SEMBAT","public","Saule"
"249","le Saule Blanc","ALL","4",NA,"RENDEZ VOUS","ALL DU RENDEZ VOUS","public","Saule"
"250","le Saule Blanc","ALL","5",NA,"LOUISE","ALL LOUISE","public","Saule"
"255","le Saule Blanc","ALL","5",NA,"ANEMONES","ALL DES ANEMONES","privé","Saule"
"258","le Saule Blanc","ALL","5",NA,"RACINE","ALL RACINE","public","Saule"
"259","le Saule Blanc","ALL","5",NA,"LILAS","ALL DES LILAS","privé","Saule"
"260","le Saule Blanc","ALL","5",NA,"CONCORDE","ALL DE LA CONCORDE","public","Saule"
"264","le Saule Blanc","ALL","5",NA,"ALICE","ALL ALICE","public","Saule"
"266","le Saule Blanc","ALL","5",NA,"PAIX","ALL DE LA PAIX","public","Saule"
"270","le Saule Blanc","ALL","5",NA,"FURCI","ALL DE FURCI","privé","Saule"
"273","le Saule Blanc","ALL","5",NA,"ANDREA","ALL ANDREA","public","Saule"
"276","le Saule Blanc","ALL","5",NA,"VOLTAIRE","ALL VOLTAIRE","public","Saule"
"279","le Saule Blanc","ALL","5",NA,"PRIMEVERES","ALL DES PRIMEVERES","privé","Saule"
"284","le Saule Blanc","ALL","6",NA,"JOACHIM DU BELLAY","ALL JOACHIM DU BELLAY","privé","Saule"
"291","le Saule Blanc","ALL","5",NA,"SYLPHES","ALL DES SYLPHES","public","Saule"
"301","le Saule Blanc","ALL","4",NA,"CORNEILLE","ALL CORNEILLE","public","Saule"
"303","le Saule Blanc","ALL","5",NA,"RASPAIL","ALL RASPAIL","public","Saule"
"324","les Merisiers","ALL","5",NA,"PABLO NERUDA","ALL PABLO NERUDA","public","Merisiers"
"326","les Merisiers","ALL","5",NA,"ESPERANTO","ALL ESPERANTO","public","Merisiers"
"328","les Merisiers","ALL","5",NA,"SAN MARTIN","ALL SAN MARTIN","public","Merisiers"
"331","les Merisiers","ALL","5",NA,"BOSQUETS","ALL DES BOSQUETS","public","Merisiers"
"332","les Merisiers","ALL","5",NA,"JOSE MARTI","ALL JOSE MARTI","public","Merisiers"
"338","les Merisiers","ALL","5",NA,"SIMON BOLIVAR","ALL SIMON BOLIVAR","public","Merisiers"
"339","les Merisiers","ALL","5",NA,"DAHLIAS","ALL DES DAHLIAS","privé","Merisiers"
"343","les Merisiers","ALL","4",NA,"JARDINIERE","ALL DE LA JARDINIERE","public","Merisiers"
"365","les Merisiers","ALL","6","ALL MARIE-JOSE CHOMBART DE LAUWE","16","16","public","Merisiers"
"367","Noue Caillet : Terre-Saint-Blaise","ALL","5",NA,"ERABLES","ALL DES ERABLES","privé","NC-TSB"
"369","Noue Caillet : Terre-Saint-Blaise","ALL","5",NA,"DEVINIERE","ALL DE LA DEVINIERE","privé","NC-TSB"
"370","Noue Caillet : Terre-Saint-Blaise","ALL","6",NA,"ROSES","ALL DES ROSES","privé","NC-TSB"
"374","Noue Caillet : Terre-Saint-Blaise","ALL","5",NA,"MOZART","ALL MOZART","public","NC-TSB"
"376","Noue Caillet : Terre-Saint-Blaise","ALL","5",NA,"FRENES","ALL DES FRENES","privé","NC-TSB"
"383","Noue Caillet : Terre-Saint-Blaise","ALL","5",NA,"BOULEAUX","ALL DES BOULEAUX","privé","NC-TSB"
"385","Noue Caillet : Terre-Saint-Blaise","ALL","6",NA,"GLAIEULS","ALL DES GLAIEULS","privé","NC-TSB"
"387","Noue Caillet : Terre-Saint-Blaise","ALL","6",NA,"HORTENSIAS","ALL DES HORTENSIAS","privé","NC-TSB"
"388","Noue Caillet : Terre-Saint-Blaise","ALL","5",NA,"AZALEES","ALL DES AZALEES","privé","NC-TSB"
"393","Noue Caillet : Terre-Saint-Blaise","ALL","5",NA,"TULIPES","ALL DES TULIPES","privé","NC-TSB"
"395","Noue Caillet : Terre-Saint-Blaise","ALL","5",NA,"LAURIERS","ALL DES LAURIERS","privé","NC-TSB"
"399","Noue Caillet : Terre-Saint-Blaise","ALL","5",NA,"ANNE SYLVESTRE","ALL ANNE SYLVESTRE","public","NC-TSB"
"404","Noue Caillet : Terre-Saint-Blaise","ALL","5",NA,"SYCOMORES","ALL DES SYCOMORES","privé","NC-TSB"
"405","Noue Caillet : Terre-Saint-Blaise","ALL","5",NA,"VIGNES","ALL DES VIGNES","public","NC-TSB"
"411","Noue Caillet : Terre-Saint-Blaise","ALL","5",NA,"DAHLIAS","ALL DES DAHLIAS","privé","NC-TSB"
"415","Noue Caillet : Terre-Saint-Blaise","ALL","5",NA,"SORBIERS","ALL DES SORBIERS","privé","NC-TSB"
"416","Noue Caillet : Terre-Saint-Blaise","ALL","5",NA,"FOUGERES","ALL DES FOUGERES","privé","NC-TSB"
"418","Noue Caillet : Terre-Saint-Blaise","ALL","6",NA,"GLYCINES","ALL DES GLYCINES","privé","NC-TSB"
"444","Noue Caillet : Terre-Saint-Blaise","ALL","6","ALL MARIE-JOSE CHOMBART DE LAUWE","16","16","public","NC-TSB"
"2","la mare à la Veuve : la remise à Jorelle","AV","5",NA,"ROUGET DE LISLE","AV ROUGET DE LISLE","public","MVeuve"
"17","la mare à la Veuve : la remise à Jorelle","AV","5",NA,"SCIENCES","AV DES SCIENCES","public","MVeuve"
"26","la mare à la Veuve : la remise à Jorelle","AV","4",NA,"CARNOT","AV CARNOT","public","MVeuve"
"28","la mare à la Veuve : la remise à Jorelle","AV","4",NA,"BELFORT","AV DE BELFORT","public","MVeuve"
"33","la mare à la Veuve : la remise à Jorelle","AV","5",NA,"MARIE CURIE","AV MARIE CURIE","public","MVeuve"
"36","la mare à la Veuve : la remise à Jorelle","AV","5",NA,"EST","AV DE L'EST","public","MVeuve"
"39","la mare à la Veuve : la remise à Jorelle","AV","5",NA,"METZ","AV DE METZ","public","MVeuve"
"48","la mare à la Veuve : la remise à Jorelle","AV","5",NA,"NISE","AV DENISE","public","MVeuve"
"52","la mare à la Veuve : la remise à Jorelle","AV","4",NA,"JULES FERRY","AV JULES FERRY","public","MVeuve"
"53","la mare à la Veuve : la remise à Jorelle","AV","5",NA,"GENEVIEVE ANTHONIOZ DE GAULLE","AV GENEVIEVE ANTHONIOZ DE GAULLE","public","MVeuve"
"60","la mare à la Veuve : la remise à Jorelle","AV","5",NA,"PLATANES","AV DES PLATANES","public","MVeuve"
"61","la mare à la Veuve : la remise à Jorelle","AV","5",NA,"REPUBLIQUE","AV DE LA REPUBLIQUE","public","MVeuve"
"72","la mare à la Veuve : la remise à Jorelle","AV","5",NA,"NANCY","AV DE NANCY","public","MVeuve"
"81","la mare à la Veuve : la remise à Jorelle","AV","5",NA,"BLERIOT","AV BLERIOT","public","MVeuve"
"90","la mare à la Veuve : la remise à Jorelle","AV","5",NA,"CADERAS","AV CADERAS","public","MVeuve"
"111","la mare à la Veuve : la remise à Jorelle","AV","4",NA,"ANATOLE FRANCE","AV ANATOLE FRANCE","public","MVeuve"
"113","le Mainguy : le Moulin à vent","AV","4",NA,"PASTEUR","AV PASTEUR","public","Mainguy"
"131","le Mainguy : le Moulin à vent","AV","2",NA,"GALLIENI","AV GALLIENI","public","Mainguy"
"141","le Mainguy : le Moulin à vent","AV","4",NA,"CARNOT","AV CARNOT","public","Mainguy"
"145","le Mainguy : le Moulin à vent","AV","3",NA,"ROSNY","AV DE ROSNY","public","Mainguy"
"163","le Mainguy : le Moulin à vent","AV","4",NA,"JULES FERRY","AV JULES FERRY","public","Mainguy"
"168","le Mainguy : le Moulin à vent","AV","5",NA,"REPUBLIQUE","AV DE LA REPUBLIQUE","public","Mainguy"
"189","le Mainguy : le Moulin à vent","AV","4",NA,"MAL DE LATTRE DE TASSIGNY","AV MAL DE LATTRE DE TASSIGNY","public","Mainguy"
"197","le Saule Blanc","AV","5",NA,"ROUGET DE LISLE","AV ROUGET DE LISLE","public","Saule"
"200","le Saule Blanc","AV","4",NA,"PASTEUR","AV PASTEUR","public","Saule"
"222","le Saule Blanc","AV","2",NA,"GALLIENI","AV GALLIENI","public","Saule"
"237","le Saule Blanc","AV","4",NA,"CARNOT","AV CARNOT","public","Saule"
"243","le Saule Blanc","AV","5",NA,"MARIE CURIE","AV MARIE CURIE","public","Saule"
"257","le Saule Blanc","AV","4",NA,"VERDUN","AV DE VERDUN","public","Saule"
"261","le Saule Blanc","AV","5",NA,"DUMESNIL","AV DUMESNIL","public","Saule"
"271","le Saule Blanc","AV","5",NA,"IDEAL","AV DE L'IDEAL","public","Saule"
"274","le Saule Blanc","AV","3",NA,"ALBERT THOMAS","AV ALBERT THOMAS","public","Saule"
"289","le Saule Blanc","AV","5",NA,"BLERIOT","AV BLERIOT","public","Saule"
"296","le Saule Blanc","AV","5",NA,"ESPERANCE","AV DE L'ESPERANCE","public","Saule"
"306","le Saule Blanc","AV","4",NA,"MAL DE LATTRE DE TASSIGNY","AV MAL DE LATTRE DE TASSIGNY","public","Saule"
"308","le Saule Blanc","AV","3",NA,"HENRI BARBUSSE","AV HENRI BARBUSSE","public","Saule"
"311","les Merisiers","AV","4",NA,"PASTEUR","AV PASTEUR","public","Merisiers"
"313","les Merisiers","AV","5",NA,"VILLAGEOISE","AV DE LA VILLAGEOISE","public","Merisiers"
"315","les Merisiers","AV","2",NA,"GALLIENI","AV GALLIENI","public","Merisiers"
"318","les Merisiers","AV","5",NA,"MARGUERITE","AV MARGUERITE","public","Merisiers"
"320","les Merisiers","AV","5",NA,"MESARMES","AV DES MESARMES","public","Merisiers"
"329","les Merisiers","AV","5",NA,"GUEUGNON","AV GUEUGNON","public","Merisiers"
"334","les Merisiers","AV","5",NA,"VILLEGIATURE","AV DE LA VILLEGIATURE","public","Merisiers"
"337","les Merisiers","AV","5",NA,"CLARA GRANDET","AV CLARA GRANDET","public","Merisiers"
"340","les Merisiers","AV","5",NA,"PARISIENNE","AV DE LA PARISIENNE","public","Merisiers"
"350","les Merisiers","AV","4",NA,"MARX DORMOY","AV MARX DORMOY","public","Merisiers"
"355","les Merisiers","AV","3",NA,"SUZANNE BUISSON","AV SUZANNE BUISSON","public","Merisiers"
"356","les Merisiers","AV","4",NA,"JEAN MOULIN","AV JEAN MOULIN","public","Merisiers"
"359","les Merisiers","AV","3",NA,"HENRI VARAGNAT","AV HENRI VARAGNAT","public","Merisiers"
"364","les Merisiers","AV","5",NA,"MAURICE BENHAMOU","AV MAURICE BENHAMOU","public","Merisiers"
"380","Noue Caillet : Terre-Saint-Blaise","AV","2",NA,"GALLIENI","AV GALLIENI","public","NC-TSB"
"401","Noue Caillet : Terre-Saint-Blaise","AV","5",NA,"GUEUGNON","AV GUEUGNON","public","NC-TSB"
"410","Noue Caillet : Terre-Saint-Blaise","AV","5",NA,"CLARA GRANDET","AV CLARA GRANDET","public","NC-TSB"
"413","Noue Caillet : Terre-Saint-Blaise","AV","4",NA,"LEON BLUM","AV LEON BLUM","public","NC-TSB"
"414","Noue Caillet : Terre-Saint-Blaise","AV","5",NA,"JEAN LEBAS","AV JEAN LEBAS","public","NC-TSB"
"419","Noue Caillet : Terre-Saint-Blaise","AV","3",NA,"LEON JOUHAUX","AV LEON JOUHAUX","public","NC-TSB"
"430","Noue Caillet : Terre-Saint-Blaise","AV","3",NA,"SUZANNE BUISSON","AV SUZANNE BUISSON","public","NC-TSB"
"431","Noue Caillet : Terre-Saint-Blaise","AV","4",NA,"JEAN MOULIN","AV JEAN MOULIN","public","NC-TSB"
"437","Noue Caillet : Terre-Saint-Blaise","AV","3",NA,"HENRI VARAGNAT","AV HENRI VARAGNAT","public","NC-TSB"
"10","la mare à la Veuve : la remise à Jorelle","CH","5",NA,"MONTREUIL A CLAYE","CH DE MONTREUIL A CLAYE","public","MVeuve"
"65","la mare à la Veuve : la remise à Jorelle","CH","5",NA,"MARE A LA VEUVE PROLONGEE","CH DE LA MARE A LA VEUVE PROLONGEE","public","MVeuve"
"86","la mare à la Veuve : la remise à Jorelle","CH","5",NA,"MERLAN","CH DU MERLAN","public","MVeuve"
"106","la mare à la Veuve : la remise à Jorelle","CH","4",NA,"CARROUGES","CH DES CARROUGES","public","MVeuve"
"108","la mare à la Veuve : la remise à Jorelle","CH","4",NA,"MARE A LA VEUVE","CH DE LA MARE A LA VEUVE","public","MVeuve"
"182","le Mainguy : le Moulin à vent","CH","5",NA,"MERLAN","CH DU MERLAN","public","Mainguy"
"314","les Merisiers","CH","4",NA,"LATERAL","CH LATERAL","public","Merisiers"
"341","les Merisiers","CH","4",NA,"PONT","CH DU PONT","public","Merisiers"
"378","Noue Caillet : Terre-Saint-Blaise","CH","4",NA,"LATERAL","CH LATERAL","public","NC-TSB"
"438","Noue Caillet : Terre-Saint-Blaise","CH","4",NA,"GROSLAY","CH DE GROSLAY","public","NC-TSB"
"212","le Saule Blanc","CITE","5",NA,"SAULES","CITE DES SAULES","public","Saule"
"136","le Mainguy : le Moulin à vent","CRS","5",NA,"REPUBLIQUE","CRS DE LA REPUBLIQUE","public","Mainguy"
"433","Noue Caillet : Terre-Saint-Blaise","D78","3",NA,"D78","D78","public","NC-TSB"
"193","le Mainguy : le Moulin à vent","ESPL","parking",NA,"ESPL CLAUDE FUZIER","CLAUDE FUZIER","public","Mainguy"
"20","la mare à la Veuve : la remise à Jorelle","IMP","5","IMP RENE CLAIR","RENE CLAIR","17","public","MVeuve"
"35","la mare à la Veuve : la remise à Jorelle","IMP","5",NA,"GEORGES BRASSENS","IMP GEORGES BRASSENS","public","MVeuve"
"56","la mare à la Veuve : la remise à Jorelle","IMP","4",NA,"ETIENNE DOLET","R ETIENNE DOLET","privé","MVeuve"
"73","la mare à la Veuve : la remise à Jorelle","IMP","5",NA,"LIBERTE","IMP DE LA LIBERTE","public","MVeuve"
"75","la mare à la Veuve : la remise à Jorelle","IMP","5","IMP JEAN WIENER","JEAN WIENER","18","public","MVeuve"
"78","la mare à la Veuve : la remise à Jorelle","IMP","6","IMP HAYDN","9","9","privé","MVeuve"
"79","la mare à la Veuve : la remise à Jorelle","IMP","5",NA,"JACQUES BREL","IMP JACQUES BREL","public","MVeuve"
"155","le Mainguy : le Moulin à vent","IMP","5",NA,"VIOLETTES","IMP DES VIOLETTES","privé","Mainguy"
"167","le Mainguy : le Moulin à vent","IMP","5",NA,"FERNAND POTTIER","IMP FERNAND POTTIER","public","Mainguy"
"176","le Mainguy : le Moulin à vent","IMP","5",NA,"CARNOT","IMP CARNOT","public","Mainguy"
"290","le Saule Blanc","IMP","5",NA,"SOLIDARITE","IMP DE LA SOLIDARITE","privé","Saule"
"322","les Merisiers","IMP","5",NA,"PARISIENNE","IMP DE LA PARISIENNE","privé","Merisiers"
"351","les Merisiers","IMP","6",NA,"JARDINIERE","IMP DE LA JARDINIERE","public","Merisiers"
"363","les Merisiers","IMP","5",NA,"MAURICE BENHAMOU","IMP MAURICE BENHAMOU","public","Merisiers"
"371","Noue Caillet : Terre-Saint-Blaise","MAIL","6",NA,"MARIE-MADELEINE FOURCADE","MAIL MARIE-MADELEINE FOURCADE","public","NC-TSB"
"397","Noue Caillet : Terre-Saint-Blaise","MAIL","6",NA,"PANTAGRUEL","MAIL PANTAGRUEL","public","NC-TSB"
"144","le Mainguy : le Moulin à vent","PAS","5",NA,"MICHELET","PAS MICHELET","privé","Mainguy"
"366","Noue Caillet : Terre-Saint-Blaise","PAS","6",NA,"VERCORS","PAS DU VERCORS","public","NC-TSB"
"389","Noue Caillet : Terre-Saint-Blaise","PAS","piéton",NA,"DEUX VILLES","PAS DES DEUX VILLES","public","NC-TSB"
"38","la mare à la Veuve : la remise à Jorelle","PL","4",NA,"REPUBLIQUE","PL DE LA REPUBLIQUE","public","MVeuve"
"69","la mare à la Veuve : la remise à Jorelle","PL","5",NA,"GARE","PL DE LA GARE","public","MVeuve"
