"","NATURE","NOM","QUARTIER","NA","NA","NA","NA","NA"
"66","la mare à la Veuve : la remise à Jorelle","R","5",NA,"SAINT-LOUIS","R SAINT-LOUIS","public","MVeuve"
"71","la mare à la Veuve : la remise à Jorelle","R","5",NA,"BUTTE","R DE LA BUTTE","public","MVeuve"
"76","la mare à la Veuve : la remise à Jorelle","R","5",NA,"LION","R DU LION","public","MVeuve"
"77","la mare à la Veuve : la remise à Jorelle","R","5",NA,"ALEXANDRA DAVID NEEL","R ALEXANDRA DAVID NEEL","public","MVeuve"
"83","la mare à la Veuve : la remise à Jorelle","R","5",NA,"SIMONE DE BEAUVOIR","R SIMONE DE BEAUVOIR","privé","MVeuve"
"84","la mare à la Veuve : la remise à Jorelle","R","5",NA,"JOE CARMAN","R JOE CARMAN","public","MVeuve"
"85","la mare à la Veuve : la remise à Jorelle","R","4",NA,"EDOUARD VAILLANT","R EDOUARD VAILLANT","public","MVeuve"
"88","la mare à la Veuve : la remise à Jorelle","R","5",NA,"GEORGES GRAFF","R GEORGES GRAFF","public","MVeuve"
"89","la mare à la Veuve : la remise à Jorelle","R","5",NA,"MARCEL PAUL","R MARCEL PAUL","public","MVeuve"
"91","la mare à la Veuve : la remise à Jorelle","R","5",NA,"PEUPLIERS","R DES PEUPLIERS","public","MVeuve"
"102","la mare à la Veuve : la remise à Jorelle","R","4",NA,"ETIENNE DOLET","R ETIENNE DOLET","public","MVeuve"
"103","la mare à la Veuve : la remise à Jorelle","R","4",NA,"BONDY","R DE BONDY","public","MVeuve"
"104","la mare à la Veuve : la remise à Jorelle","R","6",NA,"LIMITES","R DES LIMITES","public","MVeuve"
"105","la mare à la Veuve : la remise à Jorelle","R","5",NA,"SAINT-LOUIS PROLONGEE","R SAINT-LOUIS PROLONGEE","public","MVeuve"
"107","la mare à la Veuve : la remise à Jorelle","R","4",NA,"LIBERTE","R DE LA LIBERTE","public","MVeuve"
"115","le Mainguy : le Moulin à vent","R","5",NA,"NEUVE","R NEUVE","privé","Mainguy"
"118","le Mainguy : le Moulin à vent","R","5",NA,"JEAN JAURES","R JEAN JAURES","public","Mainguy"
"120","le Mainguy : le Moulin à vent","R","5",NA,"JULIE VICTOIRE DAUBIE","R JULIE VICTOIRE DAUBIE","public","Mainguy"
"123","le Mainguy : le Moulin à vent","R","4",NA,"ROGESALENGRO","R ROGER SALENGRO","public","Mainguy"
"125","le Mainguy : le Moulin à vent","R","5",NA,"SAINTE-BARBE","R SAINTE-BARBE","public","Mainguy"
"130","le Mainguy : le Moulin à vent","R","4",NA,"BAUDIN","R BAUDIN","public","Mainguy"
"132","le Mainguy : le Moulin à vent","R","6",NA,"ECOLES","R DES ECOLES","public","Mainguy"
"133","le Mainguy : le Moulin à vent","R","2",NA,"PARIS","R DE PARIS","public","Mainguy"
"138","le Mainguy : le Moulin à vent","R","5",NA,"PAUL VAILLANT COUTURIER","R PAUL VAILLANT COUTURIER","public","Mainguy"
"140","le Mainguy : le Moulin à vent","R","5",NA,"MICHELET","R MICHELET","public","Mainguy"
"142","le Mainguy : le Moulin à vent","R","5",NA,"FREMIN","R FREMIN","public","Mainguy"
"147","le Mainguy : le Moulin à vent","R","5",NA,"PHILEAS COLLARDEAU","R PHILEAS COLLARDEAU","public","Mainguy"
"150","le Mainguy : le Moulin à vent","R","5",NA,"CRONSTADT","R DE CRONSTADT","public","Mainguy"
"151","le Mainguy : le Moulin à vent","R","5",NA,"GATINE","R GATINE","public","Mainguy"
"153","le Mainguy : le Moulin à vent","R","5",NA,"BEAUREGARD","R BEAUREGARD","public","Mainguy"
"157","le Mainguy : le Moulin à vent","R","5",NA,"ARTHURIMBAUD","R ARTHUR RIMBAUD","public","Mainguy"
"159","le Mainguy : le Moulin à vent","R","5",NA,"BREUIL","R DU BREUIL","public","Mainguy"
"161","le Mainguy : le Moulin à vent","R","5",NA,"EGALITE","R DE L'EGALITE","public","Mainguy"
"162","le Mainguy : le Moulin à vent","R","5",NA,"POTAGER","R DU POTAGER","privé","Mainguy"
"164","le Mainguy : le Moulin à vent","R","5",NA,"YVONNE","R YVONNE","public","Mainguy"
"165","le Mainguy : le Moulin à vent","R","5",NA,"JULES LELONG","R JULES LELONG","public","Mainguy"
"166","le Mainguy : le Moulin à vent","R","5",NA,"VIEUX MOULIN","R DU VIEUX MOULIN","public","Mainguy"
"169","le Mainguy : le Moulin à vent","R","5",NA,"DROITS DE L'HOMME","R DES DROITS DE L'HOMME","public","Mainguy"
"170","le Mainguy : le Moulin à vent","R","5",NA,"DAVID LEDER","R DAVID LEDER","public","Mainguy"
"171","le Mainguy : le Moulin à vent","R","5",NA,"FRATERNITE","R DE LA FRATERNITE","public","Mainguy"
"172","le Mainguy : le Moulin à vent","R","4",NA,"HELENE BOUCHER","R HELENE BOUCHER","privé","Mainguy"
"180","le Mainguy : le Moulin à vent","R","4",NA,"EDOUARD VAILLANT","R EDOUARD VAILLANT","public","Mainguy"
"181","le Mainguy : le Moulin à vent","R","5",NA,"FRERES DARTY","R DES FRERES DARTY","public","Mainguy"
"183","le Mainguy : le Moulin à vent","R","5",NA,"HENRY ESPAULLARD","R HENRY ESPAULLARD","public","Mainguy"
"184","le Mainguy : le Moulin à vent","R","6",NA,"CHAMPART","R DU CHAMPART","public","Mainguy"
"186","le Mainguy : le Moulin à vent","R","3",NA,"AUGUSTE POLISSARD","R AUGUSTE POLISSARD","public","Mainguy"
"190","le Mainguy : le Moulin à vent","R","3",NA,"JULES GUESDE","R JULES GUESDE","public","Mainguy"
"191","le Mainguy : le Moulin à vent","R","4",NA,"LOUIS AUGUSTE BLANQUI","R LOUIS AUGUSTE BLANQUI","public","Mainguy"
"192","le Mainguy : le Moulin à vent","R","5",NA,"SERGENT BOBILLOT","R DU SERGENT BOBILLOT","public","Mainguy"
"196","le Saule Blanc","R","5",NA,"GASTON DEFFERRE","R GASTON DEFFERRE","public","Saule"
"199","le Saule Blanc","R","5",NA,"EMMANUEL FAIRON","R EMMANUEL FAIRON","public","Saule"
"202","le Saule Blanc","R","5",NA,"NEUVE","R NEUVE","privé","Saule"
"204","le Saule Blanc","R","5",NA,"ROBERT BONNET","R ROBERT BONNET","public","Saule"
"205","le Saule Blanc","R","5",NA,"MARCELLIN BERTHELOT","R MARCELLIN BERTHELOT","public","Saule"
"207","le Saule Blanc","R","5",NA,"RAOUL","R RAOUL","public","Saule"
"210","le Saule Blanc","R","5",NA,"CHALET","R DU CHALET","public","Saule"
"211","le Saule Blanc","R","5",NA,"UNION","R DE L'UNION","public","Saule"
"214","le Saule Blanc","R","5",NA,"DENYS COCHIN","R DENYS COCHIN","public","Saule"
"215","le Saule Blanc","R","5",NA,"NOEMIE","R NOEMIE","public","Saule"
"217","le Saule Blanc","R","5",NA,"MARTIN LUTHER KING","R MARTIN LUTHER KING","privé","Saule"
"218","le Saule Blanc","R","4",NA,"HENRI DOUILLOT","R HENRI DOUILLOT","public","Saule"
"220","le Saule Blanc","R","5",NA,"GEORGES ELIE","R GEORGES ELIE","public","Saule"
"221","le Saule Blanc","R","4",NA,"PROFESSEUVAILLANT","R DU PROFESSEUR VAILLANT","public","Saule"
"223","le Saule Blanc","R","5",NA,"LOUIS LEON COLLIGNON","R LOUIS LEON COLLIGNON","public","Saule"
"224","le Saule Blanc","R","5",NA,"AVIATION","R DE L'AVIATION","public","Saule"
"229","le Saule Blanc","R","5",NA,"TREMEUGE","R DE TREMEUGE","public","Saule"
"231","le Saule Blanc","R","5",NA,"BERANGER","R BERANGER","public","Saule"
"240","le Saule Blanc","R","5",NA,"BERNARD DE JUSSIEU","R BERNARD DE JUSSIEU","public","Saule"
"242","le Saule Blanc","R","5",NA,"CLOS VAILLANT","R DU CLOS VAILLANT","privé","Saule"
"244","le Saule Blanc","R","5",NA,"BEL AIR","R DU BEL AIR","public","Saule"
"246","le Saule Blanc","R","5",NA,"GAZELLES","R DES GAZELLES","public","Saule"
"248","le Saule Blanc","R","5",NA,"LEVANT","R DU LEVANT","public","Saule"
"251","le Saule Blanc","R","6",NA,"JACQUELINE AURIOL","R JACQUELINE AURIOL","privé","Saule"
"252","le Saule Blanc","R","5",NA,"FRANCOIS COLLET","R FRANCOIS COLLET","public","Saule"
"253","le Saule Blanc","R","5",NA,"CHARLES MAGNE","R CHARLES MAGNE","privé","Saule"
"254","le Saule Blanc","R","5",NA,"VIEUX CHATEAU","R DU VIEUX CHATEAU","public","Saule"
"256","le Saule Blanc","R","4",NA,"SOLIDARITE","R DE LA SOLIDARITE","public","Saule"
"262","le Saule Blanc","R","5",NA,"PIERRE BROSSOLETTE","R PIERRE BROSSOLETTE","public","Saule"
"263","le Saule Blanc","R","5",NA,"COMPAGNON","R COMPAGNON","public","Saule"
"265","le Saule Blanc","R","5",NA,"CYCLE","R DU CYCLE","public","Saule"
"267","le Saule Blanc","R","5",NA,"HENRI DUNANT","R HENRI DUNANT","privé","Saule"
"268","le Saule Blanc","R","5",NA,"MOLERET","R DU MOLERET","public","Saule"
"269","le Saule Blanc","R","5",NA,"ROBERT DOUVILLEZ","R ROBERT DOUVILLEZ","public","Saule"
"272","le Saule Blanc","R","5",NA,"SIRE LEON","R DESIRE LEON","public","Saule"
"275","le Saule Blanc","R","5",NA,"EUGENE MASSON","R EUGENE MASSON","public","Saule"
"277","le Saule Blanc","R","5",NA,"BORDIER","R BORDIER","public","Saule"
"278","le Saule Blanc","R","5",NA,"GUY DE MAUPASSANT","R GUY DE MAUPASSANT","public","Saule"
"280","le Saule Blanc","R","5",NA,"ABBE MAURICE BAURIT","R DE L'ABBE MAURICE BAURIT","privé","Saule"
"282","le Saule Blanc","R","5",NA,"PLAISANCE","R DE PLAISANCE","public","Saule"
"283","le Saule Blanc","R","5",NA,"PROGRES","R DU PROGRES","public","Saule"
"285","le Saule Blanc","R","5",NA,"GUILLAUME APOLLINAIRE","R GUILLAUME APOLLINAIRE","privé","Saule"
"286","le Saule Blanc","R","5",NA,"JULES AUFFRET","R JULES AUFFRET","public","Saule"
"287","le Saule Blanc","R","5",NA,"CESADELAINE","R CESAR DELAINE","public","Saule"
"292","le Saule Blanc","R","5",NA,"PAUL ELUARD","R PAUL ELUARD","privé","Saule"
"293","le Saule Blanc","R","5",NA,"PRESSENSE","R DE PRESSENSE","public","Saule"
"294","le Saule Blanc","R","5",NA,"SIMONE DE BEAUVOIR","R SIMONE DE BEAUVOIR","privé","Saule"
"295","le Saule Blanc","R","4",NA,"EDOUARD VAILLANT","R EDOUARD VAILLANT","public","Saule"
"297","le Saule Blanc","R","4",NA,"HENRI ALPY","R HENRI ALPY","public","Saule"
"298","le Saule Blanc","R","5",NA,"GEORGES GRAFF","R GEORGES GRAFF","public","Saule"
"300","le Saule Blanc","R","4",NA,"5 ORMES","R DES 5 ORMES","public","Saule"
"302","le Saule Blanc","R","5",NA,"AMEDEE GUYARD","R AMEDEE GUYARD","public","Saule"
"304","le Saule Blanc","R","4",NA,"CHARLES FERDINAND","R CHARLES FERDINAND","public","Saule"
"307","le Saule Blanc","R","6",NA,"COQ GAULOIS","R DU COQ GAULOIS","public","Saule"
"309","le Saule Blanc","R","3",NA,"JULES GUESDE","R JULES GUESDE","public","Saule"
"310","le Saule Blanc","R","4",NA,"LOUIS AUGUSTE BLANQUI","R LOUIS AUGUSTE BLANQUI","public","Saule"
"316","les Merisiers","R","4",NA,"LUCIEN CHAPELAIN","R LUCIEN CHAPELAIN","public","Merisiers"
"317","les Merisiers","R","6",NA,"ECOLES","R DES ECOLES","public","Merisiers"
"319","les Merisiers","R","4",NA,"EMILE ZOLA","R EMILE ZOLA","public","Merisiers"
"321","les Merisiers","R","5",NA,"TERRE SAINT-BLAISE","R DE LA TERRE SAINT-BLAISE","public","Merisiers"
"323","les Merisiers","R","5",NA,"JEAN-MARIE TJIBAOU","R JEAN-MARIE TJIBAOU","public","Merisiers"
"325","les Merisiers","R","5",NA,"MEAUX","R DE MEAUX","public","Merisiers"
"327","les Merisiers","R","5",NA,"VERSAILLES","R DE VERSAILLES","public","Merisiers"
"330","les Merisiers","R","5",NA,"PAUL RENAUD","R PAUL RENAUD","public","Merisiers"
"333","les Merisiers","R","5",NA,"ARTHUR GROUSSIER","R ARTHUR GROUSSIER","public","Merisiers"
"335","les Merisiers","R","5",NA,"BOREL","R BOREL","public","Merisiers"
"336","les Merisiers","R","6",NA,"ERIC TABARLY","R ERIC TABARLY","public","Merisiers"
"342","les Merisiers","R","5",NA,"LAUG","R LAUG","public","Merisiers"
"344","les Merisiers","R","4",NA,"FONTAINE","R FONTAINE","public","Merisiers"
"345","les Merisiers","R","5",NA,"PIERRE DE RONSARD","R PIERRE DE RONSARD","public","Merisiers"
"346","les Merisiers","R","5",NA,"4 SEPTEMBRE","R DU 4 SEPTEMBRE","public","Merisiers"
"347","les Merisiers","R","4",NA,"ANDREI SAKHAROV","R ANDREI SAKHAROV","public","Merisiers"
"349","les Merisiers","R","6",NA,"PALAIS DES SPORTS","R PALAIS DES SPORTS","public","Merisiers"
"353","les Merisiers","R","6",NA,"FRANCOISE HERITIER","R FRANCOISE HERITIER","public","Merisiers"
"360","les Merisiers","R","5",NA,"FRANCOIS VILLON","R FRANCOIS VILLON","public","Merisiers"
"368","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"ODETTE PAIN","R ODETTE PAIN","public","NC-TSB"
"373","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"TRINQUAMELLE","R TRINQUAMELLE","privé","NC-TSB"
"375","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"GERMAINE TILLION","R GERMAINE TILLION","public","NC-TSB"
"377","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"BON AIR","R DU BON AIR","public","NC-TSB"
"379","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"GARGANTUA","R GARGANTUA","public","NC-TSB"
"381","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"TERRE SAINT-BLAISE","R DE LA TERRE SAINT-BLAISE","public","NC-TSB"
"382","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"FRANCS AUBIERS","R DES FRANCS AUBIERS","public","NC-TSB"
"386","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"FLORALIES","R DES FLORALIES","privé","NC-TSB"
"390","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"MEAUX","R DE MEAUX","public","NC-TSB"
"391","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"FER A CHEVAL","R DU FER A CHEVAL","privé","NC-TSB"
"392","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"EUGENE VARLIN","R EUGENE VARLIN","public","NC-TSB"
"394","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"HENRI MOULY","R HENRI MOULY","privé","NC-TSB"
"396","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"RABELAIS","R RABELAIS","public","NC-TSB"
"398","Noue Caillet : Terre-Saint-Blaise","R","4",NA,"VERGER","R DU VERGER","public","NC-TSB"
"400","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"VERSAILLES","R DE VERSAILLES","public","NC-TSB"
"402","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"PAUL RENAUD","R PAUL RENAUD","public","NC-TSB"
"403","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"FRANCOIS MARTIN","R FRANCOIS MARTIN","privé","NC-TSB"
"406","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"JULES LECOMTE","R JULES LECOMTE","public","NC-TSB"
"407","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"ESCHOLIERS","R DES ESCHOLIERS","public","NC-TSB"
"408","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"HENRI ROL TANGUY","R HENRI ROL TANGUY","public","NC-TSB"
"409","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"LUCIE AUBRAC","R LUCIE AUBRAC","public","NC-TSB"
"417","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"PANURGE","R DE PANURGE","public","NC-TSB"
"420","Noue Caillet : Terre-Saint-Blaise","R","4",NA,"ANDREI SAKHAROV","R ANDREI SAKHAROV","public","NC-TSB"
"422","Noue Caillet : Terre-Saint-Blaise","R","6",NA,"SUZANNE BLIN","R SUZANNE BLIN","public","NC-TSB"
"427","Noue Caillet : Terre-Saint-Blaise","R","6",NA,"SIMONE VEIL","R SIMONE VEIL","public","NC-TSB"
"429","Noue Caillet : Terre-Saint-Blaise","R","6",NA,"ARETHA FRANKLIN","R ARETHA FRANKLIN","public","NC-TSB"
"432","Noue Caillet : Terre-Saint-Blaise","R","4",NA,"JEAN PIERRE LEVY","R JEAN PIERRE LEVY","public","NC-TSB"
"435","Noue Caillet : Terre-Saint-Blaise","R","6",NA,"ROGEPANNEQUIN","R ROGER PANNEQUIN","public","NC-TSB"
"439","Noue Caillet : Terre-Saint-Blaise","R","4",NA,"JEAN JACQUES ROUSSEAU","R JEAN JACQUES ROUSSEAU","public","NC-TSB"
"443","Noue Caillet : Terre-Saint-Blaise","R","5",NA,"BENOITE GROULT","R BENOITE GROULT","public","NC-TSB"
"445","Noue Caillet : Terre-Saint-Blaise","R","3",NA,"NADIA MURAD","R NADIA MURAD","public","NC-TSB"
"446","Noue Caillet : Terre-Saint-Blaise","R","6",NA,"GISELE HALIMI","R GISELE HALIMI","public","NC-TSB"
"129","le Mainguy : le Moulin à vent","RLE","piéton",NA,"SAINTE-BARBE","RLE SAINTE-BARBE","public","Mainguy"
"68","la mare à la Veuve : la remise à Jorelle","RPE","4",NA,"PONT","RPE DU PONT","public","MVeuve"
"412","Noue Caillet : Terre-Saint-Blaise","RPT","4",NA,"VERGER","RPT DU VERGER","public","NC-TSB"
"434","Noue Caillet : Terre-Saint-Blaise","RPT","4",NA,"JOUHAUX","RPT JOUHAUX","public","NC-TSB"
"440","Noue Caillet : Terre-Saint-Blaise","RPT","5",NA,"BUISSON","RPT BUISSON","public","NC-TSB"
"1","la mare à la Veuve : la remise à Jorelle","RTE","4",NA,"VILLEMOMBLE","RTE DE VILLEMOMBLE","public","MVeuve"
"137","le Mainguy : le Moulin à vent","RTE","3",NA,"STAINS","RTE DE STAINS","public","Mainguy"
"188","le Mainguy : le Moulin à vent","RTE","3",NA,"AULNAY","RTE D'AULNAY","public","Mainguy"
"358","les Merisiers","RTE","3",NA,"AULNAY","RTE D'AULNAY","public","Merisiers"
"384","Noue Caillet : Terre-Saint-Blaise","RTE","3",NA,"STAINS","RTE DE STAINS","public","NC-TSB"
"436","Noue Caillet : Terre-Saint-Blaise","RTE","3",NA,"AULNAY","RTE D'AULNAY","public","NC-TSB"
"97","la mare à la Veuve : la remise à Jorelle","Sans","6",NA,"Sans nom","","privé","MVeuve"
"100","la mare à la Veuve : la remise à Jorelle","Sans","6",NA,"Sans nom","","privé","MVeuve"
"101","la mare à la Veuve : la remise à Jorelle","Sans","6",NA,"Sans nom","","privé","MVeuve"
"135","le Mainguy : le Moulin à vent","Sans","6",NA,"sans nom","","privé","Mainguy"
"187","le Mainguy : le Moulin à vent","Sans","5",NA,"Sans nom","","privé","Mainguy"
"305","le Saule Blanc","Sans","6",NA,"Sans nom","","privé","Saule"
"352","les Merisiers","Sans","6",NA,"Sans nom","","privé","Merisiers"
"354","les Merisiers","Sans","6",NA,"Sans nom","","privé","Merisiers"
"357","les Merisiers","Sans","6",NA,"Sans nom","","privé","Merisiers"
"361","les Merisiers","Sans","6",NA,"Sans nom","","privé","Merisiers"
"362","les Merisiers","Sans","6",NA,"Sans nom","","privé","Merisiers"
"421","Noue Caillet : Terre-Saint-Blaise","Sans","6",NA,"Sans nom","","privé","NC-TSB"
"423","Noue Caillet : Terre-Saint-Blaise","Sans","6",NA,"Sans nom","","privé","NC-TSB"
"424","Noue Caillet : Terre-Saint-Blaise","Sans","6",NA,"Sans nom","","privé","NC-TSB"
"425","Noue Caillet : Terre-Saint-Blaise","Sans","6",NA,"Sans nom","","privé","NC-TSB"
"426","Noue Caillet : Terre-Saint-Blaise","Sans","6",NA,"Sans nom","","privé","NC-TSB"
"441","Noue Caillet : Terre-Saint-Blaise","Sans","6",NA,"Sans nom","","privé","NC-TSB"
"442","Noue Caillet : Terre-Saint-Blaise","Sans","6",NA,"Sans nom","","privé","NC-TSB"
"4","la mare à la Veuve : la remise à Jorelle","SEN","6",NA,"RENE CHAR","SEN RENE CHAR","public","MVeuve"
"16","la mare à la Veuve : la remise à Jorelle","SEN","6","SEN PIERRE BOURDIEU","15","15","public","MVeuve"
"247","le Saule Blanc","SEN","5",NA,"BLERIOT","SEN BLERIOT","public","Saule"
"178","le Mainguy : le Moulin à vent","SQ","6",NA,"8 MAI 1945","SQ DU 8 MAI 1945","public","Mainguy"
"288","le Saule Blanc","SQ","6",NA,"8 MAI 1945","SQ DU 8 MAI 1945","public","Saule"
"12","la mare à la Veuve : la remise à Jorelle","VLA","5",NA,"MADELEINE","VLA MADELEINE","public","MVeuve"
"119","le Mainguy : le Moulin à vent","VLA","5",NA,"MARRONNIERS","VLA DES MARRONNIERS","privé","Mainguy"
"124","le Mainguy : le Moulin à vent","VLA","6",NA,"BRECHET","VLA DU BRECHET","privé","Mainguy"
"128","le Mainguy : le Moulin à vent","VLA","5",NA,"CARNOT","VLA CARNOT","public","Mainguy"
"134","le Mainguy : le Moulin à vent","VLA","5",NA,"PARMENTIER","VLA PARMENTIER","privé","Mainguy"
"139","le Mainguy : le Moulin à vent","VLA","5",NA,"FLEURY","VLA FLEURY","public","Mainguy"
"143","le Mainguy : le Moulin à vent","VLA","5",NA,"ABEILLES","VLA DES ABEILLES","public","Mainguy"
"146","le Mainguy : le Moulin à vent","VLA","5",NA,"LAVIGNE","VLA LAVIGNE","public","Mainguy"
"174","le Mainguy : le Moulin à vent","VLA","5",NA,"BREUIL","VLA DU BREUIL","privé","Mainguy"
"177","le Mainguy : le Moulin à vent","VLA","5",NA,"THOREL","VLA THOREL","public","Mainguy"
"179","le Mainguy : le Moulin à vent","VLA","5",NA,"GABRIEL SEAILLES","VLA GABRIEL SEAILLES","privé","Mainguy"
"219","le Saule Blanc","VLA","5",NA,"CARNOT","VLA CARNOT","public","Saule"
"245","le Saule Blanc","VLA","5",NA,"LAVIGNE","VLA LAVIGNE","public","Saule"
"299","le Saule Blanc","VLA","5",NA,"CERISES","VLA DES CERISES","privé","Saule"
"109","la mare à la Veuve : la remise à Jorelle","VOIE","piéton",NA,"COULEE VERTE","VOIE TRAM TRAIN","public","MVeuve"
