"nom","adresse","cp","ville"
" BIONAZ ","28 RUE MARCEL DASSAULT",93140,"Bondy"
" CEMEX BETON ","1 QUAI HUBERTINE AUCLERT",93140,"Bondy"
" EQIOM BETONS IDF ","QUAI HUBERTINE AUCLERT",93140,"Bondy"
