"rue","usage","zone","type"
"R DU CHAMPART","public","zone orange","rues à marquer"
"R AUGUSTE POLISSARD","public","zone orange","rues à marquer"
"R SIMONE VEIL","public","zone orange","rues à marquer"
"R GISELE HALIMI","public","zone orange","rues à marquer"
"R ARETHA FRANKLIN","public","zone orange","rues à marquer"
"AV HENRI BARBUSSE","Carnot Alpy","zone orange","rues à marquer"
"R LOUIS AUGUSTE BLANQUI","Salengro Carnot","zone orange","rues à marquer"
"R BENOITE GROULT","public","zone orange","rues à marquer"
"R JULES GUESDE","public","zone orange","rues à marquer"
"ESPL CLAUDE FUZIER","parking","zone orange","rues à marquer"
"CRS DE LA REPUBLIQUE","public","zone orange","rues à marquer"
"PL DE LA GARE","parking","zone orange","rues à marquer"
"R DU MIDI","public","Mare à la veuve","rues à marquer"
"ALL DE L'ETOILE","public","Mare à la veuve","rues à marquer"
"ALL DES TILLEULS","public","Mare à la veuve","rues à marquer"
"R JEAN MONNET","public","Mare à la veuve","rues à marquer"
"AV DE BELFORT","public","Mare à la veuve","rues à marquer"
"AV DE L'EST","public","Mare à la veuve","rues à marquer"
"AV DE METZ","public","Mare à la veuve","rues à marquer"
"ALL SURCOUF","?","Mare à la veuve","rues à marquer"
"R PAULINE ROGER","public","Mare à la veuve","rues à marquer"
"R DAVID LEDER","public","Mare à la veuve","rues à marquer"
"RPE DU PONT","public","Mare à la veuve","rues à marquer"
"AV DE NANCY","public","Mare à la veuve","rues à marquer"
"IMP JACQUES BREL","public","Mare à la veuve","rues à marquer"
"R JOE CARMAN","public","Mare à la veuve","rues à marquer"
"R MARCEL PAUL","public","Mare à la veuve","rues à marquer"
"R DES PEUPLIERS","public","Mare à la veuve","rues à marquer"
"ALL DE L'ORME","public","Mare à la veuve","rues à marquer"
"R ETIENNE DOLET","public","Mare à la veuve","rues à marquer"
"RTE DE VILLEMOMBLE","au niveau du n°40","Mare à la veuve","rues à marquer"
"ALL DES HETRES","","Mare à la veuve","rues à marquer"
"AV DES PLATANES","public","Mare à la veuve","rues à marquer"
"R DE VARSOVIE","public","Mare à la veuve","rues à marquer"
"R FRANCOIS COLLET","public","Remise à Jorelle","rues à marquer"
"R THEODORE MONOD","public","Remise à Jorelle","rues à marquer"
"R EDOUARD VAILLANT","","Remise à Jorelle","rues à marquer"
"AV MARIE CURIE","privé","Remise à Jorelle","rues à marquer"
"R RENE DUMONT","public","Remise à Jorelle","rues à marquer"
"R R. KIPLING","","Remise à Jorelle","rues à marquer"
"AV GENEVIEVE ANTHONIOZ DE GAULLE","public","Remise à Jorelle","rues à marquer"
"R ALEXANDRA DAVID NEEL","public","Remise à Jorelle","rues à marquer"
"ALL DE L'EGALITE","public","Mainguy","rues à marquer"
"R JEAN JAURES","public","Mainguy","rues à marquer"
"R SAINTE-BARBE","public","Mainguy","rues à marquer"
"ALL RULHIERE","public","Mainguy","rues à marquer"
"R PAUL VAILLANT COUTURIER","à partir de Salengro","Mainguy","rues à marquer"
"VLA FLEURY","public","Mainguy","rues à marquer"
"R MICHELET","public","Mainguy","rues à marquer"
"R FREMIN","public","Mainguy","rues à marquer"
"R PHILEAS COLLARDEAU","public","Mainguy","rues à marquer"
"R DE CRONSTADT","public","Mainguy","rues à marquer"
"R BEAUREGARD","public","Mainguy","rues à marquer"
"R DU BREUIL","public","Mainguy","rues à marquer"
"R DE L'EGALITE","public","Mainguy","rues à marquer"
"R YVONNE","public","Mainguy","rues à marquer"
"R JULES LELONG","public","Mainguy","rues à marquer"
"IMP F POTTIER","public","Mainguy","rues à marquer"
"R DES DROITS DE L'HOMME","public","Mainguy","rues à marquer"
"R DE LA FRATERNITE","public","Mainguy","rues à marquer"
"IMP CARNOT","public","Mainguy","rues à marquer"
"VLA THOREL","public","Mainguy","rues à marquer"
"R EDOUARD VAILLANT","","Mainguy","rues à marquer"
"R DU SERGENT BOBILLOT","public","Mainguy","rues à marquer"
"PL CHARLES DE GAULLE","parking","Mainguy","rues à marquer"
"R BAUDIN","public","Mainguy","rues à marquer"
"AV DE ROSNY","Villa G. Séailles - Baudin","Mainguy","rues à marquer"
"ALL DU MOULIN","public","Mainguy","rues à marquer"
"R DES ECOLES","public","Canal","rues à marquer"
"AV MARGUERITE","public","Canal","rues à marquer"
"R BOREL","public","Canal","rues à marquer"
"R LAUG","public","Canal","rues à marquer"
"AUTOPONT","public","Canal","rues à marquer"
"AV ROUGET DE LISLE","public","Saule blanc","rues à marquer"
"R DE L'UNION","public","Saule blanc","rues à marquer"
"R NOEMIE","public","Saule blanc","rues à marquer"
"VLA CARNOT","public","Saule blanc","rues à marquer"
"VLA MADELEINE","public","Saule blanc","rues à marquer"
"R LOUIS LEON COLLIGNON","public","Saule blanc","rues à marquer"
"VLA LAVIGNE","public","Saule blanc","rues à marquer"
"R DU VIEUX CHATEAU","public","Saule blanc","rues à marquer"
"R DE LA SOLIDARITE","public","Saule blanc","rues à marquer"
"AV DENISE","public","Saule blanc","rues à marquer"
"R BORDIER","public","Saule blanc","rues à marquer"
"R DU LION","public","Saule blanc","rues à marquer"
"AV BLERIOT","public","Saule blanc","rues à marquer"
"R EDOUARD VAILLANT","","Saule blanc","rues à marquer"
"R HENRI ALPY","public","Saule blanc","rues à marquer"
"AV CADERAS","public","Saule blanc","rues à marquer"
"R CHARLES FERDINAND","public","Saule blanc","rues à marquer"
"AV HENRI BARBUSSE","De H. Alpy à la pl. Neuburger","Saule blanc","rues à marquer"
"R LOUIS AUGUSTE BLANQUI","Carnot à J. Auriol","Saule blanc","rues à marquer"
"R DE LA LIBERTE","public","Saule blanc","rues à marquer"
"PL NICOLE NEUBURGER","parking","Saule blanc","rues à marquer"
"R GASTON DEFFERRE","privé ouvert à la circulation","Saule blanc","rues à marquer"
