"","x"
"1","SCI"
"2","ETAT"
"3","EPA"
"4","SA"
"5",""
"6","COM"
"7","DEPT"
"8","EPIC"
"9","SARL"
"10","SC"
"11","COLL"
"12","SEM"
"13","SAS"
"14","ASS"
"15","SYCO"
"16","SNC"
"17","SAM"
"18","SIVU"
"19","SIVO"
"20","SCPI"
