"NOM_1_G","NOM","NATURE","usage","longueur"
"R EUGENE VARLIN","EUGENE VARLIN","R","public",177
"ALL DE LA FAUVETTE","FAUVETTE","ALL","privé",176
"R DU FER A CHEVAL","FER A CHEVAL","R","privé",189
"IMP FERNAND POTTIER","FERNAND POTTIER","IMP","public",75
"PL DES FLEURS","FLEURS","PL","privé",79
"VLA FLEURY","FLEURY","VLA","public",162
"R DES FLORALIES","FLORALIES","R","privé",114
"R FONTAINE","FONTAINE","R","public",435
"PONT DE LA FORET","FORET","PONT","public",70
"ALL DES FOUGERES","FOUGERES","ALL","privé",69
"R FRANCOIS COLLET","FRANCOIS COLLET","R","public",205
"R FRANCOIS MARTIN","FRANCOIS MARTIN","R","privé",399
"R FRANCOIS VILLON","FRANCOIS VILLON","R","privé",347
"R FRANCOISE HERITIER","FRANCOISE HERITIER","R","public",122
"R DES FRANCS AUBIERS","FRANCS AUBIERS","R","public",223
"R DE LA FRATERNITE","FRATERNITE","R","public",202
"R FREMIN","FREMIN","R","public",261
"ALL DES FRENES","FRENES","ALL","privé",103
"R DES FRERES DARTY","FRERES DARTY","R","public",204
"ALL DE FURCI","FURCI","ALL","privé",273
"ALL GABRIEL FAURE","GABRIEL FAURE","ALL","privé",91
"VLA GABRIEL SEAILLES","GABRIEL SEAILLES","VLA","privé",101
"ALL GABRIELLE","GABRIELLE","ALL","privé",242
"AV GALLIENI","GALLIENI","AV","public",3341
"R GARGANTUA","GARGANTUA","R","public",102
"R GASTON DEFFERRE","GASTON DEFFERRE","R","public",349
"R GATINE","GATINE","R","public",178
"R DES GAZELLES","GAZELLES","R","public",174
"AV GENEVIEVE ANTHONIOZ DE GAULLE","GENEVIEVE ANTHONIOZ DE GAULLE","AV","privé",596
"IMP GEORGES BRASSENS","GEORGES BRASSENS","IMP","public",61
"R GEORGES ELIE","GEORGES ELIE","R","public",352
"R GEORGES GRAFF","GEORGES GRAFF","R","public",177
"PL GEORGES LYSSANDRE","GEORGES LYSSANDRE","PL","privé",881
"ALL GEORGES SAND","GEORGES SAND","ALL","public",311
"R GERMAINE TILLION","GERMAINE TILLION","R","public",140
"R GISELE HALIMI","GISELE HALIMI","R","public",76
"ALL DES GLAIEULS","GLAIEULS","ALL","privé",78
"ALL DES GLYCINES","GLYCINES","ALL","privé",62
"ALL GOYA","GOYA","ALL","privé",25
"ALL DU GROS BUISSON","GROS BUISSON","ALL","public",134
"CH DE GROSLAY","GROSLAY","CH","public",1211
"AV GUEUGNON","GUEUGNON","AV","public",222
"R GUILLAUME APOLLINAIRE","GUILLAUME APOLLINAIRE","R","privé",443
"R GUY DE MAUPASSANT","GUY DE MAUPASSANT","R","public",232
"ALL HANNAH ARENDT","HANNAH ARENDT","ALL","public",189
"IMP HAYDN","HAYDN","IMP","privé",31
"ALL HECTOR BERLIOZ","HECTOR BERLIOZ","ALL","privé",135
"R HELENE BOUCHER","HELENE BOUCHER","R","privé",312
"R HENRI ALPY","HENRI ALPY","R","public",342
"AV HENRI BARBUSSE","HENRI BARBUSSE","AV","public",1380
"R HENRI DOUILLOT","HENRI DOUILLOT","R","public",397
"R HENRI DUNANT","HENRI DUNANT","R","privé",307
"R HENRI MOULY","HENRI MOULY","R","privé",315
"R HENRI ROL TANGUY","HENRI ROL TANGUY","R","privé",187
"AV HENRI VARAGNAT","HENRI VARAGNAT","AV","public",808
"R HENRY ESPAULLARD","HENRY ESPAULLARD","R","public",75
"ALL DES HETRES","HETRES","ALL","public",185
"ALL DES HORTENSIAS","HORTENSIAS","ALL","privé",78
"QUAI HUBERTINE AUCLERT","HUBERTINE AUCLERT","QUAI","public",1505
"AV DE L'IDEAL","IDEAL","AV","public",281
"ALL DES IRIS","IRIS","ALL","privé",91
"R JACQUELINE AURIOL","JACQUELINE AURIOL","R","privé",263
"IMP JACQUES BREL","JACQUES BREL","IMP","public",163
"ALL DE LA JARDINIERE","JARDINIERE","ALL","public",269
"IMP DE LA JARDINIERE","JARDINIERE","IMP","public",30
"R JEAN-MARIE TJIBAOU","JEAN-MARIE TJIBAOU","R","public",126
"ALL JEAN COURTADE","JEAN COURTADE","ALL","privé",90
"R JEAN JACQUES ROUSSEAU","JEAN JACQUES ROUSSEAU","R","public",153
"R JEAN JAURES","JEAN JAURES","R","public",481
"AV JEAN LEBAS","JEAN LEBAS","AV","public",212
"R JEAN MONNET","JEAN MONNET","R","public",384
"AV JEAN MOULIN","JEAN MOULIN","AV","public",558
"R JEAN PIERRE LEVY","JEAN PIERRE LEVY","R","public",140
"IMP JEAN WIENER","JEAN WIENER","IMP","public",38
"ALL JOACHIM DU BELLAY","JOACHIM DU BELLAY","ALL","privé",79
"R JOE CARMAN","JOE CARMAN","R","public",204
"ALL JOSE MARTI","JOSE MARTI","ALL","public",109
"RPT JOUHAUX","JOUHAUX","RPT","public",129
"R JULES AUFFRET","JULES AUFFRET","R","public",355
"AV JULES FERRY","JULES FERRY","AV","public",274
"R JULES GUESDE","JULES GUESDE","R","public",769
"R JULES LECOMTE","JULES LECOMTE","R","public",191
"R JULES LELONG","JULES LELONG","R","public",114
"R JULIE VICTOIRE DAUBIE","JULIE VICTOIRE DAUBIE","R","public",70
"CH LATERAL","LATERAL","CH","public",579
"R LAUG","LAUG","R","public",116
"ALL DES LAURIERS","LAURIERS","ALL","privé",67
"VLA LAVIGNE","LAVIGNE","VLA","public",62
"ALL LEON","LEON","ALL","public",150
"AV LEON BLUM","LEON BLUM","AV","public",588
"AV LEON JOUHAUX","LEON JOUHAUX","AV","privé",383
"ALL DES LETTRES","LETTRES","ALL","public",198
"R DU LEVANT","LEVANT","R","public",319
"PL DE LA LIBERTE","LIBERTE","PL","public",84
"IMP DE LA LIBERTE","LIBERTE","IMP","public",30
"R DE LA LIBERTE","LIBERTE","R","public",599
"ALL DES LILAS","LILAS","ALL","privé",151
"R DES LIMITES","LIMITES","R","public",100
"R DU LION","LION","R","public",165
"R LOUIS AUGUSTE BLANQUI","LOUIS AUGUSTE BLANQUI","R","public",1673
"R LOUIS LEON COLLIGNON","LOUIS LEON COLLIGNON","R","public",200
"ALL LOUISE","LOUISE","ALL","public",69
"ALL LOUISE MICHEL","LOUISE MICHEL","ALL","public",80
"ALL LOUISE WEISS","LOUISE WEISS","ALL","privé",23
"R LUCIE AUBRAC","LUCIE AUBRAC","R","public",168
"R LUCIEN CHAPELAIN","LUCIEN CHAPELAIN","R","public",642
"VLA MADELEINE","MADELEINE","VLA","public",115
"AV MAL DE LATTRE DE TASSIGNY","MAL DE LATTRE DE TASSIGNY","AV","public",446
"ALL MANET","MANET","ALL","privé",53
"R MARCEL DASSAULT","MARCEL DASSAULT","R","public",648
"R MARCEL PAUL","MARCEL PAUL","R","public",339
"ALL MARCEL SEMBAT","MARCEL SEMBAT","ALL","public",320
"R MARCELLIN BERTHELOT","MARCELLIN BERTHELOT","R","public",110
"CH DE LA MARE A LA VEUVE","MARE A LA VEUVE","CH","public",217
"CH DE LA MARE A LA VEUVE PROLONGEE","MARE A LA VEUVE PROLONGEE","CH","public",277
"AV MARGUERITE","MARGUERITE","AV","public",145
"R MARGUERITE DURAS","MARGUERITE DURAS","R","public",166
"ALL MARIA DERAIMES","MARIA DERAIMES","ALL","privé",113
"ALL MARIE-JOSE CHOMBART DE LAUWE","MARIE-JOSE CHOMBART DE LAUWE","ALL","public",131
"MAIL MARIE-MADELEINE FOURCADE","MARIE-MADELEINE FOURCADE","MAIL","public",84
"AV MARIE CURIE","MARIE CURIE","AV","public",203
"ALL MARIE LAURENCIN","MARIE LAURENCIN","ALL","privé",58
"VLA DES MARRONNIERS","MARRONNIERS","VLA","privé",71
"R MARTIN LUTHER KING","MARTIN LUTHER KING","R","privé",266
"AV MARX DORMOY","MARX DORMOY","AV","public",453
"ALL MARYSE BASTIE","MARYSE BASTIE","ALL","privé",104
"IMP MAURICE BENHAMOU","MAURICE BENHAMOU","IMP","public",55
"AV MAURICE BENHAMOU","MAURICE BENHAMOU","AV","public",247
"R DE MEAUX","MEAUX","R","public",377
"CH DU MERLAN","MERLAN","CH","public",104
"AV DES MESARMES","MESARMES","AV","public",224
