"MOT_DIR","NOM_MIN","TYPE_VOIE","statut","MOT_DIR2","X","X.1"
"floralies","rue des floralies","rue","original","FLORALIES",NA,""
"fontaine","rue fontaine","rue","original","FONTAINE",NA,""
"forêt","pont de la forêt","pont","original","FORÊT",NA,""
"fougères","allée des fougères","allée","original","FOUGERES",NA,""
"fourcade","mail marie-madeleine fourcade","mail","original","FOURCADE",NA,""
"france","avenue anatole france","avenue","original","FRANCE",NA,""
"frank","allée anne frank","allée","original","FRANK",NA,""
"fraternité","rue de la fraternité","rue","original","FRATERNITE",NA,""
"fremin","rue fremin","rue","original","FREMIN",NA,""
"frênes","allée des frênes","allée","original","FRÊNES",NA,""
"furci","allée de furci","allée","original","FURCI",NA,""
"gabrielle","allée gabrielle","allée","original","GABRIELLE",NA,""
"gallieni","avenue gallieni","avenue","original","GALLIENI",NA,""
"gare","place de la gare","place","original","GARE",NA,""
"gargantua","rue gargantua","rue","original","GARGANTUA",NA,""
"gâtine","rue gâtine","rue","original","GATINE",NA,""
"gaulle avenue","avenue geneviève anthonioz de gaulle","avenue","modif","GAULLE AVENUE",NA,""
"gaulle place","place charles de gaulle","place","modif","GAULLE PLACE",NA,""
"gaulois","rue du coq gaulois","rue","original","GAULOIS",NA,""
"gazelles","rue des gazelles","rue","original","GAZELLES",NA,""
"glaïeuls","allée des glaïeuls","allée","original","GLAÏEULS",NA,""
"glycines","allée des glycines","allée","original","GLYCINES",NA,""
"gounod","allée charles gounod","allée","original","GOUNOD",NA,""
"goya","allée goya","allée","original","GOYA",NA,""
"graff","rue georges graff","rue","original","GRAFF",NA,""
"grandet","avenue clara grandet","avenue","original","GRANDET",NA,""
"groslay","chemin de groslay","chemin","original","GROSLAY",NA,""
"groussier","rue arthur groussier","rue","original","GROUSSIER",NA,""
"guesde","rue jules guesde","rue","original","GUESDE",NA,""
"gueugnon","avenue gueugnon","avenue","original","GUEUGNON",NA,""
"guyard","rue amédée guyard","rue","original","GUYARD",NA,""
"halage","chemin de halage","chemin","original","HALAGE",NA,""
"halimi","rue gisèle halimi","rue","original","HALIMI",NA,""
"haydn","impasse haydn","impasse","original","HAYDN",NA,""
"hêtres","allée des hêtres","allée","original","HÊTRES",NA,""
"homme","rue des droits de l'homme","rue","original","HOMME",NA,""
"hortensias","allée des hortensias","allée","original","HORTENSIAS",NA,""
"hugo","allée victor hugo","allée","original","HUGO",NA,""
"idéal","avenue de l'idéal","avenue","original","IDEAL",NA,""
"ingres","allée dominique ingres","allée","original","INGRES",NA,""
"iris","allée des iris","allée","original","IRIS",NA,""
"jardinière allée","allée de la jardinière","allée","modif","JARDINIERE ALLEE",NA,""
"jardinière impasse","impasse de la jardinière","impasse","modif","JARDINIERE IMPASSE",NA,""
"jaurès","rue jean jaurès","rue","original","JAURES",NA,""
"jeannette","allée de la villa jeannette","allée","original","JEANNETTE",NA,""
"jouhaux","avenue léon jouhaux","avenue","original","JOUHAUX",NA,""
"juillet","avenue du 14 juillet","avenue","original","JUILLET",NA,""
"jussieu","rue bernard de jussieu","rue","original","JUSSIEU",NA,""
"king","rue martin luther king","rue","original","KING",NA,""
"kipling","rue rudyard kipling","rue","original","KIPLING",NA,""
"lafargue","allée paul lafargue","allée","original","LAFARGUE",NA,""
"latéral","chemin latéral","chemin","original","LATERAL",NA,""
"laug","rue laug","rue","original","LAUG",NA,""
"laurencin","allée marie laurencin","allée","original","LAURENCIN",NA,""
"lauriers","allée des lauriers","allée","original","LAURIERS",NA,""
"lavigne","villa lavigne","villa","original","LAVIGNE",NA,""
"lebas","avenue jean lebas","avenue","original","LEBAS",NA,""
"leclerc","place de la division leclerc","place","original","LECLERC",NA,""
"lecomte","rue jules lecomte","rue","original","LECOMTE",NA,""
"leder","rue david leder","rue","original","LEDER",NA,""
"lelong","rue jules lelong","rue","original","LELONG",NA,""
"léon allée","allée léon","allée","modif","LEON ALLEE",NA,""
"léon rue","rue désiré léon","rue","modif","LEON RUE",NA,""
"lettres","allée des lettres","allée","original","LETTRES",NA,""
"levant","rue du levant","rue","original","LEVANT",NA,""
"liberté impasse","impasse de la liberté","impasse","modif","LIBERTE IMPASSE",NA,""
"liberté rue","rue de la liberté","rue","modif","LIBERTE RUE",NA,""
"lilas","allée des lilas","allée","original","LILAS",NA,""
"limites","rue des limites","rue","original","LIMITES",NA,""
"lion","rue du lion","rue","original","LION",NA,""
"lisle","avenue rouget de lisle","avenue","original","LISLE",NA,""
"louis","rue saint-louis","rue","original","LOUIS",NA,""
"louis prolongée","rue saint-louis prolongée","rue","modif2","LOUIS PROLONGEE",NA,""
"louise","allée louise","allée","original","LOUISE",NA,""
"lyssandre","place georges lyssandre","place","original","LYSSANDRE",NA,""
"madeleine","villa madeleine","villa","original","MADELEINE",NA,""
"magne","rue charles magne","rue","original","MAGNE",NA,""
"mai","square du 8 mai 1945","square","original","MAI",NA,""
"manet","allée manet","allée","original","MANET",NA,""
"maraîchers","rue des maraîchers","rue","original","MARAÎCHERS",NA,""
"marguerite","avenue marguerite","avenue","original","MARGUERITE",NA,""
"marronniers","villa des marronniers","villa","original","MARRONNIERS",NA,""
"marthe","allée alexandre marthe","allée","original","MARTHE",NA,""
"martí","allée josé martí","allée","original","MARTI",NA,""
"martin allée","allée san martin","allée","modif","MARTIN ALLEE",NA,""
"martin rue","rue françois martin","rue","modif","MARTIN RUE",NA,""
"masson","rue eugène masson","rue","original","MASSON",NA,""
"maupassant","rue guy de maupassant","rue","original","MAUPASSANT",NA,""
"meaux","rue de meaux","rue","original","MEAUX",NA,""
"merlan","chemin du merlan","chemin","original","MERLAN",NA,""
"mesarmes","avenue des mesarmes","avenue","original","MESARMES",NA,""
"metz","avenue de metz","avenue","original","METZ",NA,"MOLIÈRE"
"michel","allée louise michel","allée","original","MICHEL",NA,""
"michelet passage","passage michelet","passage","modif","MICHELET PASSAGE",NA,""
"michelet rue","rue michelet","rue","modif","MICHELET RUE",NA,""
"midi","rue du midi","rue","original","MIDI",NA,""
"mignard","allée mignard","allée","original","MIGNARD",NA,""
"millet","allée millet","allée","original","MILLET",NA,""
"moleret","rue du moleret","rue","original","MOLERET",NA,""
"molière","allée molière","allée","original","MOLIERE",NA,""
"monnet","rue jean monnet","rue","original","MONNET",NA,""
"monod","rue théodore monod","rue","original","MONOD",NA,""
"montplaisir","allée montplaisir","allée","original","MONTPLAISIR",NA,""
"moulin allée","allée du moulin","allée","modif","MOULIN ALLEE",NA,""
"moulin avenue","avenue jean moulin","avenue","modif","MOULIN AVENUE",NA,""
"moulin rue","rue du vieux moulin","rue","modif","MOULIN RUE",NA,""
"mouly","rue henri mouly","rue","original","MOULY",NA,""
"mozart","allée mozart","allée","original","MOZART",NA,""
"muguet","allée du muguet","allée","original","MUGUET",NA,""
"murad","rue nadia murad","rue","original","MURAD",NA,""
"nancy","avenue de nancy","avenue","original","NANCY",NA,""
"néel","rue alexandra david néel","rue","original","NEEL",NA,""
"neruda","allée pablo neruda","allée","original","NERUDA",NA,""
"neuburger","place nicole neuburger","place","original","NEUBURGER",NA,""
"neuve","rue neuve","rue","original","NEUVE",NA,""
"noémie","rue noémie","rue","original","NOEMIE",NA,""
"novembre","place du 11 novembre 1918","place","original","NOVEMBRE",NA,""
"orchidées","allée des orchidées","allée","original","ORCHIDEES",NA,""
"orme","allée de l'orme","allée","original","ORME",NA,""
"ormes","rue des 5 ormes","rue","original","ORMES",NA,""
"pain","rue odette pain","rue","original","PAIN",NA,""
"paix","allée de la paix","allée","original","PAIX",NA,""
"pantagruel","mail pantagruel","mail","original","PANTAGRUEL",NA,""
"panurge","rue de panurge","rue","original","PANURGE",NA,""
"pâquerettes","allée des pâquerettes","allée","original","PAQUERETTES",NA,""
"parisienne avenue","avenue de la parisienne","avenue","modif","PARISIENNE AVENUE",NA,""
"parisienne impasse","impasse de la parisienne","impasse","modif","PARISIENNE IMPASSE",NA,""
"parmentier","villa parmentier","villa","original","PARMENTIER",NA,""
"pasteur","avenue pasteur","avenue","original","PASTEUR",NA,""
"paul","rue marcel paul","rue","original","PAUL",NA,""
"pensées","allée des pensées","allée","original","PENSEES",NA,""
"peupliers","rue des peupliers","rue","original","PEUPLIERS",NA,""
"philosophie","rue de la philosophie","rue","original","PHILOSOPHIE",NA,""
"pinsons","allée des pinsons","allée","original","PINSONS",NA,""
"plaisance","rue de plaisance","rue","original","PLAISANCE",NA,""
"platanes","avenue des platanes","avenue","original","PLATANES",NA,""
"polissard","rue auguste polissard","rue","original","POLISSARD",NA,""
"pont chemin","chemin du pont","chemin","modif","PONT CHEMIN",NA,""
"pont rampe","rampe du pont","rampe","modif","PONT RAMPE",NA,""
"poque","allée poque","allée","original","POQUE",NA,""
"potager","rue du potager","rue","original","POTAGER",NA,""
"pottier allée","allée pottier","allée","modif","POTTIER ALLEE",NA,""
"pottier impasse","impasse fernand pottier","impasse","modif","POTTIER IMPASSE",NA,""
"pressense","rue de pressense","rue","original","PRESSENSE",NA,""
"primevères","allée des primevères","allée","original","PRIMEVERES",NA,""
"prof vaillant","rue du professeur vaillant","rue","modif2","PROF VAILLANT",NA,""
"progrès","rue du progrès","rue","original","PROGRES",NA,""
"prolongée chemin","chemin de la mare à la veuve prolongée","chemin","modif","PROLONGEE CHEMIN",NA,""
"rabelais","rue rabelais","rue","original","RABELAIS",NA,""
"racine","allée racine","allée","original","RACINE",NA,""
"raoul","rue raoul","rue","original","RAOUL",NA,""
"raphaël","allée raphaël","allée","original","RAPHAEL",NA,""
"raspail","allée raspail","allée","original","RASPAIL",NA,""
"régale","allée de la régale","allée","original","REGALE",NA,""
"renaud","rue paul renaud","rue","original","RENAUD",NA,""
"renoncules","allée des renoncules","allée","original","RENONCULES",NA,""
"république avenue","avenue de la république","avenue","modif","REPUBLIQUE AVENUE",NA,""
"république cours","cours de la république","cours","modif","REPUBLIQUE COURS",NA,""
"république place","place de la république","place","modif","REPUBLIQUE PLACE",NA,""
"rimbaud place","place arthur rimbaud","place","modif","RIMBAUD PLACE",NA,""
"rimbaud rue","rue arthur rimbaud","rue","modif","RIMBAUD RUE",NA,""
"roger","rue pauline roger","rue","original","ROGER",NA,""
"ronsard","rue pierre de ronsard","rue","original","RONSARD",NA,""
"roses","allée des roses","allée","original","ROSES",NA,""
"rosny","avenue de rosny","avenue","original","ROSNY",NA,""
"rousseau","rue jean jacques rousseau","rue","original","ROUSSEAU",NA,""
"rulhiere","allée rulhière","allée","original","RULHIERE",NA,""
"sakharov","rue andreï sakharov","rue","original","SAKHAROV",NA,""
"salengro","rue roger salengro","rue","original","SALENGRO",NA,""
"sand","allée georges sand","allée","original","SAND",NA,""
"saules","cité des saules","cité","original","SAULES",NA,""
"sautereau","allée sautereau","allée","original","SAUTEREAU",NA,""
"schoelcher","place victor schoelcher","place","original","SCHOELCHER",NA,""
"sciences","avenue des sciences","avenue","original","SCIENCES",NA,""
"séailles","villa gabriel séailles","villa","original","SEAILLES",NA,""
"sembat","allée marcel sembat","allée","original","SEMBAT",NA,""
"septembre","rue du 4 septembre","rue","original","SEPTEMBRE",NA,""
"sillons","allée des courts sillons","allée","original","SILLONS",NA,""
"solidarité impasse","impasse de la solidarité","impasse","modif","SOLIDARITE IMPASSE",NA,""
"solidarité rue","rue de la solidarité","rue","modif","SOLIDARITE RUE",NA,""
"sorbiers","allée des sorbiers","allée","original","SORBIERS",NA,""
"stains","route de stains","route","original","STAINS",NA,""
"strasbourg","boulevard de strasbourg","boulevard","original","STRASBOURG",NA,""
"surcouf","allée surcouf","allée","original","SURCOUF",NA,""
"sycomores","allée des sycomores","allée","original","SYCOMORES",NA,""
"sylphes","allée des sylphes","allée","original","SYLPHES",NA,""
"sylvestre","allée anne sylvestre","allée","original","SYLVESTRE",NA,""
"tabarly","rue éric tabarly","rue","original","TABARLY",NA,""
"tanguy","rue henri rol tanguy","rue","original","TANGUY",NA,""
"tassigny","avenue du maréchal de lattre de tassigny","avenue","original","TASSIGNY",NA,""
"thérèse","allée thérèse","allée","original","THERESE",NA,""
"thomas","place albert thomas","place","original","THOMAS",NA,""
"thorel","villa thorel","villa","original","THOREL",NA,""
"tilleuls","allée des tilleuls","allée","original","TILLEULS",NA,""
"tillion","rue germaine tillion","rue","original","TILLION",NA,""
"tjibaou","rue jean-marie tjibaou","rue","original","TJIBAOU",NA,""
"tremeuge","rue de tremeuge","rue","original","TREMEUGE",NA,""
"trinquamelle","rue trinquamelle","rue","original","TRINQUAMELLE",NA,""
"tulipes","allée des tulipes","allée","original","TULIPES",NA,""
"union","rue de l'union","rue","original","UNION",NA,""
"vaillant","rue édouard vaillant","rue","modif2","VAILLANT",NA,""
"varagnat","avenue henri varagnat","avenue","original","VARAGNAT",NA,""
"varlin","rue eugène varlin","rue","original","VARLIN",NA,""
"varsovie","rue de varsovie","rue","original","VARSOVIE",NA,""
"veil","rue simone veil","rue","original","VEIL",NA,""
"vercors","passage du vercors","passage","original","VERCORS",NA,""
"verdun","avenue de verdun","avenue","original","VERDUN",NA,""
"verger rond-point","rond-point du verger","rond-point","modif","VERGER ROND-POINT",NA,""
"verger rue","rue du verger","rue","modif","VERGER RUE",NA,""
"versailles","rue de versailles","rue","original","VERSAILLES",NA,""
"veuve","chemin de la mare à la veuve","chemin","original","VEUVE",NA,""
"vignes","allée des vignes","allée","original","VIGNES",NA,""
"villageoise","avenue de la villageoise","avenue","original","VILLAGEOISE",NA,""
"villégiature","avenue de la villégiature","avenue","original","VILLEGIATURE",NA,""
"villemomble","route de villemomble","route","original","VILLEMOMBLE",NA,""
"villes","passage des deux villes","passage","original","VILLES",NA,""
"villon","rue françois villon","rue","original","VILLON",NA,""
"violettes","impasse des violettes","impasse","original","VIOLETTES",NA,""
"voltaire","allée voltaire","allée","original","VOLTAIRE",NA,""
"vous","allée du rendez-vous","allée","original","VOUS",NA,""
"watteau","allée watteau","allée","original","WATTEAU",NA,""
"weiss","allée louise weiss","allée","original","WEISS",NA,""
"wiener","impasse jean wiener","impasse","original","WIENER",NA,""
"yvonne","rue yvonne","rue","original","YVONNE",NA,""
"zola","rue émile zola","rue","original","ZOLA",NA,""
