"","NOM","NOMnumero"
"30","MIGNARD","1"
"70","PIERRE BOURDIEU","15"
"99","EUGENE DELACROIX","2"
"110","CONDORCET","11"
"117","DOMINIQUE INGRES","3"
"155","MANET","4"
"164","RENE DUMONT","14"
"195","RAPHAEL","5"
"205","THEODORE MONOD","13"
"241","MILLET","7"
"271","HAYDN","9"
"293","LOUISE WEISS","10"
"299","LOUISE MICHEL","12"
"306","WATTEAU","8"
"360","GOYA","6"
"362","MARIE-JOSE CHOMBART DE LAUWE","16"
