"37","ALL","5","NA","COURTS SILLONS","ALL DES COURTS SILLONS","NA"
"104","R","5","NA","COUTURIER","R PAUL VAILLANT COUTURIER","NA"
"137","R","5","NA","CRONSTADT","R DE CRONSTADT","NA"
"123","AV","5","NA","CURIE","AV MARIE CURIE","NA"
"194","R","5","NA","CYCLE","R DU CYCLE","NA"
"342","D78","3","NA","D78","D78","NA"
"252","ALL","5","NA","DAHLIAS","ALL DES DAHLIAS","privé"
"187","R","5","NA","DASSAULT","R MARCEL DASSAULT","NA"
"28","R","5","NA","DAUBIE","R JULIE VICTOIRE DAUBIE","NA"
"135","ALL","5","NA","DEBUSSY","ALL CLAUDE DEBUSSY","privé"
"101","2","5","ALL EUGENE DELACROIX","DELACROIX","2","privé"
"279","R","5","NA","DELAINE","R CESAR DELAINE","NA"
"181","AV","5","NA","DENISE","AV DENISE","NA"
"44","R","5","NA","DENYS COCHIN","R DENYS COCHIN","NA"
"149","PAS","6","NA","DEUX","PAS DES DEUX VILLES","piéton"
"337","R","4","NA","DOLET","R ETIENNE DOLET","NA"
"213","R","5","NA","DOUVILLEZ","R ROBERT DOUVILLEZ","NA"
"223","R","5","NA","DROITS","R DES DROITS DE L'HOMME","NA"
"182","AV","5","NA","DUMESNIL","AV DUMESNIL","NA"
"167","14","5","R RENE DUMONT","DUMONT","14","public"
"207","R","5","NA","DUNANT","R HENRI DUNANT","privé"
"200","R","6","NA","DURAS","R MARGUERITE DURAS","NA"
"43","PL","5","NA","ECOLES","PL DES ECOLES","NA"
"76","R","6","NA","ECOLES","R DES ECOLES","NA"
"294","R","4","NA","EDOUARD VAILLANT","R EDOUARD VAILLANT","NA"
"188","R","5","NA","EGALITE","R DE L'EGALITE","NA"
"79","R","4","NA","EMILE ZOLA","R EMILE ZOLA","NA"
"9","R","5","NA","EMMANUEL FAIRON","R EMMANUEL FAIRON","NA"
"3","ALL","5","NA","ERABLES","ALL DES ERABLES","privé"
"230","R","5","NA","ESCHOLIERS","R DES ESCHOLIERS","NA"
"161","ALL","5","NA","ESPERANTO","ALL ESPERANTO","NA"
"131","AV","5","NA","L’EST","AV DE L'EST","NA"
"32","PL","6","NA","EUDEMON","PL EUDEMON","NA"
"92","ALL","5","NA","FAUVETTE","ALL DE LA FAUVETTE","privé"
"153","R","5","NA","FER A CHEVAL","R DU FER A CHEVAL","privé"
"193","AV","4","NA","FERRY","AV JULES FERRY","NA"
"94","PL","5","NA","FLEURS","PL DES FLEURS","NA"
"105","VLA","5","NA","FLEURY","VLA FLEURY","NA"
"125","R","5","NA","FLORALIES","R DES FLORALIES","privé"
"314","R","4","NA","FONTAINE","R FONTAINE","NA"
"285","ALL","5","NA","FOUGERES","ALL DES FOUGERES","privé"
"25","MAIL","6","NA","FOURCADE","MAIL MARIE-MADELEINE FOURCADE","NA"
"203","R","5","NA","FRANCOIS","R FRANCOIS MARTIN","privé"
"349","R","5","NA","FRANCOIS VILLON","R FRANCOIS VILLON","privé"
"333","R","6","NA","FRANCOISE HERITIER","R FRANCOISE HERITIER","NA"
"239","R","5","NA","FRATERNITE","R DE LA FRATERNITE","NA"
"111","R","5","NA","FREMIN","R FREMIN","NA"
"65","ALL","5","NA","FRENES","ALL DES FRENES","privé"
"295","R","5","NA","FRERES DARTY","R DES FRERES DARTY","NA"
"217","ALL","5","NA","FURCI","ALL DE FURCI","privé"
"367","ESPL","parking","NA","FUZIER","ESPL CLAUDE FUZIER","NA"
"330","ALL","5","NA","GABRIEL FAURE","ALL GABRIEL FAURE","privé"
"286","VLA","5","NA","GABRIEL SEAILLES","VLA GABRIEL SEAILLES","privé"
"86","ALL","5","NA","GABRIELLE","ALL GABRIELLE","privé"
"70","AV","2","NA","GALLIENI","AV GALLIENI","NA"
"245","PL","5","NA","GARE","PL DE LA GARE","NA"
"69","R","5","NA","GARGANTUA","R GARGANTUA","NA"
"6","R","5","NA","GASTON DEFFERRE","R GASTON DEFFERRE","privé"
"138","R","5","NA","GATINE","R GATINE","NA"
"139","R","5","NA","GAZELLES","R DES GAZELLES","NA"
"196","AV","5","NA","GENEVIEVE","AV GENEVIEVE ANTHONIOZ DE GAULLE","privé"
"55","R","5","NA","GEORGES ELIE","R GEORGES ELIE","NA"
