"Nom","numéro"
"ALL MIGNARD",1
"ALL EUGENE DELACROIX",2
"ALL DOMINIQUE INGRES",3
"ALL MANET",4
"ALL RAPHAEL",5
"ALL GOYA",6
"ALL MILLET",7
"ALL WATTEAU",8
"IMP HAYDN",9
"ALL LOUISE WEISS",10
"ALL CONDORCET",11
"ALL LOUISE MICHEL",12
"R RENE DUMONT",14
"SEN PIERRE BOURDIEU",15
"ALL DES PENSEES",16
"ALL THEODORE MONOD",17
