"","AN","NOMRS","CNOMRS","NUMVOIE","INDREP","TYPVOIE","LIBVOIE","CADR","CODPOS","DEPCOM","DEP","REG","LIBCOM","DOM","SDOM","TYPEQU","SIRET","STATUT_DIFFUSION","CANTINE","INTERNAT","RPI","EP","CL_PGE","SECT","ACCES_AIRE_PRATIQUE","ACCES_LIBRE","ACCES_SANITAIRE","ACCES_VESTIAIRE","CAPACITE_D_ACCUEIL","PRES_DOUCHE","PRES_SANITAIRE","SAISONNIER","COUVERT","ECLAIRE","CATEGORIE","MULTIPLEXE","STRUCTURE_EXERCICE","SPECIALITE","ACCUEIL","ITINERANCE","MODE_GESTION","SSTYPHEB","TYPE","IMPLANTATION_STATION","CAPACITE","INDIC_CAPA","NBEQUIDENT","INDIC_NBEQUIDENT","NBSALLES","INDIC_NBSALLES","NBLIEUX","INDIC_NBLIEUX","NB_PDC","INDIC_NB_PDC","NB_PDC_PA","INDIC_NB_PDC_PA","NB_PDC_ACCELEREE","INDIC_NB_PDC_ACCELEREE","NB_PDC_LENTE","INDIC_NB_PDC_LENTE","NB_PDC_RAPIDE","INDIC_NB_PDC_RAPIDE","NB_PDC_ULTRARAPIDE","INDIC_NB_PDC_ULTRARAPIDE","NB_JOURS_OUVERT","INDIC_NB_JOURS_OUVERT","LAMBERT_X","LAMBERT_Y","LONGITUDE","LATITUDE","QUALITE_XY","EPSG","QUALITE_GEOLOC","TR_DIST_PRECISION","DCIRIS","QUALI_IRIS","IRISEE","QP2024","QUALI_QP2024","QVA","QUALI_QVA","ZUS","QUALI_ZUS","EPCI","UU2020","BV2022","AAV2020","DENS3","DENS7"
"437141",2024,"MY WAY","",8,"","RUE","JULES LELONG","",93140,"93010","93",11,"BONDY","E","E1","E101",98265415400011,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,661559.2,6866397.8,2.47569122897985,48.8964381896232,"B",2154,"11","< 100","930100204","1",1,"HZ","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"437142",2024,"MEHADJERI MOKRANE","",14,"","RUE","RENE DUMONT","",93140,"93010","93",11,"BONDY","E","E1","E101",48791239600024,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,662444.7,6866192.3,2.4877867408211,48.8946424554241,"B",2154,"11","< 100","930100302","1",1,"HZ","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"437144",2024,"HADDAD KHAIREDDINE","",3,"","AV","BLERIOT","",93140,"93010","93",11,"BONDY","E","E1","E101",52028389600022,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,662144.2,6866348.9,2.48367439963131,48.8960331126983,"B",2154,"11","< 100","930100304","1",1,"HZ","1","CSZ","_Z","1127010","1","200054781","00851","75056","001",1,1
"437145",2024,"ZITOUNI LAURENT","",14,"","ALL","DES ERABLES","",93140,"93010","93",11,"BONDY","E","E1","E101",79044461600011,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,661668.2,6869027.1,2.47694032594673,48.9200889045716,"B",2154,"11","< 100","930100101","1",1,"QN09314M","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"437146",2024,"LAUBOUET GNABA","",166,"","RUE","EDOUARD VAILLANT","",93140,"93010","93",11,"BONDY","E","E1","E101",80390436600017,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,662776.7,6866172.9,2.49231643390542,48.8944872782908,"B",2154,"11","< 100","930100302","1",1,"QN09312I","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"437147",2024,"BERKAOUI NABIL","",4,"","AV","LEON JOUHAUX","",93140,"93010","93",11,"BONDY","E","E1","E101",81266586700022,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,661912.62,6868773.18,2.48029828644193,48.9178200413731,"B",2154,"11","< 100","930100102","1",1,"QN09314M","1","CSZ","_Z","1127020","1","200054781","00851","75056","001",1,1
"437148",2024,"BENSLIMANE AHMED","BENVTC",41,"","RUE","LOUIS AUGUSTE BLANQUI","",93140,"93010","93",11,"BONDY","E","E1","E101",83857002600040,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,662076.31,6866855.39,2.48270319996194,48.9005838173548,"B",2154,"11","< 100","930100402","1",1,"QN09312I","1","CSZ","_Z","1127010","1","200054781","00851","75056","001",1,1
"437149",2024,"BLACK PEARL CARS","",51,"","RUE","DU QUATRE SEPTEMBRE","",93140,"93010","93",11,"BONDY","E","E1","E101",88422706700037,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,662671.5,6868118.5,2.49071051783448,48.9119772699808,"B",2154,"11","< 100","930100105","1",1,"QN09314M","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"437150",2024,"SARVANANTHAM GOWTHAMAN","G-MAN",11,"","RUE","DES FRERES DARTY","",93140,"93010","93",11,"BONDY","E","E1","E101",89054232700014,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,662084.22,6867163.19,2.48278359229614,48.9033522196713,"B",2154,"11","< 100","930100403","1",1,"QN09314M","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"437151",2024,"SM TRANSPORT","",6,"","RUE","DES FRERES DARTY","",93140,"93010","93",11,"BONDY","E","E1","E101",90492646600023,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,662079.63,6867147.36,2.48272239560736,48.9032095958753,"B",2154,"11","< 100","930100403","1",1,"QN09314M","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
