fid,NATURE,IMPORTANCE,NOMnumero,NOM,NOM_1_G,usage,rueStationnement2024_fid,rueStationnement2024_usage,rueStationnement2024_IMPORTANCE,rueStationnement2024_couleur,rueStationnement2024_nom,rueStationnement2024_couleur.1,rueStationnement2024_auxiliary_storage_labeling_show,rueStationnement2024_auxiliary_storage_labeling_positionx,rueStationnement2024_auxiliary_storage_labeling_positiony,rueStationnement2024_auxiliary_storage_labeling_lineanchorpercent,rueStationnement2024_auxiliary_storage_labeling_lineanchorclipping,rueStationnement2024_auxiliary_storage_labeling_lineanchortype,rueStationnement2024_auxiliary_storage_labeling_lineanchortextpoint
"25",MAIL,"6",,MARIE-MADELEINE FOURCADE,MAIL MARIE-MADELEINE FOURCADE,,,,,,,,,,,,,,
"26",VLA,"5",,DES MARRONNIERS,VLA DES MARRONNIERS,privé,,,,,,,,,,,,,
"27",R,"5",,MARCELLIN BERTHELOT,R MARCELLIN BERTHELOT,,,,,,,,,,,,,,
"28",R,"5",,JULIE VICTOIRE DAUBIE,R JULIE VICTOIRE DAUBIE,,,,,,,,,,,,,,
"29","1","6",ALL MIGNARD,"1","1",privé,,,,,,,,,,,,,
"30",ALL,"5",,DES LETTRES,ALL DES LETTRES,,,,,,,,,,,,,,
"32",ALL,"5",,DES ORCHIDEES,ALL DES ORCHIDEES,privé,,,,,,,,,,,,,
"33",PL,"6",,EUDEMON,PL EUDEMON,,,,,,,,,,,,,,
"35",ALL,"5",,DES IRIS,ALL DES IRIS,privé,,,,,,,,,,,,,
"37",R,"5",,RAOUL,R RAOUL,,,,,,,,,,,,,,
"38",ALL,"5",,DES COURTS SILLONS,ALL DES COURTS SILLONS,,,,,,,,,,,,,,
"39",ALL,"5",,DES ALOUETTES,ALL DES ALOUETTES,,,,,,,,,,,,,,
"40",R,"5",,DU CHALET,R DU CHALET,,,,,,,,,,,,,,
"41",VLA,"6",,DU BRECHET,VLA DU BRECHET,privé,,,,,,,,,,,,,
"43",CITE,"5",,DES SAULES,CITE DES SAULES,,,,,,,,,,,,,,
"44",PL,"5",,DES ECOLES,PL DES ECOLES,,,,,,,,,,,,,,
"45",R,"5",,DENYS COCHIN,R DENYS COCHIN,,,,,,,,,,,,,,
"47",R,"5",,TRINQUAMELLE,R TRINQUAMELLE,privé,,,,,,,,,,,,,
"49",ALL,"5",,DES PAQUERETTES,ALL DES PAQUERETTES,privé,,,,,,,,,,,,,
"50",R,"5",,MARTIN LUTHEKING,R MARTIN LUTHER KING,privé,,,,,,,,,,,,,
"51",R,"4",,HENRI DOUILLOT,R HENRI DOUILLOT,,,,,,,,,,,,,,
"52",CH,"5",,DE MONTREUIL A CLAYE,CH DE MONTREUIL A CLAYE,,,,,,,,,,,,,,
"56",R,"5",,GEORGES ELIE,R GEORGES ELIE,,,,,,,,,,,,,,
"58",ALL,"5",,MOZART,ALL MOZART,,,,,,,,,,,,,,
"60",ALL,"5",,MARIA DERAIMES,ALL MARIA DERAIMES,privé,,,,,,,,,,,,,
"61",AV,"5",,DE LA VILLAGEOISE,AV DE LA VILLAGEOISE,,,,,,,,,,,,,,
"62",RLE,"6",,SAINTE-BARBE,RLE SAINTE-BARBE,piéton,,,,,,,,,,,,,
"64",ALL,"5",,DES COQUELICOTS,ALL DES COQUELICOTS,,,,,,,,,,,,,,
"65",R,"5",,GERMAINE TILLION,R GERMAINE TILLION,,,,,,,,,,,,,,
