depcom,id_ea,principal,numero,repetition,complement,type_voie,libelle,rivoli,categorie,type,nombre_logements,actualité,numero_permis,commentaire,annee_construction,nombre_immeubles,nombre_niveaux,sous_type,enseigne,lien_cmt,x,y,code_epsg,type_localisation,numero_parcelle,iris,ilot,qp,canton,liste_insee,id_rp,dernier_tirage,echantillon,grp_rotation,datemaj_ea,com_anc_idft,com_sous_categorie,com_statut,com_nb_log,com_nom,com_date_creation,com_date_fermeture,com_capacite,envoi_modif_importante,envoi_commentaire
93010,930100000010562,O,27,BIS,,R,DES CINQ ORMES,1520,HABIT,21,1,3,PC9301096B0010,MAIRIE 25/10/2023: idem¶MAIRIE 03/03/2023: idem¶MAIRIE 02/12/2022: Oui les travaux sont abandonnés¶MAIRIE 30/03/2022: idem¶MAIRIE 05/11/2021: idem¶MAIRIE 09/03/2021:  travaux abandonnés¶MAIRIE 19/10/2020:  travaux abandonnés¶MAIRIE 30/05/2018: PC pas affiché - RAS depuis des années - Travaux semblent arrêtés.¶MAIRIE 26/03/2019: Travaux arrêtés depuis des années. Rien de plus de visible que l'année dernière.¶MAIRIE 18/06/2020: maison sur deux étages les travaux sont à l'abandon,2011,1,0,,,1,662819.50000,6866969.10000,2154,BDA2,V0121,405,,,6,O,,,N,,,,,,,,,,,,
93010,930100001085136,O,19,,,ALL,DE LA VILLA JEANNETTE,4750,HABIT,21,1,3,PC9301022B0057,MAIRIE 25/10/2023: travaux autorisés. rencontre du propriétaire qui travaille seul. fin prévue fin 2024.¶MAIRIE 11/04/2023: pas de travaux en cours¶INSEE 10/02/2023: Une EA existe déjà à cette adresse. Le permis indique la 'démolition de deux habitations et la construction d'une habitation'. Faut-il périmer l'ancienne EA et conserver la nouvelle ? Merci de faire les modifications nécessaires.,0,,,,,1,662627.70000,6866444.60000,2154,BDA1,AN0055,305,,,6,O,,,N,,,,,,,,,,,,
93010,930100000004361,O,5,,,ALL,RACINE,8110,HABIT,21,1,3,,MAIRIE 25/10/2023: travaux en cours.¶MAIRIE 11/04/2023: idem¶MAIRIE 02/12/2022: Idem¶MAIRIE 09/03/2021:  travaux semblent abandonnés¶DR le 7/3/17 : en construction pas de n° de PC suite retour collecte 2017. MAISON EN CONSTRUCTION RC + 1 ETAGE - IL Y A BIEN UNE PANCARTE MAIS LE PC ET TOUTES LES INFOS DE L'ADRESSE SONT EFFACES.¶MAIRIE 30/05/2018:  Rien de changé depuis la dernière fois sauf que les travaux semblent arrêtés !¶MAIRIE 09/04/2019: Pas de PC affiché, RAS les fenêtres ne sont toujours pas mises et les travaux semblent arrêtés.¶MAIRIE 18/06/2020: Travaux en cours 1 logement à venir,2000,1,1,,,1,662962.50000,6866390.60000,2154,BDA1,AO0132,305,,,6,O,93010   AO05 032,2017,N,4,,,,,,,,,,
93010,930100001098140,O,25,,,R,DU CYCLE,1590,HABIT,21,1,2,PC9301020B0042,INSEE 07/04/2023: Deux EA existent déjà à cette adresse (1 EA habitable et 1 EA en travaux commencés). Le permis indique 'construction nouvelle : pavillon neuf'.   Merci de vérifier le positionnement et l'actualité de l'entité adressée (parcelle cadastrale 0T0188 non trouvée en date d'aujourd'hui). Si l'EA habitable n'existe plus, merci de la périmer (terrain nu en satellite et sur Maps).,0,,,,,1,663067.00000,6867346.60000,2154,BDA1,0T0029,405,,,6,O,,,N,,,,,,,,,,,
93010,930100000273040,O,6,,,ALL,MARCEL SEMBAT,6130,HABIT,21,1,3,PC9301015B0065,MAIRIE 25/10/2023: idem¶MAIRIE 03/03/2023: idem¶MAIRIE 09/12/2022: idem¶MAIRIE 30/03/2022: idem¶MAIRIE 03/03/2021:  travaux abandonnés???¶MAIRIE 04/11/2020:  maison de deux étages en cours de construction ( murs en brique)  mais les travaux semblent abandonnés¶INSEE LE 12/12/16 : merci de vérifier l'actualité de ce pc. Il existe déjà un pc actu 2 sur cette EA.¶MAIRIE 25/03/2019: un petit bâtiment de 2 étages se construit entre la maison du n° 4 et celle du n° 6. La maison au n° 4 est habitée, les travaux du petit bâtiment sont stoppés d'après une voisine et la maison du n° 6 est couverte de bâches suite à des problèmes avec la nouvelle construction d'à côté. Aucun PC n'est affiché,0,,0,,,1,663082.10000,6866824.10000,2154,BDA1,X0054,401,,,6,O,,,N,,,,,,,,,,,
93010,930100001079783,O,40,,PC9301021B0105,ALL,THERESE,9130,HABIT,21,1,2,PC9301021B0105,MAIRIE 25/10/2023: pas de travaux d'après une riveraine.¶MAIRIE 11/04/2023: pas de travaux¶INSEE 08/12/2022: Une EA existe déjà à cette adresse. LE PC indique 'agrandissement de la maison existante pour la réalisation d'un second logement'. ¶Dans ce cas, une fois les travaux terminés, merci de modifier le nombre de logements et le type de l'EA existante. Sinon, merci de faire les modifications nécessaires à la situation constatée sur le terrain.,0,,,,,1,663287.20658,6867212.73315,2154,MAN,0T0132,405,,,6,O,,,N,,,,,,,,,
93010,930100001036584,O,8,,PC9301020B0057,R,BENOITE GROULT,665,HABIT,23,30,3,PC9301020B0057,MAIRIE 26/10/2023: encore 6 mois de travaux¶INSEE 26/04/2023: Îlot C9A : 8 rue Benoîte Groult = 30 logements.¶INSEE 29/04/2022: EAAC 4e flux 21-22 PC autorisé pour la construction de 30 logements (Description :    CONSTRUCTION D'UN ENSEMBLE MIXTE COMPRENANT 30 LOGEMENTS ET UN COMMERCE).¶Nous n'avons pas d'information sur la parcelle cadastrale ni l'adresse de ce PC, merci de vérifier et modifier l'EA en ajoutant la parcelle cadastrale, l'adresse et le positionnement.,0,,,,,1,661637.69479,6867584.87406,2154,MAN,0H0425,108,,,6,O,,,N,,,,,,,,,,
93010,930100001017816,O,1,,PC9301020B0056,R,BENOITE GROULT,665,HABIT,23,65,3,PC9301020B0056,MAIRIE 26/10/2023: 1 an de travaux à prévoir¶INSEE 25/04/2023: Permis remis en Travaux autorisés. Îlot C9 (angle des rues Benoîte Groult, Simone Veil et Nadia Murad).¶INSEE 17/04/2023: Pourquoi avez-vous périmé ce permis en novembre 2022 ? ¶A priori, il s'agit de l'îlot C9 (3 permis pour les 124 logts : PC9301020B0056 + PC9301020B0057 + PC9301020B0058). ¶INSEE 16/02/2022: Création suite PC 3ème flux21-22 - Voir svp si EA bien placée -,0,,,,,1,661703.89327,6867617.81962,2154,MAN,0H0386,108,,,6,O,,,N,,,,,,,,,,
93010,930100001099375,O,0,,PC9301020B0058 - BAT D,R,BENOITE GROULT,665,HABIT,23,29,2,PC9301020B0058,MAIRIE 26/10/2023: 1 an de travaux encore¶INSEE 25/04/2023: D'après le plan transmis par la mairie sur la numérotation des Rives de l'Ourcq, il s'agit du Bât D, angle des rues Benoite Groult et Simone Veil.¶INSEE 13/04/2023: Ce permis arrive sans voie ni parcelle cadastrale. Îlot concerné du programme de la ZAC Rives de l'Ourcq non identifiable au vu de la description du PC. Merci de compléter la parcelle cadastrale, l'adresse, et de repositionner l'EA en fonction des informations dont vous disposez en mairie. [descriptif des travaux : construction d'un ensemble mixte d'environ 165m² d'activité et de 29 logements collectifs'].,0,,,,,1,661702.82290,6867591.85489,2154,MAN,0H0425,108,,,6,O,,,N,,,,,,,,
93010,930100000997685,O,20,,20-33,CHE,LATERAL,5109,HABIT,23,123,3,PC9301020B0069,MAIRIE 26/10/2023: voir dans 1 mois¶MAIRIE 11/04/2023: en voie de finition pas d'accès¶INSEE 16/12/2022: Avant de rendre habitable, merci de bien vouloir nous communiquer l'adressage exact, ainsi que la répartition des logements au sein des bâtiments (dégroupement).¶MAIRIE 07/12/2022: 21-33 Rue chemin latéral travaux en cours emplacement du panneau¶MAIRIE 19/05/2022: l'adressage se fera sur Simone Veil¶MAIRIE 16/11/2021: pas d'adressage encore.¶INSEE 23/09/2021: Création EA suite PC 1ERFLUX 21-22,0,,,,,1,661671.89351,6867686.35492,2154,MAN,0H0404,108,,,6,O,,,N,,,,,,,,,,
