"","depcom","id_ea","principal","numero","repetition","complement","type_voie","libelle","rivoli","categorie","type","nombre_logements","actualité","numero_permis","commentaire","x","y","cle"
"1",93010,930100000010456,"O",43,NA,"43-45","R","DE VERSAILLES",9625,"HABIT",21,1,0,NA,NA,661947.2,6868477,"1"
"2",93010,930100000000694,"O",35,NA,"ANC 1 R BAUDELAIRE","R","FRANCOIS VILLON",3573,"HABIT",23,10,0,"PC9301009B0051",NA,662702.00893,6868255.70274,"2"
"3",93010,930100000010396,"O",18,NA,"BAT A","R","LUCIE AUBRAC",5500,"HABIT",23,10,0,NA,NA,661801.00289,6868109.56106,"3"
"4",93010,930100000010376,"O",10,NA,"BAT C","R","HENRI ROL-TANGUY",8171,"HABIT",23,8,0,NA,NA,661713.46083,6868069.88587,"4"
"5",93010,930100000010358,"O",10,NA,"BAT B","R","LUCIE AUBRAC",5500,"HABIT",23,10,0,NA,NA,661781.84363,6868024.61048,"5"
"6",93010,930100000001410,"O",26,NA,"26-28","AV","MARGUERITE",6160,"HABIT",21,1,0,NA,NA,662211.6,6867656.9,"6"
"7",93010,930100000008672,"O",22,NA,"ACCES PAR 2 R ROBERT DOUVILLEZ","VLA","DES CERISES",1447,"HABIT",21,1,0,NA,NA,662872.8,6867588,"7"
"8",93010,930100000001824,"O",9,NA,"9-13","R","ROBERT DOUVILLEZ",8170,"HABIT",21,1,0,NA,NA,662877,6867524.4,"8"
"9",93010,930100000001552,"O",37,NA,"RES DU POINT DU JOUR","AV","PASTEUR",7130,"HABIT",23,10,0,NA,NA,662352.3,6867390.9,"9"
"10",93010,930100000001640,"O",7,NA,"7-9","R","AUGUSTE POLISSARD",75,"HABIT",23,9,0,NA,NA,661912.1,6867373.6,"10"
"11",93010,930100000001931,"O",35,NA,"35-37","R","DU CYCLE",1590,"HABIT",25,4,0,NA,NA,663124.5,6867348.9,"11"
"12",93010,930100000001541,"O",15,NA,"15-17","R","ROBERT BONNET",8165,"HABIT",21,1,0,NA,NA,662813.4,6867347.2,"12"
"13",93010,930100000001871,"O",7,NA,"7-9","ALL","DE LA REGALE",8140,"HABIT",21,1,0,NA,NA,662899.9,6867242.8,"13"
"14",93010,930100000002153,"O",10,NA,"10-12","ALL","THERESE",9130,"HABIT",21,1,0,NA,NA,663163,6867147.5,"14"
"15",93010,930100000002064,"O",60,NA,"60-62","ALL","ALICE",30,"HABIT",21,1,0,NA,NA,663217.4,6867103.8,"15"
"16",93010,930100000008684,"O",31,NA,"31-33","R","DES CINQ ORMES",1520,"HABIT",21,1,0,NA,NA,662830.1,6866989.6,"16"
"17",93010,930100000003141,"O",201,NA,"201-203","AV","DE ROSNY",8175,"HABIT",21,1,0,NA,NA,661200.6,6866910.1,"17"
"18",93010,930100000002830,"O",41,NA,"41-43","R","HENRI ALPY",4430,"HABIT",21,1,0,NA,NA,662495.3,6866829.9,"18"
"19",93010,930100000008911,"O",5,NA,"5-7","R","NOEMIE",6660,"HABIT",21,1,0,NA,NA,662293.9,6866686.5,"19"
"20",93010,930100000002644,"O",32,NA,"32-34","R","RAOUL",8120,"HABIT",21,1,0,NA,NA,662744.8,6866604,"20"
"21",93010,930100000003742,"O",2,NA,"2-2 BIS","VLA","CARNOT",1434,"HABIT",23,3,0,NA,NA,661935,6866539,"21"
"22",93010,930100000004388,"O",22,"BIS","22 BIS-24","AV","DE L'IDEAL",4620,"HABIT",23,6,0,NA,NA,663059.58773,6866261.20207,"22"
"23",93010,930100000010699,"O",16,NA,"PAVILLON N°15","ALL","PAUL LAFARGUE",7139,"HABIT",21,1,0,"PC9301009B0064",NA,662034.93344,6866147.72343,"23"
