ville;idpc;ame_diff;typ_ame;nom_ope;nom_moe;mod_prod;nom_ssect;pnrqad;sect_plui;nom_qpv;qpv;qpv_300m;pru1;npnru;nom_prom;nom_bail;nom_gest_ofs;typ_mou_lls;nom_prog;adr;cad;typ_fonc;etat_prog;date_pc;ann_pc;date_droc;ann_droc;ann_lvr;duree_pc_livr;etat_anru;nb_log_crees_(ab);nb_log_livr_(a);nb_log_suppr_(b);log_nc;log_acclib;log_acclib_suppr;log_brs;red_brs;log_accsoc;log_psla;log_lli;log_lli_suppr;lli_al;log_lls;log_lls_suppr;lls_plai;lls_plus;lls_pls;lls_nc;ann_agr;ann_capl;plai_ro;plus_ro;nb_lls_ro;loy_lls;log_spe;log_lls_spe;typ_log_spe;log_matype;typ_matype;t1;t2;t3;t4;t5p;t_nc;couconst_hors_pkvrd;coucons-incl_pkvrd;cf_acclib;cf_accpxmait;cf_brs;cf_psla;cf_res_spe;cf_lli;cflls;rem;pers_ref;source;dat_maj
Bondy;;Diffus;;;;CN;;Non;CIN Plaine de l'Ourcq;Abreuvoir Bondy Nord Centre Pont de Bondy Sablière Secteur Sud;Oui;Non;Non;Non;;ADOMA;ADOMA;MOD;Restructuration FTM Ourcq;58 route d'Aulnay;;;En projet;;NC;;;2027;;;106;106;0;;;;;;;;;;;106;;106;0;0;0;2021;;;;;;106;106;Résidence sociale;;;NC;NC;NC;NC;NC;106;;;;;;;;;;traitement de l'ex-FTM Ourcq / création logements autonomes/ à préciser;N Chopin DHRU;DRIHL;janv-22
Bondy;;Diffus;;;;DEMOL;;Non;CIN Plaine de l'Ourcq;Abreuvoir Bondy Nord Centre Pont de Bondy Sablière Secteur Sud;Oui;Non;Non;Non;;ADOMA;ADOMA;MOD;Restructuration FTM Ourcq;58 route d'Aulnay;;;En projet;;NC;;;2027;;;-228;0;-228;;;;;;;;;;;;-228;NC;NC;NC;-228;;;;;;;-228;-228;ex-FTM;;;NC;NC;NC;NC;NC;0;;;;;;;;;;traitement de l'ex-FTM Ourcq / suppression pour restructuration/ à préciser;N Chopin DHRU;DRIHL;janv-22
Bondy;PD 09301022B0007;Diffus;;;;DEMOL;;Non;CIN Plaine de l'Ourcq;;Non;Non;Non;Non;Société du Grand Paris;;;;Démolition 2 gare de Bondy;6 rue Etienne Dolet / 2 Route de Villemomble;AU 104 57;;Livré;26/10/2022;2022;;;2025;3;;-5;0;-5;;;-5;;;0;0;0;;;0;;;;;0;;;;;;;;;;;;NC;NC;NC;NC;NC;0;;;;;;;;;;expropriations réalisées fin 2024 / site d'entreposage déblais projet gare de Bondy / démoli malgré l'annulation de l'arrêté de cessibilité;N Chopin DHRU;Sitadel2;janv-25
Bondy;;Diffus;;;;CN;Gallieni Gâtine Guesde;Non;CIN Plaine de l'Ourcq;Abreuvoir Bondy Nord Centre Pont de Bondy Sablière Secteur Sud;Oui;Non;Non;Non;Les Nouveaux Constructeurs / Babel Promotion;;;;;60-70 avenue Gallieni;J 18 298;;En projet;;NC;;;NC;;C0663-31-Potentiel post2026;273;273;0;;148;;;;0;0;75;;;50;;NC;NC;NC;50;NC;;;;;;0;;;0;;8;117;116;32;0;0;;;;;;;;;;prog à préciser hypothèse mixte LLI LLS;N Chopin DHRU;Ville Denis Bernard;janv-24
Bondy;09301021B0011;Diffus;;;;CN;Hors Site;Non;CIN Plaine de l'Ourcq;;Non;Non;Non;Non;Groupe Gambetta;Seqens;;VEFA;;6-10 avenue Jules Ferry;AU 9;;En chantier;02/12/2021;2021;13/07/2022;2022;2025;4;C0663-31-0151 / 2023;80;83;-3;;0;-3;;;0;0;57;;;26;;6;16;4;0;2021;;6;0;6;;0;;;0;;2;32;31;18;0;0;;;;;;;;;;LLI à confirmer (acquéreur) / en chantier lors de la visite terrain;N Chopin DHRU;Sitadel2 DRIHL terrain;avr-25
Bondy;09301019B0075;Diffus;;;;CN;;Non;CIN Plaine de l'Ourcq;;Non;Oui;Non;Non;;;;;;7 allée Racine;AO 133;;En chantier;25/05/2020;2020;;2021;2025;5;;3;3;0;;3;;;;0;0;0;;;0;;;;;0;;;;;;;0;;;0;;NC;NC;NC;NC;NC;3;;;;;;;;;;chantier à l'arrêt;N Chopin DHRU;Sitadel2 terrain;avr-24
Bondy;PD 09301024B0005;Secteur aménagé;NPNRU;NPNRU Blanqui;Séquano;DEMOL;;Non;CIN Plaine de l'Ourcq;Blanqui;Oui;Non;Non;Oui;;Est Ensemble Habitat;;MOD;Démolition bat B;8-10 rue Martin Luther King;;;PC accordé;24/09/2024;2024;;;2026;2;Pré-conventionné;-85;0;-85;;;;;;;;;;;;-85;;;;-85;;;;;;;;;;;;;;;;;0;;;;;;;;;;;N Chopin DHRU;CE nov 2024 Est Ensemble;nov-24
Bondy;;Secteur aménagé;NPNRU;NPNRU Blanqui;Séquano;CN;;Non;CIN Plaine de l'Ourcq;Blanqui;Oui;Non;Non;Oui;;;;;Lot 8;8-10 rue Martin Luther King;;;En projet;;NC;;2028;2031;;;72;72;0;;72;;;;0;0;0;;;0;;;;;0;;;;;;;;;;;;;;;;;72;;;;;;;;;;actualisation plan guide avril 2025;N Chopin DHRU;CE juin 2025 Est Ensemble;juin-25
Bondy;;Diffus;;;;CN;Les Merisiers;Non;CIN Plaine de l'Ourcq;Abreuvoir Bondy Nord Centre Pont de Bondy Sablière Secteur Sud;Oui;Non;Oui;Oui;;Association Foncière Logement;;;Foncier CPAM;9-13 avenue Marx Dormoy;C 179;Publique;En projet;;NC;;;2027;;C0663-31-Potentiel post2026;73;73;0;;73;;;;0;0;0;;;0;;;;;0;;;;;;;0;;;0;;;;;;;73;;;;;;;;;;Réalisé hors NPNRU foncier ville;N Chopin DHRU;Ville ANRU;sept-19
Bondy;;Secteur aménagé;NPNRU;NPNRU Marnaudes La Sablière;SPL Ensemble;CN;;Non;CIN Plaine de l'Ourcq;Marnaudes - Fosses aux Bergers -La Sablière;Oui;Non;Non;Oui;;;;;Lot 4;Allee du Gros Buisson;;;En projet;;NC;;2027;2029;;;34;34;0;;0;;;;34;0;0;;;0;;;;;0;;;;;;;0;;;0;;;;;;;34;;;;;;;;;;;N Chopin DHRU;CE nov 2022 Est Ensemble;nov.-24
Bondy;;Secteur aménagé;NPNRU;NPNRU Marnaudes La Sablière;SPL Ensemble;CN;;Non;CIN Plaine de l'Ourcq;Marnaudes - Fosses aux Bergers -La Sablière;Oui;Non;Non;Oui;;;;;Lot 3;Allee du Gros Buisson;;;En projet;;NC;;2027;2029;;;71;71;0;;71;;;;0;0;0;;;0;;;;;0;;;;;;;0;;;0;;;;;;;71;;;;;;;;;;;N Chopin DHRU;CE nov 2022 Est Ensemble;nov.-24
Bondy;;Secteur aménagé;NPNRU;NPNRU Bondy secteurs centre nord;;REHAB LLS;De Lattre;Non;CIN Plaine de l'Ourcq;Abreuvoir Bondy Nord Centre Pont de Bondy Sablière Secteur Sud;Oui;Non;Oui;Oui;;Bondy Habitat;;MOD;Réhabilitation bat A1;Avenue de Lattre de Tassigny;;;En projet;;NC;;;2027;;Pré-conventionné;0;40;-40;;0;-40;;;0;0;0;;;40;;NC;NC;NC;40;;;;;;;;;;;;;;;;;40;;;;;;;;;;diffcultés potentiel RO abandon démolition pour une réhabilitation  / démarrage travaux T2 2026;N Chopin DHRU;COTECH RU déc 25;déc-25
Bondy;;Secteur aménagé;NPNRU;NPNRU Bondy secteurs centre nord;;CN;De Lattre;Non;CIN Plaine de l'Ourcq;Abreuvoir Bondy Nord Centre Pont de Bondy Sablière Secteur Sud;Oui;Non;Oui;Oui;;Est Ensemble Habitat;;MOD;Foncier bat A1;Avenue de Lattre de Tassigny;;;En projet;;NC;;;2027;;C0663-31-Potentiel post2026;60;60;0;;0;;;;20;0;0;;;40;;0;0;40;0;NC;;;;;;0;;;0;;;;;;;60;;;;;;;;;;;N Chopin DHRU;Ville ANRU;janv-21
Bondy;;Diffus;;;;CN;;Non;CIN Plaine de l'Ourcq;;Non;Oui;Non;Non;;IN LI;;MOD;;Avenue de Rosny;;;En projet;;NC;;;NC;;;100;100;0;;;;;;;;100;;;;;;;;0;;;;;;;;;;;;;;;;;100;;;;;;;;;;projet à confirmer;N Chopin DHRU;Ville Laurie LOISON;janv-22
Bondy;;Secteur aménagé;NPNRU;NPNRU Bondy secteurs centre nord;Résilience & Innovation;DEMOL;Noue Caillet;Non;CIN Plaine de l'Ourcq;Abreuvoir Bondy Nord Centre Pont de Bondy Sablière Secteur Sud;Oui;Non;Oui;Oui;;Seine-Saint-Denis Habitat;;MOD;Démolition bat J et K;Avenue Jean Moulin;;;En projet;;NC;;;2027;;Pré-conventionné;-40;0;-40;;;;;;;;;;;;-40;;;;-40;;;;;;;;;;;;;;;;;0;;;;;;;;;;démolition totale et non partielle;N Chopin DHRU;CE nov 2022;nov.-22
Bondy;;Secteur aménagé;NPNRU;NPNRU Bondy secteurs centre nord;Résilience & Innovation;DEMOL;Noue Caillet;Non;CIN Plaine de l'Ourcq;Abreuvoir Bondy Nord Centre Pont de Bondy Sablière Secteur Sud;Oui;Non;Oui;Oui;;Seine-Saint-Denis Habitat;;MOD;Démolition bat M;Avenue Jean Moulin;;;En projet;;NC;;;2027;;Pré-conventionné;-19;0;-19;;;;;;;;;;;;-19;;;;-19;;;;;;;;;;;;;;;;;0;;;;;;;;;;;N Chopin DHRU;CE nov 2022;nov.-22
Bondy;;Secteur aménagé;NPNRU;NPNRU Bondy secteurs centre nord;Résilience & Innovation;DEMOL;Noue Caillet;Non;CIN Plaine de l'Ourcq;Abreuvoir Bondy Nord Centre Pont de Bondy Sablière Secteur Sud;Oui;Non;Oui;Oui;;Seine-Saint-Denis Habitat;;MOD;Démolition bat L1 ;Avenue Jean Moulin;;;En projet;;NC;;;2029;;;-103;0;-103;;;;;;;;;;;;-103;;;;-103;;;;;;;;;;;;;;;;;0;;;;;;;;;;;N Chopin DHRU;CE nov 2022;nov.-22
Bondy;;Secteur aménagé;NPNRU;NPNRU Bondy secteurs centre nord;Résilience & Innovation;DEMOL;Noue Caillet;Non;CIN Plaine de l'Ourcq;Abreuvoir Bondy Nord Centre Pont de Bondy Sablière Secteur Sud;Oui;Non;Oui;Oui;;Seine-Saint-Denis Habitat;;MOD;Démolition bat L2;Avenue Jean Moulin;;;En projet;;NC;;;2030;;Pré-conventionné;-64;0;-64;;;;;;;;;;;;-64;;;;-64;;;;;;;;;;;;;;;;;0;;;;;;;;;;;N Chopin DHRU;CE nov 2022;nov.-22
Bondy;PD 09301022B0069;Secteur aménagé;NPNRU;NPNRU Bondy secteurs centre nord;;DEMOL;Les Merisiers;Non;CIN Plaine de l'Ourcq;Abreuvoir Bondy Nord Centre Pont de Bondy Sablière Secteur Sud;Oui;Non;Oui;Oui;;I3F;;MOD;Démolition les Merisiers;Avenue Marx Dormoy;F 108;;Livré;29/03/2023;2023;;;2025;2;Pré-conventionné;-132;0;-132;;;;;;;;;;;;-132;;;;-132;;;;;;;;;;;;;;;;;0;;;;;;;;;;a priori PC valant démolition;N Chopin DHRU;CE nov 2022;juil-23
Bondy;PD 09301023B0009;Secteur aménagé;ZAC;ZAC des Rives de l'Ourcq;Séquano;CN;Secteur Centre;Non;CIN Plaine de l'Ourcq;;Non;Oui;Non;Non;;;;;Lot C11b (et C7b);Chemin Latéral;H 90 91 92 93;;En projet;;NC;;;2028;;;28;30;-2;;30;-2;;;0;0;0;;;0;;;;;0;;;;;;;0;;;0;;NC;NC;NC;NC;NC;30;;;;;;;;;;2 maisons démolies / reprogrammation lots C11b C7b groupe scolaire 16 classes 3900m2 et 1890m2 SDP logements partie ouest (lot C11b) / prog estimée;N Chopin DHRU;Sequano DAD;oct.-24
Bondy;;Secteur aménagé;NPNRU;NPNRU Marnaudes La Sablière;SPL Ensemble;CN;;Non;CIN Plaine de l'Ourcq;Marnaudes - Fosses aux Bergers -La Sablière;Oui;Non;Non;Oui;;ICF Habitat La Sablière;;;Lot 1;Route de Villemomble;;;En projet;;NC;;2026;2028;;C0663-31-0108 / 2022;82;82;0;;0;;;;0;0;0;;;82;;33;49;0;0;2022;;33;49;82;;0;;;0;;;;;;;82;;;;;;;;;;reconstitution ANRU;N Chopin DHRU;CE nov 2022 Est Ensemble;nov.-24
Bondy;;Secteur aménagé;NPNRU;NPNRU Marnaudes La Sablière;SPL Ensemble;CN;;Non;CIN Plaine de l'Ourcq;Marnaudes - Fosses aux Bergers -La Sablière;Oui;Non;Non;Oui;;Association Foncière Logement;;;Lot 2;Route de Villemomble;;;En projet;;NC;;2027;2029;;;58;58;0;;0;;;;0;0;58;;;0;;;;;0;;;;;;;0;;;0;;;;;;;58;;;;;;;;;;;N Chopin DHRU;CE nov 2022 Est Ensemble;nov.-24
Bondy;;Secteur aménagé;NPNRU;NPNRU Marnaudes La Sablière;SPL Ensemble;DEMOL;;Non;CIN Plaine de l'Ourcq;Marnaudes - Fosses aux Bergers -La Sablière;Oui;Non;Non;Oui;;ICF Habitat La Sablière;;MOD;Démolition barre B;Route de Villemomble;;;En projet;;NC;;2028;2030;;Pré-conventionné;-108;0;-108;;;;;;;;;;;;-108;;;;-108;;;;;;;;;;;;;;;;;0;;;;;;;;;;planifié hors financement ANRU;N Chopin DHRU;CE nov 2022 Est Ensemble;nov.-24
Bondy;09301025B0049;Secteur aménagé;ZAC;ZAC des Rives de l'Ourcq;Séquano;CN;Secteur Centre;Non;CIN Plaine de l'Ourcq;;Non;Oui;Non;Non;Spirit Immobilier;;;;Lot A1;Rue Aretha Franklin;H 142;;PC accordé;17/02/2026;2026;;;2029;3;;49;49;0;;49;;;;0;0;0;;;0;;;;;0;;;;;;;0;;;0;;3;14;17;13;2;0;;;;;;;;;;reprogrammation suite audit / lot résiduel (ex lot A12) secteur Activités / 3000m2 SDP / cession foncière en cours / ambition résidence RE 2020 seuil 2028;N Chopin DHRU;Sequano DAD;avr.-26
Bondy;;Diffus;;;;CN;;Non;CIN Plaine de l'Ourcq;Abreuvoir Bondy Nord Centre Pont de Bondy Sablière Secteur Sud;Oui;Non;Non;Non;Icade / Immobel;;;;Site Hopital Jean Verdier;Rue Arthur Groussier;;;En projet;;NC;;;2032;;C0663-31-Potentiel post2026;200;200;0;;160;;;;;;;;;40;;NC;NC;NC;40;NC;;;;;;;;;;;;;;;;200;;;;;;;;;;projet de restructuration de l'hopital partiellement relocalisé sur un site Gallieni / route d'Aulnay / modif PLUi nécessaire / prog résidentielle à préciser;N Chopin O Larique DHRU;DAD Ville;janv-24
Bondy;PD 09301013B0012;Diffus;;;;DEMOL;;Non;CIN Plaine de l'Ourcq;;Non;Non;Non;Non;Société du Grand Paris;;;;Démolition 1 gare de Bondy;Rue de la Liberté;AV 189 202 231;;Livré;03/12/2013;2013;;;2025;12;;-39;0;-39;;;-39;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;;;démolition immeubles résidentiels jouxtant le parking de la gare;N Chopin DHRU;société du Grand Paris;avr-26
