Code;SIRET;Raison Sociale;Nom;Date immatriculation;Date déb;Date fin;Date de radiation;Num voie;BTQ;Voie;Complément;CP;Ville;INSEE;Pays;NACE;Lat;Lon;Tel;Mail;Montant Prév;Montant Déc;Montant Fact;Montant Sim;Date échange;Nb Supports
1264;30247504102881;PSA RETAIL FRANCE SAS;PEUGEOT;;01/05/2018;;;97;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4511Z - Commerce de voitures et de véhicules automobiles légers;48,90651165;2,47942829;;;5 004,92;5 004,92;5 004,92;0,00;21/09/2022;51
1266;47050094302296;TAPIS SAINT MACLOU;SAINT MACLOU;;15/11/1995;;;190;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4753Z - Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé;48,90675680;2,48906210;;;14 525,54;14 525,54;14 525,54;0,00;21/09/2022;26
1268;39934346600666;TATI SA;TATI;;11/03/1999;31/12/2019;;90;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4751Z - Commerce de détail de textiles en magasin spécialisé;48,90544840;2,47894450;;;0,00;0,00;0,00;0,00;;15
1256;41315173903967;LA HALLE;LA HALLE AUX VETEMENTS;;21/03/2001;;;60;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4771Z - Commerce de détail d'habillement en magasin spécialisé;48,90507840;2,47743160;;;8 833,42;8 833,42;8 833,42;0,00;21/09/2022;20
1255;41315173912489;LA HALLE;LA HALLE AUX CHAUSSURES;;01/01/2019;31/12/2020;;60;;AVENUE GALLIENI;ANGLE RUE GATINE;93140;BONDY;93010;FRANCE;4772A - Commerce de détail de la chaussure;48,90501668;2,47738512;;;0,00;0,00;0,00;0,00;;6
1243;31216142500342;LES COMPLICES;COMPLICES;;;31/07/2016;;52;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4771Z - Commerce de détail d'habillement en magasin spécialisé;48,90469300;2,47556500;;;2 012,63;0,00;0,00;0,00;;13
1245;54208661600035;ETABLISSEMENTS DARTY ET FILS;DARTY;;01/01/1900;;;129;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;7010Z - Activités des sièges sociaux;48,90699840;2,48370240;;;9 860,85;9 860,85;9 860,85;0,00;21/09/2022;38
1253;32490426700279;KERIA;KERIA;;13/05/1996;27/07/2020;;141;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4759B - Commerce de détail d'autres équipements du foyer;48,90659075;2,48290685;;;0,00;0,00;0,00;0,00;;3
1251;30365684703714;EUROPCAR FRANCE;EUROPCAR;;26/06/2013;;;95;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;7711A - Location de courte durée de voitures et de véhicules automobiles légers;48,90604684;2,47914936;;;4 847,78;4 847,78;4 847,78;0,00;21/09/2022;10
1246;41982619300205;DECOPLUS;DECOPLUS;;17/05/2010;;;186;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4752A - Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m2);48,90683433;2,48821431;;;7 827,60;7 827,60;7 827,60;0,00;21/09/2022;16
1309;32318105700049;TRANSPORTS PREVOST;TRANSPORTS PREVOST;;31/12/1992;30/04/2022;;16;;CHEMIN DES CARROUGES;;93140;BONDY;93010;FRANCE;4941A - Transports routiers de fret interurbains;48,88931681;2,47593443;;;2 359,97;0,00;0,00;0,00;;4
1314;34326262209686;LIDL;LIDL VARAGNAT;;04/04/2001;;;20;;AVENUE HENRI VARAGNAT;;93140;BONDY;93010;FRANCE;4711D - Supermarchés;48,91360720;2,48367140;;;1 746,19;1 746,19;1 746,19;0,00;21/09/2022;15
1281;51813862300013;OUTLET BONDY;OUTLET BONDY;;19/10/2009;;;55;;RUE JULES GUESDE;;93140;BONDY;93010;FRANCE;4771Z - Commerce de détail d'habillement en magasin spécialisé;48,90360140;2,47843580;;;580,48;580,48;580,48;0,00;21/09/2022;5
6072;30812715800035;SCM CENTRE DE RADIOLOGIE;CENTRE D'IMAGERIE MEDICALE;;;13/12/2016;;59;;RUE JULES GUESDE;;93140;BONDY;93010;FRANCE;8219Z - Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau;48,90349800;2,47880300;;;1 056,28;0,00;0,00;0,00;;4
12981;42873828000695;INSERT;INSERT;;01/01/2019;;;40;;BOULEVARD DU PARC;40-52-IMMEUBLE NEWTIME;92200;NEUILLY SUR SEINE;92051;FRANCE;7312Z - Régie publicitaire de médias;48,89254300;2,26353700;;;0,00;0,00;0,00;0,00;;0
6380;38988967600059;GROUPE NATIONAL COMMUNICATION AFFICHAGE;GNCA;;03/01/2018;;;9;;RUE DES FRATELLINI;;94170;LE PERREUX SUR MARNE;94058;FRANCE;6420Z - Activités des sociétés holding;48,84197800;2,50620800;;;0,00;0,00;0,00;0,00;;60
6062;83073537900018;MS AUTO CONTROLE TECHNIQUE;AUTO SECURITE;;06/07/2017;;;7;;RUE DU PROFESSEUR VAILLANT;;93140;BONDY;93010;FRANCE;7120A - Contrôle technique automobile;48,89987630;2,49190690;;;946,84;946,84;946,84;0,00;21/09/2022;2
6064;43250329000012;ECOLE DE CONDUITE AXEL'R;ECOLE DE CONDUITE AXEL'R;;07/08/2000;;;37;;RUE JULES GUESDE;;93140;BONDY;93010;FRANCE;8553Z - Enseignement de la conduite;48,90368244;2,47743743;;;680,39;680,39;680,39;0,00;21/09/2022;3
6070;45167897300640;CASTORAMA FRANCE;CASTORAMA;;30/11/2004;;;19;;RUE LAENNEC;CENTRE COMMERCIAL DU PLATE;93250;VILLEMOMBLE;93077;FRANCE;4752B - Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m2et plus);48,88025810;2,49760050;;;7 003,78;0,00;0,00;0,00;08/12/2022;1
6074;49889650500019;CORP'S;CENTURY 21;;03/07/2007;;;197;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;6831Z - Agences immobilières;48,90710350;2,48756892;;;1 183,55;1 183,55;1 183,55;0,00;21/09/2022;14
6080;31929391600056;SNC COGEDIM PARIS METROPOLE;COGEDIM;;;25/05/2022;;6;;AVENUE PASTEUR;;93140;BONDY;93010;FRANCE; - ;48,90265892;2,48298036;;;695,86;0,00;0,00;0,00;;7
6086;380867978;CREDIT AGRICOLE IMMOBILIER;CREDIT AGRICOLE IMMOBILIER;;;;;24;;RUE JULES FERRY;;93140;BONDY;93010;FRANCE; - ;48,89337609;2,47384392;;;380,64;380,64;380,64;0,00;21/09/2022;6
6092;81803754100013;DOM CONSEILS & SERVICES;DOM CONSEILS & SERVICES;;01/12/2015;;;45;;PLACE NICOLE NEUBURGER;;93140;BONDY;93010;FRANCE;8219Z - Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau;48,90144250;2,49176180;;;0,00;0,00;0,00;0,00;;6
6094;30950685500019;SOC MAGASINS ECONO MARNAUDES;FRANPRIX;;01/01/1977;;;6;;RUE DE LA PHILOSOPHIE;;93140;BONDY;93010;FRANCE;4711C - Supérettes;48,89024350;2,49547350;;;1 170,47;1 170,47;1 170,47;0,00;21/09/2022;6
6100;82389666700016;RT;HARRY'S CAFE;;14/11/2016;;;27;;RUE JULES GUESDE;;93140;BONDY;93010;FRANCE;5610CQ;48,90403421;2,47665702;;;1 503,53;1 503,53;1 503,53;0,00;21/09/2022;8
6106;48351386700026;KALAAJINI STORE;KALAAJINI STORE;;22/08/2017;;;93;;RUE ROGER SALENGRO;;93140;BONDY;93010;FRANCE;4711B - Commerce d'alimentation générale;48,89564794;2,47747888;;;0,00;0,00;0,00;0,00;;8
6118;84985699200011;SABAIDI;LES DELICES DE BONDY;;04/04/2019;;;132;B;ROUTE DE VILLEMOMBLE;;93140;BONDY;93010;FRANCE;5610C - Restauration de type rapide;48,89155143;2,48929350;;;346,94;346,94;346,94;0,00;21/09/2022;9
6130;82368337000014;LYWANE;MONEYGRAM;;01/11/2016;;;13;;RUE AUGUSTE POLISSARD;;93140;BONDY;93010;FRANCE;4742Z - Commerce de détail de matériels de télécommunication en magasin spécialisé;48,90494330;2,48057090;;;575,72;575,72;575,72;0,00;21/09/2022;10
6136;84753771900019;NEW JATHU AND CO;NEW JATHU AND CO;;09/01/2019;;;120;;RUE ROGER SALENGRO;;93140;BONDY;93010;FRANCE;4711B - Commerce d'alimentation générale;48,89621196;2,47700879;;;1 056,28;1 056,28;1 056,28;0,00;21/09/2022;19
6142;83187500000018;M ISPHERE;OTANTIK;;01/09/2017;;;160;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;5610CQ;48,90635990;2,48564640;;;1 118,13;1 118,13;1 118,13;0,00;21/09/2022;13
6148;34186829700068;PALETTE PUBLICITAIRE VAR;PALETTE PUBLICITAIRE P A P VAR;;25/09/2019;;;11;;IMPASSE PRINCE LOUIS DE BROGLIE;CENTRE HERMES II;83160;LA VALETTE DU VAR;83144;FRANCE;7312Z - Régie publicitaire de médias;43,14153660;6,00932990;;;801,32;801,32;801,32;0,00;21/09/2022;3
6154;80034396400022;PECUNIA COURTAGE;PECUNIA COURTAGE;;01/01/2018;25/05/2022;;72;;AVENUE ANATOLE FRANCE;;93140;BONDY;93010;FRANCE;7010Z - Activités des sièges sociaux;48,89238580;2,49749760;;;563,03;0,00;0,00;0,00;;8
6156;53257646900029;GANESAVEL;PETIT CHATEAU ROUGE;;10/05/2011;;;9;;RUE DU VERGER;;93140;BONDY;93010;FRANCE;4711B - Commerce d'alimentation générale;48,91873864;2,47656329;;;832,65;832,65;832,65;0,00;21/09/2022;10
