Code;SIRET;Raison Sociale;Nom;Date immatriculation;Date déb;Date fin;Date de radiation;Num voie;BTQ;Voie;Complément;CP;Ville;INSEE;Pays;NACE;Lat;Lon;Tel;Mail;Montant Prév;Montant Déc;Montant Fact;Montant Sim;Date échange;Nb Supports
1249;80863684902970;CERTAS ENERGY FRANCE;ESSO EXPRESS EST;;24/06/2015;;;205;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4730Z - Commerce de détail de carburants en magasin spécialisé;48,90761252;2,49068593;;;1 284,66;1 284,66;1 284,66;0,00;21/09/2022;39
1336;57205033402253;CLEAR CHANNEL FRANCE;CLEAR CHANNEL FRANCE;;01/10/2005;;;24;;QUAI ALPHONSE LE GALLO;;92100;BOULOGNE BILLANCOURT;92012;FRANCE;7312Z - Régie publicitaire de médias;48,83224030;2,23524730;;;2 387,82;2 387,82;2 387,82;0,00;21/09/2022;10
1338;34191586600014;COMO BONDY;MERCEDES BENZ;;30/03/1987;;;113-121;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4511Z - Commerce de voitures et de véhicules automobiles légers;48,90649470;2,48120290;;;9 286,38;5 344,49;5 344,49;0,00;21/09/2022;21
1244;41481940900916;CONFORAMA FRANCE;CONFORAMA;;28/11/2000;;;53;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4759A - Commerce de détail de meubles;48,90572938;2,47551160;;;53 565,69;48 004,85;48 004,85;0,00;21/09/2022;68
1247;44129280200036;EQUINOXE;DESTOCK MANIA;;11/10/2008;;;162;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4771Z - Commerce de détail d'habillement en magasin spécialisé;48,90640483;2,48584796;;;6 208,71;6 208,71;6 208,71;0,00;21/09/2022;1
1252;32242434201323;VETIR;GEMO;;05/05/1995;;;105;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4771Z - Commerce de détail d'habillement en magasin spécialisé;48,90648982;2,47992446;;;7 703,07;7 703,07;7 703,07;0,00;21/09/2022;7
1261;33877141300386;LOGIRAMA;MAISON DE LA LITERIE;;31/12/2016;25/05/2022;;137;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4759A - Commerce de détail de meubles;48,90656970;2,48251570;;;3 339,33;0,00;0,00;0,00;;14
1262;824956346;SN ELMO;ELMO;;;25/05/2022;;164;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;XXXXX;48,90640587;2,48616600;;;4 065,76;0,00;0,00;0,00;;20
1265;75321670400779;FUNECAP IDF;ROC ECLERC;;01/07/2016;;;181;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;9603Z - Services funéraires;48,90698737;2,48632117;;;7 649,70;7 649,70;7 649,70;0,00;21/09/2022;14
1267;43391959400021;EUROPEENNE CUISINES ET COMPOSANTS E.C.C.;SCHMIDT GROUPE;;30/04/2015;25/05/2022;;114;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4759A - Commerce de détail de meubles;48,90584185;2,48198327;;;751,37;0,00;0,00;0,00;;6
1269;40405219300210;TOP OFFICE;TOP OFFICE;;27/08/2003;;;174;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4778C - Autres commerces de détail spécialisés divers;48,90659215;2,48714015;;;2 055,46;2 055,46;2 055,46;0,00;21/09/2022;4
1286;49912711600022;PHARMACIE DE L'HOTEL DE VILLE;PHARMACIE DE L'HOTEL DE VILLE;;01/10/2013;;;93;B;RUE JULES GUESDE;;93140;BONDY;93010;FRANCE;4773Z - Commerce de détail de produits pharmaceutiques en magasin spécialisé;48,90295192;2,48182037;;;5 256,95;5 256,95;5 256,95;0,00;21/09/2022;21
1295;38081504300019;SA ARCELIS;INTERMARCHE;;22/01/1991;;;14;;PLACE DE LA REPUBLIQUE;;93140;BONDY;93010;FRANCE;4711D - Supermarchés;48,89451674;2,47820316;;;0,00;0,00;0,00;0,00;;21
1346;70202035500054;VILLE ET MEDIAS;VILLE ET MEDIAS;;20/08/2002;;;6;;RUE DES BRETONS;;93210;SAINT DENIS;93066;FRANCE;7311Z - Activités des agences de publicité;48,91975610;2,35930930;;;645,36;645,36;645,36;0,00;21/09/2022;2
1270;53932067100016;WEITIAN;WOK GRILL;;19/01/2012;;;196;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;5610CQ;48,90696273;2,48950401;;;2 217,23;2 217,23;2 217,23;0,00;21/09/2022;31
1362;50751705000013;ABATTOIR DE BONDY;ABATTOIR DE BONDY;;01/08/2008;;;5;;CHEMIN LATERAL;;93140;BONDY;93010;FRANCE;1012ZZ;48,90816572;2,47853995;;;812,43;812,43;812,43;0,00;21/09/2022;10
1363;41993529100064;LES ACIERS PARISIENS;ACIPAR;;23/04/2014;;;44;;RUE ANDREI SAKHAROV;;93140;BONDY;93010;FRANCE;4672Z - Commerce de gros (commerce interentreprises) de minerais et métaux;48,91603392;2,49030497;;;1 348,89;1 348,89;1 348,89;0,00;21/09/2022;10
1364;80213117700015;DESIGN SHOP;AMBIANCE ET DECOR;;27/03/2014;;;193;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4759A - Commerce de détail de meubles;48,90706066;2,48744445;;;5 203,58;5 203,58;5 203,58;0,00;21/09/2022;4
