"","NATURE","NOM_1_G","Longueur","longueurSecteur","creche","comparaison"
"232","Route à 1 chaussée","R JULES LECOMTE",191,191,"Maison de la petite enfance","dans le secteur"
"235","Route à 1 chaussée","R ARTHUR GROUSSIER",281,281,"Maison de la petite enfance","dans le secteur"
"237","Route à 1 chaussée","R DES ESCHOLIERS",126,126,"Maison de la petite enfance","dans le secteur"
"238","Route à 1 chaussée","AV DE LA VILLEGIATURE",352,352,"Maison de la petite enfance","dans le secteur"
"239","Route à 1 chaussée","R BOREL",216,216,"Maison de la petite enfance","dans le secteur"
"244","Sentier","R ERIC TABARLY",123,123,"Maison de la petite enfance","dans le secteur"
"245","Route à 1 chaussée","R HENRI ROL TANGUY",187,187,"Maison de la petite enfance","dans le secteur"
"251","Route à 1 chaussée","R LUCIE AUBRAC",325,325,"Maison de la petite enfance","dans le secteur"
"255","Route à 1 chaussée","AV CLARA GRANDET",217,217,"Maison de la petite enfance","dans le secteur"
"257","Route à 1 chaussée","ALL SIMON BOLIVAR",152,152,"Maison de la petite enfance","dans le secteur"
"260","Route à 1 chaussée","ALL DES DAHLIAS",142,142,"Maison de la petite enfance","dans le secteur"
"263","Route à 1 chaussée","AV DE LA PARISIENNE",265,265,"Maison de la petite enfance","dans le secteur"
"266","Route à 2 chaussées","CHE DU PONT",238,238,"Maison de la petite enfance","dans le secteur"
"267","Rond-point","RPT DU VERGER",129,129,"Maison de la petite enfance","dans le secteur"
"273","Route à 1 chaussée","AV LEON BLUM",588,588,"Maison de la petite enfance","dans le secteur"
"280","Route à 1 chaussée","R LAUG",116,116,"Maison de la petite enfance","dans le secteur"
"281","Route à 1 chaussée","AV JEAN LEBAS",212,212,"Maison de la petite enfance","dans le secteur"
"283","Route à 1 chaussée","ALL DES SORBIERS",66,66,"Maison de la petite enfance","dans le secteur"
"293","Route à 1 chaussée","ALL DES FOUGERES",69,69,"Maison de la petite enfance","dans le secteur"
"300","Route à 1 chaussée","ALL DE LA JARDINIERE",269,269,"Maison de la petite enfance","dans le secteur"
"301","Route à 1 chaussée","R DE PANURGE",103,103,"Maison de la petite enfance","dans le secteur"
"302","Route à 1 chaussée","AV MAURICE BENHAMOU",303,303,"Maison de la petite enfance","dans le secteur"
"310","Route à 2 chaussées","AV ARISTIDE BRIAND",245,28,"Maison de la petite enfance","à vérifier"
"324","Route à 1 chaussée","R FONTAINE",435,435,"Maison de la petite enfance","dans le secteur"
"325","Route à 1 chaussée","R PIERRE DE RONSARD",58,58,"Maison de la petite enfance","dans le secteur"
"329","Route à 1 chaussée","R DU 4 SEPTEMBRE",387,387,"Maison de la petite enfance","dans le secteur"
"331","Sentier","ALL DES GLYCINES",62,62,"Maison de la petite enfance","dans le secteur"
"333","Route à 2 chaussées","AV LEON JOUHAUX",383,383,"Maison de la petite enfance","dans le secteur"
"336","Route à 1 chaussée","R ANDREI SAKHAROV",1127,1128,"Maison de la petite enfance","à vérifier"
"338","Sentier",NA,123,123,"Maison de la petite enfance","dans le secteur"
"339","Chemin","R SUZANNE BLIN",74,74,"Maison de la petite enfance","dans le secteur"
"340","Sentier",NA,135,132,"Maison de la petite enfance","à vérifier"
"341","Sentier",NA,110,102,"Maison de la petite enfance","à vérifier"
"342","Sentier",NA,131,126,"Maison de la petite enfance","à vérifier"
"343","Sentier",NA,77,73,"Maison de la petite enfance","à vérifier"
"345","Chemin","R SIMONE VEIL",160,160,"Maison de la petite enfance","dans le secteur"
"346","Chemin","R GISELE HALIMI",134,134,"Maison de la petite enfance","dans le secteur"
"347","Chemin","QUAI HUBERTINE AUCLERT",1505,1503,"Maison de la petite enfance","à vérifier"
"348","Sentier","17",392,392,"Maison de la petite enfance","dans le secteur"
"349","Route à 2 chaussées","AV MARX DORMOY",453,453,"Maison de la petite enfance","dans le secteur"
"350","Chemin","IMP DE LA JARDINIERE",30,30,"Maison de la petite enfance","dans le secteur"
"351","Route à 1 chaussée",NA,178,178,"Maison de la petite enfance","dans le secteur"
"355","Route à 1 chaussée","R. ARETHA FRANKLIN",182,182,"Maison de la petite enfance","dans le secteur"
"356","Route à 1 chaussée","R FRANCOISE HERITIER",122,122,"Maison de la petite enfance","dans le secteur"
"357","Sentier",NA,332,332,"Maison de la petite enfance","dans le secteur"
"362","Route à 2 chaussées","AV SUZANNE BUISSON",287,287,"Maison de la petite enfance","dans le secteur"
"363","Route à 1 chaussée","AV JEAN MOULIN",558,558,"Maison de la petite enfance","dans le secteur"
"364","Route à 1 chaussée","R JEAN PIERRE LEVY",140,140,"Maison de la petite enfance","dans le secteur"
"366","Route à 1 chaussée","PAS DU VERCORS",177,177,"Maison de la petite enfance","dans le secteur"
"370","Chemin","",NA,248,"Maison de la petite enfance",NA
"372","Route à 2 chaussées","D78",131,131,"Maison de la petite enfance","dans le secteur"
"373","Rond-point","RPT JOUHAUX",129,129,"Maison de la petite enfance","dans le secteur"
