"","NATURE","NOM_1_G","Longueur","longueurSecteur","creche","comparaison"
"97","Route à 1 chaussée","VLA PARMENTIER",115,115,"Cabane des petits","dans le secteur"
"100","Route à 1 chaussée","R DU SERGENT BOBILLOT",396,396,"Cabane des petits","dans le secteur"
"104","Route à 1 chaussée","ALL DE LA VILLA JEANNETTE",141,141,"Cabane des petits","dans le secteur"
"106","Sentier","2",59,59,"Cabane des petits","dans le secteur"
"112.1","Route à 1 chaussée","AV CARNOT",863,584,"Cabane des petits","à vérifier"
"113","Route empierrée","ALL POQUE",104,104,"Cabane des petits","dans le secteur"
"114","Route à 1 chaussée","ALL ALEXANDRE MARTHE",121,121,"Cabane des petits","dans le secteur"
"115","Route à 1 chaussée","AV DE BELFORT",557,557,"Cabane des petits","dans le secteur"
"117","Sentier","11",50,50,"Cabane des petits","dans le secteur"
"118","Route à 1 chaussée","VLA DES ABEILLES",39,39,"Cabane des petits","dans le secteur"
"119.1","Route à 1 chaussée","ALL MOLIERE",100,5,"Cabane des petits","à vérifier"
"120.1","Route à 1 chaussée","R BERNARD DE JUSSIEU",248,0,"Cabane des petits","à vérifier"
"122","Route à 1 chaussée","R DE LA PHILOSOPHIE",205,203,"Cabane des petits","à vérifier"
"123.1","Chemin","PAS MICHELET",102,101,"Cabane des petits","à vérifier"
"124","Sentier","3",26,26,"Cabane des petits","dans le secteur"
"127","Route à 1 chaussée","R DU CLOS VAILLANT",146,146,"Cabane des petits","dans le secteur"
"128","Route à 1 chaussée","AV MARIE CURIE",203,203,"Cabane des petits","dans le secteur"
"129","Route à 1 chaussée","R DU BEL AIR",151,151,"Cabane des petits","dans le secteur"
"131.1","Route à 1 chaussée","AV DE ROSNY",558,144,"Cabane des petits","à vérifier"
"133","Route à 1 chaussée","IMP GEORGES BRASSENS",61,61,"Cabane des petits","dans le secteur"
"135","Route à 1 chaussée","VLA LAVIGNE",62,62,"Cabane des petits","dans le secteur"
"136","Route à 1 chaussée","AV DE L'EST",499,499,"Cabane des petits","dans le secteur"
"140","Route à 1 chaussée","ALL CLAUDE DEBUSSY",104,104,"Cabane des petits","dans le secteur"
"145","Route à 1 chaussée","SEN BLERIOT",52,52,"Cabane des petits","dans le secteur"
"147","Rond-point","PL DE LA REPUBLIQUE",220,220,"Cabane des petits","dans le secteur"
"148.1","Route à 1 chaussée","R BEAUREGARD",174,159,"Cabane des petits","à vérifier"
"149","Route à 1 chaussée","R DU LEVANT",319,319,"Cabane des petits","dans le secteur"
"151","Route à 1 chaussée","AV DE METZ",447,447,"Cabane des petits","dans le secteur"
"152","Route à 1 chaussée","ALL LOUISE",69,69,"Cabane des petits","dans le secteur"
"155","Sentier","R JACQUELINE AURIOL",263,263,"Cabane des petits","dans le secteur"
"156","Route à 1 chaussée","R FRANCOIS COLLET",205,205,"Cabane des petits","dans le secteur"
"159","Route à 1 chaussée","R CHARLES MAGNE",228,228,"Cabane des petits","dans le secteur"
"162","Route à 1 chaussée","R DU VIEUX CHATEAU",108,108,"Cabane des petits","dans le secteur"
"163","Sentier","4",53,53,"Cabane des petits","dans le secteur"
"167","Route à 1 chaussée","ALL DES PINSONS",141,141,"Cabane des petits","dans le secteur"
"171","Route à 1 chaussée","R DE LA SOLIDARITE",363,363,"Cabane des petits","dans le secteur"
"172","Sentier","14",114,114,"Cabane des petits","dans le secteur"
"174","Route à 1 chaussée","ALL MONTPLAISIR",169,169,"Cabane des petits","dans le secteur"
"175","Route à 1 chaussée","AV ANATOLE FRANCE",710,700,"Cabane des petits","à vérifier"
"177","Route à 1 chaussée","ALL RACINE",328,328,"Cabane des petits","dans le secteur"
"179","Route à 1 chaussée","ALL JEAN COURTADE",90,90,"Cabane des petits","dans le secteur"
"180","Route à 1 chaussée","ALL DE LA CONCORDE",233,232,"Cabane des petits","à vérifier"
"183","Route à 1 chaussée","R RUDYARD KIPLING",56,56,"Cabane des petits","dans le secteur"
"186","Route à 1 chaussée","AV DENISE",134,134,"Cabane des petits","dans le secteur"
"187","Route à 1 chaussée","AV DUMESNIL",186,186,"Cabane des petits","dans le secteur"
"190","Route à 1 chaussée","ALL SURCOUF",54,54,"Cabane des petits","dans le secteur"
"191","Route à 1 chaussée","R RENE CHAR",435,435,"Cabane des petits","dans le secteur"
"192","Route à 1 chaussée","R MARCEL DASSAULT",648,397,"Cabane des petits","à vérifier"
"193.1","Route à 1 chaussée","R DE L'EGALITE",189,189,"Cabane des petits","dans le secteur"
"198","Rond-point","AV JULES FERRY",219,219,"Cabane des petits","dans le secteur"
"200.1","Route à 1 chaussée","R YVONNE",234,35,"Cabane des petits","à vérifier"
"201","Route à 1 chaussée","AV GENEVIEVE ANTHONIOZ DE GAULLE",596,596,"Cabane des petits","dans le secteur"
"202","Route à 1 chaussée","R JULES LELONG",114,114,"Cabane des petits","dans le secteur"
"204","Sentier","5",33,33,"Cabane des petits","dans le secteur"
"205","Sentier","R MARGUERITE DURAS",166,166,"Cabane des petits","dans le secteur"
"209","Route à 1 chaussée","R DU VIEUX MOULIN",311,311,"Cabane des petits","dans le secteur"
"210","Route à 1 chaussée","IMP DU CASTEL",99,99,"Cabane des petits","dans le secteur"
"211","Route à 1 chaussée","ALL DE LA PAIX",281,281,"Cabane des petits","dans le secteur"
"212","Route à 1 chaussée","R HENRI DUNANT",307,307,"Cabane des petits","dans le secteur"
"214","Sentier","13",128,128,"Cabane des petits","dans le secteur"
"217","Route à 1 chaussée","R DU MOLERET",62,62,"Cabane des petits","dans le secteur"
"220","Route à 1 chaussée","ALL DES COLOMBES",89,89,"Cabane des petits","dans le secteur"
"221","Route à 1 chaussée","R PAULINE ROGER",217,217,"Cabane des petits","dans le secteur"
"222","Route à 1 chaussée","AV DES PLATANES",194,194,"Cabane des petits","dans le secteur"
"223.1","Route à 1 chaussée","ALL DE FURCI",273,272,"Cabane des petits","à vérifier"
"225","Route à 1 chaussée","AV DE L'IDEAL",281,281,"Cabane des petits","dans le secteur"
"226.1","Route à 1 chaussée","AV DE LA REPUBLIQUE",564,563,"Cabane des petits","à vérifier"
"227","Route à 1 chaussée","R DESIRE LEON",139,139,"Cabane des petits","dans le secteur"
"230","Route à 1 chaussée","ALL C GOUNOD",102,102,"Cabane des petits","dans le secteur"
"231","Route à 1 chaussée","R DAVID LEDER",312,312,"Cabane des petits","dans le secteur"
"234","Chemin","CHE DE LA MARE A LA VEUVE PROLONGEE",277,277,"Cabane des petits","dans le secteur"
"236","Sentier","6",25,25,"Cabane des petits","dans le secteur"
"240.1","Route à 1 chaussée","R EUGENE MASSON",314,3,"Cabane des petits","à vérifier"
"241","Route à 1 chaussée","R SAINT-LOUIS",96,3,"Cabane des petits","à vérifier"
"243","Route à 1 chaussée","ALL DES HETRES",185,185,"Cabane des petits","dans le secteur"
"246.1","Route à 1 chaussée","R DE LA FRATERNITE",202,202,"Cabane des petits","dans le secteur"
"248","Route à 1 chaussée","ALL DU MOULIN",166,166,"Cabane des petits","dans le secteur"
"249","Route à 1 chaussée","RPE DU PONT",108,108,"Cabane des petits","dans le secteur"
"250","Route à 1 chaussée","R BORDIER",370,370,"Cabane des petits","dans le secteur"
"252","Route à 1 chaussée","PL DE LA GARE",80,80,"Cabane des petits","dans le secteur"
"253","Sentier","7",63,63,"Cabane des petits","dans le secteur"
"254.1","Route à 1 chaussée","R LOUIS AUGUSTE BLANQUI",1792,1256,"Cabane des petits","à vérifier"
"256.1","Route à 1 chaussée","R GUY DE MAUPASSANT",232,2,"Cabane des petits","à vérifier"
"258","Route à 1 chaussée","R DE LA BUTTE",165,165,"Cabane des petits","dans le secteur"
"259","Route à 1 chaussée","AV DE NANCY",229,229,"Cabane des petits","dans le secteur"
"261","Route à 1 chaussée","IMP DE LA LIBERTE",30,30,"Cabane des petits","dans le secteur"
"265","Route à 1 chaussée","ALL MARIE LAURENCIN",58,58,"Cabane des petits","dans le secteur"
"269","Route à 1 chaussée","IMP JEAN WIENER",38,38,"Cabane des petits","dans le secteur"
"271","Route à 1 chaussée","PL ALBERT THOMAS",238,238,"Cabane des petits","dans le secteur"
"272","Route à 1 chaussée","IMP CARNOT",70,70,"Cabane des petits","dans le secteur"
"274","Route à 1 chaussée","R DE PLAISANCE",176,176,"Cabane des petits","dans le secteur"
"275","Route à 1 chaussée","R DU PROGRES",292,292,"Cabane des petits","dans le secteur"
"276","Route à 1 chaussée","ALL JOACHIM DU BELLAY",79,79,"Cabane des petits","dans le secteur"
"277.1","Route à 1 chaussée","R GUILLAUME APOLLINAIRE",443,1,"Cabane des petits","à vérifier"
"279","Route à 1 chaussée","R DU LION",165,165,"Cabane des petits","dans le secteur"
"282","Route à 1 chaussée","R ALEXANDRA DAVID NEEL",259,259,"Cabane des petits","dans le secteur"
"284","Sentier","9",31,31,"Cabane des petits","dans le secteur"
"285","Route à 1 chaussée","IMP JACQUES BREL",163,163,"Cabane des petits","dans le secteur"
"288","Route à 1 chaussée","ALL DU GROS BUISSON",134,134,"Cabane des petits","dans le secteur"
"290","Route à 1 chaussée","AV BLERIOT",188,188,"Cabane des petits","dans le secteur"
"291","Chemin","IMP DE LA SOLIDARITE",29,29,"Cabane des petits","dans le secteur"
"292","Route à 1 chaussée","ALL DES SYLPHES",172,172,"Cabane des petits","dans le secteur"
"295","Route à 1 chaussée","R PAUL ELUARD",178,178,"Cabane des petits","dans le secteur"
"296","Route à 1 chaussée","ALL BECQUEREL",270,270,"Cabane des petits","dans le secteur"
"298","Rond-point","R SIMONE DE BEAUVOIR",328,328,"Cabane des petits","dans le secteur"
"299","Route à 1 chaussée","R JOE CARMAN",204,204,"Cabane des petits","dans le secteur"
"303","Route à 1 chaussée","R EDOUARD VAILLANT",1607,1607,"Cabane des petits","dans le secteur"
"305","Route à 1 chaussée","AV DE L'ESPERANCE",283,283,"Cabane des petits","dans le secteur"
"306","Route à 1 chaussée","CHE DU MERLAN",104,104,"Cabane des petits","dans le secteur"
"307","Sentier","10",23,23,"Cabane des petits","dans le secteur"
"308.1","Route à 1 chaussée","R HENRI ALPY",343,0,"Cabane des petits","à vérifier"
"309","Route à 1 chaussée","R GEORGES GRAFF",177,177,"Cabane des petits","dans le secteur"
"311","Route à 1 chaussée","R MARCEL PAUL",339,339,"Cabane des petits","dans le secteur"
"312","Route à 1 chaussée","AV CADERAS",206,206,"Cabane des petits","dans le secteur"
"313","Route à 1 chaussée","R DES PEUPLIERS",186,186,"Cabane des petits","dans le secteur"
"314","Sentier","12",80,80,"Cabane des petits","dans le secteur"
"315","Route à 1 chaussée","R HENRY ESPAULLARD",75,75,"Cabane des petits","dans le secteur"
"316","Route à 1 chaussée","ALL DU MUGUET",129,129,"Cabane des petits","dans le secteur"
"318","Route à 1 chaussée","R DU CHAMPART",81,81,"Cabane des petits","dans le secteur"
"320","Route à 1 chaussée","ALL CORNEILLE",350,350,"Cabane des petits","dans le secteur"
"321","Sentier","8",45,45,"Cabane des petits","dans le secteur"
"323","Route à 1 chaussée","ALL VICTOR HUGO",33,33,"Cabane des petits","dans le secteur"
"327","Route à 1 chaussée","ALL DE L'ORME",291,291,"Cabane des petits","dans le secteur"
"334.1","Route à 2 chaussées","R CHARLES FERDINAND",344,1,"Cabane des petits","à vérifier"
"344","Sentier",NA,50,49,"Cabane des petits","à vérifier"
"352","Route à 1 chaussée","ALL GABRIEL FAURE",91,91,"Cabane des petits","dans le secteur"
"353","Route à 1 chaussée","ALL HECTOR BERLIOZ",135,135,"Cabane des petits","dans le secteur"
"354","Sentier",NA,382,382,"Cabane des petits","dans le secteur"
"358","Sentier","",32,32,"Cabane des petits","dans le secteur"
"359","Sentier",NA,52,52,"Cabane des petits","dans le secteur"
"365","Route à 1 chaussée","R ETIENNE DOLET",538,538,"Cabane des petits","dans le secteur"
"367","Route à 1 chaussée","R DE BONDY",106,61,"Cabane des petits","à vérifier"
"369","Route à 1 chaussée","R SAINT-LOUIS PROLONGEE",422,422,"Cabane des petits","dans le secteur"
"371","Route à 2 chaussées","CH DES CARROUGES",288,134,"Cabane des petits","à vérifier"
