ID,degat,degatBT,etendueBT,symptomeBT,degatBD,etendueBD,symptomeBD,degatOH,etendueOH,symptomeOH,degatOPAut,etendueOPAut,symptomeOPAut,degatOP,etendueOP,symptomeOP,degatTriticale,etendueTriticale,symptomeTriticale,degatMais,etendueMais,symptomeMais,facteurs,cp
1,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Je ne sais pas,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,bas de pente,28320
2,Oui,Non,,,Non,,,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Non,,,,41500
3,Oui,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Oui,Très ponctuels (<5%),,Je ne sais pas,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,Non,,,Non,,,stade 1-2 nœuds,45130
4,Oui,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Je ne sais pas,,,La culture n'était pas semée lors du gel,,,,41
5,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;Destruction de maitres-brins;,Non,,,Je ne sais pas,,,Non,,,,,,Non,,,Non,,,,45130
6,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,,45700
7,Non,,,,,,,,,,,,,,,,,,,,,,,37220
8,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,,28150
9,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,Providence,41310
10,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,Oui,Généralisés (>30% de la surface touchée),,Non,,,,,,Non,,,Non,,,Les variétés de blé qui étaient plus avancée après 2 noeuds ont été plus impactés par le gel. Les fonds de vallées sont plus touchées.,37000
