nom_voie,numero,rep,verif,ban
Allee Anne Frank,rue entière,NA,ok,
allée Hannah Arendt,rue entière,NA,ok,
Av du Mal de Lattre de Tassigny,2,bis,min,
Av du Mal de Lattre de Tassigny,4,bis,max,
Av du Mal de Lattre de Tassigny,rue entière,NA,non,
Avenue de Verdun,7,,ok,verif
Avenue Galliéni,rue entière,NA,ok,
Avenue Marguerite,rue entière,NA,ok,
Chemin de Groslay,22,,min,
Chemin de Groslay,48,,max,
Cours de la République,1,,min,
Cours de la République,2,,min,
Cours de la République,18,bis,max,
Cours de la République,19,,max,
Impasse des Violettes,rue entière,NA,ok,
Impasse Fernand Pottier,rue entière,NA,ok,
Place Arthur Rimbaud,rue entière,NA,ok,
Place de la Division Leclerc,rue entière,NA,ok,
Quai Hubertine Auclert,rue entière,NA,ok,
Route d'Aulnay,35,,min,
Route d'Aulnay,39,,max,
Route d'Aulnay,24,,min,
Route d'Aulnay,36,,max,
Route d'Aulnay,rue entière,NA,non,
Rue Aretha Franklin,rue entière,NA,ok,
Rue Arthur Rimbaud,rue entière,NA,ok,
Rue Auguste Polissard,rue entière,NA,ok,
Rue Benoîte Groult,rue entière,NA,ok,
Rue Borel,rue entière,NA,ok,
Rue des Ecoles,rue entière,NA,ok,
Rue des Frères Darty,7,,max,
Rue des Frères Darty,1,,min,
Rue des Frères Darty,rue entière,NA,non,
Rue du Breuil,1,,min,
Rue du Breuil,39,,max,
Rue du Potager,rue entière,NA,ok,
Rue Fremin,rue entière,NA,ok,
Rue Gatine,rue entière,NA,ok,
Rue Georges Elie,28,,min,
Rue Georges Elie,54,,max,
Rue Gisèle Halimi,rue entière,NA,ok,
Rue Jean Jaurés,13,,min,
Rue Jean Jaurés,25,bis,max,
Rue Jean Jaurés,22,,max,
Rue Jean Jaurés,10,,min,
Rue Jules Guesde,93,bis,non,
Rue Jules Guesde,64,,max,
Rue Jules Guesde,28,,min,
Rue Jules Guesde,impairs,NA,ok,
Rue Laug,rue entière,NA,ok,
Rue Nadia Murad,rue entière,NA,ok,
Rue Paul Vaillant-couturier,9,,min,
Rue Paul Vaillant-couturier,37,,max,
Rue Paul Vaillant-couturier,37,,non,
Rue Roger Salengro,1,,min,
Rue Roger Salengro,7,,max,oui
Rue Roger Salengro,9,,max,oui
Rue Roger Salengro,2,,min,oui
Rue Roger Salengro,46,,max,
Rue Sainte-Barbe,rue entière,NA,ok,
Rue Simone Veil,rue entière,NA,ok,
Ruelle Sainte Barbe,rue entière,NA,ok,
Villa Fleury,rue entière,NA,ok,
Villa Thorel,rue entière,NA,ok,
