"","Gâtine","Jardins de la Noue","les Galiotes","Neuburger","nord place St Just","parking APHP","rond point de la gare"
"ARTISANAT DU BÂTIMENT",1,11,8,46,0,11,1
"AUTRES ÉTABLISSEMENTS ET SERVICES À CARACTÈRE SANITAIRE",1,0,0,1,0,0,2
"AUTRES SERVICES À LA POPULATION",1,5,1,13,0,1,7
"COMMERCES ALIMENTAIRES",0,2,0,0,0,0,3
"COMMERCES SPÉCIALISÉS NON ALIMENTAIRES",0,0,0,3,0,0,1
"INFRASTRUCTURES DE TRANSPORTS",0,6,8,14,1,8,6
"SERVICES AUTOMOBILES",1,0,0,4,2,2,1
"SERVICES GÉNÉRAUX",0,0,1,0,0,0,1
"TOURISME",0,0,0,0,0,1,1
