commune,Investissement,Fonctionnement,Masse salariale,Taux ressources,FCCT 2026
Bagnolet,201,5 343,12 514,1 020,19 078
Bobigny,229,6 083,14 248,1 161,21 721
Bondy,201,5 338,12 502,1 019,19 060
Le Pré Saint-Gervais,82,2 184,5 114,417,7 797
Les Lilas,136,3 616,8 469,690,12 911
Montreuil,619,16 444,38 518,3 139,58 721
Noisy,183,4 856,11 374,927,17 340
Pantin,345,9 170,21 480,1 751,32 746
Romainville,163,4 342,10 170,829,15 504
