"num.photo","jour","adresse","type.d.infraction","type.de.place","observation","enlevé..oui.non.","ville  ","CP","latitude","longitude","result_label","result_score","result_score_next","result_type","result_id","result_housenumber","result_name","result_street","result_postcode","result_city","result_context","result_citycode","result_oldcitycode","result_oldcity","result_district","result_status"
"Ventouse 1","14/10/2024","193 rue Auguste Blanqui","gênant","- - - autre","ventouse","non","Bondy",93140,"48.898185","2.489503","Rue Louis Auguste Blanqui 93140 Bondy","0.7501363636363636",,"street","93010_5170",,"Rue Louis Auguste Blanqui","Rue Louis Auguste Blanqui",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 10","14/10/2024","07 bis allée Corneille","gênant","- - - autre","ventouse","oui","Bondy",93140,"48.896689","2.494019","7bis Allée Corneille 93140 Bondy","0.8646299465240641",,"housenumber","93010_1560_00007_bis","7bis","7bis Allée Corneille","Allée Corneille",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 11","14/10/2024","189-193- rue Auguste Blanqui","gênant","- - - autre","ventouse","non","Bondy",93140,"48.898185","2.489503","Rue Louis Auguste Blanqui 93140 Bondy","0.6881528925619833",,"street","93010_5170",,"Rue Louis Auguste Blanqui","Rue Louis Auguste Blanqui",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 12","14/10/2024","35 allée de la paix","gênant","- - - autre","ventouse","oui","Bondy",93140,"48.895889","2.490822","35 Allée de la Paix 93140 Bondy","0.9699481818181818",,"housenumber","93010_7110_00035",35,"35 Allée de la Paix","Allée de la Paix",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 13","14/10/2024","16 rue Raoul","gênant","- - - autre","ventouse","non","Bondy",93140,"48.899225","2.492258","16 Rue Raoul 93140 Bondy","0.9695636363636362",,"housenumber","93010_8120_00016",16,"16 Rue Raoul","Rue Raoul",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 14","14/10/2024","33 rue du professeur Vaillant","gênant","- - - autre","ventouse","non","Bondy",93140,"48.898771","2.491192","33 Rue du Professeur Vaillant 93140 Bondy","0.9673736363636363",,"housenumber","93010_7280_00033",33,"33 Rue du Professeur Vaillant","Rue du Professeur Vaillant",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 15","14/10/2024","17 rue des droits de l'homme","gênant","- - - autre","ventouse","non","Bondy",93140,"48.900576","2.476059","17 Rue des Droits de l'Homme 93140 Bondy","0.9664136363636363",,"housenumber","93010_2580_00017",17,"17 Rue des Droits de l'Homme","Rue des Droits de l'Homme",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 16","14/10/2024","26 rue Michelet","gênant","- - - autre","ventouse","non","Bondy",93140,"48.900161","2.472537","26 Rue Michelet 93140 Bondy","0.9722945454545453","0.6491790909090909","housenumber","93010_6212_00026",26,"26 Rue Michelet","Rue Michelet",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 17","14/10/2024","30 rue Michelet","gênant","- - - autre","ventouse","non","Bondy",93140,"48.900116","2.472811","30 Rue Michelet 93140 Bondy","0.9722945454545453","0.6491790909090909","housenumber","93010_6212_00030",30,"30 Rue Michelet","Rue Michelet",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
"Ventouse 18","14/10/2024","145 rue Baudin","gênant","- - - autre","ventouse","non","Bondy",93140,"48.897851","2.476748","145 Rue Baudin 93140 Bondy","0.9727145454545455",,"housenumber","93010_0620_00145",145,"145 Rue Baudin","Rue Baudin",93140,"Bondy","93, Seine-Saint-Denis, Île-de-France",93010,,,,"ok"
