ID,Couche,Utilisateur,Observation,adresse,detail
73198,Bâtis à protéger (éléments et ensembles),BONDY,"11 rue du Moulin
Maison en Meulière chainage d'angle, clôture en Meulière",11 rue du Moulin,"Maison en Meulière chainage d'angle, clôture en Meulière"
73197,Bâtis à protéger (éléments et ensembles),BONDY,"9 allée du Moulin
Maison en Meulière déco en façade et en chainage d'angle, garde corps en fer forgé, clôture en meulière, grille en fer forgé",9 allée du Moulin,"Maison en Meulière déco en façade et en chainage d'angle, garde corps en fer forgé, clôture en meulière, grille en fer forgé"
73196,Bâtis à protéger (éléments et ensembles),BONDY,"7 allée du Moulin
Maison en Meulière, décors en façade , marquise, garde corps, clôture en meulière",7 allée du Moulin,"Maison en Meulière, décors en façade , marquise, garde corps, clôture en meulière"
73195,Bâtis à protéger (éléments et ensembles),BONDY,"4 et 4 bis
Villa Carnot Maisons  jumelées en briquettes rouges et blanches, décors en façade, meulière en soubassement pour le n°4bis",4 Villa Carnot,"Villa Carnot Maisons  jumelées en briquettes rouges et blanches, décors en façade, meulière en soubassement pour le n°4bis"
73194,Bâtis à protéger (éléments et ensembles),BONDY,"4 et 4bis villa Carnot
Maisons  jumelées en briquettes rouges et blanches, décors en façade, meulière en soubassement pour le n°4bis",4bis villa Carnot,"Maisons  jumelées en briquettes rouges et blanches, décors en façade, meulière en soubassement pour le n°4bis"
73193,Bâtis à protéger (éléments et ensembles),BONDY,"5 allée du Moulin
Maisons jumelées en Meulière, décors en façade, garde corps en fer forgé pour le n°5",5 allée du Moulin,"Maisons jumelées en Meulière, décors en façade, garde corps en fer forgé pour le n°5"
73192,Bâtis à protéger (éléments et ensembles),BONDY,"3 allée du Moulin
Maisons jumelées en Meulière, décors en façade, garde corps en fer forgé pour le n°5",3 allée du Moulin,"Maisons jumelées en Meulière, décors en façade, garde corps en fer forgé pour le n°5"
73191,Bâtis à protéger (éléments et ensembles),BONDY,"5 rue du champart
Immeuble en briques, décors autours des fenêtres",5 rue du champart,"Immeuble en briques, décors autours des fenêtres"
73190,Bâtis à protéger (éléments et ensembles),BONDY,"8 rue du Champart
Maison enduit, meulière en soubassement , briques au RDC",8 rue du Champart,"Maison enduit, meulière en soubassement , briques au RDC"
73189,Bâtis à protéger (éléments et ensembles),BONDY,"8 Impasse Carnot
Maison en enduit claire , chainage d'angle en briques blanches  et autours des ouvertures, marquise",8 Impasse Carnot,"Maison en enduit claire , chainage d'angle en briques blanches  et autours des ouvertures, marquise"
73187,Bâtis à protéger (éléments et ensembles),BONDY,"4 Impasse Carnot
Maison en enduit jaune , chainage d'angle en briques blanches, garde corps en fer forgé , marquise",4 Impasse Carnot,"Maison en enduit jaune , chainage d'angle en briques blanches, garde corps en fer forgé , marquise"
73183,Bâtis à protéger (éléments et ensembles),BONDY,"2 villa Carnot
Immeuble en briquettes rouges, enduit au dernier étage, décors en façade",2 villa Carnot,"Immeuble en briquettes rouges, enduit au dernier étage, décors en façade"
73181,Bâtis à protéger (éléments et ensembles),BONDY,"6 Villa Carnot 
Maison en briquettes rouges et blanches, décors en façade, meulière en soubassement",6 Villa Carnot ,"Maison en briquettes rouges et blanches, décors en façade, meulière en soubassement"
73180,Bâtis à protéger (éléments et ensembles),BONDY,"18 villa Carnot 
Maison en Meulière",18 villa Carnot ,Maison en Meulière
73178,Bâtis à protéger (éléments et ensembles),BONDY,"9 Villa Carnot 
Maison  enduit, briquettes rouges en bandeau , chainage, autours des ouvertures et en dessous de la toiture , garde corps en fer forgé, clôture en meulière",9 Villa Carnot ,"Maison  enduit, briquettes rouges en bandeau , chainage, autours des ouvertures et en dessous de la toiture , garde corps en fer forgé, clôture en meulière"
73177,"Linéaires (sentes, murs et rues)",BONDY,"7 villa Carnot 
Maison  enduit, briquettes rouges en bandeau , chainage, autours des ouvertures et en dessous de la toiture , garde corps en fer forgé, clôture en meulière",7 villa Carnot ,"Maison  enduit, briquettes rouges en bandeau , chainage, autours des ouvertures et en dessous de la toiture , garde corps en fer forgé, clôture en meulière"
73176,"Linéaires (sentes, murs et rues)",BONDY,"3bis Villa Carnot 
Maison  en Meulière, déco briquettes rouges en bandeau, garde corps en fer forgé",3bis Villa Carnot ,"Maison  en Meulière, déco briquettes rouges en bandeau, garde corps en fer forgé"
73175,Bâtis à protéger (éléments et ensembles),BONDY,"3 Villa Carnot 
Maison et clôture en meulière, toiture",3 Villa Carnot ,"Maison et clôture en meulière, toiture"
73174,Bâtis à protéger (éléments et ensembles),BONDY,"1bis villa Carnot  
Maison en Meulière , déco en briquettes rouges",1bis villa Carnot  ,"Maison en Meulière , déco en briquettes rouges"
73156,Bâtis à protéger (éléments et ensembles),BONDY,"8-14 rue Roger Salengro 
À supprimer de l'inventaire 
 état dégradé travaux à réaliser. Demande des copro",8-14 rue Roger Salengro ,À supprimer de l'inventaire 
73155,Bâtis à protéger (éléments et ensembles),BONDY,"4-6 rue Roger Salengro 
À supprimer de l'inventaire car gros travaux de réhabilitation sans autorisation d'urbanisme. Il n'y a plus aucun intérêt à le maintenir protégé.",4-6 rue Roger Salengro ,À supprimer de l'inventaire car gros travaux de réhabilitation sans autorisation d'urbanisme. Il n'y a plus aucun intérêt à le maintenir protégé.
73154,Bâtis à protéger (éléments et ensembles),BONDY,"2 rue Raoul
Immeuble enduit clair détails en façades (bandeaux) et autour des ouvertures , œil de bœuf , soubassement en briquettes rouges",2 rue Raoul,"Immeuble enduit clair détails en façades (bandeaux) et autour des ouvertures , œil de bœuf , soubassement en briquettes rouges"
73153,Bâtis à protéger (éléments et ensembles),BONDY,"151 avenue Henri Barbusse
 Maison en Meulière , déco briquettes blanches autours des ouvertures, marquise, garde corps en fer forgé",151 avenue Henri Barbusse," Maison en Meulière , déco briquettes blanches autours des ouvertures, marquise, garde corps en fer forgé"
73152,Bâtis à protéger (éléments et ensembles),BONDY,"157 avenue Henri Barbusse/1 allée Marcel Sembat 
Maison en Meulière détails rouges et blancs en déco",157 avenue Henri Barbusse/1 allée Marcel Sembat ,Maison en Meulière détails rouges et blancs en déco
73151,Bâtis à protéger (éléments et ensembles),BONDY,"214 rue Edouard Vaillant
  Maison et clôture en Meulière , détails blancs en déco, R+1 en enduit",214 rue Edouard Vaillant,"  Maison et clôture en Meulière , détails blancs en déco, R+1 en enduit"
73150,Bâtis à protéger (éléments et ensembles),BONDY,"203 rue Edouard Vaillant 
 Maison en briquettes rouges de même que la clôture, œil de bœuf",203 rue Edouard Vaillant ," Maison en briquettes rouges de même que la clôture, œil de bœuf"
73148,Bâtis à protéger (éléments et ensembles),BONDY,"180 rue Edouard Vaillant
 Maison en meulière au RDC et soubassement, R+1 en enduit clair, forme intéressante de la toiture",180 rue Edouard Vaillant," Maison en meulière au RDC et soubassement, R+1 en enduit clair, forme intéressante de la toiture"
73147,Bâtis à protéger (éléments et ensembles),BONDY,"135 rue Edouard Vaillant  
Maison en Meulière marquise, clôture en meulière",135 rue Edouard Vaillant  ,"Maison en Meulière marquise, clôture en meulière"
73146,Bâtis à protéger (éléments et ensembles),BONDY,"131 rue Edouard Vaillant 
 Maison en  Meulière garde corps en fer forgé, portail en fer forgé, clôture en meulière",131 rue Edouard Vaillant ," Maison en  Meulière garde corps en fer forgé, portail en fer forgé, clôture en meulière"
73145,Bâtis à protéger (éléments et ensembles),BONDY,"1
rue Edouard Vaillant
 Maison en Meulière , déco en briquettes rouges en angle et autour des ouvertures",1 rue Edouard Vaillant,"Maison en Meulière , déco en briquettes rouges en angle et autour des ouvertures"
73144,Bâtis à protéger (éléments et ensembles),BONDY,"1
rue Edouard Vaillant
 Maison en Meulière, œil de boeuf",1 rue Edouard Vaillant," Maison en Meulière, œil de boeuf"
73143,Bâtis à protéger (éléments et ensembles),BONDY,"92 rue Edouard Vaillant 
 Maison en enduit clair, deco en briquettes rouges, soubassement en meulière, garde corps en fer forgé, marquise",rue Edouard Vaillant," Maison en enduit clair, deco en briquettes rouges, soubassement en meulière, garde corps en fer forgé, marquise"
73142,Bâtis à protéger (éléments et ensembles),BONDY,"95 rue Edouard Vaillant 
Maison enduit clair, soubassement traité de la même façon que les angles et les contours des ouvertures",95 rue Edouard Vaillant ,"Maison enduit clair, soubassement traité de la même façon que les angles et les contours des ouvertures"
73139,Bâtis à protéger (éléments et ensembles),BONDY,"91 rue Edouard Vaillant 
Maison avec détails blanc en façade, deco en briquettes rouges, marquise, garde corps en fer forgé, clôture en Meulière",91 rue Edouard Vaillant ,"Maison avec détails blanc en façade, deco en briquettes rouges, marquise, garde corps en fer forgé, clôture en Meulière"
73137,Bâtis à protéger (éléments et ensembles),BONDY,"61 rue Edouard Vaillant
 Maison en Meulière, garde corps en fer forgé",61 rue Edouard Vaillant," Maison en Meulière, garde corps en fer forgé"
73135,Bâtis à protéger (éléments et ensembles),BONDY,"50 rue Edouard Vaillant 
Immeuble en briquettes rouges, enduit blanc , déco intéressante en façades",50 rue Edouard Vaillant ,"Immeuble en briquettes rouges, enduit blanc , déco intéressante en façades"
73133,Bâtis à protéger (éléments et ensembles),BONDY,"
rue Edouard Vaillant
 Immeuble en briquette rouges, détails verts au dernier étage, déco intéressante sur le reste des façades",rue Edouard Vaillant," Immeuble en briquette rouges, détails verts au dernier étage, déco intéressante sur le reste des façades"
73128,Bâtis à protéger (éléments et ensembles),BONDY,"3 rue Edouard Vaillant 
 Maison en Meulière, déco de briquettes rouges , garde corps en fer forgé",3 rue Edouard Vaillant ," Maison en Meulière, déco de briquettes rouges , garde corps en fer forgé"
73127,Bâtis à protéger (éléments et ensembles),BONDY,"8 rue du vieux château 
Maison en Meulière",8 rue du vieux château ,Maison en Meulière
73126,"Linéaires (sentes, murs et rues)",BONDY,"7 rue du Vieux château
 Maison en Meulière, garde corps en fer forgé",7 rue du Vieux château," Maison en Meulière, garde corps en fer forgé"
73125,"Linéaires (sentes, murs et rues)",BONDY,"4 rue du vieux Château 
Maison en Meulière",4 rue du vieux Château ,Maison en Meulière
73123,Bâtis à protéger (éléments et ensembles),BONDY,"5 rue du vieux château 
Maison en Meulière déco briquettes blanches autours des ouvertures, garde corps en fer forgé, clôture en meulière, garage en briquettes blanches",5 rue du vieux château ,"Maison en Meulière déco briquettes blanches autours des ouvertures, garde corps en fer forgé, clôture en meulière, garage en briquettes blanches"
73121,Bâtis à protéger (éléments et ensembles),BONDY,"14 avenue Denise 
Maison en Meulière",14 avenue Denise ,Maison en Meulière
73119,Bâtis à protéger (éléments et ensembles),BONDY,"7 avenue Denise 
Maison en enduit blanc, décoration en briquettes rouges au dessus des ouvertures, chainage d'angle, garde cops en fer forgé",7 avenue Denise ,"Maison en enduit blanc, décoration en briquettes rouges au dessus des ouvertures, chainage d'angle, garde cops en fer forgé"
73117,Bâtis à protéger (éléments et ensembles),BONDY,"5 avenue Denise
Maison en Meulière, deco au dessus des ouvertures, marquise, clôture en Meulière, toiture intéressante",5 avenue Denise,"Maison en Meulière, deco au dessus des ouvertures, marquise, clôture en Meulière, toiture intéressante"
73115,Bâtis à protéger (éléments et ensembles),BONDY,"30 avenue Cadéras 
Maison en Meulière , œil de bœuf, briquettes rouges, clôture en meulière garde corps et clôture en fer forgé, Marquise",30 avenue Cadéras ,"Maison en Meulière , œil de bœuf, briquettes rouges, clôture en meulière garde corps et clôture en fer forgé, Marquise"
73114,Bâtis à protéger (éléments et ensembles),BONDY,"
avenue Cadéras 
Maison en Meulière , déco briquettes rouges, clôture en Meulière",avenue Cadéras ,"Maison en Meulière , déco briquettes rouges, clôture en Meulière"
73113,Bâtis à protéger (éléments et ensembles),BONDY,"10bis rue de Plaisance 
Maison en Meulière , déco en briquettes rouges, garde corps en fer forgé, marquise",10bis rue de Plaisance ,"Maison en Meulière , déco en briquettes rouges, garde corps en fer forgé, marquise"
73111,Bâtis à protéger (éléments et ensembles),BONDY,"4 Allée des courts sillons 
Maison en briquette blanches , avec briquettes rouges en déco , RDC et clôture  en meulière",4 Allée des courts sillons ,"Maison en briquette blanches , avec briquettes rouges en déco , RDC et clôture  en meulière"
73079,Bâtis à protéger (éléments et ensembles),BONDY,"23bis avenue Dumesnil 
Maison en meulière",23bis avenue Dumesnil ,Maison en meulière
73078,Bâtis à protéger (éléments et ensembles),BONDY,"
avenue Dumesnil 
Maison en Meulière garde corps en fer forgé",23 avenue Dumesnil ,Maison en Meulière garde corps en fer forgé
73077,Bâtis à protéger (éléments et ensembles),BONDY,"
avenue Dumesnil  
Maison en meulière garde corps en fer forgé",21 avenue Dumesnil  ,Maison en Meulière garde corps en fer forgé
73076,Bâtis à protéger (éléments et ensembles),BONDY,"
avenue Dumesnil  
Maison en Meulière, comble en enduit clair, gardes corps en fer forgé",24 avenue Dumesnil  ,"Maison en Meulière, comble en enduit clair, gardes corps en fer forgé"
73075,Bâtis à protéger (éléments et ensembles),BONDY,"245 avenue Edouard Vaillant
Maison en briques rouges et blanches , garde corps en fer forgé",245 avenue Edouard Vaillant,"Maison en briques rouges et blanches , garde corps en fer forgé"
73074,Bâtis à protéger (éléments et ensembles),BONDY,"243 avenue Edouard vaillant 
Maison en Meulière au RDC, enduit clair au R+1, déco en colombage, clôture",243 avenue Edouard vaillant ,"Maison en Meulière au RDC, enduit clair au R+1, déco en colombage, clôture"
