ID,Couche,Utilisateur,Observation,adresse,detail
73043,Bâtis à protéger (éléments et ensembles),BONDY,"2 rue Bordier  
maison avec brique en décor, soubassement en meulière, garde corps en fer forgé",2 rue Bordier  ,"maison avec brique en décor, soubassement en meulière, garde corps en fer forgé"
73042,Bâtis à protéger (éléments et ensembles),BONDY,"18 rue Louis Auguste Blanqui 
immeuble en briques",18 rue Louis Auguste Blanqui ,immeuble en briques
73041,Bâtis à protéger (éléments et ensembles),BONDY,"94 rue Louais auguste Blanqui 
Maison avec déco en briques, garde corps et marquise en fer forgé",94 rue Louais auguste Blanqui ,"Maison avec déco en briques, garde corps et marquise en fer forgé"
73040,Bâtis à protéger (éléments et ensembles),BONDY,"148 rue Louis Auguste Blanqui  
Maison en Meulière",148 rue Louis Auguste Blanqui  ,Maison en Meulière
73039,Bâtis à protéger (éléments et ensembles),BONDY,"150 rue Louis auguste Blanqui 
Maison en Meulière garde corps en fer forgé",150 rue Louis auguste Blanqui ,Maison en Meulière garde corps en fer forgé
73038,Bâtis à protéger (éléments et ensembles),BONDY,"147 rue Louis Auguste Blanqui 
Maison en Meulière",147 rue Louis Auguste Blanqui ,Maison en Meulière
73037,Bâtis à protéger (éléments et ensembles),BONDY,"7 bis allée Molière  
Maison en Meulière avec déco en briques blanches",7 bis allée Molière  ,Maison en Meulière avec déco en briques blanches
73036,Bâtis à protéger (éléments et ensembles),BONDY,"179 rue Louis Auguste Blanqui  
petit immeuble avec déco briques rouges",179 rue Louis Auguste Blanqui  ,petit immeuble avec déco briques rouges
73011,Bâtis à protéger (éléments et ensembles),BONDY,"
rue Eugène Masson 
Maison en Meulière",25 rue Eugène Masson ,Maison en Meulière
73010,Bâtis à protéger (éléments et ensembles),BONDY,"2 rue de Tremeuge 
maison en briquette R+1 à colombage blanc /rouge",2 rue de Tremeuge ,maison en briquette R+1 à colombage blanc /rouge
73009,Bâtis à protéger (éléments et ensembles),BONDY,"1-3 rue de Tremeuge 
 Immeuble en Meulière briquettes rouges et blanches en déco",1-3 rue de Tremeuge , Immeuble en Meulière briquettes rouges et blanches en déco
73008,Bâtis à protéger (éléments et ensembles),BONDY,"18 rue de Tremeuge  
Maison en Meulière  R+1 à colombage  Briquette rouge en déco",18 rue de Tremeuge  ,Maison en Meulière  R+1 à colombage  Briquette rouge en déco
73007,Bâtis à protéger (éléments et ensembles),BONDY,"
rue Raoul
 Maison en Meulière",22 rue Raoul, Maison en Meulière
73006,Bâtis à protéger (éléments et ensembles),BONDY,"115 avenue Henri Barbusse 
Maison en  Meulière",115 avenue Henri Barbusse ,Maison en  Meulière
73005,Bâtis à protéger (éléments et ensembles),BONDY,"1bis rue du chalet 
Maison enduite avec déco en briques sur les angles et autours des ouvertures",1bis rue du chalet ,Maison enduite avec déco en briques sur les angles et autours des ouvertures
73004,Bâtis à protéger (éléments et ensembles),BONDY,"30 rue de l'aviation  
Maison en Meulière",30 rue de l'aviation  ,Maison en Meulière
73002,Bâtis à protéger (éléments et ensembles),BONDY,"50 Allée du Rendez-Vous  
Maison en Meulière",50 Allée du Rendez-Vous  ,Maison en Meulière
72999,Bâtis à protéger (éléments et ensembles),BONDY,"42 Allée Andréa  
Maison en Meulière",42 Allée Andréa  ,Maison en Meulière
72998,Bâtis à protéger (éléments et ensembles),BONDY,"13 allée Andréa  
Maison enduite avec décorations en briques rouges, toiture en tuiles rouges , clôture intéressante",13 allée Andréa  ,"Maison enduite avec décorations en briques rouges, toiture en tuiles rouges , clôture intéressante"
72997,Bâtis à protéger (éléments et ensembles),BONDY,"
allée Thérèse 
maison en briques",25 allée Thérèse,maison en briques
72995,Bâtis à protéger (éléments et ensembles),BONDY,"9 allée Alice 
Maison en Meulière",9 allée Alice ,Maison en Meulière
72994,Bâtis à protéger (éléments et ensembles),BONDY,"1bis allée Marcel Sembat 
Maison et clôture en meulière décors en briques",1bis allée Marcel Sembat ,Maison et clôture en meulière décors en briques
70547,Bâtis à protéger (éléments et ensembles),BONDY,"34 avenue des Caderas 
maison et clôture à protéger",34 avenue des Caderas ,maison et clôture à protéger
70545,Bâtis à protéger (éléments et ensembles),BONDY,"5 rue du Bel Air
à protéger maison et clôture",5 rue du Bel Air,à protéger maison et clôture
70542,Bâtis à protéger (éléments et ensembles),BONDY,"2 rue Desire Leon
 à protéger",2 rue Desire Leon, à protéger
70541,Bâtis à protéger (éléments et ensembles),BONDY,"
rue Georges Graff 
à protéger",25 rue Georges Graff ,à protéger
70539,Bâtis à protéger (éléments et ensembles),BONDY,"6 rue Georges Graff 
à protéger",6 rue Georges Graff ,à protéger
70538,Bâtis à protéger (éléments et ensembles),BONDY,"12 rue Georges Graff
 à protéger",12 rue Georges Graff, à protéger
70537,Bâtis à protéger (éléments et ensembles),BONDY,2 avenue des Sciences,2 avenue des Sciences,NA
70536,Bâtis à protéger (éléments et ensembles),BONDY,"11 avenue des Sciences
à enlever de l'inventaire",11 avenue des Sciences,à enlever de l'inventaire
70535,Bâtis à protéger (éléments et ensembles),BONDY,"46 avenue des Sciences 
à protéger",46 avenue des Sciences ,à protéger
69723,Bâtis à protéger (éléments et ensembles),PLU_Patrimoine_Est_Ensemble,Ensemble pavllonnaire à protéger (étude Gallieni canal),Ensemble pavllonnaire à protéger (étude Gallieni canal),NA
