ID,degat,degatBT,etendueBT,symptomeBT,degatBD,etendueBD,symptomeBD,degatOH,etendueOH,symptomeOH,degatOPAut,etendueOPAut,symptomeOPAut,degatOP,etendueOP,symptomeOP,degatTriticale,etendueTriticale,symptomeTriticale,degatMais,etendueMais,symptomeMais,cp
213,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,36120
214,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,41160
215,Non,,,,,,,,,,,,,,,,,,,,,,36100
216,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,28210
217,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Oui,Localisés (entre 5 et 30%),,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,28260
218,Oui,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,18340
219,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,45140
220,Oui,Non,,,Non,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Non,,,,,,Non,,,Non,,,36600
221,Non,,,,,,,,,,,,,,,,,,,,,,45620
222,Oui,Non,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Non,,,45410
223,Oui,Je ne sais pas,,,Je ne sais pas,,,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,28140
224,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Non,,,Non,,,Non,,,,,,Non,,,Non,,,45390
225,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,36100
226,Oui,Non,,,Non,,,Non,,,Non,,,,,,Non,,,Non,,,45300
227,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,41160
228,Oui,Je ne sais pas,,,Non,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,36110
229,Oui,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Je ne sais pas,,,Non,,,45260
230,Oui,Je ne sais pas,,,Non,,,Je ne sais pas,,,Oui,Généralisés (>30% de la surface touchée),Destruction totale (les tiges sont toutes gelées);Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Destruction totale (les tiges sont toutes gelées);,Non,,,Non,,,18340
231,Oui,Non,,,Non,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,,,,Non,,,Cette espèce n'est pas présente sur l'exploitation,,,36330
232,Non,,,,,,,,,,,,,,,,,,,,,,41500
233,Oui,Je ne sais pas,,,Je ne sais pas,,,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,28130
