IRIS;LIBIRIS;COM;LIBCOM;DISP_MED13
930100101;La Flamiche;93010;Bondy;15300,0
930100103;Les Confins d'Aulnay;93010;Bondy;12005,4
930100104;Suzanne Buisson;93010;Bondy;13221,8
930100105;Le Chateau Gobillon;93010;Bondy;15652,0
930100106;Les Merisiers;93010;Bondy;12389,4
930100107;La Noue Caillet;93010;Bondy;14149,2
930100201;Le Mainguy;93010;Bondy;16309,0
930100202;Le Centre Ville;93010;Bondy;18260,6
930100203;Le Champart;93010;Bondy;18846,2
930100204;Le Moulin à Vent;93010;Bondy;16805,6
930100301;La Mare à la Veuve;93010;Bondy;22839,0
930100302;La Remise à Jorelle;93010;Bondy;17945,0
930100303;Le Vieux Chateau;93010;Bondy;18683,9
930100304;Le Saule Blanc;93010;Bondy;13625,1
930100305;Les Courts Sillons;93010;Bondy;18553,0
930100401;Les Friches;93010;Bondy;17159,0
930100402;La Martraye;93010;Bondy;13984,8
930100403;Les Fleches;93010;Bondy;13631,4
930100404;La Ferme;93010;Bondy;17119,3
930100405;Fosse de la Regale;93010;Bondy;18046,5
