"","NATURE","NOM","NOM_1_G","usage","nom"
"231","AV","VILLEGIATURE","AV DE LA VILLEGIATURE",public,"Murat"
"232","R","BOREL","R BOREL",public,"Murat"
"237","R","ERIC TABARLY","R ERIC TABARLY",public,"Murat"
"238","R","HENRI ROL TANGUY","R HENRI ROL TANGUY","privé","Murat"
"244","R","LUCIE AUBRAC","R LUCIE AUBRAC","privé","Murat"
"247","AV","CLARA GRANDET","AV CLARA GRANDET",public,"Murat"
"249","ALL","SIMON BOLIVAR","ALL SIMON BOLIVAR",public,"Murat"
"252","ALL","DAHLIAS","ALL DES DAHLIAS","privé","Murat"
"255","AV","PARISIENNE","AV DE LA PARISIENNE",public,"Murat"
"258","CH","PONT","CH DU PONT",public,"Murat"
"259","RPT","VERGER","RPT DU VERGER",public,"Murat"
"265","AV","LEON BLUM","AV LEON BLUM",public,"Murat"
"272","R","LAUG","R LAUG",public,"Murat"
"273","AV","JEAN LEBAS","AV JEAN LEBAS",public,"Murat"
"275","ALL","SORBIERS","ALL DES SORBIERS","privé","Murat"
"285","ALL","FOUGERES","ALL DES FOUGERES","privé","Murat"
"292","ALL","JARDINIERE","ALL DE LA JARDINIERE",public,"Murat"
"293","R","PANURGE","R DE PANURGE",public,"Murat"
"314","R","FONTAINE","R FONTAINE",public,"Murat"
"315","R","PIERRE DE RONSARD","R PIERRE DE RONSARD",public,"Murat"
"319","R","4 SEPTEMBRE","R DU 4 SEPTEMBRE",public,"Murat"
"320","ALL","GLYCINES","ALL DES GLYCINES","privé","Murat"
"321","AV","LEON JOUHAUX","AV LEON JOUHAUX","privé","Murat"
"324","R","ANDREI SAKHAROV","R ANDREI SAKHAROV",public,"Murat"
"325","R","SUZANNE BLIN","R SUZANNE BLIN",public,"Murat"
"326","R","SIMONE VEIL","R SIMONE VEIL",public,"Murat"
"327","QUAI","HUBERTINE AUCLERT","QUAI HUBERTINE AUCLERT",public,"Murat"
"328","AV","MARX DORMOY","AV MARX DORMOY",public,"Murat"
"329","IMP","JARDINIERE","IMP DE LA JARDINIERE",public,"Murat"
"332","R","ARETHA FRANKLIN","R ARETHA FRANKLIN",public,"Murat"
"333","R","FRANCOISE HERITIER","R FRANCOISE HERITIER",public,"Murat"
"334","AV","SUZANNE BUISSON","AV SUZANNE BUISSON",public,"Murat"
"335","AV","JEAN MOULIN","AV JEAN MOULIN",public,"Murat"
"336","R","JEAN PIERRE LEVY","R JEAN PIERRE LEVY",public,"Murat"
"342","D78","D78","D78",public,"Murat"
"343","RPT","JOUHAUX","RPT JOUHAUX",public,"Murat"
"344","R","ROGEPANNEQUIN","R ROGER PANNEQUIN",public,"Murat"
"345","RTE","AULNAY","RTE D'AULNAY",public,"Murat"
"346","AV","HENRI VARAGNAT","AV HENRI VARAGNAT",public,"Murat"
"348","CH","GROSLAY","CH DE GROSLAY",public,"Murat"
"349","R","FRANCOIS VILLON","R FRANCOIS VILLON","privé","Murat"
"352","AV","QUATORZE JUILLET","AV DU QUATORZE JUILLET",public,"Murat"
"354","R","JEAN JACQUES ROUSSEAU","R JEAN JACQUES ROUSSEAU",public,"Murat"
"361","RPT","BUISSON","RPT BUISSON",public,"Murat"
"362","IMP","MAURICE BENHAMOU","IMP MAURICE BENHAMOU",public,"Murat"
"363","AV","MAURICE BENHAMOU","AV MAURICE BENHAMOU",public,"Murat"
"365","R","BENOITE GROULT","R B GROULT",public,"Murat"
"368","ALL","16","ALL MARIE-JOSE CHOMBART DE LAUWE","public","Murat"
"369","R","NADIA MURAD","R NADIA MURAD",public,"Murat"
"370","R","GISELE HALIMI","R GISELE HALIMI",public,"Murat"
"371","R","LUCIE AUBRAC","R LUCIE AUBRAC","privé","Murat"
"372","R","LUCIE AUBRAC","R LUCIE AUBRAC","privé","Murat"
"373","R","SERGE RAVANEL","R SERGE RAVANEL","public","Murat"
