,"nom","st_area_sh","code"
"21","Jardin partagé de Léon Blum","78.978406025446","BLUM"
"3","Anatole France","320.579643316567","FRANCE"
"47","Square Dian Fossey","381.014860933181","FOSSEY"
"29","Place Carnot","381.022880399134","CARNOT PL"
"58","Square de la liberté","388.811347406358","LIBERTE"
"60","city stade Djamel Kelfaoui","534.96448102966","KELFAOUI"
"11","Eglise Saint-Pierre","536.66619672114","EGLISE"
"70","Place des marronniers","598.752229299396","MARRONNIERS"
"63","ancien TUB","620.88339223573","TUB"
"59","Place Edith Piaf","680.445059640333","PIAF"
"61","Promenade Georges Sand","687.455981994048","SAND"
"37","Rue Lucien Chapelain","730.498749691993","CHAPELAIN"
"66","Cecifoot Salengro","877.520573302172","CECIFOOT1"
"68","Ferme Caillard Dilly","906.88399999775","DILLY"
"38","Square Anne Franck","999.358450592263","FRANK"
"64","Terrain de sport Terre Saint Blaise","1027.45436575077","TSB"
"23","Jardins du Bonheur","1053.15838903695","BONHEUR"
"46","Square Maurice Benhamou","1121.55792264082","BENHAMOU"
"65","City stade Jules Guesde","1201.43945138156","GUESDE"
"43","Square du Breuil","1255.28142827167","BREUIL"
"41","Square de Versailles","1394.08951253723","VERSAILLES"
"17","Ferme Caillard","1414.5273962873","CAILLARD"
"14","Etablissement d'enseignement spécialisé","1442.74501748104","COUTROT"
"20","Jardin de la rue Pauline Roger","1460.92254386144","ROGER"
"16","Extension du square Maurice Benhamou","1745.18322020862","BENHAMOU2"
"56","Square R. Kipling","1777.52410913259","KIPLING"
"36","Rue de la Fraternité","2040.89969728119","FRATERNITE"
"67","City stade Pierre Curie","2063.34778175503","CURIE"
"48","Square Alcacer Do Sal","2142.28298049769","ALCACER"
"39","Square Avenue Pasteur","2334.309204344","PASTEUR SQ"
"49","Square Victor Hugo","2394.22984081879","HUGO"
"32","Place Nicole Neuburger","2456.92106441222","NEUBURGER"
"69","City stade Mbappé","2545.3469894249","MBAPPE"
"33","Pont de Bondy","2568.49726234376","THEATRE"
"30","Place du 11 Novembre","2646.01368131116","11NOVEMBRE"
"4","Avenue Pasteur","3003.45323783532","PASTEUR AV"
"55","Square du 8 mai 1945","3046.17612027843","8MAI"
"13","Terrain But en Or","3206.19045418873","BUT"
"42","Square du 19 mars 1962","3510.55348731112","19MARS"
"45","Square Jean Lebas","3545.64773323969","LEBAS"
"18","Gare RER de Bondy","3644.67218195298","RER"
"10","Copropriétés Dolet","3751.4151052665","DOLET"
"19","Square Robert Grammont","4363.43637037213","GRAMMONT"
"52","Le Carré","4443.50125339767","CARRE"
"40","Square Boris Bernstein","4484.68322032597","BERNSTEIN"
"34","Résidence La Bruyère","4881.18383584847","LABRUYERE"
"25","Mairie de Bondy","4895.45628022961","MAIRIE"
"1","Aide sociale à l'enfance","5008.13109681709","ASE"
"7","Carnot","5519.19240224548","CARNOT"
"44","Square François Mitterrand","5628.13761944883","MITTERRAND"
"2","Allée des Orchidées","6186.3081320785","ORCHIDEES"
"8","Chemin de la Mare prolongé","6747.16434499389","MARE"
"35","Rive sud du Canal","6836.65647115847","CANALSUD"
"28","Paul Eluard","7779.41647894168","ELUARD"
"57","Bassin de rétention","8421.20350458566","RETENTION"
"24","Les Primevères","8840.10985142272","PRIMEVERES"
"9","Cimetière intercommunal de Bondy","8891.48849672035","CIMETIERE"
"15","Jardin Terre Saint-Blaise","9872.88684381417","TSB JARDIN"
"53","Verdun-Neuburger","10147.897337989","VERDUN"
"62","voie Tram-Train","10768.9313901996","VOIEVERTE"
"50","Stade et Piscine Robert Gazzi","12829.5048053443","GAZZI"
"22","Jardins de la Noue","14483.9750706337","NOUE"
"54","ZAC Rives de l'Ourcq","14958.1099178744","ZAC"
"6","Campus IRD","20713.2384801966","IRD"
"27","Parc de la Mare à la Veuve Honorine de Beauvais","24597.9398152424","VEUVE"
"31","Place Georges Lyssandre","28102.6706771925","LYSSANDRE"
"12","Elargissement des berges du canal de l'Ourcq","30760.5286930816","OURCQELARGISSEMENT"
"26","n.c.","52112.0247142554",
"51","Stade Léo Lagrange","56870.2698365226","LAGRANGE"
"5","Bois de Bondy","89290.4502603241","BOIS"
