commune,cle,nb présents,obs,ref INSEE,nb utilisateurs Arcopole
Montreuil,26,6,mature,93048,42
Bobigny,10,7,besoin intégration données,93008,5
Les Lilas,6,3,pb,93045,3
Pantin,15,7,Mapinfo + carto,93055,22
Bondy,8,1,pb informatique,93010,26
Pré St Gervais,3,3,animation transverse efficace,93061,7
Romainville,6,2,autres services,93063,7
Bagnolet,8,4,enthousiasme,93006,1
Noisy le Sec,8,0,,93053,0
