"num","lieu"
"2024_156","COMMUNE"
"2024_437","COMMUNE"
"2024_428","COMMUNE"
"2024_403","COMMUNE"
"2024_402","COMMUNE"
"2024_404","VILLEMOMBLE"
"2024_144","AUTOPONT"
"2024_145","LATERAL_AULNAY"
"2024_155","TASSIGNY_DAUBIE"
"2024_158","BLANQUI"
"2024_441","MESARMES_GUEUGNON_GRANDET"
"2024_438","GAULOIS"
"2024_436","DOLET"
"2024_435","L'EST"
"2024_430","COLLARDEAU"
"2024_429","GRANDET"
"2024_413","CARNOT_CARNOT_CARNOT"
"2024_412","TASSIGNY_PASTEUR"
"2024_411","BLANQUI"
"2024_440","RENAUD"
"2024_409","VILLEMOMBLE"
"2024_408","SEPTEMBRE"
"2024_407","GALLIENI_STAINS"
"2024_406","PASTEUR_GUESDE_GATINE"
"2024_405","GUESDE"
"2024_404","VILLEMOMBLE"
"2024_401","MESARMES"
"2024_400","GUESDE"
"2024_397","CARROUGES"
