Fichier encodé en UTF-8 sans BOM, champs séparés par un point-virgule
depcom;id_ea;principal;numero;repetition;complement;type_voie;libelle;rivoli;categorie;type;nombre_logements;actualité;numero_permis;commentaire;annee_construction;nombre_immeubles;nombre_niveaux;sous_type;enseigne;lien_cmt;x;y;code_epsg;type_localisation;numero_parcelle;iris;ilot;qp;canton;liste_insee;id_rp;dernier_tirage;echantillon;grp_rotation;datemaj_ea;com_anc_idft;com_sous_categorie;com_statut;com_nb_log;com_nom;com_date_creation;com_date_fermeture;com_capacite;envoi_modif_importante;envoi_commentaire
93010;930100000003976;O;1;;;R;HENRI DUNANT;4442;HABIT;0023;104;0;;;1970;1;18;;;1;662450.46534;6866514.10163;2154;MAN;AM0314;0304;;QN09312I;06;O;93010   AM01B002;2016;N;3;;;;;;;;;;;
93010;930100000612152;O;2;BIS;;R;GASTON DEFFERRE;4133;HABIT;0023;11;0;;DR le 8/6/17 : création d'une EA suite retour traitement des FN.;0;;;;;1;662342.15646;6866954.59442;2154;MAN;AB0137;0402;;;06;O;;2022;N;4;;;;;;;;;;;
93010;930100000748816;O;15;BIS;;R;FONTAINE;3550;HABIT;0022;3;0;PC9301014B0054;15-17 rue Fontaine : Travaux en cours bien avancés. Vu le chef de chantier : les travaux devraient se terminer au mois de juin.¶MAIRIE 19/06/2018: Adresse habitée - Il y a une même entrée numérotée 15 - 17 pour les logements suivants : à droite en rentrant les 22 BAL du n° 15 puis ensuite juste après,  l'entrée du bâtiment n° 15. On avance et à droite dans un recoin se trouvent les 3 BAL des 3 pavillons situés au 15BIS. Sur la gauche, on trouve les 42 BAL du bâtiment situé au numéro 17. Sur la droite en avançant, il y a les 3 pavillons  et au fond le bâtiment du numéro 17. J'ai compté 67 BAL mais il y en a sûrement une qui est destinée au syndic ou bailleur.;2014;0;0;;;1;662203.73313;6867834.79353;2154;MAN;0F0129;0106;;;06;O;;2020;N;2;;;;;;;;;;;
93010;930100000803604;O;12;;BATIMENT C;AV;JULES FERRY;4770;HABIT;0023;27;0;PC9301014B0050;insee le 09/12/16 : merci de vérifier l'actualité et le positionnement de l'EA créée. ADRESSE SITUEE AU 12/14 JUSTE APRES LE PAVILLON SITUE AU NUMERO 10 DE LA RUE. TRAVAUX EN COURS BIEN AVANCES. DE LA RUE, JE PEUX VOIR AU MOINS 3 IMMEUBLES DE 5 ETAGES MAIS JE NE PEUX PAS ENCORE AFFIRMER LE NOMBRE D'IMMEUBLES CAR IL SE PEUT QU'UN AUTRE SOIT CACHE DERRIERE. ON NE PEUT PAS ENCORE Y ACCEDER LE CHANTIER EST EN COURS. IL Y A BIEN 99 LOGEMENTS QUI SONT PREVUS A CETTE ADRESSE. L'arrêté 2017-223 du 27/04/2017 apporte les précisions suivantes : opération de 98 logements locatifs sociaux + 1 logement pour le gardien - Numérotation affectée au programme : Bâtiment A : 12 av Jules Ferry - Bâtiment A / Bâtiment B : 12 av Jules Ferry - Bâtiment B / Bâtiment C : 12 av Jules Ferry - Bâtiment C / Bâtiment D : 12 av Jules Ferry - Bâtiment D.¶MAIRIE 30/05/2018:  - Vu le gardien du chantier, les logements seront livrables au mois de juillet : 99 logements + 1 logement pour le gardien. Travaux pratiquement terminés.¶MAIRIE 15/04/2019: Les logements sont habités. Les habitants sont répartis de la façon suivante : bâtiment A : 22 logements - bâtiment B : 27 logements - bâtiment C : 27 logements - bâtiment D : 23 logements;0;;0;;;1;661515.78976;6866092.35648;2154;MAN;AU0011;0204;;;06;O;;2022;N;4;;;;;;;;;;;
93010;930100000904605;O;4;;;AV;LEON BLUM;5132;HABIT;0023;21;0;PC9301014B0043;DR 16/10/2017.1ER FLUX DE PC.J AI PLACE L EA SUR LA REF CADASTRALE .MERCI DE METTRE A JOUR LA NUMEROTATION DE CETTE EA¶MAIRIE 19/06/2018:  Le 0 av Jean Moulin doit correspondre aux 4, 6, 8 avenue Léon  Blum. En effet, les 3 bâtiments aux 4, 6 et 8 Léon Blum sont en cours de construction et les travaux sont bien avancés, les fenêtres et volets sont déjà posés - il y aura 43 logements en tout R+5.  un PC modificatif n° 93010 14B 0043/M01 est affiché et il correspond bien au PC indiqué ci-dessus | ces 3 numéros sont situés sur le terrain juste après le bâtiment numéro 2 av Léon Blum. Je ne sais pas encore comment seront répartis les logements car les entrées sont protégées par un grillage et j'étais trop loin pour voir le nombre de BAL dans chaque entrée.;0;;;;;1;661778.86637;6868236.53947;2154;MAN;0B0250;0104;;QN09314M;06;O;;;N;3;;;;;;;;;;;
93010;930100000904606;O;6;;;AV;LEON BLUM;5132;HABIT;0023;11;0;PC9301014B0043;DR 16/10/2017.1ER FLUX DE PC.J AI PLACE L EA SUR LA REF CADASTRALE .MERCI DE METTRE A JOUR LA NUMEROTATION DE CETTE EA¶MAIRIE 19/06/2018:  Le 0 av Jean Moulin doit correspondre aux 4, 6, 8 avenue Léon  Blum. En effet, les 3 bâtiments aux 4, 6 et 8 Léon Blum sont en cours de construction et les travaux sont bien avancés, les fenêtres et volets sont déjà posés - il y aura 43 logements en tout R+5.  un PC modificatif n° 93010 14B 0043/M01 est affiché et il correspond bien au PC indiqué ci-dessus | ces 3 numéros sont situés sur le terrain juste après le bâtiment numéro 2 av Léon Blum. Je ne sais pas encore comment seront répartis les logements car les entrées sont protégées par un grillage et j'étais trop loin pour voir le nombre de BAL dans chaque entrée.;0;;;;;1;661784.97105;6868267.86297;2154;MAN;0B0250;0104;;QN09314M;06;O;;;N;3;;;;;;;;;;;
93010;930100000904607;O;8;;;AV;LEON BLUM;5132;HABIT;0023;11;0;PC9301014B0043;DR 16/10/2017.1ER FLUX DE PC.J AI PLACE L EA SUR LA REF CADASTRALE .MERCI DE METTRE A JOUR LA NUMEROTATION DE CETTE EA¶MAIRIE 19/06/2018:  Le 0 av Jean Moulin doit correspondre aux 4, 6, 8 avenue Léon  Blum. En effet, les 3 bâtiments aux 4, 6 et 8 Léon Blum sont en cours de construction et les travaux sont bien avancés, les fenêtres et volets sont déjà posés - il y aura 43 logements en tout R+5.  un PC modificatif n° 93010 14B 0043/M01 est affiché et il correspond bien au PC indiqué ci-dessus | ces 3 numéros sont situés sur le terrain juste après le bâtiment numéro 2 av Léon Blum. Je ne sais pas encore comment seront répartis les logements car les entrées sont protégées par un grillage et j'étais trop loin pour voir le nombre de BAL dans chaque entrée.;0;;;;;1;661786.93068;6868283.24928;2154;MAN;;0104;;QN09314M;06;O;;;N;3;;;;;;;;;;;
93010;930100000904839;O;158;;;AV;GALLIENI;4120;HABIT;0023;18;0;PC9301014B0019;INSEE 23/10/2020: Dégroupement suite au terrain vu par CORRIL : 18 logts au 158 avenue Galliéni - 22 logts 1 allée Hannah Arendt - 22 logts 5 allée Hannah Arendt.¶MAIRIE 23/10/2020:  pas de pc affiche travaux en cours??¶Le chantier est délimité. Les fondations sont commencées. Je n'ai pas vu le PC affiché mais il y a bien les 57 logements qui sont indiqués sur une pancarte.¶MAIRIE 01/07/2018: Travaux en cours de construction;2014;1;0;;;1;662281.48361;6867507.64205;2154;MAN;0O0037;0404;;;06;O;;;N;3;;;;;;;;;;;
93010;930100000904840;O;1;;;ALL;HANNAH ARENDT;4414;HABIT;0023;22;0;PC9301014B0019;INSEE 23/10/2020: Dégroupement suite au terrain vu par CORRIL : 18 logts au 158 avenue Galliéni - 22 logts 1 allée Hannah Arendt - 22 logts 5 allée Hannah Arendt.¶MAIRIE 23/10/2020:  pas de pc affiche travaux en cours??¶Le chantier est délimité. Les fondations sont commencées. Je n'ai pas vu le PC affiché mais il y a bien les 57 logements qui sont indiqués sur une pancarte.¶MAIRIE 01/07/2018: Travaux en cours de construction;2014;0;0;;;1;662258.34180;6867456.42790;2154;MAN;0O0074;0404;;;06;O;;;N;3;;;;;;;;;;;
93010;930100000904841;O;5;;;ALL;HANNAH ARENDT;4414;HABIT;0023;22;0;PC9301014B0019;INSEE 23/10/2020: Dégroupement suite au terrain vu par CORRIL : 18 logts au 158 avenue Galliéni - 22 logts 1 allée Hannah Arendt - 22 logts 5 allée Hannah Arendt.¶MAIRIE 23/10/2020:  pas de pc affiche travaux en cours??¶Le chantier est délimité. Les fondations sont commencées. Je n'ai pas vu le PC affiché mais il y a bien les 57 logements qui sont indiqués sur une pancarte.¶MAIRIE 01/07/2018: Travaux en cours de construction;2014;1;0;;;1;662265.16190;6867446.97301;2154;MAN;0O0074;0404;;;06;O;;;N;3;;;;;;;;;;;
93010;930100000010030;O;24;;24-28;R;AUGUSTE POLISSARD;0075;HABIT;0023;61;0;;INSEE 19/01/2021: Vu expertise échantillon 2021¶;2005;1;7;;;1;661901.06226;6867208.41825;2154;MAN;J0318;0202;;QN09314M;06;O;;2016;N;3;;;;;;;;;;;
93010;930100000933573;O;11;;;CHE;DE LA MARE A LA VEUVE;6150;HABIT;0021;1;0;;INSEE 16/02/2021: Suite contrôles sur PC création de l'EA au vu des images sur google maps de juillet 2018 vu 1 TH.;0;;;;;1;661715.39629;6865670.28458;2154;MAN;BF0249;0301;;;06;O;;;N;3;;;;;;;;;;;
